region,age_group,cohort_type,metric,value
saskatchewan,19 to 49 years,linked cctlp tumour cohort,percent,51.2
saskatchewan,50 to 69 years,linked cctlp tumour cohort,number,1150.0
saskatchewan,50 to 69 years,tumours with one or more surgical interv,number,410.0
saskatchewan,50 to 69 years,tumours with one or more surgical interv,percent,35.5
saskatchewan,70 years and older,linked cctlp tumour cohort,number,860.0
saskatchewan,70 years and older,linked cctlp tumour cohort,number,85.0
saskatchewan,70 years and older,linked cctlp tumour cohort,percent,9.8
alberta,19 to 49 years,linked cctlp tumour cohort,number,245.0
alberta,19 to 49 years,tumours with one or more surgical interv,number,145.0
alberta,19 to 49 years,linked cctlp tumour cohort,percent,59.1
alberta,50 to 69 years,linked cctlp tumour cohort,number,4175.0
alberta,50 to 69 years,tumours with one or more surgical interv,number,1850.0
alberta,50 to 69 years,tumours with one or more surgical interv,percent,44.3
alberta,70 years and older,linked cctlp tumour cohort,number,2340.0
alberta,70 years and older,linked cctlp tumour cohort,number,330.0
alberta,70 years and older,linked cctlp tumour cohort,percent,14.2
british columbia,19 to 49 years,linked cctlp tumour cohort,number,130.0
british columbia,19 to 49 years,tumours with one or more surgical interv,number,80.0
british columbia,19 to 49 years,linked cctlp tumour cohort,percent,63.3
british columbia,50 to 69 years,linked cctlp tumour cohort,number,5190.0
british columbia,50 to 69 years,tumours with one or more surgical interv,number,2480.0
british columbia,50 to 69 years,tumours with one or more surgical interv,percent,47.8
british columbia,70 years and older,linked cctlp tumour cohort,number,4270.0
british columbia,70 years and older,linked cctlp tumour cohort,number,580.0
british columbia,70 years and older,linked cctlp tumour cohort,percent,13.5
yukon,19 to 49 years,linked cctlp tumour cohort,number,
yukon,19 to 49 years,tumours with one or more surgical interv,number,
yukon,19 to 49 years,linked cctlp tumour cohort,percent,
yukon,50 to 69 years,linked cctlp tumour cohort,number,35.0
yukon,50 to 69 years,tumours with one or more surgical interv,number,20.0
yukon,50 to 69 years,tumours with one or more surgical interv,percent,55.9
yukon,70 years and older,linked cctlp tumour cohort,number,
yukon,70 years and older,linked cctlp tumour cohort,number,
yukon,70 years and older,linked cctlp tumour cohort,percent,
northwest territories,19 to 49 years,linked cctlp tumour cohort,number,
northwest territories,19 to 49 years,tumours with one or more surgical interv,number,
northwest territories,19 to 49 years,linked cctlp tumour cohort,percent,
northwest territories,50 to 69 years,linked cctlp tumour cohort,number,20.0
northwest territories,50 to 69 years,tumours with one or more surgical interv,number,5.0
northwest territories,50 to 69 years,tumours with one or more surgical interv,percent,31.6
northwest territories,70 years and older,linked cctlp tumour cohort,number,
northwest territories,70 years and older,linked cctlp tumour cohort,number,
northwest territories,70 years and older,linked cctlp tumour cohort,percent,
nunavut,19 to 49 years,linked cctlp tumour cohort,number,0.0
nunavut,19 to 49 years,tumours with one or more surgical interv,number,0.0
nunavut,19 to 49 years,linked cctlp tumour cohort,percent,0.0
nunavut,50 to 69 years,linked cctlp tumour cohort,number,
nunavut,50 to 69 years,tumours with one or more surgical interv,number,
nunavut,50 to 69 years,tumours with one or more surgical interv,percent,
nunavut,70 years and older,linked cctlp tumour cohort,number,
nunavut,70 years and older,linked cctlp tumour cohort,number,
nunavut,70 years and older,linked cctlp tumour cohort,percent,
