demographic_category,year,activity_type,percentage
manitoba,2013,people who contacted their friends a few times or more a week,53.0
saskatchewan,2003,people who saw their friends a few times or more a week,65.0
saskatchewan,2008,people who saw their friends a few times or more a week,54.0
saskatchewan,2013,people who saw their friends a few times or more a week,47.0
saskatchewan,2003,people who contacted their friends a few times or more a week,65.0
saskatchewan,2008,people who contacted their friends a few times or more a week,60.0
saskatchewan,2013,people who contacted their friends a few times or more a week,51.0
alberta,2003,people who saw their friends a few times or more a week,57.0
alberta,2008,people who saw their friends a few times or more a week,48.0
alberta,2013,people who saw their friends a few times or more a week,44.0
alberta,2003,people who contacted their friends a few times or more a week,64.0
alberta,2008,people who contacted their friends a few times or more a week,61.0
alberta,2013,people who contacted their friends a few times or more a week,53.0
british columbia,2003,people who saw their friends a few times or more a week,58.0
british columbia,2008,people who saw their friends a few times or more a week,48.0
british columbia,2013,people who saw their friends a few times or more a week,47.0
british columbia,2003,people who contacted their friends a few times or more a week,65.0
british columbia,2008,people who contacted their friends a few times or more a week,61.0
british columbia,2013,people who contacted their friends a few times or more a week,58.0
