type_of_reason,section,region,frequency
psychological abuse,protecting children from:,68,17.0
psychological abuse,protecting children from:,65,16.0
psychological abuse,protecting children from:,67,20.0
psychological abuse,protecting children from:,60,19.0
psychological abuse,protecting children from:,67,23.0
psychological abuse,protecting children from:,65,18.0
psychological abuse,protecting children from:,85,
psychological abuse,protecting children from:,89,
psychological abuse,protecting children from:,89,
physical abuse,protecting children from:,"2,933",428.0
physical abuse,protecting children from:,66,10.0
physical abuse,protecting children from:,77,11.0
physical abuse,protecting children from:,67,
physical abuse,protecting children from:,56,10.0
physical abuse,protecting children from:,80,10.0
physical abuse,protecting children from:,68,11.0
physical abuse,protecting children from:,65,8.0
physical abuse,protecting children from:,67,19.0
physical abuse,protecting children from:,60,11.0
physical abuse,protecting children from:,67,11.0
physical abuse,protecting children from:,65,12.0
physical abuse,protecting children from:,85,
physical abuse,protecting children from:,89,
physical abuse,protecting children from:,89,
threats,protecting children from:,"2,933",348.0
threats,protecting children from:,66,8.0
threats,protecting children from:,77,5.0
threats,protecting children from:,67,
threats,protecting children from:,56,6.0
threats,protecting children from:,80,8.0
threats,protecting children from:,68,9.0
threats,protecting children from:,65,7.0
threats,protecting children from:,67,7.0
threats,protecting children from:,60,5.0
threats,protecting children from:,67,6.0
threats,protecting children from:,65,10.0
threats,protecting children from:,85,
threats,protecting children from:,89,
threats,protecting children from:,89,
neglect,protecting children from:,"2,933",267.0
neglect,protecting children from:,66,6.0
neglect,protecting children from:,77,6.0
neglect,protecting children from:,67,
neglect,protecting children from:,56,
neglect,protecting children from:,80,10.0
neglect,protecting children from:,68,4.0
neglect,protecting children from:,65,5.0
neglect,protecting children from:,67,7.0
neglect,protecting children from:,60,3.0
neglect,protecting children from:,67,14.0
neglect,protecting children from:,65,8.0
neglect,protecting children from:,85,
neglect,protecting children from:,89,
neglect,protecting children from:,89,
sexual abuse,protecting children from:,"2,933",72.0
sexual abuse,protecting children from:,66,2.0
sexual abuse,protecting children from:,77,
sexual abuse,protecting children from:,67,
sexual abuse,protecting children from:,56,
sexual abuse,protecting children from:,80,4.0
sexual abuse,protecting children from:,68,1.0
sexual abuse,protecting children from:,65,1.0
sexual abuse,protecting children from:,67,
sexual abuse,protecting children from:,60,2.0
sexual abuse,protecting children from:,67,2.0
sexual abuse,protecting children from:,65,2.0
sexual abuse,protecting children from:,85,
sexual abuse,protecting children from:,89,
sexual abuse,protecting children from:,89,
unable to find affordable housing,housing:,"2,933",
unable to find affordable housing,housing:,66,30.0
unable to find affordable housing,housing:,77,25.0
unable to find affordable housing,housing:,67,67.0
unable to find affordable housing,housing:,56,23.0
unable to find affordable housing,housing:,80,21.0
unable to find affordable housing,housing:,68,23.0
unable to find affordable housing,housing:,65,31.0
unable to find affordable housing,housing:,67,19.0
unable to find affordable housing,housing:,60,25.0
unable to find affordable housing,housing:,67,35.0
unable to find affordable housing,housing:,65,35.0
unable to find affordable housing,housing:,85,
unable to find affordable housing,housing:,89,37.0
unable to find affordable housing,housing:,89,47.0
short-term housing problem,housing:,"2,933",767.0
short-term housing problem,housing:,66,17.0
short-term housing problem,housing:,77,15.0
short-term housing problem,housing:,67,
short-term housing problem,housing:,56,11.0
short-term housing problem,housing:,80,5.0
short-term housing problem,housing:,68,10.0
short-term housing problem,housing:,65,25.0
short-term housing problem,housing:,67,9.0
short-term housing problem,housing:,60,16.0
short-term housing problem,housing:,67,15.0
short-term housing problem,housing:,65,16.0
short-term housing problem,housing:,85,
short-term housing problem,housing:,89,19.0
short-term housing problem,housing:,89,
housing emergency,housing:,"2,933",428.0
housing emergency,housing:,66,10.0
housing emergency,housing:,77,11.0
housing emergency,housing:,67,
housing emergency,housing:,56,14.0
housing emergency,housing:,80,
housing emergency,housing:,68,6.0
housing emergency,housing:,65,12.0
housing emergency,housing:,67,4.0
housing emergency,housing:,60,10.0
housing emergency,housing:,67,9.0
housing emergency,housing:,65,9.0
housing emergency,housing:,85,
housing emergency,housing:,89,15.0
housing emergency,housing:,89,37.0
mental health,housing:,"2,933",
mental health,housing:,66,25.0
mental health,housing:,77,43.0
mental health,housing:,67,
mental health,housing:,56,27.0
mental health,housing:,80,39.0
mental health,housing:,68,30.0
mental health,housing:,65,23.0
mental health,housing:,67,19.0
mental health,housing:,60,18.0
mental health,housing:,67,27.0
mental health,housing:,65,21.0
mental health,housing:,85,
mental health,housing:,89,15.0
mental health,housing:,89,16.0
drug/alcohol addiction,housing:,"2,933",862.0
drug/alcohol addiction,housing:,66,19.0
drug/alcohol addiction,housing:,77,20.0
drug/alcohol addiction,housing:,67,20.0
drug/alcohol addiction,housing:,56,20.0
drug/alcohol addiction,housing:,80,28.0
drug/alcohol addiction,housing:,68,14.0
drug/alcohol addiction,housing:,65,16.0
drug/alcohol addiction,housing:,67,32.0
drug/alcohol addiction,housing:,60,26.0
drug/alcohol addiction,housing:,67,29.0
drug/alcohol addiction,housing:,65,25.0
drug/alcohol addiction,housing:,85,31.0
drug/alcohol addiction,housing:,89,
drug/alcohol addiction,housing:,89,42.0
other,housing:,"2,933",482.0
other,housing:,66,11.0
other,housing:,77,
other,housing:,67,
other,housing:,56,4.0
other,housing:,80,12.0
other,housing:,68,7.0
other,housing:,65,12.0
other,housing:,67,3.0
other,housing:,60,7.0
other,housing:,67,10.0
other,housing:,65,18.0
other,housing:,85,
other,housing:,89,
other,housing:,89,
