year,entrant,chassis,engine,tyres,driver,race_location,race_result,points,wcc_position
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,5,4,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,5,ESP,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,5,9,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,5,10,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,5,ESP,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,5,9,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,5,10,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,6,MON,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,6,2,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,6,Ret,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,6,CAN,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,6,2,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,6,Ret,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,6,EUR,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,6,5,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,6,12,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,7,CAN,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,7,2,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,7,4,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,7,FRA,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,7,Ret,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,7,Ret,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,7,MON,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,7,3,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,7,Ret,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,8,FRA,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,8,9,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,8,5,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,8,GBR,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,8,7,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,8,10,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,8,CAN,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,8,3,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,8,9,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,9,GBR,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,9,5,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,9,4,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,9,AUT,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,9,12,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,9,5,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,9,FRA,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,9,9,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,9,Ret,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,10,AUT,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,10,Ret,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,10,9,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,10,GER,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,10,Ret,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,10,7,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,10,AUT,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,10,Ret,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,10,10,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,11,GER,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,11,7,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,11,11,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,11,HUN,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,11,Ret,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,11,7,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,11,GER,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,11,Ret,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,11,Ret,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,12,HUN,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,12,8,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,12,16,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,12,BEL,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,12,11,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,12,14,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,12,HUN,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,12,Ret,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,12,11,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,13,BEL,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,13,Ret,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,13,Ret,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,13,ITA,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,13,Ret,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,13,Ret,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,13,BEL,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,13,Ret,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,13,13,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,14,ITA,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,14,8,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,14,Ret,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,14,EUR,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,14,Ret,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,14,Ret,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,14,ITA,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,14,11,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,14,5,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,15,LUX,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,15,6,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,15,7,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,15,MAL,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,15,11,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,15,8,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,15,USA,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,15,Ret,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,15,10,20,4th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,,16,JPN,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Giancarlo Fisichella,16,8,33,5th
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,16,9,33,5th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,,16,JPN,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,16,14,16,6th
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,16,10,16,6th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,16,JPN,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,16,14,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,16,Ret,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,,17,MAL,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,17,9,20,4th
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,17,7,20,4th
