class_of_service,section,category,behaviour_or_discrimination,metric_type,value
mixed,indigenous identity,"indigenous (first nations, metis, inuit) person",total discriminatory behaviours,percent,9.8
mixed,indigenous identity,non-indigenous person,total discriminatory behaviours,percent,5.8
mixed,persons with disabilities,persons with disabilities,total discriminatory behaviours,percent,14.0
mixed,persons with disabilities,persons without disabilities,total discriminatory behaviours,percent,5.7
mixed,visible minority,visible minority,total discriminatory behaviours,percent,4.6
mixed,visible minority,non-visible minority,total discriminatory behaviours,percent,6.2
mixed,rank,junior non-commissioned member,total discriminatory behaviours,percent,6.9
mixed,rank,senior non-commissioned member,total discriminatory behaviours,percent,3.8
mixed,rank,junior officer,total discriminatory behaviours,percent,5.1
mixed,rank,senior officer,total discriminatory behaviours,percent,2.9
mixed,age group,24 years and younger,total discriminatory behaviours,percent,7.4
mixed,age group,25 to 29 years,total discriminatory behaviours,percent,7.4
mixed,age group,30 to 34 years,total discriminatory behaviours,percent,8.0
mixed,age group,35 to 39 years,total discriminatory behaviours,percent,4.3
mixed,age group,40 to 44 years,total discriminatory behaviours,percent,3.0
mixed,age group,45 to 49 years,total discriminatory behaviours,percent,3.4
mixed,age group,50 years and older,total discriminatory behaviours,percent,1.8
class a only,,class a only,discrimination on the basis of sex,percent,3.7
class b/c only,,class b/c only,discrimination on the basis of sex,percent,6.8
mixed,,mixed,discrimination on the basis of sex,percent,6.3
mixed,environmental command,canadian army,discrimination on the basis of sex,percent,5.2
mixed,environmental command,royal canadian navy,discrimination on the basis of sex,percent,8.9
mixed,environmental command,royal canadian air force,discrimination on the basis of sex,percent,2.5
mixed,environmental command,military personnel command,discrimination on the basis of sex,percent,9.4
mixed,environmental command,other,discrimination on the basis of sex,percent,3.3
mixed,gender,women,discrimination on the basis of sex,percent,18.0
mixed,gender,men,discrimination on the basis of sex,percent,3.3
mixed,indigenous identity,"indigenous (first nations, metis, inuit) person",discrimination on the basis of sex,percent,8.4
mixed,indigenous identity,non-indigenous person,discrimination on the basis of sex,percent,5.6
mixed,persons with disabilities,persons with disabilities,discrimination on the basis of sex,percent,14.0
mixed,persons with disabilities,persons without disabilities,discrimination on the basis of sex,percent,5.5
mixed,visible minority,visible minority,discrimination on the basis of sex,percent,4.6
mixed,visible minority,non-visible minority,discrimination on the basis of sex,percent,5.9
mixed,rank,junior non-commissioned member,discrimination on the basis of sex,percent,6.6
mixed,rank,senior non-commissioned member,discrimination on the basis of sex,percent,3.5
mixed,rank,junior officer,discrimination on the basis of sex,percent,4.8
mixed,rank,senior officer,discrimination on the basis of sex,percent,2.8
mixed,age group,24 years and younger,discrimination on the basis of sex,percent,7.1
mixed,age group,25 to 29 years,discrimination on the basis of sex,percent,7.1
mixed,age group,30 to 34 years,discrimination on the basis of sex,percent,7.7
mixed,age group,35 to 39 years,discrimination on the basis of sex,percent,4.1
mixed,age group,40 to 44 years,discrimination on the basis of sex,percent,2.8
mixed,age group,45 to 49 years,discrimination on the basis of sex,percent,3.2
mixed,age group,50 years and older,discrimination on the basis of sex,percent,1.7
class b/c only,,class b/c only,discrimination on the basis of sexual orientation or gender ...,percent,1.0
mixed,,mixed,discrimination on the basis of sexual orientation or gender ...,percent,1.2
mixed,environmental command,canadian army,discrimination on the basis of sexual orientation or gender ...,percent,0.8
mixed,environmental command,royal canadian navy,discrimination on the basis of sexual orientation or gender ...,percent,1.4
mixed,gender,women,discrimination on the basis of sexual orientation or gender ...,percent,2.3
mixed,gender,men,discrimination on the basis of sexual orientation or gender ...,percent,0.7
mixed,indigenous identity,non-indigenous person,discrimination on the basis of sexual orientation or gender ...,percent,0.9
mixed,persons with disabilities,persons without disabilities,discrimination on the basis of sexual orientation or gender ...,percent,0.9
mixed,visible minority,non-visible minority,discrimination on the basis of sexual orientation or gender ...,percent,0.9
mixed,rank,junior non-commissioned member,discrimination on the basis of sexual orientation or gender ...,percent,1.1
mixed,rank,senior non-commissioned member,discrimination on the basis of sexual orientation or gender ...,percent,0.6
mixed,age group,24 years and younger,discrimination on the basis of sexual orientation or gender ...,percent,1.2
mixed,age group,25 to 29 years,discrimination on the basis of sexual orientation or gender ...,percent,1.1
mixed,age group,30 to 34 years,discrimination on the basis of sexual orientation or gender ...,percent,1.1
