crime_category,crime_qualifier,period,measure_type,value
"theft over $5,000",,period_1,rate,6.0
"theft over $5,000",,period_2,number,118.0
"theft over $5,000",,period_2,rate,5.0
"theft over $5,000",,period_1,percent,-22.0
"theft over $5,000",,period_1,delta_percent,-57.0
"shoplifting under $5,000",,period_1,number,10611.0
"shoplifting under $5,000",,period_1,rate,446.0
"shoplifting under $5,000",,period_2,number,10183.0
"shoplifting under $5,000",,period_2,rate,423.0
"shoplifting under $5,000",,period_1,percent,-5.0
"shoplifting under $5,000",,period_1,delta_percent,-55.0
"theft of $5,000 or under",,period_1,number,4578.0
"theft of $5,000 or under",,period_1,rate,192.0
"theft of $5,000 or under",,period_2,number,3899.0
"theft of $5,000 or under",,period_2,rate,162.0
"theft of $5,000 or under",,period_1,percent,-16.0
"theft of $5,000 or under",,period_1,delta_percent,-69.0
fraud,,period_1,number,1099.0
fraud,,period_1,rate,46.0
fraud,,period_2,number,1113.0
fraud,,period_2,rate,46.0
fraud,,period_1,percent,0.0
fraud,,period_1,delta_percent,-41.0
identity theft,,period_1,number,15.0
identity theft,,period_1,rate,1.0
identity theft,,period_2,number,20.0
identity theft,,period_2,rate,1.0
identity theft,,period_1,percent,32.0
identity theft,,period_1,delta_percent,
identity fraud,,period_1,number,91.0
identity fraud,,period_1,rate,4.0
identity fraud,,period_2,number,112.0
identity fraud,,period_2,rate,5.0
identity fraud,,period_1,percent,22.0
identity fraud,,period_1,delta_percent,
mischief,,period_1,number,8868.0
mischief,,period_1,rate,373.0
mischief,,period_2,number,8332.0
mischief,,period_2,rate,346.0
mischief,,period_1,percent,-7.0
mischief,,period_1,delta_percent,-63.0
total other criminal code offences,,period_1,number,16166.0
total other criminal code offences,,period_1,rate,680.0
total other criminal code offences,,period_2,number,14745.0
total other criminal code offences,,period_2,rate,613.0
total other criminal code offences,,period_1,percent,-10.0
total other criminal code offences,,period_1,delta_percent,-49.0
weapons violations,,period_1,number,1739.0
weapons violations,,period_1,rate,73.0
weapons violations,,period_2,number,1741.0
weapons violations,,period_2,rate,72.0
weapons violations,,period_1,percent,-1.0
weapons violations,,period_1,delta_percent,-34.0
child pornography,,period_1,number,636.0
child pornography,,period_1,rate,27.0
child pornography,,period_2,number,745.0
child pornography,,period_2,rate,31.0
child pornography,,period_1,percent,16.0
child pornography,,period_1,delta_percent,773.0
prostitution,,period_1,number,0.0
prostitution,,period_1,rate,0.0
prostitution,,period_2,number,2.0
prostitution,,period_2,rate,0.0
prostitution,,period_1,percent,
prostitution,,period_1,delta_percent,
terrorism,,period_1,number,1.0
terrorism,,period_1,rate,0.0
terrorism,,period_2,number,2.0
terrorism,,period_2,rate,0.0
terrorism,,period_1,percent,
terrorism,,period_1,delta_percent,
disturb the peace,,period_1,number,2601.0
disturb the peace,,period_1,rate,109.0
disturb the peace,,period_2,number,2249.0
disturb the peace,,period_2,rate,93.0
disturb the peace,,period_1,percent,-15.0
disturb the peace,,period_1,delta_percent,-70.0
administration of justice violations,,period_1,number,9955.0
administration of justice violations,,period_1,rate,418.0
administration of justice violations,,period_2,number,8910.0
administration of justice violations,,period_2,rate,370.0
administration of justice violations,,period_1,percent,-11.0
administration of justice violations,,period_1,delta_percent,-44.0
total criminal code traffic violations,,period_1,number,1032.0
total criminal code traffic violations,,period_1,rate,43.0
total criminal code traffic violations,,period_2,number,985.0
total criminal code traffic violations,,period_2,rate,41.0
total criminal code traffic violations,,period_1,percent,-6.0
total criminal code traffic violations,,period_1,delta_percent,-53.0
alcohol-impaired driving,,period_1,number,300.0
alcohol-impaired driving,,period_1,rate,13.0
alcohol-impaired driving,,period_2,number,302.0
alcohol-impaired driving,,period_2,rate,13.0
alcohol-impaired driving,,period_1,percent,0.0
alcohol-impaired driving,,period_1,delta_percent,-71.0
drug-impaired driving,,period_1,number,81.0
drug-impaired driving,,period_1,rate,3.0
drug-impaired driving,,period_2,number,67.0
drug-impaired driving,,period_2,rate,3.0
drug-impaired driving,,period_1,percent,-18.0
drug-impaired driving,,period_1,delta_percent,93.0
alcohol- and drug-impaired driving,,period_1,number,2.0
alcohol- and drug-impaired driving,,period_1,rate,0.0
alcohol- and drug-impaired driving,,period_2,number,12.0
alcohol- and drug-impaired driving,,period_2,rate,0.0
alcohol- and drug-impaired driving,,period_1,percent,
alcohol- and drug-impaired driving,,period_1,delta_percent,
impaired driving,,period_1,number,5.0
impaired driving,,period_1,rate,0.0
impaired driving,,period_2,number,7.0
impaired driving,,period_2,rate,0.0
impaired driving,,period_1,percent,
impaired driving,,period_1,delta_percent,
total other federal statute violations,,period_1,number,4478.0
total other federal statute violations,,period_1,rate,188.0
total other federal statute violations,,period_2,number,3481.0
total other federal statute violations,,period_2,rate,145.0
total other federal statute violations,,period_1,percent,-23.0
total other federal statute violations,,period_1,delta_percent,-59.0
youth criminal justice act,,period_1,number,2544.0
youth criminal justice act,,period_1,rate,107.0
youth criminal justice act,,period_2,number,1989.0
youth criminal justice act,,period_2,rate,83.0
youth criminal justice act,,period_1,percent,-23.0
youth criminal justice act,,period_1,delta_percent,-71.0
total,all violations,period_1,number,93611.0
total,all violations,period_1,rate,3935.0
total,all violations,period_2,number,83868.0
total,all violations,period_2,rate,3486.0
total,all violations,period_1,percent,-11.0
total,all violations,period_1,delta_percent,-54.0
