temperature,property_name,unit,value
240,Steam Density,kg/m3,16.76
250,Steam Density,kg/m3,20.01
260,Steam Density,kg/m3,23.82
270,Steam Density,kg/m3,28.27
280,Steam Density,kg/m3,33.47
290,Steam Density,kg/m3,39.6
300,Steam Density,kg/m3,46.93
310,Steam Density,kg/m3,55.59
320,Steam Density,kg/m3,65.95
330,Steam Density,kg/m3,78.53
340,Steam Density,kg/m3,93.98
350,Steam Density,kg/m3,113.2
0,Liquid Enthalpy,kJ/kg,0.0
5,Liquid Enthalpy,kJ/kg,20.94
10,Liquid Enthalpy,kJ/kg,41.87
15,Liquid Enthalpy,kJ/kg,62.81
20,Liquid Enthalpy,kJ/kg,83.74
25,Liquid Enthalpy,kJ/kg,104.68
30,Liquid Enthalpy,kJ/kg,125.6
35,Liquid Enthalpy,kJ/kg,146.55
40,Liquid Enthalpy,kJ/kg,167.47
45,Liquid Enthalpy,kJ/kg,188.42
50,Liquid Enthalpy,kJ/kg,209.34
55,Liquid Enthalpy,kJ/kg,230.29
60,Liquid Enthalpy,kJ/kg,251.21
65,Liquid Enthalpy,kJ/kg,272.16
70,Liquid Enthalpy,kJ/kg,293.08
75,Liquid Enthalpy,kJ/kg,314.03
80,Liquid Enthalpy,kJ/kg,334.94
85,Liquid Enthalpy,kJ/kg,355.9
90,Liquid Enthalpy,kJ/kg,376.81
95,Liquid Enthalpy,kJ/kg,397.77
100,Liquid Enthalpy,kJ/kg,418.68
105,Liquid Enthalpy,kJ/kg,439.64
110,Liquid Enthalpy,kJ/kg,460.97
115,Liquid Enthalpy,kJ/kg,481.51
120,Liquid Enthalpy,kJ/kg,503.67
125,Liquid Enthalpy,kJ/kg,523.38
130,Liquid Enthalpy,kJ/kg,546.38
135,Liquid Enthalpy,kJ/kg,565.25
140,Liquid Enthalpy,kJ/kg,589.08
145,Liquid Enthalpy,kJ/kg,607.12
150,Liquid Enthalpy,kJ/kg,632.21
160,Liquid Enthalpy,kJ/kg,675.75
170,Liquid Enthalpy,kJ/kg,719.29
180,Liquid Enthalpy,kJ/kg,763.25
190,Liquid Enthalpy,kJ/kg,807.63
200,Liquid Enthalpy,kJ/kg,852.01
210,Liquid Enthalpy,kJ/kg,897.23
220,Liquid Enthalpy,kJ/kg,942.45
230,Liquid Enthalpy,kJ/kg,988.5
240,Liquid Enthalpy,kJ/kg,1034.56
250,Liquid Enthalpy,kJ/kg,1081.45
260,Liquid Enthalpy,kJ/kg,1128.76
270,Liquid Enthalpy,kJ/kg,1176.91
280,Liquid Enthalpy,kJ/kg,1225.48
290,Liquid Enthalpy,kJ/kg,1274.46
300,Liquid Enthalpy,kJ/kg,1325.54
310,Liquid Enthalpy,kJ/kg,1378.71
320,Liquid Enthalpy,kJ/kg,1436.07
330,Liquid Enthalpy,kJ/kg,1446.78
340,Liquid Enthalpy,kJ/kg,1562.93
350,Liquid Enthalpy,kJ/kg,1632.2
0,Steam Enthalpy,kJ/kg,2491.3
5,Steam Enthalpy,kJ/kg,2500.9
10,Steam Enthalpy,kJ/kg,2510.5
15,Steam Enthalpy,kJ/kg,2520.6
20,Steam Enthalpy,kJ/kg,2530.1
25,Steam Enthalpy,kJ/kg,2538.6
30,Steam Enthalpy,kJ/kg,2549.5
35,Steam Enthalpy,kJ/kg,2559.1
40,Steam Enthalpy,kJ/kg,2568.7
45,Steam Enthalpy,kJ/kg,2577.9
50,Steam Enthalpy,kJ/kg,2587.6
55,Steam Enthalpy,kJ/kg,2596.8
60,Steam Enthalpy,kJ/kg,2606.3
65,Steam Enthalpy,kJ/kg,2615.6
70,Steam Enthalpy,kJ/kg,2624.4
75,Steam Enthalpy,kJ/kg,2629.7
80,Steam Enthalpy,kJ/kg,2642.4
85,Steam Enthalpy,kJ/kg,2651.2
90,Steam Enthalpy,kJ/kg,2660.0
95,Steam Enthalpy,kJ/kg,2668.8
100,Steam Enthalpy,kJ/kg,2677.2
105,Steam Enthalpy,kJ/kg,2685.1
110,Steam Enthalpy,kJ/kg,2693.5
115,Steam Enthalpy,kJ/kg,2702.5
120,Steam Enthalpy,kJ/kg,2708.9
125,Steam Enthalpy,kJ/kg,2716.5
130,Steam Enthalpy,kJ/kg,2723.9
135,Steam Enthalpy,kJ/kg,2731.2
140,Steam Enthalpy,kJ/kg,2737.8
145,Steam Enthalpy,kJ/kg,2744.6
150,Steam Enthalpy,kJ/kg,2750.7
160,Steam Enthalpy,kJ/kg,2762.9
170,Steam Enthalpy,kJ/kg,2773.3
180,Steam Enthalpy,kJ/kg,2782.6
190,Steam Enthalpy,kJ/kg,2790.1
200,Steam Enthalpy,kJ/kg,2795.5
210,Steam Enthalpy,kJ/kg,2799.3
220,Steam Enthalpy,kJ/kg,2801.0
230,Steam Enthalpy,kJ/kg,2800.1
240,Steam Enthalpy,kJ/kg,2796.8
250,Steam Enthalpy,kJ/kg,2790.1
260,Steam Enthalpy,kJ/kg,2780.9
270,Steam Enthalpy,kJ/kg,2760.3
280,Steam Enthalpy,kJ/kg,2752.0
290,Steam Enthalpy,kJ/kg,2732.3
300,Steam Enthalpy,kJ/kg,2708.0
310,Steam Enthalpy,kJ/kg,2680.0
320,Steam Enthalpy,kJ/kg,2648.2
330,Steam Enthalpy,kJ/kg,2610.5
340,Steam Enthalpy,kJ/kg,2568.6
350,Steam Enthalpy,kJ/kg,2516.7
