institution,metric_id,value
delaware state u,usda,2304.6
xavier u. louisiana,usda,0.0
u. of the virgin islands,usda,2012.9
virginia state u,usda,4321.8
norfolk state u,usda,0.0
alabama a&m u,usda,4694.4
"southern u. and a&m c., system office",usda,2221.6
"u. arkansas, pine bluff",usda,5309.1
all other hbcus,usda,30295.4
north carolina agricultural and technical state u,other agenciesa,1501.6
florida a&m u,other agenciesa,120.0
morehouse school of medicine,other agenciesa,0.0
meharry medical c,other agenciesa,0.0
howard u,other agenciesa,0.0
north carolina central u,other agenciesa,1290.6
jackson state u,other agenciesa,0.0
hampton u,other agenciesa,221.1
tuskegee u,other agenciesa,123.9
prairie view a&m u,other agenciesa,1075.5
morgan state u,other agenciesa,1416.9
tennessee state u,other agenciesa,0.0
delaware state u,other agenciesa,0.0
xavier u. louisiana,other agenciesa,0.0
u. of the virgin islands,other agenciesa,0.0
virginia state u,other agenciesa,0.0
norfolk state u,other agenciesa,0.0
alabama a&m u,other agenciesa,0.0
"southern u. and a&m c., system office",other agenciesa,0.0
"u. arkansas, pine bluff",other agenciesa,0.0
all other hbcus,other agenciesa,222.7
