year,metric_type,funding_stream,status,amount
2009,constant fy 2005 $millions,5,non-arra,837.0
2009,constant fy 2005 $millions,6,arra,41.0
2009,constant fy 2005 $millions,6,non-arra,178.0
2009,constant fy 2005 $millions,7,arra,176.0
2009,constant fy 2005 $millions,7,non-arra,1366.0
2010,constant fy 2005 $millions,1,arra,4607.0
2010,constant fy 2005 $millions,1,non-arra,27071.0
2010,constant fy 2005 $millions,2,arra,3208.0
2010,constant fy 2005 $millions,2,non-arra,24260.0
2010,constant fy 2005 $millions,3,arra,1071.0
2010,constant fy 2005 $millions,3,non-arra,419.0
2010,constant fy 2005 $millions,4,arra,0.0
2010,constant fy 2005 $millions,4,non-arra,5.0
2010,constant fy 2005 $millions,5,arra,29.0
2010,constant fy 2005 $millions,5,non-arra,989.0
2010,constant fy 2005 $millions,6,arra,190.0
2010,constant fy 2005 $millions,6,non-arra,127.0
2010,constant fy 2005 $millions,7,arra,109.0
2010,constant fy 2005 $millions,7,non-arra,1271.0
2011,constant fy 2005 $millions,1,arra,
2011,constant fy 2005 $millions,1,non-arra,27635.0
2011,constant fy 2005 $millions,2,arra,
2011,constant fy 2005 $millions,2,non-arra,24568.0
2011,constant fy 2005 $millions,3,arra,
2011,constant fy 2005 $millions,3,non-arra,284.0
2011,constant fy 2005 $millions,4,arra,
2011,constant fy 2005 $millions,4,non-arra,4.0
2011,constant fy 2005 $millions,5,arra,
2011,constant fy 2005 $millions,5,non-arra,891.0
2011,constant fy 2005 $millions,6,arra,
2011,constant fy 2005 $millions,6,non-arra,183.0
2011,constant fy 2005 $millions,7,arra,
2011,constant fy 2005 $millions,7,non-arra,1707.0
