rank,country,team_id,driver,brakewoman,run_number,run_time_seconds
13,Canada,CAN-2,Jennifer Ciochetti,Chelsea Valois,4,58.71
14,Australia,AUS-1,Astrid Radjenovic,Jana Pittman,1,58.62
14,Australia,AUS-1,Astrid Radjenovic,Jana Pittman,2,58.5
14,Australia,AUS-1,Astrid Radjenovic,Jana Pittman,3,59.06
14,Australia,AUS-1,Astrid Radjenovic,Jana Pittman,4,58.37
15,Austria,AUT-1,Christina Hengster,Viola Kleiser,1,58.59
15,Austria,AUT-1,Christina Hengster,Viola Kleiser,2,58.56
15,Austria,AUT-1,Christina Hengster,Viola Kleiser,3,58.73
15,Austria,AUT-1,Christina Hengster,Viola Kleiser,4,58.91
17,Russia,RUS-2,Nadezhda Sergeeva,Nadezhda Paleeva,1,58.8
17,Russia,RUS-2,Nadezhda Sergeeva,Nadezhda Paleeva,2,58.69
17,Russia,RUS-2,Nadezhda Sergeeva,Nadezhda Paleeva,3,59.27
17,Russia,RUS-2,Nadezhda Sergeeva,Nadezhda Paleeva,4,59.1
16,Romania,ROU-1,Maria Constantin,Andreea Grecu,1,59.04
16,Romania,ROU-1,Maria Constantin,Andreea Grecu,2,59.08
16,Romania,ROU-1,Maria Constantin,Andreea Grecu,3,59.38
16,Romania,ROU-1,Maria Constantin,Andreea Grecu,4,59.09
18,South Korea,KOR-1,Kim Su-Nok,Shin Mi-Hwa,1,60.09
18,South Korea,KOR-1,Kim Su-Nok,Shin Mi-Hwa,2,60.02
18,South Korea,KOR-1,Kim Su-Nok,Shin Mi-Hwa,3,60.44
18,South Korea,KOR-1,Kim Su-Nok,Shin Mi-Hwa,4,60.26
19,Brazil,BRA-1,Fabiana Santos,Sally Mayara da Silva,1,59.57
19,Brazil,BRA-1,Fabiana Santos,Sally Mayara da Silva,2,60.45
19,Brazil,BRA-1,Fabiana Santos,Sally Mayara da Silva,3,60.73
19,Brazil,BRA-1,Fabiana Santos,Sally Mayara da Silva,4,61.2
