year,funding_type,function,amount
2015 actual,r&d,health,30331.0
2016 preliminary,r&d,health,32182.0
2017 proposed,r&d,health,32992.0
2010 actual,r&d,health,205.0
2011 actual,r&d plant,health,87.0
2012 actual,r&d plant,health,168.0
2013 actual,r&d plant,health,156.0
2014 actual,r&d plant,health,172.0
2015 actual,r&d plant,health,164.0
2016 preliminary,r&d plant,health,171.0
2017 proposed,r&d plant,health,214.0
2010 actual,r&d,veterans benefits and services,1034.0
2011 actual,r&d,veterans benefits and services,1160.0
2012 actual,r&d,veterans benefits and services,1160.0
2013 actual,r&d,veterans benefits and services,1164.0
2014 actual,r&d,veterans benefits and services,1101.0
2015 actual,r&d,veterans benefits and services,1178.0
2016 preliminary,r&d,veterans benefits and services,1220.0
2017 proposed,r&d,veterans benefits and services,1252.0
2010 actual,r&d,veterans benefits and services,0.0
2011 actual,r&d plant,veterans benefits and services,0.0
2012 actual,r&d plant,veterans benefits and services,0.0
2013 actual,r&d plant,veterans benefits and services,0.0
2014 actual,r&d plant,veterans benefits and services,0.0
2015 actual,r&d plant,veterans benefits and services,0.0
2016 preliminary,r&d plant,veterans benefits and services,0.0
2017 proposed,r&d plant,veterans benefits and services,0.0
2010 actual,r&d,othera,1814.0
2011 actual,r&d,othera,1826.0
2012 actual,r&d,othera,1773.0
2013 actual,r&d,othera,2376.0
2014 actual,r&d,othera,2584.0
2015 actual,r&d,othera,2412.0
2016 preliminary,r&d,othera,2521.0
2017 proposed,r&d,othera,2577.0
2010 actual,r&d,othera,168.0
2011 actual,r&d plant,othera,171.0
2012 actual,r&d plant,othera,134.0
2013 actual,r&d plant,othera,225.0
2014 actual,r&d plant,othera,541.0
2015 actual,r&d plant,othera,424.0
2016 preliminary,r&d plant,othera,189.0
2017 proposed,r&d plant,othera,157.0
