date_range,device_end,traffic_source_platform,access_method,traffic_type,metric,value
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Weitao,Free traffic within Taobao,UV,143.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Weitao,Free traffic within Taobao,PV,4.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Weitao,Free traffic within Taobao,IPV,4.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Weitao,Free traffic within Taobao,GMV,204.5
2019-10-01 ~ 2019-10-31,Wireless End,Handy,Taobao Wangxin,Free traffic within Taobao,UV,38.0
2019-10-01 ~ 2019-10-31,Wireless End,Handy,Taobao Wangxin,Free traffic within Taobao,PV,17.0
2019-10-01 ~ 2019-10-31,Wireless End,Handy,Taobao Wangxin,Free traffic within Taobao,IPV,17.0
2019-10-01 ~ 2019-10-31,Wireless End,Handy,Taobao Wangxin,Free traffic within Taobao,GMV,759.27
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Tao Gold Coins,Free traffic within Taobao,UV,210.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Tao Gold Coins,Free traffic within Taobao,PV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Tao Gold Coins,Free traffic within Taobao,IPV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Tao Gold Coins,Free traffic within Taobao,GMV,24.5
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-hand,Taobao Live,Free traffic within Taobao,UV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-hand,Taobao Live,Free traffic within Taobao,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-hand,Taobao Live,Free traffic within Taobao,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-hand,Taobao Live,Free traffic within Taobao,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Search,Free traffic within Taobao,UV,3448.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Search,Free traffic within Taobao,PV,222.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Search,Free traffic within Taobao,IPV,209.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Search,Free traffic within Taobao,GMV,7745.35
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Homepage,Free traffic within Taobao,UV,1298.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Homepage,Free traffic within Taobao,PV,7.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Homepage,Free traffic within Taobao,IPV,6.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Homepage,Free traffic within Taobao,GMV,154.82
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Scan,Free traffic within Taobao,UV,5.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Scan,Free traffic within Taobao,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Scan,Free traffic within Taobao,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Scan,Free traffic within Taobao,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Other Stores' Product Details,Free traffic within Taobao,UV,420.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Other Stores' Product Details,Free traffic within Taobao,PV,46.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Other Stores' Product Details,Free traffic within Taobao,IPV,45.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Other Stores' Product Details,Free traffic within Taobao,GMV,1629.96
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Other Stores,Free traffic within Taobao,UV,2.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Other Stores,Free traffic within Taobao,PV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Other Stores,Free traffic within Taobao,IPV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Other Stores,Free traffic within Taobao,GMV,39.8
2019-10-01 ~ 2019-10-31,Wireless End,Hand-taobao,Pailitao,Free traffic within Taobao,UV,291.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-taobao,Pailitao,Free traffic within Taobao,PV,17.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-taobao,Pailitao,Free traffic within Taobao,IPV,17.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-taobao,Pailitao,Free traffic within Taobao,GMV,609.34
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Aggregation,Free traffic within Taobao,UV,40.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Aggregation,Free traffic within Taobao,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Aggregation,Free traffic within Taobao,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Aggregation,Free traffic within Taobao,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Cat Product Details,Free traffic within Taobao,UV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Cat Product Details,Free traffic within Taobao,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Cat Product Details,Free traffic within Taobao,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Cat Product Details,Free traffic within Taobao,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Other,Taobao Stores,Free traffic within Taobao,UV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Other,Taobao Stores,Free traffic within Taobao,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Other,Taobao Stores,Free traffic within Taobao,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Other,Taobao Stores,Free traffic within Taobao,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Shopping,Cart,Self-access,UV,615.0
2019-10-01 ~ 2019-10-31,Wireless End,Shopping,Cart,Self-access,PV,175.0
2019-10-01 ~ 2019-10-31,Wireless End,Shopping,Cart,Self-access,IPV,167.0
2019-10-01 ~ 2019-10-31,Wireless End,Shopping,Cart,Self-access,GMV,6334.33
