series,category,style_number,color_code,block_id,metric,value_type,tag_price,value
Spring and Summer Home,Trousers,113841102,60,A,Cumulative Sales,Quantity,299,41.0
Spring and Summer Home,Trousers,113841102,60,A,Cumulative Sales,Tag Price Amount,299,12259.0
Spring and Summer Home,Trousers,113841102,60,A,Cumulative Sales,Sales Amount,299,8399.8
Spring and Summer Home,Trousers,113841102,60,A,Cumulative Sales,Discount,299,0.685194550942165
Spring and Summer Home,Trousers,113841102,60,A,Inventory,Quantity,299,146.0
Spring and Summer Home,Trousers,113841102,60,A,Inventory,Tag Price Amount,299,43654.0
Spring and Summer Home,Trousers,112851305,53,B,Cumulative Sales,Quantity,259,1.0
Spring and Summer Home,Trousers,112851305,53,B,Cumulative Sales,Tag Price Amount,259,259.0
Spring and Summer Home,Trousers,112851305,53,B,Cumulative Sales,Sales Amount,259,233.0
Spring and Summer Home,Trousers,112851305,53,B,Cumulative Sales,Discount,259,0.8996138996139
Spring and Summer Home,Trousers,112851305,53,B,Inventory,Quantity,259,309.0
Spring and Summer Home,Trousers,112851305,53,B,Inventory,Tag Price Amount,259,80031.0
Spring and Summer Home,Five-pocket pants,113851506,75,A,Cumulative Sales,Quantity,299,32.0
Spring and Summer Home,Five-pocket pants,113851506,75,A,Cumulative Sales,Tag Price Amount,299,9568.0
Spring and Summer Home,Five-pocket pants,113851506,75,A,Cumulative Sales,Sales Amount,299,6631.4
Spring and Summer Home,Five-pocket pants,113851506,75,A,Cumulative Sales,Discount,299,0.69308110367893
Spring and Summer Home,Five-pocket pants,113851506,75,A,Inventory,Quantity,299,189.0
Spring and Summer Home,Five-pocket pants,113851506,75,A,Inventory,Tag Price Amount,299,56511.0
Spring and Summer Home,Trousers,113851105,62,B,Cumulative Sales,Quantity,399,3.0
Spring and Summer Home,Trousers,113851105,62,B,Cumulative Sales,Tag Price Amount,399,1197.0
Spring and Summer Home,Trousers,113851105,62,B,Cumulative Sales,Sales Amount,399,949.5
Spring and Summer Home,Trousers,113851105,62,B,Cumulative Sales,Discount,399,0.793233082706767
Spring and Summer Home,Trousers,113851105,62,B,Inventory,Quantity,399,36.0
Spring and Summer Home,Trousers,113851105,62,B,Inventory,Tag Price Amount,399,14364.0
Spring and Summer Home,Five-pocket pants,113851506,62,A,Cumulative Sales,Quantity,299,20.0
Spring and Summer Home,Five-pocket pants,113851506,62,A,Cumulative Sales,Tag Price Amount,299,5980.0
Spring and Summer Home,Five-pocket pants,113851506,62,A,Cumulative Sales,Sales Amount,299,4371.3
Spring and Summer Home,Five-pocket pants,113851506,62,A,Cumulative Sales,Discount,299,0.730986622073579
Spring and Summer Home,Five-pocket pants,113851506,62,A,Inventory,Quantity,299,195.0
Spring and Summer Home,Five-pocket pants,113851506,62,A,Inventory,Tag Price Amount,299,58305.0
Spring and Summer Home,Set/Wardrobe,114871105,80,B,Cumulative Sales,Quantity,499,3.0
Spring and Summer Home,Set/Wardrobe,114871105,80,B,Cumulative Sales,Tag Price Amount,499,1497.0
Spring and Summer Home,Set/Wardrobe,114871105,80,B,Cumulative Sales,Sales Amount,499,1347.0
Spring and Summer Home,Set/Wardrobe,114871105,80,B,Cumulative Sales,Discount,499,0.899799599198397
Spring and Summer Home,Set/Wardrobe,114871105,80,B,Inventory,Quantity,499,23.0
Spring and Summer Home,Set/Wardrobe,114871105,80,B,Inventory,Tag Price Amount,499,11477.0
Spring and Summer Home,Set/Wardrobe,112871102,73,A,Cumulative Sales,Quantity,399,18.0
Spring and Summer Home,Set/Wardrobe,112871102,73,A,Cumulative Sales,Tag Price Amount,399,7182.0
Spring and Summer Home,Set/Wardrobe,112871102,73,A,Cumulative Sales,Sales Amount,399,4971.4
Spring and Summer Home,Set/Wardrobe,112871102,73,A,Cumulative Sales,Discount,399,0.692202729044834
Spring and Summer Home,Set/Wardrobe,112871102,73,A,Inventory,Quantity,399,257.0
Spring and Summer Home,Set/Wardrobe,112871102,73,A,Inventory,Tag Price Amount,399,102543.0
Spring and Summer Home,Set/Wardrobe,114871105,75,B,Cumulative Sales,Quantity,499,4.0
Spring and Summer Home,Set/Wardrobe,114871105,75,B,Cumulative Sales,Tag Price Amount,499,1996.0
Spring and Summer Home,Set/Wardrobe,114871105,75,B,Cumulative Sales,Sales Amount,499,1646.5
Spring and Summer Home,Set/Wardrobe,114871105,75,B,Cumulative Sales,Discount,499,0.824899799599198
Spring and Summer Home,Set/Wardrobe,114871105,75,B,Inventory,Quantity,499,22.0
Spring and Summer Home,Set/Wardrobe,114871105,75,B,Inventory,Tag Price Amount,499,10978.0
Spring and Summer Home,Five-pocket pants,113851503,73,A,Cumulative Sales,Quantity,299,11.0
Spring and Summer Home,Five-pocket pants,113851503,73,A,Cumulative Sales,Tag Price Amount,299,3289.0
Spring and Summer Home,Five-pocket pants,113851503,73,A,Cumulative Sales,Sales Amount,299,2632.2
Spring and Summer Home,Five-pocket pants,113851503,73,A,Cumulative Sales,Discount,299,0.800304043782305
Spring and Summer Home,Five-pocket pants,113851503,73,A,Inventory,Quantity,299,254.0
Spring and Summer Home,Five-pocket pants,113851503,73,A,Inventory,Tag Price Amount,299,75946.0
Spring and Summer Home,Five-pocket pants,113851505,28,B,Cumulative Sales,Quantity,399,4.0
Spring and Summer Home,Five-pocket pants,113851505,28,B,Cumulative Sales,Tag Price Amount,399,1596.0
Spring and Summer Home,Five-pocket pants,113851505,28,B,Cumulative Sales,Sales Amount,399,1286.3
Spring and Summer Home,Five-pocket pants,113851505,28,B,Cumulative Sales,Discount,399,0.805952380952381
Spring and Summer Home,Five-pocket pants,113851505,28,B,Inventory,Quantity,399,160.0
Spring and Summer Home,Five-pocket pants,113851505,28,B,Inventory,Tag Price Amount,399,63840.0
Spring and Summer Home,Trousers,113851105,75,A,Cumulative Sales,Quantity,399,8.0
Spring and Summer Home,Trousers,113851105,75,A,Cumulative Sales,Tag Price Amount,399,3192.0
Spring and Summer Home,Trousers,113851105,75,A,Cumulative Sales,Sales Amount,399,2323.5
Spring and Summer Home,Trousers,113851105,75,A,Cumulative Sales,Discount,399,0.727913533834586
Spring and Summer Home,Trousers,113851105,75,A,Inventory,Quantity,399,28.0
Spring and Summer Home,Trousers,113851105,75,A,Inventory,Tag Price Amount,399,11172.0
Spring and Summer Home,Short sleeve,113811402,75,B,Cumulative Sales,Quantity,399,6.0
Spring and Summer Home,Short sleeve,113811402,75,B,Cumulative Sales,Tag Price Amount,399,2394.0
Spring and Summer Home,Short sleeve,113811402,75,B,Cumulative Sales,Sales Amount,399,1676.5
Spring and Summer Home,Short sleeve,113811402,75,B,Cumulative Sales,Discount,399,0.700292397660819
Spring and Summer Home,Short sleeve,113811402,75,B,Inventory,Quantity,399,141.0
Spring and Summer Home,Short sleeve,113811402,75,B,Inventory,Tag Price Amount,399,56259.0
Spring and Summer Underwear,Tank top,114511103,00,A,Cumulative Sales,Quantity,99,380.0
Spring and Summer Underwear,Tank top,114511103,00,A,Cumulative Sales,Tag Price Amount,99,37620.0
Spring and Summer Underwear,Tank top,114511103,00,A,Cumulative Sales,Sales Amount,99,36977.0
Spring and Summer Underwear,Tank top,114511103,00,A,Cumulative Sales,Discount,99,0.98290802764487
Spring and Summer Underwear,Tank top,114511103,00,A,Inventory,Quantity,99,528.0
Spring and Summer Underwear,Tank top,114511103,00,A,Inventory,Tag Price Amount,99,52272.0
Spring and Summer Underwear,Tank top,111501401,92,B,Cumulative Sales,Quantity,299,1.0
Spring and Summer Underwear,Tank top,111501401,92,B,Cumulative Sales,Tag Price Amount,299,299.0
Spring and Summer Underwear,Tank top,111501401,92,B,Cumulative Sales,Sales Amount,299,269.0
Spring and Summer Underwear,Tank top,111501401,92,B,Cumulative Sales,Discount,299,0.899665551839465
Spring and Summer Underwear,Tank top,111501401,92,B,Inventory,Quantity,299,123.0
Spring and Summer Underwear,Tank top,111501401,92,B,Inventory,Tag Price Amount,299,36777.0
Spring and Summer Underwear,Short sleeve,112511402,10,A,Cumulative Sales,Quantity,159,206.0
Spring and Summer Underwear,Short sleeve,112511402,10,A,Cumulative Sales,Tag Price Amount,159,32754.0
Spring and Summer Underwear,Short sleeve,112511402,10,A,Cumulative Sales,Sales Amount,159,25127.95
Spring and Summer Underwear,Short sleeve,112511402,10,A,Cumulative Sales,Discount,159,0.76717194846431
Spring and Summer Underwear,Short sleeve,112511402,10,A,Inventory,Quantity,159,697.0
Spring and Summer Underwear,Short sleeve,112511402,10,A,Inventory,Tag Price Amount,159,110823.0
Spring and Summer Underwear,Tank top,113511101,10,B,Cumulative Sales,Quantity,499,1.0
Spring and Summer Underwear,Tank top,113511101,10,B,Cumulative Sales,Tag Price Amount,499,499.0
Spring and Summer Underwear,Tank top,113511101,10,B,Cumulative Sales,Sales Amount,499,399.2
Spring and Summer Underwear,Tank top,113511101,10,B,Cumulative Sales,Discount,499,0.8
Spring and Summer Underwear,Tank top,113511101,10,B,Inventory,Quantity,499,50.0
Spring and Summer Underwear,Tank top,113511101,10,B,Inventory,Tag Price Amount,499,24950.0
Spring and Summer Underwear,Short sleeve,112511402,62,A,Cumulative Sales,Quantity,159,191.0
Spring and Summer Underwear,Short sleeve,112511402,62,A,Cumulative Sales,Tag Price Amount,159,30369.0
Spring and Summer Underwear,Short sleeve,112511402,62,A,Cumulative Sales,Sales Amount,159,23689.4
Spring and Summer Underwear,Short sleeve,112511402,62,A,Cumulative Sales,Discount,159,0.780052026737792
Spring and Summer Underwear,Short sleeve,112511402,62,A,Inventory,Quantity,159,691.0
Spring and Summer Underwear,Short sleeve,112511402,62,A,Inventory,Tag Price Amount,159,109869.0
Spring and Summer Underwear,Short sleeve,111501101,37,B,Cumulative Sales,Quantity,329,1.0
Spring and Summer Underwear,Short sleeve,111501101,37,B,Cumulative Sales,Tag Price Amount,329,329.0
Spring and Summer Underwear,Short sleeve,111501101,37,B,Cumulative Sales,Sales Amount,329,329.0
Spring and Summer Underwear,Short sleeve,111501101,37,B,Cumulative Sales,Discount,329,1.0
Spring and Summer Underwear,Short sleeve,111501101,37,B,Inventory,Quantity,329,171.0
Spring and Summer Underwear,Short sleeve,111501101,37,B,Inventory,Tag Price Amount,329,56259.0
Spring and Summer Underwear,Short sleeve,114511104,00,A,Cumulative Sales,Quantity,99,169.0
Spring and Summer Underwear,Short sleeve,114511104,00,A,Cumulative Sales,Tag Price Amount,99,16731.0
Spring and Summer Underwear,Short sleeve,114511104,00,A,Cumulative Sales,Sales Amount,99,16335.0
Spring and Summer Underwear,Short sleeve,114511104,00,A,Cumulative Sales,Discount,99,0.976331360946746
Spring and Summer Underwear,Short sleeve,114511104,00,A,Inventory,Quantity,99,946.0
Spring and Summer Underwear,Short sleeve,114511104,00,A,Inventory,Tag Price Amount,99,93654.0
Spring and Summer Underwear,Short sleeve,111501301,80,B,Cumulative Sales,Quantity,329,1.0
Spring and Summer Underwear,Short sleeve,111501301,80,B,Cumulative Sales,Tag Price Amount,329,329.0
Spring and Summer Underwear,Short sleeve,111501301,80,B,Cumulative Sales,Sales Amount,329,356.75
Spring and Summer Underwear,Short sleeve,111501301,80,B,Cumulative Sales,Discount,329,1.08434650455927
Spring and Summer Underwear,Short sleeve,111501301,80,B,Inventory,Quantity,329,191.0
Spring and Summer Underwear,Short sleeve,111501301,80,B,Inventory,Tag Price Amount,329,62839.0
Spring and Summer Underwear,Short sleeve,514105,75,A,Cumulative Sales,Quantity,168,138.0
Spring and Summer Underwear,Short sleeve,514105,75,A,Cumulative Sales,Tag Price Amount,168,23184.0
Spring and Summer Underwear,Short sleeve,514105,75,A,Cumulative Sales,Sales Amount,168,17811.2
Spring and Summer Underwear,Short sleeve,514105,75,A,Cumulative Sales,Discount,168,0.768253968253968
Spring and Summer Underwear,Short sleeve,514105,75,A,Inventory,Quantity,168,958.0
Spring and Summer Underwear,Short sleeve,514105,75,A,Inventory,Tag Price Amount,168,160944.0
Spring and Summer Underwear,Short sleeve,111511102,73,B,Cumulative Sales,Quantity,389,1.0
Spring and Summer Underwear,Short sleeve,111511102,73,B,Cumulative Sales,Tag Price Amount,389,389.0
Spring and Summer Underwear,Short sleeve,111511102,73,B,Cumulative Sales,Sales Amount,389,310.0
Spring and Summer Underwear,Short sleeve,111511102,73,B,Cumulative Sales,Discount,389,0.796915167095116
Spring and Summer Underwear,Short sleeve,111511102,73,B,Inventory,Quantity,389,256.0
Spring and Summer Underwear,Short sleeve,111511102,73,B,Inventory,Tag Price Amount,389,99584.0
Spring and Summer Underwear,Short sleeve,112511402,45,A,Cumulative Sales,Quantity,159,120.0
Spring and Summer Underwear,Short sleeve,112511402,45,A,Cumulative Sales,Tag Price Amount,159,19080.0
Spring and Summer Underwear,Short sleeve,112511402,45,A,Cumulative Sales,Sales Amount,159,15461.02
Spring and Summer Underwear,Short sleeve,112511402,45,A,Cumulative Sales,Discount,159,0.810325995807128
Spring and Summer Underwear,Short sleeve,112511402,45,A,Inventory,Quantity,159,1089.0
Spring and Summer Underwear,Short sleeve,112511402,45,A,Inventory,Tag Price Amount,159,173151.0
Spring and Summer Underwear,Short sleeve,111511401,80,B,Cumulative Sales,Quantity,299,1.0
Spring and Summer Underwear,Short sleeve,111511401,80,B,Cumulative Sales,Tag Price Amount,299,299.0
Spring and Summer Underwear,Short sleeve,111511401,80,B,Cumulative Sales,Sales Amount,299,239.2
Spring and Summer Underwear,Short sleeve,111511401,80,B,Cumulative Sales,Discount,299,0.8
Spring and Summer Underwear,Short sleeve,111511401,80,B,Inventory,Quantity,299,32.0
Spring and Summer Underwear,Short sleeve,111511401,80,B,Inventory,Tag Price Amount,299,9568.0
Spring and Summer Underwear,Short sleeve,112511402,80,A,Cumulative Sales,Quantity,159,99.0
Spring and Summer Underwear,Short sleeve,112511402,80,A,Cumulative Sales,Tag Price Amount,159,15741.0
Spring and Summer Underwear,Short sleeve,112511402,80,A,Cumulative Sales,Sales Amount,159,12617.95
Spring and Summer Underwear,Short sleeve,112511402,80,A,Cumulative Sales,Discount,159,0.801597738390191
Spring and Summer Underwear,Short sleeve,112511402,80,A,Inventory,Quantity,159,1110.0
Spring and Summer Underwear,Short sleeve,112511402,80,A,Inventory,Tag Price Amount,159,176490.0
Spring and Summer Underwear,Short sleeve,112501301,80,B,Cumulative Sales,Quantity,329,1.0
Spring and Summer Underwear,Short sleeve,112501301,80,B,Cumulative Sales,Tag Price Amount,329,329.0
Spring and Summer Underwear,Short sleeve,112501301,80,B,Cumulative Sales,Sales Amount,329,246.75
Spring and Summer Underwear,Short sleeve,112501301,80,B,Cumulative Sales,Discount,329,0.75
Spring and Summer Underwear,Short sleeve,112501301,80,B,Inventory,Quantity,329,106.0
Spring and Summer Underwear,Short sleeve,112501301,80,B,Inventory,Tag Price Amount,329,34874.0
Spring and Summer Underwear,Short sleeve,112511114,62,A,Cumulative Sales,Quantity,159,88.0
Spring and Summer Underwear,Short sleeve,112511114,62,A,Cumulative Sales,Tag Price Amount,159,13992.0
Spring and Summer Underwear,Short sleeve,112511114,62,A,Cumulative Sales,Sales Amount,159,10507.6
Spring and Summer Underwear,Short sleeve,112511114,62,A,Cumulative Sales,Discount,159,0.750971983990852
Spring and Summer Underwear,Short sleeve,112511114,62,A,Inventory,Quantity,159,685.0
Spring and Summer Underwear,Short sleeve,112511114,62,A,Inventory,Tag Price Amount,159,108915.0
Spring and Summer Underwear,Short sleeve,112501302,48,B,Cumulative Sales,Quantity,329,1.0
Spring and Summer Underwear,Short sleeve,112501302,48,B,Cumulative Sales,Tag Price Amount,329,329.0
Spring and Summer Underwear,Short sleeve,112501302,48,B,Cumulative Sales,Sales Amount,329,296.0
Spring and Summer Underwear,Short sleeve,112501302,48,B,Cumulative Sales,Discount,329,0.899696048632219
Spring and Summer Underwear,Short sleeve,112501302,48,B,Inventory,Quantity,329,85.0
Spring and Summer Underwear,Short sleeve,112501302,48,B,Inventory,Tag Price Amount,329,27965.0
Spring and Summer Underwear,Tank top,112511103,10,A,Cumulative Sales,Quantity,129,78.0
Spring and Summer Underwear,Tank top,112511103,10,A,Cumulative Sales,Tag Price Amount,129,10062.0
Spring and Summer Underwear,Tank top,112511103,10,A,Cumulative Sales,Sales Amount,129,8120.3
Spring and Summer Underwear,Tank top,112511103,10,A,Cumulative Sales,Discount,129,0.807026436096204
Spring and Summer Underwear,Tank top,112511103,10,A,Inventory,Quantity,129,758.0
Spring and Summer Underwear,Tank top,112511103,10,A,Inventory,Tag Price Amount,129,97782.0
Spring and Summer Underwear,Short sleeve,112511102,10,B,Cumulative Sales,Quantity,389,1.0
Spring and Summer Underwear,Short sleeve,112511102,10,B,Cumulative Sales,Tag Price Amount,389,389.0
Spring and Summer Underwear,Short sleeve,112511102,10,B,Cumulative Sales,Sales Amount,389,272.3
Spring and Summer Underwear,Short sleeve,112511102,10,B,Cumulative Sales,Discount,389,0.7
Spring and Summer Underwear,Short sleeve,112511102,10,B,Inventory,Quantity,389,195.0
Spring and Summer Underwear,Short sleeve,112511102,10,B,Inventory,Tag Price Amount,389,75855.0
Spring and Summer Underwear,Short sleeve,514105,10,A,Cumulative Sales,Quantity,168,70.0
Spring and Summer Underwear,Short sleeve,514105,10,A,Cumulative Sales,Tag Price Amount,168,11760.0
Spring and Summer Underwear,Short sleeve,514105,10,A,Cumulative Sales,Sales Amount,168,8872.8
Spring and Summer Underwear,Short sleeve,514105,10,A,Cumulative Sales,Discount,168,0.754489795918367
Spring and Summer Underwear,Short sleeve,514105,10,A,Inventory,Quantity,168,1220.0
Spring and Summer Underwear,Short sleeve,514105,10,A,Inventory,Tag Price Amount,168,204960.0
Spring and Summer Underwear,Short sleeve,114511107,10,B,Cumulative Sales,Quantity,599,1.0
Spring and Summer Underwear,Short sleeve,114511107,10,B,Cumulative Sales,Tag Price Amount,599,599.0
Spring and Summer Underwear,Short sleeve,114511107,10,B,Cumulative Sales,Sales Amount,599,419.3
Spring and Summer Underwear,Short sleeve,114511107,10,B,Cumulative Sales,Discount,599,0.7
Spring and Summer Underwear,Short sleeve,114511107,10,B,Inventory,Quantity,599,46.0
Spring and Summer Underwear,Short sleeve,114511107,10,B,Inventory,Tag Price Amount,599,27554.0
Underwear,Straight-leg pants,114631208,00,A,Cumulative Sales,Quantity,99,258.0
Underwear,Straight-leg pants,114631208,00,A,Cumulative Sales,Tag Price Amount,99,25542.0
Underwear,Straight-leg pants,114631208,00,A,Cumulative Sales,Sales Amount,99,25351.0
Underwear,Straight-leg pants,114631208,00,A,Cumulative Sales,Discount,99,0.992522120429097
Underwear,Straight-leg pants,114631208,00,A,Inventory,Quantity,99,1196.0
Underwear,Straight-leg pants,114631208,00,A,Inventory,Tag Price Amount,99,118404.0
Underwear,Boxer Briefs,110621204,97,B,Cumulative Sales,Quantity,98,1.0
Underwear,Boxer Briefs,110621204,97,B,Cumulative Sales,Tag Price Amount,98,98.0
Underwear,Boxer Briefs,110621204,97,B,Cumulative Sales,Sales Amount,98,98.0
Underwear,Boxer Briefs,110621204,97,B,Cumulative Sales,Discount,98,1.0
Underwear,Boxer Briefs,110621204,97,B,Inventory,Quantity,98,110.0
Underwear,Boxer Briefs,110621204,97,B,Inventory,Tag Price Amount,98,10780.0
Underwear,Triangle Shorts,614202,95,A,Cumulative Sales,Quantity,68,230.0
Underwear,Triangle Shorts,614202,95,A,Cumulative Sales,Tag Price Amount,68,15640.0
Underwear,Triangle Shorts,614202,95,A,Cumulative Sales,Sales Amount,68,11514.04
Underwear,Triangle Shorts,614202,95,A,Cumulative Sales,Discount,68,0.736191815856777
Underwear,Triangle Shorts,614202,95,A,Inventory,Quantity,68,1452.0
Underwear,Triangle Shorts,614202,95,A,Inventory,Tag Price Amount,68,98736.0
Underwear,Boxer Briefs,110631301,61,B,Cumulative Sales,Quantity,88,1.0
Underwear,Boxer Briefs,110631301,61,B,Cumulative Sales,Tag Price Amount,88,88.0
Underwear,Boxer Briefs,110631301,61,B,Cumulative Sales,Sales Amount,88,86.0
Underwear,Boxer Briefs,110631301,61,B,Cumulative Sales,Discount,88,0.977272727272727
Underwear,Boxer Briefs,110631301,61,B,Inventory,Quantity,88,-1.0
Underwear,Boxer Briefs,110631301,61,B,Inventory,Tag Price Amount,88,-88.0
Underwear,Triangle Shorts,614202,75,A,Cumulative Sales,Quantity,68,217.0
Underwear,Triangle Shorts,614202,75,A,Cumulative Sales,Tag Price Amount,68,14756.0
Underwear,Triangle Shorts,614202,75,A,Cumulative Sales,Sales Amount,68,11029.48
Underwear,Triangle Shorts,614202,75,A,Cumulative Sales,Discount,68,0.747457305502846
Underwear,Triangle Shorts,614202,75,A,Inventory,Quantity,68,932.0
Underwear,Triangle Shorts,614202,75,A,Inventory,Tag Price Amount,68,63376.0
Underwear,Straight-leg pants,111631209,90,B,Cumulative Sales,Quantity,158,1.0
Underwear,Straight-leg pants,111631209,90,B,Cumulative Sales,Tag Price Amount,158,158.0
Underwear,Straight-leg pants,111631209,90,B,Cumulative Sales,Sales Amount,158,111.0
Underwear,Straight-leg pants,111631209,90,B,Cumulative Sales,Discount,158,0.70253164556962
Underwear,Straight-leg pants,111631209,90,B,Inventory,Quantity,158,-5.0
Underwear,Straight-leg pants,111631209,90,B,Inventory,Tag Price Amount,158,-790.0
Underwear,Triangle Shorts,109611208,64,A,Cumulative Sales,Quantity,69,208.0
Underwear,Triangle Shorts,109611208,64,A,Cumulative Sales,Tag Price Amount,69,14352.0
Underwear,Triangle Shorts,109611208,64,A,Cumulative Sales,Sales Amount,69,10676.16
Underwear,Triangle Shorts,109611208,64,A,Cumulative Sales,Discount,69,0.743879598662207
Underwear,Triangle Shorts,109611208,64,A,Inventory,Quantity,69,1122.0
Underwear,Triangle Shorts,109611208,64,A,Inventory,Tag Price Amount,69,77418.0
Underwear,Straight-leg pants,112621203,80,B,Cumulative Sales,Quantity,69,1.0
Underwear,Straight-leg pants,112621203,80,B,Cumulative Sales,Tag Price Amount,69,69.0
Underwear,Straight-leg pants,112621203,80,B,Cumulative Sales,Sales Amount,69,69.0
Underwear,Straight-leg pants,112621203,80,B,Cumulative Sales,Discount,69,1.0
Underwear,Straight-leg pants,112621203,80,B,Inventory,Quantity,69,7.0
Underwear,Straight-leg pants,112621203,80,B,Inventory,Tag Price Amount,69,483.0
Underwear,Triangle Shorts,614202,90,A,Cumulative Sales,Quantity,68,202.0
Underwear,Triangle Shorts,614202,90,A,Cumulative Sales,Tag Price Amount,68,13736.0
Underwear,Triangle Shorts,614202,90,A,Cumulative Sales,Sales Amount,68,10572.86
Underwear,Triangle Shorts,614202,90,A,Cumulative Sales,Discount,68,0.769718986604543
Underwear,Triangle Shorts,614202,90,A,Inventory,Quantity,68,673.0
Underwear,Triangle Shorts,614202,90,A,Inventory,Tag Price Amount,68,45764.0
Underwear,Straight-leg pants,112621204,80,B,Cumulative Sales,Quantity,69,1.0
Underwear,Straight-leg pants,112621204,80,B,Cumulative Sales,Tag Price Amount,69,69.0
Underwear,Straight-leg pants,112621204,80,B,Cumulative Sales,Sales Amount,69,69.0
Underwear,Straight-leg pants,112621204,80,B,Cumulative Sales,Discount,69,1.0
Underwear,Straight-leg pants,112621204,80,B,Inventory,Quantity,69,10.0
Underwear,Straight-leg pants,112621204,80,B,Inventory,Tag Price Amount,69,690.0
Underwear,Triangle Shorts,109611208,48,A,Cumulative Sales,Quantity,69,187.0
Underwear,Triangle Shorts,109611208,48,A,Cumulative Sales,Tag Price Amount,69,12903.0
Underwear,Triangle Shorts,109611208,48,A,Cumulative Sales,Sales Amount,69,9595.47
Underwear,Triangle Shorts,109611208,48,A,Cumulative Sales,Discount,69,0.743661939083934
Underwear,Triangle Shorts,109611208,48,A,Inventory,Quantity,69,905.0
Underwear,Triangle Shorts,109611208,48,A,Inventory,Tag Price Amount,69,62445.0
Underwear,Straight-leg pants,112621205,10,B,Cumulative Sales,Quantity,69,1.0
Underwear,Straight-leg pants,112621205,10,B,Cumulative Sales,Tag Price Amount,69,69.0
Underwear,Straight-leg pants,112621205,10,B,Cumulative Sales,Sales Amount,69,69.0
Underwear,Straight-leg pants,112621205,10,B,Cumulative Sales,Discount,69,1.0
Underwear,Straight-leg pants,112621205,10,B,Inventory,Quantity,69,6.0
Underwear,Straight-leg pants,112621205,10,B,Inventory,Tag Price Amount,69,414.0
Underwear,Triangle Shorts,614202,61,A,Cumulative Sales,Quantity,68,181.0
Underwear,Triangle Shorts,614202,61,A,Cumulative Sales,Tag Price Amount,68,12308.0
Underwear,Triangle Shorts,614202,61,A,Cumulative Sales,Sales Amount,68,8677.54
Underwear,Triangle Shorts,614202,61,A,Cumulative Sales,Discount,68,0.70503249918752
