perpetrator_type,perpetrator_number,perpetrator_sex,perpetrator_relationship,perpetrator_rank,harassment_behavior,percentage
,lone,,,,repeated pressure from the same person for dates or sexual relations,67.0
,lone,,,,unwelcome physical contact or getting too close,69.0
,two or more,,,,sexual jokes,29.0
,two or more,,,,unwanted sexual attention,25.0
,two or more,,,,inappropriate sexual comments,28.0
,two or more,,,,inappropriate discussion about sex life,38.0
,two or more,,,,"displaying, showing, or sending sexually explicit messages or materials",34.0
,two or more,,,,indecent exposure or inappropriate display of body parts,23.0
,two or more,,,,repeated pressure from the same person for dates or sexual relations,17.0
,two or more,,,,unwelcome physical contact or getting too close,17.0
,"varied - sometimes one person, other times multiple people",,,,sexual jokes,39.0
,"varied - sometimes one person, other times multiple people",,,,unwanted sexual attention,22.0
,"varied - sometimes one person, other times multiple people",,,,inappropriate sexual comments,26.0
,"varied - sometimes one person, other times multiple people",,,,inappropriate discussion about sex life,29.0
,"varied - sometimes one person, other times multiple people",,,,"displaying, showing, or sending sexually explicit messages or materials",24.0
,"varied - sometimes one person, other times multiple people",,,,indecent exposure or inappropriate display of body parts,17.0
,"varied - sometimes one person, other times multiple people",,,,repeated pressure from the same person for dates or sexual relations,11.0
,"varied - sometimes one person, other times multiple people",,,,unwelcome physical contact or getting too close,8.2
,don't know,,,,sexual jokes,14.0
,don't know,,,,unwanted sexual attention,5.9
,don't know,,,,inappropriate sexual comments,10.0
,don't know,,,,inappropriate discussion about sex life,10.0
,don't know,,,,unwelcome physical contact or getting too close,6.1
,,always men,,,sexual jokes,42.0
,,always men,,,unwanted sexual attention,75.0
,,always men,,,inappropriate sexual comments,62.0
,,always men,,,inappropriate discussion about sex life,50.0
,,always men,,,"displaying, showing, or sending sexually explicit messages or materials",63.0
,,always men,,,indecent exposure or inappropriate display of body parts,73.0
,,always men,,,repeated pressure from the same person for dates or sexual relations,80.0
,,always men,,,unwelcome physical contact or getting too close,74.0
,,always women,,,sexual jokes,3.4
,,always women,,,unwanted sexual attention,9.6
,,always women,,,inappropriate sexual comments,6.0
,,always women,,,inappropriate discussion about sex life,4.1
,,always women,,,repeated pressure from the same person for dates or sexual relations,9.0
,,always women,,,unwelcome physical contact or getting too close,13.0
,,combination of men and women,,,sexual jokes,54.0
,,combination of men and women,,,unwanted sexual attention,16.0
,,combination of men and women,,,inappropriate sexual comments,29.0
,,combination of men and women,,,inappropriate discussion about sex life,44.0
,,combination of men and women,,,"displaying, showing, or sending sexually explicit messages or materials",32.0
,,combination of men and women,,,indecent exposure or inappropriate display of body parts,22.0
,,combination of men and women,,,repeated pressure from the same person for dates or sexual relations,10.0
,,combination of men and women,,,unwelcome physical contact or getting too close,12.0
,,supervisor or higher rank,,,sexual jokes,52.0
,,supervisor or higher rank,,,unwanted sexual attention,50.0
,,supervisor or higher rank,,,inappropriate sexual comments,48.0
,,supervisor or higher rank,,,inappropriate discussion about sex life,50.0
,,supervisor or higher rank,,,"displaying, showing, or sending sexually explicit messages or materials",39.0
,,supervisor or higher rank,,,indecent exposure or inappropriate display of body parts,19.0
,,supervisor or higher rank,,,repeated pressure from the same person for dates or sexual relations,49.0
,,supervisor or higher rank,,,unwelcome physical contact or getting too close,48.0
,,,peer,,sexual jokes,80.0
,,,peer,,unwanted sexual attention,56.0
,,,peer,,inappropriate sexual comments,67.0
,,,peer,,inappropriate discussion about sex life,76.0
,,,peer,,"displaying, showing, or sending sexually explicit messages or materials",73.0
,,,peer,,indecent exposure or inappropriate display of body parts,71.0
,,,peer,,repeated pressure from the same person for dates or sexual relations,51.0
,,,peer,,unwelcome physical contact or getting too close,56.0
,,,subordinate - either in or outside chain of command,,sexual jokes,30.0
,,,subordinate - either in or outside chain of command,,unwanted sexual attention,20.0
,,,subordinate - either in or outside chain of command,,inappropriate sexual comments,22.0
,,,subordinate - either in or outside chain of command,,inappropriate discussion about sex life,28.0
,,,subordinate - either in or outside chain of command,,"displaying, showing, or sending sexually explicit messages or materials",25.0
,,,subordinate - either in or outside chain of command,,indecent exposure or inappropriate display of body parts,25.0
,,,subordinate - either in or outside chain of command,,repeated pressure from the same person for dates or sexual relations,17.0
,,,subordinate - either in or outside chain of command,,unwelcome physical contact or getting too close,17.0
,,,other,,sexual jokes,14.0
,,,other,,unwanted sexual attention,10.0
,,,other,,inappropriate sexual comments,8.9
,,,other,,inappropriate discussion about sex life,9.5
,,,other,,"displaying, showing, or sending sexually explicit messages or materials",8.4
,,,other,,repeated pressure from the same person for dates or sexual relations,9.4
,,,other,,unwelcome physical contact or getting too close,5.7
,,,don't know,,sexual jokes,3.9
,,,don't know,,unwanted sexual attention,8.9
,,,don't know,,inappropriate sexual comments,4.6
,,,don't know,,inappropriate discussion about sex life,4.7
,,,junior non-commissioned member,,sexual jokes,84.0
,,,junior non-commissioned member,,unwanted sexual attention,73.0
,,,junior non-commissioned member,,inappropriate sexual comments,79.0
,,,junior non-commissioned member,,inappropriate discussion about sex life,83.0
,,,junior non-commissioned member,,"displaying, showing, or sending sexually explicit messages or materials",91.0
,,,junior non-commissioned member,,indecent exposure or inappropriate display of body parts,93.0
,,,junior non-commissioned member,,repeated pressure from the same person for dates or sexual relations,77.0
,,,junior non-commissioned member,,unwelcome physical contact or getting too close,69.0
,,,,senior non-commissioned member,sexual jokes,49.0
,,,,senior non-commissioned member,unwanted sexual attention,39.0
,,,,senior non-commissioned member,inappropriate sexual comments,39.0
,,,,senior non-commissioned member,inappropriate discussion about sex life,39.0
,,,,senior non-commissioned member,"displaying, showing, or sending sexually explicit messages or materials",32.0
,,,,senior non-commissioned member,indecent exposure or inappropriate display of body parts,12.0
,,,,senior non-commissioned member,repeated pressure from the same person for dates or sexual relations,24.0
,,,,senior non-commissioned member,unwelcome physical contact or getting too close,26.0
,,,,junior officer,sexual jokes,29.0
,,,,junior officer,unwanted sexual attention,20.0
,,,,junior officer,inappropriate sexual comments,20.0
,,,,junior officer,inappropriate discussion about sex life,25.0
,,,,junior officer,"displaying, showing, or sending sexually explicit messages or materials",17.0
,,,,junior officer,indecent exposure or inappropriate display of body parts,11.0
,,,,junior officer,repeated pressure from the same person for dates or sexual relations,18.0
,,,,junior officer,unwelcome physical contact or getting too close,14.0
,,,,senior officer,sexual jokes,13.0
,,,,senior officer,unwanted sexual attention,11.0
,,,,senior officer,inappropriate sexual comments,7.3
,,,,senior officer,inappropriate discussion about sex life,11.0
,,,,senior officer,"displaying, showing, or sending sexually explicit messages or materials",7.1
,,,,senior officer,repeated pressure from the same person for dates or sexual relations,6.3
,,,,senior officer,unwelcome physical contact or getting too close,9.3
,,,,other,sexual jokes,5.4
,,,,other,inappropriate sexual comments,4.5
,,,,other,inappropriate discussion about sex life,4.3
,,,,don't know,sexual jokes,3.0
