country,gender,applicant_role,demographic_segment,percentage
cameroon,women,total,segment_2,9.1
cameroon,women,total,segment_3,0.7
nigeria,women,principal applicants,N/A,21.3
nigeria,women,secondary applicants,N/A,40.7
nigeria,women,total,N/A,62.1
nigeria,women,total,segment_1,19.0
nigeria,women,total,segment_2,17.1
nigeria,women,total,segment_3,1.9
ghana,women,principal applicants,N/A,12.1
ghana,women,secondary applicants,N/A,14.8
ghana,women,total,N/A,26.9
ghana,women,total,segment_1,52.0
ghana,women,total,segment_2,18.5
ghana,women,total,segment_3,2.7
cote d'ivoire,women,principal applicants,N/A,29.9
cote d'ivoire,women,secondary applicants,N/A,33.2
cote d'ivoire,women,total,N/A,63.0
cote d'ivoire,women,total,segment_1,28.7
cote d'ivoire,women,total,segment_2,7.5
cote d'ivoire,women,total,segment_3,0.8
senegal,women,principal applicants,N/A,35.3
senegal,women,secondary applicants,N/A,20.7
senegal,women,total,N/A,56.0
senegal,women,total,segment_1,36.7
senegal,women,total,segment_2,6.5
senegal,women,total,segment_3,0.9
guinea,women,principal applicants,N/A,15.5
guinea,women,secondary applicants,N/A,15.8
guinea,women,total,N/A,31.3
guinea,women,total,segment_1,34.1
guinea,women,total,segment_2,32.0
guinea,women,total,segment_3,2.7
other countries,women,principal applicants,N/A,21.7
other countries,women,secondary applicants,N/A,18.2
other countries,women,total,N/A,39.9
other countries,women,total,segment_1,24.3
other countries,women,total,segment_2,33.7
other countries,women,total,segment_3,2.1
ethiopia,men,principal applicants,N/A,6.7
ethiopia,men,secondary applicants,N/A,0.5
ethiopia,men,total,N/A,7.2
ethiopia,men,total,segment_1,19.7
ethiopia,men,total,segment_2,72.8
ethiopia,men,total,segment_3,0.4
somalia,men,principal applicants,N/A,3.4
somalia,men,secondary applicants,N/A,0.1
somalia,men,total,N/A,3.5
somalia,men,total,segment_1,11.9
somalia,men,total,segment_2,83.6
somalia,men,total,segment_3,1.0
eritrea,men,principal applicants,N/A,1.8
eritrea,men,secondary applicants,N/A,0.1
eritrea,men,total,N/A,1.9
eritrea,men,total,segment_1,8.8
eritrea,men,total,segment_2,89.2
eritrea,men,total,segment_3,0.0
sudan,men,principal applicants,N/A,6.3
sudan,men,secondary applicants,N/A,1.2
sudan,men,total,N/A,7.6
sudan,men,total,segment_1,4.3
sudan,men,total,segment_2,88.1
sudan,men,total,segment_3,0.0
south sudan,men,principal applicants,N/A,1.7
south sudan,men,secondary applicants,N/A,0.0
south sudan,men,total,N/A,1.7
south sudan,men,total,segment_1,3.5
south sudan,men,total,segment_2,94.8
south sudan,men,total,segment_3,0.0
burundi,men,principal applicants,N/A,15.2
burundi,men,secondary applicants,N/A,1.3
burundi,men,total,N/A,16.5
burundi,men,total,segment_1,8.2
burundi,men,total,segment_2,70.0
burundi,men,total,segment_3,5.4
kenya,men,principal applicants,N/A,45.0
kenya,men,secondary applicants,N/A,9.5
kenya,men,total,N/A,54.6
kenya,men,total,segment_1,22.2
kenya,men,total,segment_2,18.9
kenya,men,total,segment_3,4.4
zimbabwe,men,principal applicants,N/A,15.4
zimbabwe,men,secondary applicants,N/A,3.7
zimbabwe,men,total,N/A,19.1
zimbabwe,men,total,segment_1,11.1
zimbabwe,men,total,segment_2,60.3
zimbabwe,men,total,segment_3,9.5
rwanda,men,principal applicants,N/A,12.8
rwanda,men,secondary applicants,N/A,1.4
rwanda,men,total,N/A,14.2
rwanda,men,total,segment_1,9.9
rwanda,men,total,segment_2,71.6
rwanda,men,total,segment_3,4.4
democratic republic of the congo,men,principal applicants,N/A,12.3
democratic republic of the congo,men,secondary applicants,N/A,1.8
democratic republic of the congo,men,total,N/A,14.1
democratic republic of the congo,men,total,segment_1,10.2
democratic republic of the congo,men,total,segment_2,69.6
democratic republic of the congo,men,total,segment_3,6.1
cameroon,men,principal applicants,N/A,71.4
cameroon,men,secondary applicants,N/A,9.5
cameroon,men,total,N/A,81.0
cameroon,men,total,segment_1,11.2
cameroon,men,total,segment_2,7.5
cameroon,men,total,segment_3,0.3
nigeria,men,principal applicants,N/A,51.2
nigeria,men,secondary applicants,N/A,12.0
nigeria,men,total,N/A,63.3
nigeria,men,total,segment_1,21.2
nigeria,men,total,segment_2,13.5
nigeria,men,total,segment_3,2.0
ghana,men,principal applicants,N/A,28.5
ghana,men,secondary applicants,N/A,4.2
ghana,men,total,N/A,32.7
ghana,men,total,segment_1,42.1
ghana,men,total,segment_2,21.8
ghana,men,total,segment_3,3.3
cote d'ivoire,men,principal applicants,N/A,72.2
cote d'ivoire,men,secondary applicants,N/A,8.2
cote d'ivoire,men,total,N/A,80.4
cote d'ivoire,men,total,segment_1,12.5
cote d'ivoire,men,total,segment_2,6.3
cote d'ivoire,men,total,segment_3,0.9
senegal,men,principal applicants,N/A,67.5
senegal,men,secondary applicants,N/A,6.2
senegal,men,total,N/A,73.7
senegal,men,total,segment_1,21.2
senegal,men,total,segment_2,4.9
senegal,men,total,segment_3,0.2
guinea,men,principal applicants,N/A,50.5
guinea,men,secondary applicants,N/A,2.7
guinea,men,total,N/A,53.2
guinea,men,total,segment_1,21.4
guinea,men,total,segment_2,22.6
guinea,men,total,segment_3,2.8
other countries,men,principal applicants,N/A,45.2
other countries,men,secondary applicants,N/A,5.5
other countries,men,total,N/A,50.7
other countries,men,total,segment_1,17.1
other countries,men,total,segment_2,30.0
other countries,men,total,segment_3,2.1
