year_range,conference,division,finish,phase,metric,value
1978-79,campbell,patrick,2nd,playoffs,gp,8
1978-79,campbell,patrick,2nd,playoffs,w,3
1978-79,campbell,patrick,2nd,playoffs,l,5
1978-79,campbell,patrick,2nd,playoffs,gf,23
1978-79,campbell,patrick,2nd,playoffs,ga,37
1979-80,campbell,patrick,1st,regular_season,gp,80
1979-80,campbell,patrick,1st,regular_season,w,48
1979-80,campbell,patrick,1st,regular_season,l,12
1979-80,campbell,patrick,1st,regular_season,t,20
1979-80,campbell,patrick,1st,regular_season,ot,
1979-80,campbell,patrick,1st,playoffs,gf,327
1979-80,campbell,patrick,1st,playoffs,ga,254
1979-80,campbell,patrick,1st,playoffs,gp,19
1979-80,campbell,patrick,1st,playoffs,w,13
1979-80,campbell,patrick,1st,playoffs,l,6
1979-80,campbell,patrick,1st,playoffs,gf,78
1979-80,campbell,patrick,1st,playoffs,ga,53
1980-81,campbell,patrick,2nd,regular_season,gp,80
1980-81,campbell,patrick,2nd,regular_season,w,41
1980-81,campbell,patrick,2nd,regular_season,l,24
1980-81,campbell,patrick,2nd,regular_season,t,15
1980-81,campbell,patrick,2nd,regular_season,ot,
1980-81,campbell,patrick,2nd,playoffs,gf,313
1980-81,campbell,patrick,2nd,playoffs,ga,249
1980-81,campbell,patrick,2nd,playoffs,gp,12
1980-81,campbell,patrick,2nd,playoffs,w,6
1980-81,campbell,patrick,2nd,playoffs,l,6
1980-81,campbell,patrick,2nd,playoffs,gf,48
1980-81,campbell,patrick,2nd,playoffs,ga,39
1981-82,wales,patrick,3rd,regular_season,gp,80
1981-82,wales,patrick,3rd,regular_season,w,38
1981-82,wales,patrick,3rd,regular_season,l,31
1981-82,wales,patrick,3rd,regular_season,t,11
1981-82,wales,patrick,3rd,regular_season,ot,
1981-82,wales,patrick,3rd,playoffs,gf,325
1981-82,wales,patrick,3rd,playoffs,ga,313
1981-82,wales,patrick,3rd,playoffs,gp,4
1981-82,wales,patrick,3rd,playoffs,w,1
1981-82,wales,patrick,3rd,playoffs,l,3
1981-82,wales,patrick,3rd,playoffs,gf,15
1981-82,wales,patrick,3rd,playoffs,ga,19
1982-83,wales,patrick,1st,regular_season,gp,80
1982-83,wales,patrick,1st,regular_season,w,49
1982-83,wales,patrick,1st,regular_season,l,23
1982-83,wales,patrick,1st,regular_season,t,8
1982-83,wales,patrick,1st,regular_season,ot,
1982-83,wales,patrick,1st,playoffs,gf,326
1982-83,wales,patrick,1st,playoffs,ga,240
1982-83,wales,patrick,1st,playoffs,gp,3
1982-83,wales,patrick,1st,playoffs,w,0
1982-83,wales,patrick,1st,playoffs,l,3
1982-83,wales,patrick,1st,playoffs,gf,9
1982-83,wales,patrick,1st,playoffs,ga,18
1983-84,wales,patrick,3rd,regular_season,gp,80
1983-84,wales,patrick,3rd,regular_season,w,44
1983-84,wales,patrick,3rd,regular_season,l,26
1983-84,wales,patrick,3rd,regular_season,t,10
1983-84,wales,patrick,3rd,regular_season,ot,
1983-84,wales,patrick,3rd,playoffs,gf,350
1983-84,wales,patrick,3rd,playoffs,ga,290
1983-84,wales,patrick,3rd,playoffs,gp,3
1983-84,wales,patrick,3rd,playoffs,w,0
1983-84,wales,patrick,3rd,playoffs,l,3
1983-84,wales,patrick,3rd,playoffs,gf,5
1983-84,wales,patrick,3rd,playoffs,ga,15
1984-85,wales,patrick,1st,regular_season,gp,80
1984-85,wales,patrick,1st,regular_season,w,53
1984-85,wales,patrick,1st,regular_season,l,20
1984-85,wales,patrick,1st,regular_season,t,7
1984-85,wales,patrick,1st,regular_season,ot,
1984-85,wales,patrick,1st,playoffs,gf,348
1984-85,wales,patrick,1st,playoffs,ga,241
1984-85,wales,patrick,1st,playoffs,gp,19
1984-85,wales,patrick,1st,playoffs,w,12
1984-85,wales,patrick,1st,playoffs,l,7
1984-85,wales,patrick,1st,playoffs,gf,60
1984-85,wales,patrick,1st,playoffs,ga,54
1985-86,wales,patrick,1st,regular_season,gp,80
1985-86,wales,patrick,1st,regular_season,w,53
1985-86,wales,patrick,1st,regular_season,l,23
1985-86,wales,patrick,1st,regular_season,t,4
1985-86,wales,patrick,1st,regular_season,ot,
1985-86,wales,patrick,1st,playoffs,gf,335
1985-86,wales,patrick,1st,playoffs,ga,241
1985-86,wales,patrick,1st,playoffs,gp,5
1985-86,wales,patrick,1st,playoffs,w,2
1985-86,wales,patrick,1st,playoffs,l,3
1985-86,wales,patrick,1st,playoffs,gf,15
1985-86,wales,patrick,1st,playoffs,ga,18
1986-87,wales,patrick,1st,regular_season,gp,80
1986-87,wales,patrick,1st,regular_season,w,46
1986-87,wales,patrick,1st,regular_season,l,26
1986-87,wales,patrick,1st,regular_season,t,8
1986-87,wales,patrick,1st,regular_season,ot,
1986-87,wales,patrick,1st,playoffs,gf,310
1986-87,wales,patrick,1st,playoffs,ga,245
1986-87,wales,patrick,1st,playoffs,gp,26
1986-87,wales,patrick,1st,playoffs,w,15
1986-87,wales,patrick,1st,playoffs,l,11
1986-87,wales,patrick,1st,playoffs,gf,85
1986-87,wales,patrick,1st,playoffs,ga,73
1987-88,wales,patrick,3rd,regular_season,gp,80
1987-88,wales,patrick,3rd,regular_season,w,38
1987-88,wales,patrick,3rd,regular_season,l,33
1987-88,wales,patrick,3rd,regular_season,t,9
1987-88,wales,patrick,3rd,regular_season,ot,
1987-88,wales,patrick,3rd,playoffs,gf,292
1987-88,wales,patrick,3rd,playoffs,ga,292
1987-88,wales,patrick,3rd,playoffs,gp,7
1987-88,wales,patrick,3rd,playoffs,w,3
1987-88,wales,patrick,3rd,playoffs,l,4
1987-88,wales,patrick,3rd,playoffs,gf,25
1987-88,wales,patrick,3rd,playoffs,ga,31
1988-89,wales,patrick,4th,regular_season,gp,80
1988-89,wales,patrick,4th,regular_season,w,36
1988-89,wales,patrick,4th,regular_season,l,36
1988-89,wales,patrick,4th,regular_season,t,8
1988-89,wales,patrick,4th,regular_season,ot,
1988-89,wales,patrick,4th,playoffs,gf,307
1988-89,wales,patrick,4th,playoffs,ga,285
1988-89,wales,patrick,4th,playoffs,gp,19
1988-89,wales,patrick,4th,playoffs,w,10
1988-89,wales,patrick,4th,playoffs,l,9
1988-89,wales,patrick,4th,playoffs,gf,64
1988-89,wales,patrick,4th,playoffs,ga,60
1989-90,wales,patrick,6th,regular_season,gp,80
1989-90,wales,patrick,6th,regular_season,w,30
1989-90,wales,patrick,6th,regular_season,l,39
1989-90,wales,patrick,6th,regular_season,t,11
1989-90,wales,patrick,6th,regular_season,ot,
1989-90,wales,patrick,6th,playoffs,gf,290
1989-90,wales,patrick,6th,playoffs,ga,297
1989-90,wales,patrick,6th,playoffs,gp,
1989-90,wales,patrick,6th,playoffs,w,
1989-90,wales,patrick,6th,playoffs,l,
1989-90,wales,patrick,6th,playoffs,gf,
1989-90,wales,patrick,6th,playoffs,ga,
1990-91,wales,patrick,5th,regular_season,gp,80
1990-91,wales,patrick,5th,regular_season,w,33
1990-91,wales,patrick,5th,regular_season,l,37
1990-91,wales,patrick,5th,regular_season,t,10
1990-91,wales,patrick,5th,regular_season,ot,
1990-91,wales,patrick,5th,playoffs,gf,252
1990-91,wales,patrick,5th,playoffs,ga,267
1990-91,wales,patrick,5th,playoffs,gp,
1990-91,wales,patrick,5th,playoffs,w,
1990-91,wales,patrick,5th,playoffs,l,
1990-91,wales,patrick,5th,playoffs,gf,
1990-91,wales,patrick,5th,playoffs,ga,
1991-92,wales,patrick,6th,regular_season,gp,80
1991-92,wales,patrick,6th,regular_season,w,32
1991-92,wales,patrick,6th,regular_season,l,37
1991-92,wales,patrick,6th,regular_season,t,11
1991-92,wales,patrick,6th,regular_season,ot,
1991-92,wales,patrick,6th,playoffs,gf,252
1991-92,wales,patrick,6th,playoffs,ga,273
1991-92,wales,patrick,6th,playoffs,gp,
1991-92,wales,patrick,6th,playoffs,w,
1991-92,wales,patrick,6th,playoffs,l,
1991-92,wales,patrick,6th,playoffs,gf,
1991-92,wales,patrick,6th,playoffs,ga,
1992-93,wales,patrick,5th,regular_season,gp,84
1992-93,wales,patrick,5th,regular_season,w,36
1992-93,wales,patrick,5th,regular_season,l,37
1992-93,wales,patrick,5th,regular_season,t,11
1992-93,wales,patrick,5th,regular_season,ot,
1992-93,wales,patrick,5th,playoffs,gf,319
1992-93,wales,patrick,5th,playoffs,ga,319
1992-93,wales,patrick,5th,playoffs,gp,
1992-93,wales,patrick,5th,playoffs,w,
1992-93,wales,patrick,5th,playoffs,l,
1992-93,wales,patrick,5th,playoffs,gf,
1992-93,wales,patrick,5th,playoffs,ga,
1993-94,eastern,atlantic,6th,regular_season,gp,84
1993-94,eastern,atlantic,6th,regular_season,w,35
1993-94,eastern,atlantic,6th,regular_season,l,39
1993-94,eastern,atlantic,6th,regular_season,t,10
1993-94,eastern,atlantic,6th,regular_season,ot,
1993-94,eastern,atlantic,6th,playoffs,gf,294
1993-94,eastern,atlantic,6th,playoffs,ga,314
1993-94,eastern,atlantic,6th,playoffs,gp,
1993-94,eastern,atlantic,6th,playoffs,w,
1993-94,eastern,atlantic,6th,playoffs,l,
1993-94,eastern,atlantic,6th,playoffs,gf,
1993-94,eastern,atlantic,6th,playoffs,ga,
1994-95,eastern,atlantic,1st,regular_season,gp,48
1994-95,eastern,atlantic,1st,regular_season,w,28
1994-95,eastern,atlantic,1st,regular_season,l,16
1994-95,eastern,atlantic,1st,regular_season,t,4
1994-95,eastern,atlantic,1st,regular_season,ot,
1994-95,eastern,atlantic,1st,playoffs,gf,150
1994-95,eastern,atlantic,1st,playoffs,ga,132
1994-95,eastern,atlantic,1st,playoffs,gp,15
1994-95,eastern,atlantic,1st,playoffs,w,10
1994-95,eastern,atlantic,1st,playoffs,l,5
1994-95,eastern,atlantic,1st,playoffs,gf,50
1994-95,eastern,atlantic,1st,playoffs,ga,43
1995-96,eastern,atlantic,1st,regular_season,gp,82
1995-96,eastern,atlantic,1st,regular_season,w,45
1995-96,eastern,atlantic,1st,regular_season,l,24
1995-96,eastern,atlantic,1st,regular_season,t,13
1995-96,eastern,atlantic,1st,regular_season,ot,
1995-96,eastern,atlantic,1st,playoffs,gf,282
1995-96,eastern,atlantic,1st,playoffs,ga,208
1995-96,eastern,atlantic,1st,playoffs,gp,12
1995-96,eastern,atlantic,1st,playoffs,w,6
1995-96,eastern,atlantic,1st,playoffs,l,6
1995-96,eastern,atlantic,1st,playoffs,gf,37
1995-96,eastern,atlantic,1st,playoffs,ga,28
1996-97,eastern,atlantic,2nd,regular_season,gp,82
1996-97,eastern,atlantic,2nd,regular_season,w,45
1996-97,eastern,atlantic,2nd,regular_season,l,24
1996-97,eastern,atlantic,2nd,regular_season,t,13
1996-97,eastern,atlantic,2nd,regular_season,ot,
1996-97,eastern,atlantic,2nd,playoffs,gf,274
1996-97,eastern,atlantic,2nd,playoffs,ga,217
1996-97,eastern,atlantic,2nd,playoffs,gp,19
1996-97,eastern,atlantic,2nd,playoffs,w,12
1996-97,eastern,atlantic,2nd,playoffs,l,7
1996-97,eastern,atlantic,2nd,playoffs,gf,67
1996-97,eastern,atlantic,2nd,playoffs,ga,49
1997-98,eastern,atlantic,2nd,regular_season,gp,82
1997-98,eastern,atlantic,2nd,regular_season,w,42
1997-98,eastern,atlantic,2nd,regular_season,l,29
1997-98,eastern,atlantic,2nd,regular_season,t,11
1997-98,eastern,atlantic,2nd,regular_season,ot,
1997-98,eastern,atlantic,2nd,playoffs,gf,242
1997-98,eastern,atlantic,2nd,playoffs,ga,193
1997-98,eastern,atlantic,2nd,playoffs,gp,5
1997-98,eastern,atlantic,2nd,playoffs,w,1
1997-98,eastern,atlantic,2nd,playoffs,l,4
1997-98,eastern,atlantic,2nd,playoffs,gf,9
1997-98,eastern,atlantic,2nd,playoffs,ga,18
1998-99,eastern,atlantic,2nd,regular_season,gp,82
1998-99,eastern,atlantic,2nd,regular_season,w,37
1998-99,eastern,atlantic,2nd,regular_season,l,26
1998-99,eastern,atlantic,2nd,regular_season,t,19
1998-99,eastern,atlantic,2nd,regular_season,ot,
1998-99,eastern,atlantic,2nd,playoffs,gf,231
1998-99,eastern,atlantic,2nd,playoffs,ga,196
1998-99,eastern,atlantic,2nd,playoffs,gp,6
1998-99,eastern,atlantic,2nd,playoffs,w,2
1998-99,eastern,atlantic,2nd,playoffs,l,4
1998-99,eastern,atlantic,2nd,playoffs,gf,11
1998-99,eastern,atlantic,2nd,playoffs,ga,9
1999-2000,eastern,atlantic,1st,regular_season,gp,82
1999-2000,eastern,atlantic,1st,regular_season,w,45
1999-2000,eastern,atlantic,1st,regular_season,l,22
1999-2000,eastern,atlantic,1st,regular_season,t,12
1999-2000,eastern,atlantic,1st,regular_season,ot,3
1999-2000,eastern,atlantic,1st,playoffs,gf,237
1999-2000,eastern,atlantic,1st,playoffs,ga,179
1999-2000,eastern,atlantic,1st,playoffs,gp,18
1999-2000,eastern,atlantic,1st,playoffs,w,11
1999-2000,eastern,atlantic,1st,playoffs,l,7
1999-2000,eastern,atlantic,1st,playoffs,gf,44
1999-2000,eastern,atlantic,1st,playoffs,ga,40
2000-01,eastern,atlantic,2nd,regular_season,gp,82
2000-01,eastern,atlantic,2nd,regular_season,w,43
2000-01,eastern,atlantic,2nd,regular_season,l,25
2000-01,eastern,atlantic,2nd,regular_season,t,11
2000-01,eastern,atlantic,2nd,regular_season,ot,3
2000-01,eastern,atlantic,2nd,playoffs,gf,240
2000-01,eastern,atlantic,2nd,playoffs,ga,207
2000-01,eastern,atlantic,2nd,playoffs,gp,6
2000-01,eastern,atlantic,2nd,playoffs,w,2
2000-01,eastern,atlantic,2nd,playoffs,l,4
2000-01,eastern,atlantic,2nd,playoffs,gf,13
2000-01,eastern,atlantic,2nd,playoffs,ga,21
2001-02,eastern,atlantic,1st,regular_season,gp,82
2001-02,eastern,atlantic,1st,regular_season,w,42
2001-02,eastern,atlantic,1st,regular_season,l,27
2001-02,eastern,atlantic,1st,regular_season,t,10
2001-02,eastern,atlantic,1st,regular_season,ot,3
2001-02,eastern,atlantic,1st,playoffs,gf,234
2001-02,eastern,atlantic,1st,playoffs,ga,192
2001-02,eastern,atlantic,1st,playoffs,gp,5
2001-02,eastern,atlantic,1st,playoffs,w,1
2001-02,eastern,atlantic,1st,playoffs,l,4
2001-02,eastern,atlantic,1st,playoffs,gf,2
2001-02,eastern,atlantic,1st,playoffs,ga,11
2002-03,eastern,atlantic,2nd,regular_season,gp,82
2002-03,eastern,atlantic,2nd,regular_season,w,45
2002-03,eastern,atlantic,2nd,regular_season,l,20
2002-03,eastern,atlantic,2nd,regular_season,t,13
2002-03,eastern,atlantic,2nd,regular_season,ot,4
2002-03,eastern,atlantic,2nd,playoffs,gf,211
2002-03,eastern,atlantic,2nd,playoffs,ga,166
2002-03,eastern,atlantic,2nd,playoffs,gp,13
2002-03,eastern,atlantic,2nd,playoffs,w,6
2002-03,eastern,atlantic,2nd,playoffs,l,7
2002-03,eastern,atlantic,2nd,playoffs,gf,34
2002-03,eastern,atlantic,2nd,playoffs,ga,33
2003-04,eastern,atlantic,1st,regular_season,gp,82
2003-04,eastern,atlantic,1st,regular_season,w,40
2003-04,eastern,atlantic,1st,regular_season,l,21
2003-04,eastern,atlantic,1st,regular_season,t,15
2003-04,eastern,atlantic,1st,regular_season,ot,6
2003-04,eastern,atlantic,1st,playoffs,gf,229
2003-04,eastern,atlantic,1st,playoffs,ga,186
2003-04,eastern,atlantic,1st,playoffs,gp,18
2003-04,eastern,atlantic,1st,playoffs,w,11
2003-04,eastern,atlantic,1st,playoffs,l,7
2003-04,eastern,atlantic,1st,playoffs,gf,50
2003-04,eastern,atlantic,1st,playoffs,ga,43
2004-05,eastern,atlantic,-,regular_season,gp,
2004-05,eastern,atlantic,-,regular_season,w,
2004-05,eastern,atlantic,-,regular_season,l,
2004-05,eastern,atlantic,-,regular_season,t,
2004-05,eastern,atlantic,-,regular_season,ot,
2004-05,eastern,atlantic,-,playoffs,gf,
2004-05,eastern,atlantic,-,playoffs,ga,
2004-05,eastern,atlantic,-,playoffs,gp,
2004-05,eastern,atlantic,-,playoffs,w,
2004-05,eastern,atlantic,-,playoffs,l,
2004-05,eastern,atlantic,-,playoffs,gf,
2004-05,eastern,atlantic,-,playoffs,ga,
2005-06,eastern,atlantic,2nd,regular_season,gp,82
2005-06,eastern,atlantic,2nd,regular_season,w,45
2005-06,eastern,atlantic,2nd,regular_season,l,26
2005-06,eastern,atlantic,2nd,regular_season,t,
2005-06,eastern,atlantic,2nd,regular_season,ot,11
2005-06,eastern,atlantic,2nd,playoffs,gf,267
2005-06,eastern,atlantic,2nd,playoffs,ga,259
2005-06,eastern,atlantic,2nd,playoffs,gp,6
2005-06,eastern,atlantic,2nd,playoffs,w,2
2005-06,eastern,atlantic,2nd,playoffs,l,4
2005-06,eastern,atlantic,2nd,playoffs,gf,14
2005-06,eastern,atlantic,2nd,playoffs,ga,27
2006-07,eastern,atlantic,5th,regular_season,gp,82
2006-07,eastern,atlantic,5th,regular_season,w,22
2006-07,eastern,atlantic,5th,regular_season,l,48
2006-07,eastern,atlantic,5th,regular_season,t,
2006-07,eastern,atlantic,5th,regular_season,ot,12
2006-07,eastern,atlantic,5th,playoffs,gf,214
2006-07,eastern,atlantic,5th,playoffs,ga,303
2006-07,eastern,atlantic,5th,playoffs,gp,
2006-07,eastern,atlantic,5th,playoffs,w,
2006-07,eastern,atlantic,5th,playoffs,l,
2006-07,eastern,atlantic,5th,playoffs,gf,
2006-07,eastern,atlantic,5th,playoffs,ga,
2007-08,eastern,atlantic,4th,regular_season,gp,82
2007-08,eastern,atlantic,4th,regular_season,w,42
2007-08,eastern,atlantic,4th,regular_season,l,29
2007-08,eastern,atlantic,4th,regular_season,t,
2007-08,eastern,atlantic,4th,regular_season,ot,11
2007-08,eastern,atlantic,4th,playoffs,gf,248
2007-08,eastern,atlantic,4th,playoffs,ga,233
2007-08,eastern,atlantic,4th,playoffs,gp,17
2007-08,eastern,atlantic,4th,playoffs,w,9
2007-08,eastern,atlantic,4th,playoffs,l,8
2007-08,eastern,atlantic,4th,playoffs,gf,52
2007-08,eastern,atlantic,4th,playoffs,ga,52
2008-09,eastern,atlantic,3rd,regular_season,gp,82
2008-09,eastern,atlantic,3rd,regular_season,w,44
2008-09,eastern,atlantic,3rd,regular_season,l,27
2008-09,eastern,atlantic,3rd,regular_season,t,
2008-09,eastern,atlantic,3rd,regular_season,ot,11
2008-09,eastern,atlantic,3rd,playoffs,gf,264
2008-09,eastern,atlantic,3rd,playoffs,ga,238
2008-09,eastern,atlantic,3rd,playoffs,gp,6
2008-09,eastern,atlantic,3rd,playoffs,w,2
2008-09,eastern,atlantic,3rd,playoffs,l,4
2008-09,eastern,atlantic,3rd,playoffs,gf,16
2008-09,eastern,atlantic,3rd,playoffs,ga,16
2009-10,eastern,atlantic,3rd,regular_season,gp,82
2009-10,eastern,atlantic,3rd,regular_season,w,41
2009-10,eastern,atlantic,3rd,regular_season,l,35
2009-10,eastern,atlantic,3rd,regular_season,t,
2009-10,eastern,atlantic,3rd,regular_season,ot,6
2009-10,eastern,atlantic,3rd,playoffs,gf,235
2009-10,eastern,atlantic,3rd,playoffs,ga,225
2009-10,eastern,atlantic,3rd,playoffs,gp,23
2009-10,eastern,atlantic,3rd,playoffs,w,14
2009-10,eastern,atlantic,3rd,playoffs,l,9
2009-10,eastern,atlantic,3rd,playoffs,gf,76
2009-10,eastern,atlantic,3rd,playoffs,ga,61
2010-11,eastern,atlantic,1st,regular_season,gp,82
2010-11,eastern,atlantic,1st,regular_season,w,47
2010-11,eastern,atlantic,1st,regular_season,l,23
2010-11,eastern,atlantic,1st,regular_season,t,
2010-11,eastern,atlantic,1st,regular_season,ot,12
2010-11,eastern,atlantic,1st,playoffs,gf,259
2010-11,eastern,atlantic,1st,playoffs,ga,223
2010-11,eastern,atlantic,1st,playoffs,gp,11
2010-11,eastern,atlantic,1st,playoffs,w,4
2010-11,eastern,atlantic,1st,playoffs,l,7
2010-11,eastern,atlantic,1st,playoffs,gf,29
2010-11,eastern,atlantic,1st,playoffs,ga,38
2011-12,eastern,atlantic,3rd,regular_season,gp,82
2011-12,eastern,atlantic,3rd,regular_season,w,47
2011-12,eastern,atlantic,3rd,regular_season,l,26
2011-12,eastern,atlantic,3rd,regular_season,t,
2011-12,eastern,atlantic,3rd,regular_season,ot,9
2011-12,eastern,atlantic,3rd,playoffs,gf,264
2011-12,eastern,atlantic,3rd,playoffs,ga,232
2011-12,eastern,atlantic,3rd,playoffs,gp,11
2011-12,eastern,atlantic,3rd,playoffs,w,5
2011-12,eastern,atlantic,3rd,playoffs,l,6
2011-12,eastern,atlantic,3rd,playoffs,gf,41
2011-12,eastern,atlantic,3rd,playoffs,ga,44
2012-13,eastern,atlantic,4th,regular_season,gp,48
2012-13,eastern,atlantic,4th,regular_season,w,23
2012-13,eastern,atlantic,4th,regular_season,l,22
