age_group,education_level,marital_status,sex,count
42,Total,Unmarried,Male,53402
42,Total,Unmarried,Female,18831
42,Total,With Spouse,Male,848104
42,Total,With Spouse,Female,833585
42,Total,Divorced,Male,42810
42,Total,Divorced,Female,35945
42,Total,Widowed,Male,2583
42,Total,Widowed,Female,8388
43,Total,Unmarried,Male,48739
43,Total,Unmarried,Female,16123
43,Total,With Spouse,Male,814976
43,Total,With Spouse,Female,796056
43,Total,Divorced,Male,41368
43,Total,Divorced,Female,34913
43,Total,Widowed,Male,3050
43,Total,Widowed,Female,9087
44,Total,Unmarried,Male,50664
44,Total,Unmarried,Female,15717
44,Total,With Spouse,Male,908747
44,Total,With Spouse,Female,885965
44,Total,Divorced,Male,44586
44,Total,Divorced,Female,37742
44,Total,Widowed,Male,3825
44,Total,Widowed,Female,11674
45,Total,Unmarried,Male,50714
45,Total,Unmarried,Female,14723
45,Total,With Spouse,Male,929386
45,Total,With Spouse,Female,909973
45,Total,Divorced,Male,44972
45,Total,Divorced,Female,38567
45,Total,Widowed,Male,4486
45,Total,Widowed,Female,13891
46,Total,Unmarried,Male,52876
46,Total,Unmarried,Female,14677
46,Total,With Spouse,Male,1017868
46,Total,With Spouse,Female,1000834
46,Total,Divorced,Male,47541
46,Total,Divorced,Female,40793
46,Total,Widowed,Male,5664
46,Total,Widowed,Female,17241
47,Total,Unmarried,Male,52252
47,Total,Unmarried,Female,14528
47,Total,With Spouse,Male,1069195
47,Total,With Spouse,Female,1043930
47,Total,Divorced,Male,48282
47,Total,Divorced,Female,42611
47,Total,Widowed,Male,6769
47,Total,Widowed,Female,20483
48,Total,Unmarried,Male,50710
48,Total,Unmarried,Female,13056
48,Total,With Spouse,Male,1095793
48,Total,With Spouse,Female,1072910
48,Total,Divorced,Male,48015
48,Total,Divorced,Female,42466
48,Total,Widowed,Male,8026
48,Total,Widowed,Female,23860
49,Total,Unmarried,Male,50027
49,Total,Unmarried,Female,12316
49,Total,With Spouse,Male,1134544
49,Total,With Spouse,Female,1104314
49,Total,Divorced,Male,48112
49,Total,Divorced,Female,42658
49,Total,Widowed,Male,9223
49,Total,Widowed,Female,27993
50,Total,Unmarried,Male,48963
50,Total,Unmarried,Female,11363
50,Total,With Spouse,Male,1188439
50,Total,With Spouse,Female,1176457
50,Total,Divorced,Male,49029
50,Total,Divorced,Female,43815
50,Total,Widowed,Male,11599
50,Total,Widowed,Female,35164
51,Total,Unmarried,Male,43248
51,Total,Unmarried,Female,8864
51,Total,With Spouse,Male,1115599
51,Total,With Spouse,Female,1100599
51,Total,Divorced,Male,44333
51,Total,Divorced,Female,39759
51,Total,Widowed,Male,13419
51,Total,Widowed,Female,39138
52,Total,Unmarried,Male,43237
52,Total,Unmarried,Female,8653
52,Total,With Spouse,Male,1194062
52,Total,With Spouse,Female,1179980
52,Total,Divorced,Male,45225
52,Total,Divorced,Female,39886
52,Total,Widowed,Male,16322
52,Total,Widowed,Female,48156
53,Total,Unmarried,Male,33931
53,Total,Unmarried,Female,6058
53,Total,With Spouse,Male,951928
53,Total,With Spouse,Female,945172
53,Total,Divorced,Male,33403
53,Total,Divorced,Female,28676
53,Total,Widowed,Male,15174
53,Total,Widowed,Female,45104
54,Total,Unmarried,Male,36767
54,Total,Unmarried,Female,6088
54,Total,With Spouse,Male,1078951
54,Total,With Spouse,Female,1055352
54,Total,Divorced,Male,36610
54,Total,Divorced,Female,31320
54,Total,Widowed,Male,19563
54,Total,Widowed,Female,56774
55,Total,Unmarried,Male,33816
55,Total,Unmarried,Female,5654
55,Total,With Spouse,Male,1053268
55,Total,With Spouse,Female,1031025
55,Total,Divorced,Male,35931
55,Total,Divorced,Female,31532
55,Total,Widowed,Male,21481
55,Total,Widowed,Female,63470
56,Total,Unmarried,Male,32007
56,Total,Unmarried,Female,5300
56,Total,With Spouse,Male,1021190
56,Total,With Spouse,Female,1004945
56,Total,Divorced,Male,35120
56,Total,Divorced,Female,31924
56,Total,Widowed,Male,22764
56,Total,Widowed,Female,70137
57,Total,Unmarried,Male,35161
57,Total,Unmarried,Female,5748
57,Total,With Spouse,Male,1186450
57,Total,With Spouse,Female,1147005
57,Total,Divorced,Male,39441
57,Total,Divorced,Female,36184
57,Total,Widowed,Male,29265
57,Total,Widowed,Female,88296
58,Total,Unmarried,Male,24163
58,Total,Unmarried,Female,4041
58,Total,With Spouse,Male,860670
58,Total,With Spouse,Female,842344
58,Total,Divorced,Male,26404
58,Total,Divorced,Female,23864
58,Total,Widowed,Male,24022
58,Total,Widowed,Female,73587
59,Total,Unmarried,Male,13107
59,Total,Unmarried,Female,2374
59,Total,With Spouse,Male,462063
59,Total,With Spouse,Female,466897
59,Total,Divorced,Male,15383
59,Total,Divorced,Female,13882
59,Total,Widowed,Male,14324
59,Total,Widowed,Female,45923
60,Total,Unmarried,Male,16617
60,Total,Unmarried,Female,2614
60,Total,With Spouse,Male,573911
60,Total,With Spouse,Female,553958
60,Total,Divorced,Male,18880
60,Total,Divorced,Female,16720
60,Total,Widowed,Male,21035
60,Total,Widowed,Female,62000
61,Total,Unmarried,Male,16994
61,Total,Unmarried,Female,2216
61,Total,With Spouse,Male,544594
61,Total,With Spouse,Female,509447
61,Total,Divorced,Male,16525
61,Total,Divorced,Female,13438
61,Total,Widowed,Male,23484
61,Total,Widowed,Female,64792
62,Total,Unmarried,Male,23724
62,Total,Unmarried,Female,2632
62,Total,With Spouse,Male,689598
62,Total,With Spouse,Female,645018
62,Total,Divorced,Male,19252
62,Total,Divorced,Female,15508
62,Total,Widowed,Male,33069
62,Total,Widowed,Female,90307
63,Total,Unmarried,Male,26487
63,Total,Unmarried,Female,2592
63,Total,With Spouse,Male,766634
63,Total,With Spouse,Female,716427
63,Total,Divorced,Male,18876
63,Total,Divorced,Female,15245
63,Total,Widowed,Male,41244
63,Total,Widowed,Female,108864
64,Total,Unmarried,Male,23884
64,Total,Unmarried,Female,2371
64,Total,With Spouse,Male,679999
64,Total,With Spouse,Female,653268
64,Total,Divorced,Male,15806
64,Total,Divorced,Female,12920
64,Total,Widowed,Male,40921
64,Total,Widowed,Female,110460
15,Never attended school,Unmarried,Male,1347
15,Never attended school,Unmarried,Female,888
15,Never attended school,With Spouse,Male,1
15,Never attended school,With Spouse,Female,9
15,Never attended school,Divorced,Male,0
15,Never attended school,Divorced,Female,0
15,Never attended school,Widowed,Male,0
15,Never attended school,Widowed,Female,0
16,Never attended school,Unmarried,Male,1428
16,Never attended school,Unmarried,Female,942
16,Never attended school,With Spouse,Male,3
16,Never attended school,With Spouse,Female,15
16,Never attended school,Divorced,Male,0
16,Never attended school,Divorced,Female,0
16,Never attended school,Widowed,Male,0
16,Never attended school,Widowed,Female,0
17,Never attended school,Unmarried,Male,1350
17,Never attended school,Unmarried,Female,1008
17,Never attended school,With Spouse,Male,5
17,Never attended school,With Spouse,Female,35
17,Never attended school,Divorced,Male,0
17,Never attended school,Divorced,Female,0
17,Never attended school,Widowed,Male,0
17,Never attended school,Widowed,Female,0
18,Never attended school,Unmarried,Male,1613
18,Never attended school,Unmarried,Female,1079
18,Never attended school,With Spouse,Male,12
18,Never attended school,With Spouse,Female,97
18,Never attended school,Divorced,Male,0
18,Never attended school,Divorced,Female,2
18,Never attended school,Widowed,Male,0
18,Never attended school,Widowed,Female,0
19,Never attended school,Unmarried,Male,1710
19,Never attended school,Unmarried,Female,1200
19,Never attended school,With Spouse,Male,18
19,Never attended school,With Spouse,Female,156
19,Never attended school,Divorced,Male,1
19,Never attended school,Divorced,Female,7
19,Never attended school,Widowed,Male,0
19,Never attended school,Widowed,Female,1
20,Never attended school,Unmarried,Male,1923
20,Never attended school,Unmarried,Female,1325
20,Never attended school,With Spouse,Male,40
20,Never attended school,With Spouse,Female,317
20,Never attended school,Divorced,Male,0
20,Never attended school,Divorced,Female,6
20,Never attended school,Widowed,Male,1
20,Never attended school,Widowed,Female,0
21,Never attended school,Unmarried,Male,1870
21,Never attended school,Unmarried,Female,1164
21,Never attended school,With Spouse,Male,89
21,Never attended school,With Spouse,Female,463
21,Never attended school,Divorced,Male,1
21,Never attended school,Divorced,Female,13
21,Never attended school,Widowed,Male,1
21,Never attended school,Widowed,Female,1
22,Never attended school,Unmarried,Male,2003
22,Never attended school,Unmarried,Female,1166
22,Never attended school,With Spouse,Male,118
22,Never attended school,With Spouse,Female,637
22,Never attended school,Divorced,Male,5
22,Never attended school,Divorced,Female,17
22,Never attended school,Widowed,Male,1
22,Never attended school,Widowed,Female,1
23,Never attended school,Unmarried,Male,1932
23,Never attended school,Unmarried,Female,1169
23,Never attended school,With Spouse,Male,189
23,Never attended school,With Spouse,Female,805
23,Never attended school,Divorced,Male,2
23,Never attended school,Divorced,Female,19
23,Never attended school,Widowed,Male,0
23,Never attended school,Widowed,Female,3
24,Never attended school,Unmarried,Male,1969
24,Never attended school,Unmarried,Female,1117
24,Never attended school,With Spouse,Male,230
24,Never attended school,With Spouse,Female,1031
24,Never attended school,Divorced,Male,4
24,Never attended school,Divorced,Female,31
24,Never attended school,Widowed,Male,1
24,Never attended school,Widowed,Female,4
25,Never attended school,Unmarried,Male,2087
25,Never attended school,Unmarried,Female,1177
25,Never attended school,With Spouse,Male,377
25,Never attended school,With Spouse,Female,1277
25,Never attended school,Divorced,Male,9
25,Never attended school,Divorced,Female,37
25,Never attended school,Widowed,Male,4
25,Never attended school,Widowed,Female,2
26,Never attended school,Unmarried,Male,2026
26,Never attended school,Unmarried,Female,1019
26,Never attended school,With Spouse,Male,439
26,Never attended school,With Spouse,Female,1516
26,Never attended school,Divorced,Male,11
26,Never attended school,Divorced,Female,38
26,Never attended school,Widowed,Male,0
26,Never attended school,Widowed,Female,14
27,Never attended school,Unmarried,Male,2096
27,Never attended school,Unmarried,Female,986
27,Never attended school,With Spouse,Male,590
27,Never attended school,With Spouse,Female,1701
27,Never attended school,Divorced,Male,23
27,Never attended school,Divorced,Female,53
27,Never attended school,Widowed,Male,2
27,Never attended school,Widowed,Female,14
28,Never attended school,Unmarried,Male,2140
28,Never attended school,Unmarried,Female,959
28,Never attended school,With Spouse,Male,721
28,Never attended school,With Spouse,Female,2117
28,Never attended school,Divorced,Male,39
28,Never attended school,Divorced,Female,71
28,Never attended school,Widowed,Male,0
28,Never attended school,Widowed,Female,11
29,Never attended school,Unmarried,Male,2203
29,Never attended school,Unmarried,Female,973
29,Never attended school,With Spouse,Male,877
29,Never attended school,With Spouse,Female,2433
29,Never attended school,Divorced,Male,32
29,Never attended school,Divorced,Female,93
29,Never attended school,Widowed,Male,7
29,Never attended school,Widowed,Female,20
30,Never attended school,Unmarried,Male,2670
30,Never attended school,Unmarried,Female,1179
30,Never attended school,With Spouse,Male,1228
30,Never attended school,With Spouse,Female,3382
30,Never attended school,Divorced,Male,57
30,Never attended school,Divorced,Female,109
30,Never attended school,Widowed,Male,7
30,Never attended school,Widowed,Female,19
31,Never attended school,Unmarried,Male,2707
31,Never attended school,Unmarried,Female,1099
31,Never attended school,With Spouse,Male,1501
31,Never attended school,With Spouse,Female,3946
31,Never attended school,Divorced,Male,73
31,Never attended school,Divorced,Female,121
31,Never attended school,Widowed,Male,8
31,Never attended school,Widowed,Female,38
32,Never attended school,Unmarried,Male,2462
32,Never attended school,Unmarried,Female,1031
32,Never attended school,With Spouse,Male,1533
32,Never attended school,With Spouse,Female,4078
32,Never attended school,Divorced,Male,79
32,Never attended school,Divorced,Female,136
32,Never attended school,Widowed,Male,8
32,Never attended school,Widowed,Female,55
33,Never attended school,Unmarried,Male,2744
33,Never attended school,Unmarried,Female,1046
33,Never attended school,With Spouse,Male,1805
33,Never attended school,With Spouse,Female,4663
33,Never attended school,Divorced,Male,117
33,Never attended school,Divorced,Female,136
33,Never attended school,Widowed,Male,16
33,Never attended school,Widowed,Female,65
34,Never attended school,Unmarried,Male,2588
34,Never attended school,Unmarried,Female,902
34,Never attended school,With Spouse,Male,1830
34,Never attended school,With Spouse,Female,4789
34,Never attended school,Divorced,Male,96
34,Never attended school,Divorced,Female,172
34,Never attended school,Widowed,Male,11
34,Never attended school,Widowed,Female,72
35,Never attended school,Unmarried,Male,2176
35,Never attended school,Unmarried,Female,804
35,Never attended school,With Spouse,Male,1944
35,Never attended school,With Spouse,Female,5018
35,Never attended school,Divorced,Male,92
35,Never attended school,Divorced,Female,187
35,Never attended school,Widowed,Male,14
35,Never attended school,Widowed,Female,71
36,Never attended school,Unmarried,Male,2180
36,Never attended school,Unmarried,Female,797
36,Never attended school,With Spouse,Male,1946
36,Never attended school,With Spouse,Female,5547
36,Never attended school,Divorced,Male,129
36,Never attended school,Divorced,Female,171
36,Never attended school,Widowed,Male,19
36,Never attended school,Widowed,Female,85
37,Never attended school,Unmarried,Male,2254
37,Never attended school,Unmarried,Female,776
37,Never attended school,With Spouse,Male,2122
37,Never attended school,With Spouse,Female,5666
37,Never attended school,Divorced,Male,125
37,Never attended school,Divorced,Female,172
37,Never attended school,Widowed,Male,18
37,Never attended school,Widowed,Female,114
38,Never attended school,Unmarried,Male,2486
38,Never attended school,Unmarried,Female,820
38,Never attended school,With Spouse,Male,2477
38,Never attended school,With Spouse,Female,6761
38,Never attended school,Divorced,Male,134
38,Never attended school,Divorced,Female,198
38,Never attended school,Widowed,Male,22
38,Never attended school,Widowed,Female,155
39,Never attended school,Unmarried,Male,2384
39,Never attended school,Unmarried,Female,741
39,Never attended school,With Spouse,Male,2436
39,Never attended school,With Spouse,Female,6930
39,Never attended school,Divorced,Male,154
39,Never attended school,Divorced,Female,225
39,Never attended school,Widowed,Male,34
39,Never attended school,Widowed,Female,171
40,Never attended school,Unmarried,Male,2207
40,Never attended school,Unmarried,Female,696
40,Never attended school,With Spouse,Male,2577
40,Never attended school,With Spouse,Female,7807
40,Never attended school,Divorced,Male,155
40,Never attended school,Divorced,Female,227
40,Never attended school,Widowed,Male,35
40,Never attended school,Widowed,Female,199
41,Never attended school,Unmarried,Male,2612
41,Never attended school,Unmarried,Female,738
41,Never attended school,With Spouse,Male,2813
41,Never attended school,With Spouse,Female,8797
41,Never attended school,Divorced,Male,170
41,Never attended school,Divorced,Female,231
41,Never attended school,Widowed,Male,63
41,Never attended school,Widowed,Female,261
42,Never attended school,Unmarried,Male,2508
42,Never attended school,Unmarried,Female,692
42,Never attended school,With Spouse,Male,2991
42,Never attended school,With Spouse,Female,9826
42,Never attended school,Divorced,Male,189
42,Never attended school,Divorced,Female,247
42,Never attended school,Widowed,Male,44
42,Never attended school,Widowed,Female,287
43,Never attended school,Unmarried,Male,2578
43,Never attended school,Unmarried,Female,658
43,Never attended school,With Spouse,Male,3277
43,Never attended school,With Spouse,Female,10212
43,Never attended school,Divorced,Male,213
43,Never attended school,Divorced,Female,291
43,Never attended school,Widowed,Male,84
43,Never attended school,Widowed,Female,342
44,Never attended school,Unmarried,Male,2748
44,Never attended school,Unmarried,Female,705
44,Never attended school,With Spouse,Male,3715
44,Never attended school,With Spouse,Female,12689
44,Never attended school,Divorced,Male,224
44,Never attended school,Divorced,Female,294
44,Never attended school,Widowed,Male,96
44,Never attended school,Widowed,Female,501
45,Never attended school,Unmarried,Male,2862
45,Never attended school,Unmarried,Female,716
45,Never attended school,With Spouse,Male,3889
45,Never attended school,With Spouse,Female,14477
45,Never attended school,Divorced,Male,234
45,Never attended school,Divorced,Female,323
45,Never attended school,Widowed,Male,101
45,Never attended school,Widowed,Female,538
46,Never attended school,Unmarried,Male,3330
46,Never attended school,Unmarried,Female,757
46,Never attended school,With Spouse,Male,4654
46,Never attended school,With Spouse,Female,17126
46,Never attended school,Divorced,Male,326
46,Never attended school,Divorced,Female,354
46,Never attended school,Widowed,Male,103
46,Never attended school,Widowed,Female,782
47,Never attended school,Unmarried,Male,3564
47,Never attended school,Unmarried,Female,744
47,Never attended school,With Spouse,Male,5335
47,Never attended school,With Spouse,Female,20009
47,Never attended school,Divorced,Male,309
47,Never attended school,Divorced,Female,375
47,Never attended school,Widowed,Male,137
47,Never attended school,Widowed,Female,932
48,Never attended school,Unmarried,Male,3674
48,Never attended school,Unmarried,Female,715
48,Never attended school,With Spouse,Male,5772
48,Never attended school,With Spouse,Female,22365
48,Never attended school,Divorced,Male,371
48,Never attended school,Divorced,Female,388
48,Never attended school,Widowed,Male,165
48,Never attended school,Widowed,Female,1131
49,Never attended school,Unmarried,Male,3933
49,Never attended school,Unmarried,Female,744
49,Never attended school,With Spouse,Male,6221
49,Never attended school,With Spouse,Female,24116
49,Never attended school,Divorced,Male,424
49,Never attended school,Divorced,Female,420
49,Never attended school,Widowed,Male,186
49,Never attended school,Widowed,Female,1335
50,Never attended school,Unmarried,Male,4147
50,Never attended school,Unmarried,Female,747
50,Never attended school,With Spouse,Male,7021
50,Never attended school,With Spouse,Female,28879
50,Never attended school,Divorced,Male,421
50,Never attended school,Divorced,Female,449
50,Never attended school,Widowed,Male,228
50,Never attended school,Widowed,Female,1716
51,Never attended school,Unmarried,Male,3941
51,Never attended school,Unmarried,Female,693
51,Never attended school,With Spouse,Male,7224
51,Never attended school,With Spouse,Female,29473
51,Never attended school,Divorced,Male,391
51,Never attended school,Divorced,Female,476
51,Never attended school,Widowed,Male,287
51,Never attended school,Widowed,Female,2028
52,Never attended school,Unmarried,Male,4097
52,Never attended school,Unmarried,Female,627
52,Never attended school,With Spouse,Male,8116
52,Never attended school,With Spouse,Female,34069
52,Never attended school,Divorced,Male,428
52,Never attended school,Divorced,Female,491
52,Never attended school,Widowed,Male,354
52,Never attended school,Widowed,Female,2681
53,Never attended school,Unmarried,Male,3423
53,Never attended school,Unmarried,Female,506
53,Never attended school,With Spouse,Male,7178
53,Never attended school,With Spouse,Female,30022
53,Never attended school,Divorced,Male,381
53,Never attended school,Divorced,Female,417
53,Never attended school,Widowed,Male,352
53,Never attended school,Widowed,Female,2639
54,Never attended school,Unmarried,Male,3919
54,Never attended school,Unmarried,Female,549
54,Never attended school,With Spouse,Male,7674
54,Never attended school,With Spouse,Female,35027
54,Never attended school,Divorced,Male,422
54,Never attended school,Divorced,Female,432
54,Never attended school,Widowed,Male,413
54,Never attended school,Widowed,Female,3493
55,Never attended school,Unmarried,Male,3959
55,Never attended school,Unmarried,Female,537
55,Never attended school,With Spouse,Male,7547
55,Never attended school,With Spouse,Female,35043
55,Never attended school,Divorced,Male,373
55,Never attended school,Divorced,Female,447
55,Never attended school,Widowed,Male,459
55,Never attended school,Widowed,Female,3887
56,Never attended school,Unmarried,Male,3748
56,Never attended school,Unmarried,Female,488
56,Never attended school,With Spouse,Male,7450
56,Never attended school,With Spouse,Female,36467
56,Never attended school,Divorced,Male,358
56,Never attended school,Divorced,Female,417
56,Never attended school,Widowed,Male,501
56,Never attended school,Widowed,Female,4480
57,Never attended school,Unmarried,Male,3991
57,Never attended school,Unmarried,Female,517
57,Never attended school,With Spouse,Male,8106
57,Never attended school,With Spouse,Female,42453
57,Never attended school,Divorced,Male,400
57,Never attended school,Divorced,Female,432
57,Never attended school,Widowed,Male,536
57,Never attended school,Widowed,Female,5640
58,Never attended school,Unmarried,Male,2851
58,Never attended school,Unmarried,Female,436
58,Never attended school,With Spouse,Male,7014
58,Never attended school,With Spouse,Female,39332
58,Never attended school,Divorced,Male,288
58,Never attended school,Divorced,Female,364
58,Never attended school,Widowed,Male,467
58,Never attended school,Widowed,Female,5686
59,Never attended school,Unmarried,Male,1641
59,Never attended school,Unmarried,Female,254
59,Never attended school,With Spouse,Male,4663
59,Never attended school,With Spouse,Female,24963
59,Never attended school,Divorced,Male,226
59,Never attended school,Divorced,Female,230
59,Never attended school,Widowed,Male,372
59,Never attended school,Widowed,Female,3965
60,Never attended school,Unmarried,Male,2268
60,Never attended school,Unmarried,Female,319
60,Never attended school,With Spouse,Male,6636
60,Never attended school,With Spouse,Female,31122
60,Never attended school,Divorced,Male,281
60,Never attended school,Divorced,Female,301
60,Never attended school,Widowed,Male,583
60,Never attended school,Widowed,Female,5676
61,Never attended school,Unmarried,Male,2462
61,Never attended school,Unmarried,Female,294
61,Never attended school,With Spouse,Male,7870
61,Never attended school,With Spouse,Female,33481
61,Never attended school,Divorced,Male,287
61,Never attended school,Divorced,Female,333
61,Never attended school,Widowed,Male,740
61,Never attended school,Widowed,Female,6817
62,Never attended school,Unmarried,Male,3994
62,Never attended school,Unmarried,Female,357
62,Never attended school,With Spouse,Male,11574
62,Never attended school,With Spouse,Female,48919
62,Never attended school,Divorced,Male,427
62,Never attended school,Divorced,Female,431
62,Never attended school,Widowed,Male,1158
62,Never attended school,Widowed,Female,10721
63,Never attended school,Unmarried,Male,4725
63,Never attended school,Unmarried,Female,320
63,Never attended school,With Spouse,Male,13925
63,Never attended school,With Spouse,Female,60202
63,Never attended school,Divorced,Male,459
63,Never attended school,Divorced,Female,430
63,Never attended school,Widowed,Male,1536
