building_name,city,year_completed,attribute,value
nan,nan,,metric_7,10
nan,nan,,metric_7,-
nan,nan,,metric_7,-
nan,nan,,metric_7,-
nan,nan,,metric_7,-
nan,nan,,metric_7,40
nan,nan,,metric_7,-
nan,nan,,metric_7,-
nan,nan,,metric_8,9901
nan,nan,,metric_8,-
nan,nan,,metric_8,9396
nan,nan,,metric_8,12830
nan,nan,,metric_8,10000
nan,nan,,metric_8,-
nan,nan,,metric_8,13627
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,6621
nan,nan,,metric_8,13699
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,-
nan,nan,,metric_8,15322
nan,nan,,metric_8,-
nan,nan,,metric_8,-
