sector_group_cn,sector_group_en,sector_cn,sector_en,metric,value
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services","Loading, Unloading, Handling and Storage Industry",Loading and Unloading and Storage,investments_in_fixed_assets,-5.2
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Postal Services,Postal Services,investments_in_fixed_assets,-49.9
(8) Accommodation and Catering Industry,Accommodations and Catering Services,Accommodation Industry,Accommodations,investments_in_fixed_assets,26.2
(8) Accommodation and Catering Industry,Accommodations and Catering Services,Catering Industry,Catering Services,investments_in_fixed_assets,52.3
"(9) Information Transmission, Software, and Information","Information Transmission, Computer","Telecommunications, Radio, Television, and Satellite","Telecommunications, Radio and Television and",investments_in_fixed_assets,-8.7
"(9) Information Transmission, Software, and Information","Information Transmission, Computer",Internet and related services,Internet and related Services,investments_in_fixed_assets,29.4
"(9) Information Transmission, Software, and Information","Information Transmission, Computer",Software and Information Technology Services Industry,Software and Information Technology Services,investments_in_fixed_assets,11.7
(10) Financial Industry,Finance ,Monetary and Financial Services,Monetary and Financial Services,investments_in_fixed_assets,-36.5
(10) Financial Industry,Finance ,Capital Market Services,Capital Market Services,investments_in_fixed_assets,-7.9
(10) Financial Industry,Finance ,Insurance industry,Insurance,investments_in_fixed_assets,-66.0
(10) Financial Industry,Finance ,Other Financial Services,Others,investments_in_fixed_assets,-4.4
(12) Leasing and Business Services,Leasing and Business Services,Leasing Industry,Leasing Services,investments_in_fixed_assets,57.8
(12) Leasing and Business Services,Leasing and Business Services,Business and Service Industry,Business Services,investments_in_fixed_assets,4.8
(Thirteen) Scientific Research and Technical Services,Scientific Research and Technical Services,Research and Experimental Development,Research and Experimental Development,investments_in_fixed_assets,3.7
(Thirteen) Scientific Research and Technical Services,Scientific Research and Technical Services,Professional and Technical Service Industry,Special Technical Services,investments_in_fixed_assets,-0.7
(Thirteen) Scientific Research and Technical Services,Scientific Research and Technical Services,Technology Promotion and Application Service Industry,Science and Technology Promotion and,investments_in_fixed_assets,52.8
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Water Conservancy Management Industry,Management of Water Conservancy,investments_in_fixed_assets,42.4
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Ecological Conservation and Environmental Management Industry,Ecological Protection and Environmental,investments_in_fixed_assets,56.4
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Public Facilities Management Industry,Management of Public Facilities,investments_in_fixed_assets,17.2
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Land Management Industry,Management of  Land,investments_in_fixed_assets,48.1
"(15) Resident Services, Repair and Other Service Industries","Households Services, Repair and Other Services",Resident Services Industry,Services to Households,investments_in_fixed_assets,-20.1
"(15) Resident Services, Repair and Other Service Industries","Households Services, Repair and Other Services","Motor vehicles, electronic products and","Motor Vehicles, Electronics and",investments_in_fixed_assets,-28.9
"(15) Resident Services, Repair and Other Service Industries","Households Services, Repair and Other Services",Other Service Industries,Other Services,investments_in_fixed_assets,-8.1
(16) Education,Education,Education,Education,investments_in_fixed_assets,-4.6
(17) Health and Social Work,Health and Social Work ,Healthcare,Health Care,investments_in_fixed_assets,-12.9
(17) Health and Social Work,Health and Social Work ,Social Work,Social Work,investments_in_fixed_assets,-10.2
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",News and Publishing Industry,News and Publication,investments_in_fixed_assets,-2.5
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation","Broadcasting, Television, Film and","Radio, Television, Film and Video",investments_in_fixed_assets,-39.8
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",Cultural and Artistic Industry,Culture and Arts,investments_in_fixed_assets,-10.3
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",Sports,Sports,investments_in_fixed_assets,-29.9
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",Entertainment Industry,Recreation,investments_in_fixed_assets,-18.7
"(19) Public Administration, Social Security, and","Public Management,Social Security and",The Organization of the Communist Party of China,CPC Agencies,investments_in_fixed_assets,367.3
"(19) Public Administration, Social Security, and","Public Management,Social Security and",National Institutions,Government Agencies,investments_in_fixed_assets,-19.7
"(19) Public Administration, Social Security, and","Public Management,Social Security and",Social Security,Social Security,investments_in_fixed_assets,-79.7
"(19) Public Administration, Social Security, and","Public Management,Social Security and","Public groups, social organizations and","Mass Organizations, Social Organizations and",investments_in_fixed_assets,-51.6
"(19) Public Administration, Social Security, and","Public Management,Social Security and",Grassroots Mass Autonomous Organizations,Self-governing Mass Organizations at the,investments_in_fixed_assets,-31.1
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Agriculture,Farming,total_planned_investment,-8.2
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Forestry,Forestry,total_planned_investment,-11.4
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Livestock industry,Animal Husbandry,total_planned_investment,-16.4
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Fishing,Fishery,total_planned_investment,4.0
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery","Agriculture, Forestry, Animal Husbandry, Fishery and Auxiliary Activities","Services for Farming, Forestry, Animal",total_planned_investment,-5.2
(2) Mining Industry,Mining ,Coal Mining and Washing Industry,Mining and Washing of Coal,total_planned_investment,96.9
(2) Mining Industry,Mining ,Petroleum and Natural Gas Extraction Industry,Extraction of Petroleum and Natural Gas,total_planned_investment,6.8
(2) Mining Industry,Mining ,Iron and Steel Metal Ore Mining and Dressing Industry,Mining and Dressing of Ferrous Metal Ores,total_planned_investment,-31.9
(2) Mining Industry,Mining ,Non-ferrous Metal Ore Mining and Dressing Industry,Mining and Dressing of Nonferrous Metals Ores,total_planned_investment,58.1
(2) Mining Industry,Mining ,Non-metallic Mineral Mining and Dressing Industry,Mining and Dressing of Nonmetal Ores,total_planned_investment,-44.1
(2) Mining Industry,Mining ,Mining and auxiliary activities,Mining Specialties and Auxiliary Activities,total_planned_investment,190.9
(2) Mining Industry,Mining ,Other Mining Industries,Mining and Dressing of Other Ores,total_planned_investment,0.0
(3) Manufacturing Industry,Manufacture,Agricultural and sideline food processing industry,Processing of Farm and Sideline Food,total_planned_investment,13.6
(3) Manufacturing Industry,Manufacture,Food Manufacturing Industry,Manufacture of Food,total_planned_investment,4.7
(3) Manufacturing Industry,Manufacture,"Alcoholic Drinks, Beverages, and Refined Tea Manufacturing","Manufacture of Wine, Drinks and Refined Tea",total_planned_investment,26.5
(3) Manufacturing Industry,Manufacture,Tobacco Product Manufacturing,Tobacco Products,total_planned_investment,-8.0
(3) Manufacturing Industry,Manufacture,"Leather, Fur, Feather and Their Products","Manufacture of Leather, Fur, Feather & Its Products",total_planned_investment,-23.8
(3) Manufacturing Industry,Manufacture,"Wood Processing and Wood, Bamboo, Rattan, and Palm;","Timber Processing, Bamboo, Cane,",total_planned_investment,-3.2
(3) Manufacturing Industry,Manufacture,Furniture Manufacturing Industry,Manufacture of Furniture,total_planned_investment,7.5
(3) Manufacturing Industry,Manufacture,Papermaking and Paper Product Industry,Papermaking and Paper Products,total_planned_investment,-8.8
(3) Manufacturing Industry,Manufacture,Printing and Reproduction of Recorded Media Industry,"Printing, Reproduction of Recording Media",total_planned_investment,-11.9
(3) Manufacturing Industry,Manufacture,"Cultural and Educational, Arts and Crafts, Sports, and Entertainment","Manufacture of Culture, Education,Arts and Crafts,",total_planned_investment,-8.0
(3) Manufacturing Industry,Manufacture,"Petroleum, Coal, and Other Fuel Processing Industry","Processing of Oil, Coal and Other Fuel",total_planned_investment,-6.6
(3) Manufacturing Industry,Manufacture,Chemical Raw Materials and Chemical Products Manufacturing,Manufacture of Raw Chemical Materials,total_planned_investment,4.4
(3) Manufacturing Industry,Manufacture,Pharmaceutical Manufacturing,Manufacture of Medicines,total_planned_investment,7.8
(3) Manufacturing Industry,Manufacture,Chemical Fiber Manufacturing Industry,Manufacture of Chemical Fibers,total_planned_investment,16.5
(3) Manufacturing Industry,Manufacture,Rubber and Plastic Products Industry,Manufacture of Rubber and Plastic,total_planned_investment,-13.7
(3) Manufacturing Industry,Manufacture,Non-metallic Mineral Products Industry,Nonmetal Mineral Products,total_planned_investment,-7.3
(3) Manufacturing Industry,Manufacture,Ferroalloy Smelting and Rolling Industry,Smelting and Pressing of Ferrous Metals,total_planned_investment,-16.7
(3) Manufacturing Industry,Manufacture,Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,total_planned_investment,2.4
(3) Manufacturing Industry,Manufacture,Metal Products Industry,Manufacture of Metal Products,total_planned_investment,1.5
(3) Manufacturing Industry,Manufacture,General Equipment Manufacturing Industry,Manufacture of General Purpose Machinery,total_planned_investment,-5.3
(3) Manufacturing Industry,Manufacture,Special-purpose Equipment Manufacturing Industry,Manufacture of Special Purpose Machinery,total_planned_investment,2.8
(3) Manufacturing Industry,Manufacture,Automobile Manufacturing Industry,Manufacture of Automotive,total_planned_investment,-10.0
(3) Manufacturing Industry,Manufacture,"Railways, Ships, Aerospace and","Manufacture of Railroad,Marine,Aerospace and",total_planned_investment,3.3
(3) Manufacturing Industry,Manufacture,Electromechanical and Equipment Manufacturing Industry,Manufacture of Electrical  Machinery & Equipment,total_planned_investment,10.3
(3) Manufacturing Industry,Manufacture,"Computer, Communication, and Other Electronics","Manufacture of Computer, Communications and",total_planned_investment,34.3
(3) Manufacturing Industry,Manufacture,Instrument and Meter Manufacturing Industry,Manufacture of Measuring Instrument,total_planned_investment,53.5
(3) Manufacturing Industry,Manufacture,Other Manufacturing,Other Manufacture,total_planned_investment,-19.8
(3) Manufacturing Industry,Manufacture,Comprehensive utilization industry of waste resources,Comprehensive Utilization of Waste,total_planned_investment,-17.4
(3) Manufacturing Industry,Manufacture,"Metal Products, Machinery, and Equipment","Metal Products, Machinery and Equipment",total_planned_investment,-3.8
"(4) Electricity, Heat, Gas, and Water","   Production and Supply of Electric, Heat, Gas and ","Electricity, Heat Production and Supply Industry",Production and Supply of Electric Power,total_planned_investment,25.6
"(4) Electricity, Heat, Gas, and Water","   Production and Supply of Electric, Heat, Gas and ",Gas Production and Supply Industry,Production and Supply of Gas,total_planned_investment,40.0
"(4) Electricity, Heat, Gas, and Water","   Production and Supply of Electric, Heat, Gas and ",Water Production and Supply Industry,Production and Supply of Tap Water,total_planned_investment,12.7
(5) Construction Industry,Construction,House Building Construction,Building Construction,total_planned_investment,-5.1
(5) Construction Industry,Construction,Civil Engineering Construction Industry,Civil Engineering Construction,total_planned_investment,605.7
(5) Construction Industry,Construction,Construction and Installation Industry,Construction Installment,total_planned_investment,0.0
(5) Construction Industry,Construction,Building Decoration and Other Building Industries,Construction Decoration and Others,total_planned_investment,3246.8
(6) Wholesale and Retail Trade,Wholesale and Retail Trade,Wholesale industry,Wholesale,total_planned_investment,50.3
(6) Wholesale and Retail Trade,Wholesale and Retail Trade,Retail industry,Retail Trade,total_planned_investment,-4.3
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Railway Transportation Industry,Railway Transport,total_planned_investment,23.8
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Road Transportation Industry,Road Transport,total_planned_investment,9.9
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Water Transport Industry,Waterway Transport,total_planned_investment,-26.9
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Aviation Transportation Industry,Air Transport,total_planned_investment,-34.4
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Pipeline Transportation Industry,Pipeline Transport,total_planned_investment,25.5
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Multimodal Transport and Freight Agency Industry,Multimodal transport and Transportation agency,total_planned_investment,-13.5
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services","Loading, Unloading, Handling and Storage Industry",Loading and Unloading and Storage,total_planned_investment,5.5
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Postal Services,Postal Services,total_planned_investment,-5.7
(8) Accommodation and Catering Industry,Accommodations and Catering Services,Accommodation Industry,Accommodations,total_planned_investment,-10.1
(8) Accommodation and Catering Industry,Accommodations and Catering Services,Catering Industry,Catering Services,total_planned_investment,31.4
"(9) Information Transmission, Software, and Information","Information Transmission, Computer","Telecommunications, Radio, Television, and Satellite","Telecommunications, Radio and Television and",total_planned_investment,-22.5
"(9) Information Transmission, Software, and Information","Information Transmission, Computer",Internet and related services,Internet and related Services,total_planned_investment,-0.1
"(9) Information Transmission, Software, and Information","Information Transmission, Computer",Software and Information Technology Services Industry,Software and Information Technology Services,total_planned_investment,7.5
(10) Financial Industry,Finance ,Monetary and Financial Services,Monetary and Financial Services,total_planned_investment,-73.9
(10) Financial Industry,Finance ,Capital Market Services,Capital Market Services,total_planned_investment,1.2
(10) Financial Industry,Finance ,Insurance industry,Insurance,total_planned_investment,-66.1
(10) Financial Industry,Finance ,Other Financial Services,Others,total_planned_investment,-4.1
(12) Leasing and Business Services,Leasing and Business Services,Leasing Industry,Leasing Services,total_planned_investment,192.3
(12) Leasing and Business Services,Leasing and Business Services,Business and Service Industry,Business Services,total_planned_investment,-8.6
(Thirteen) Scientific Research and Technical Services,Scientific Research and Technical Services,Research and Experimental Development,Research and Experimental Development,total_planned_investment,6.9
(Thirteen) Scientific Research and Technical Services,Scientific Research and Technical Services,Professional and Technical Service Industry,Special Technical Services,total_planned_investment,20.8
(Thirteen) Scientific Research and Technical Services,Scientific Research and Technical Services,Technology Promotion and Application Service Industry,Science and Technology Promotion and,total_planned_investment,35.2
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Water Conservancy Management Industry,Management of Water Conservancy,total_planned_investment,11.6
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Ecological Conservation and Environmental Management Industry,Ecological Protection and Environmental,total_planned_investment,17.1
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Public Facilities Management Industry,Management of Public Facilities,total_planned_investment,9.6
"(14) Water Conservancy, Environment, and Public Facility Management","Management of Water Conservancy,",Land Management Industry,Management of  Land,total_planned_investment,13.1
"(15) Resident Services, Repair and Other Service Industries","Households Services, Repair and Other Services",Resident Services Industry,Services to Households,total_planned_investment,-5.8
"(15) Resident Services, Repair and Other Service Industries","Households Services, Repair and Other Services","Motor vehicles, electronic products and","Motor Vehicles, Electronics and",total_planned_investment,-16.9
"(15) Resident Services, Repair and Other Service Industries","Households Services, Repair and Other Services",Other Service Industries,Other Services,total_planned_investment,-8.2
(16) Education,Education,Education,Education,total_planned_investment,5.3
(17) Health and Social Work,Health and Social Work ,Healthcare,Health Care,total_planned_investment,-6.7
(17) Health and Social Work,Health and Social Work ,Social Work,Social Work,total_planned_investment,0.2
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",News and Publishing Industry,News and Publication,total_planned_investment,-37.7
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation","Broadcasting, Television, Film and","Radio, Television, Film and Video",total_planned_investment,-34.3
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",Cultural and Artistic Industry,Culture and Arts,total_planned_investment,0.8
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",Sports,Sports,total_planned_investment,-21.6
"(18) Culture, Sports, and Entertainment Industry","Culture, Sports and Recreation",Entertainment Industry,Recreation,total_planned_investment,-25.0
"(19) Public Administration, Social Security, and","Public Management,Social Security and",The Organization of the Communist Party of China,CPC Agencies,total_planned_investment,248.3
"(19) Public Administration, Social Security, and","Public Management,Social Security and",National Institutions,Government Agencies,total_planned_investment,-19.6
"(19) Public Administration, Social Security, and","Public Management,Social Security and",Social Security,Social Security,total_planned_investment,0.0
"(19) Public Administration, Social Security, and","Public Management,Social Security and","Public groups, social organizations and","Mass Organizations, Social Organizations and",total_planned_investment,-84.8
"(19) Public Administration, Social Security, and","Public Management,Social Security and",Grassroots Mass Autonomous Organizations,Self-governing Mass Organizations at the,total_planned_investment,-14.5
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Agriculture,Farming,number_of_projects_under_construction,4.1
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Forestry,Forestry,number_of_projects_under_construction,-32.3
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Livestock industry,Animal Husbandry,number_of_projects_under_construction,-8.8
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Fishing,Fishery,number_of_projects_under_construction,55.0
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery","Agriculture, Forestry, Animal Husbandry, Fishery and Auxiliary Activities","Services for Farming, Forestry, Animal",number_of_projects_under_construction,1.3
(2) Mining Industry,Mining ,Coal Mining and Washing Industry,Mining and Washing of Coal,number_of_projects_under_construction,-5.2
(2) Mining Industry,Mining ,Petroleum and Natural Gas Extraction Industry,Extraction of Petroleum and Natural Gas,number_of_projects_under_construction,0.0
(2) Mining Industry,Mining ,Iron and Steel Metal Ore Mining and Dressing Industry,Mining and Dressing of Ferrous Metal Ores,number_of_projects_under_construction,-28.0
(2) Mining Industry,Mining ,Non-ferrous Metal Ore Mining and Dressing Industry,Mining and Dressing of Nonferrous Metals Ores,number_of_projects_under_construction,-14.3
(2) Mining Industry,Mining ,Non-metallic Mineral Mining and Dressing Industry,Mining and Dressing of Nonmetal Ores,number_of_projects_under_construction,-20.0
(2) Mining Industry,Mining ,Mining and auxiliary activities,Mining Specialties and Auxiliary Activities,number_of_projects_under_construction,20.0
(2) Mining Industry,Mining ,Other Mining Industries,Mining and Dressing of Other Ores,number_of_projects_under_construction,0.0
(3) Manufacturing Industry,Manufacture,Agricultural and sideline food processing industry,Processing of Farm and Sideline Food,number_of_projects_under_construction,14.8
(3) Manufacturing Industry,Manufacture,Food Manufacturing Industry,Manufacture of Food,number_of_projects_under_construction,0.3
(3) Manufacturing Industry,Manufacture,"Alcoholic Drinks, Beverages, and Refined Tea Manufacturing","Manufacture of Wine, Drinks and Refined Tea",number_of_projects_under_construction,12.3
(3) Manufacturing Industry,Manufacture,Tobacco Product Manufacturing,Tobacco Products,number_of_projects_under_construction,0.0
(3) Manufacturing Industry,Manufacture,"Leather, Fur, Feather and Their Products","Manufacture of Leather, Fur, Feather & Its Products",number_of_projects_under_construction,14.8
(3) Manufacturing Industry,Manufacture,"Wood Processing and Wood, Bamboo, Rattan, and Palm;","Timber Processing, Bamboo, Cane,",number_of_projects_under_construction,-6.3
(3) Manufacturing Industry,Manufacture,Furniture Manufacturing Industry,Manufacture of Furniture,number_of_projects_under_construction,6.1
(3) Manufacturing Industry,Manufacture,Papermaking and Paper Product Industry,Papermaking and Paper Products,number_of_projects_under_construction,0.0
(3) Manufacturing Industry,Manufacture,Printing and Reproduction of Recorded Media Industry,"Printing, Reproduction of Recording Media",number_of_projects_under_construction,-0.6
(3) Manufacturing Industry,Manufacture,"Cultural and Educational, Arts and Crafts, Sports, and Entertainment","Manufacture of Culture, Education,Arts and Crafts,",number_of_projects_under_construction,-12.3
(3) Manufacturing Industry,Manufacture,"Petroleum, Coal, and Other Fuel Processing Industry","Processing of Oil, Coal and Other Fuel",number_of_projects_under_construction,-16.4
