song_title,collaborator,year,country,chart_position,certifications,album
"""Mama Do (Uh Oh, Uh Oh)""",,2009,NL,15,BPI: Silver,Turn It Up
"""Boys and Girls""",,2009,NL,,BPI: Silver,Turn It Up
"""Cry Me Out""",,2009,NL,,BPI: Silver,Turn It Up
"""Gravity""",,2010,NL,,-,Turn It Up
"""Turn It Up""",,2010,NL,,-,Turn It Up
"""Broken Arrow""",,2010,NL,,-,Turn It Up
"""All About Tonight""",,2011,NL,,BPI: Gold,Young Foolish Happy
"""What Do You Take Me For?""",Pusha T,2011,NL,,-,Young Foolish Happy
"""Kiss the Stars""",,2012,NL,,-,Young Foolish Happy
"""Nasty""",,2014,NL,,-,Pixie Lott
"""Lay Me Down""",,2014,NL,,-,Pixie Lott
"""Caravan of Love""",,2014,NL,,-,Platinum Pixie: Hits
"""Baby""",Anton Powers,2017,NL,,-,TBA
"""Won't Forget You""",Stylo G,2017,NL,,-,TBA
"""Sunflower""",,2019,NL,,-,TBA
"""Mama Do (Uh Oh, Uh Oh)""",,2009,NZ,19,BPI: Silver,Turn It Up
"""Boys and Girls""",,2009,NZ,,BPI: Silver,Turn It Up
"""Cry Me Out""",,2009,NZ,,BPI: Silver,Turn It Up
"""Gravity""",,2010,NZ,,-,Turn It Up
"""Turn It Up""",,2010,NZ,,-,Turn It Up
"""Broken Arrow""",,2010,NZ,,-,Turn It Up
"""All About Tonight""",,2011,NZ,,BPI: Gold,Young Foolish Happy
"""What Do You Take Me For?""",Pusha T,2011,NZ,,-,Young Foolish Happy
"""Kiss the Stars""",,2012,NZ,,-,Young Foolish Happy
"""Nasty""",,2014,NZ,,-,Pixie Lott
"""Lay Me Down""",,2014,NZ,,-,Pixie Lott
"""Caravan of Love""",,2014,NZ,,-,Platinum Pixie: Hits
"""Baby""",Anton Powers,2017,NZ,,-,TBA
"""Won't Forget You""",Stylo G,2017,NZ,,-,TBA
"""Sunflower""",,2019,NZ,,-,TBA
"""Mama Do (Uh Oh, Uh Oh)""",,2009,SWI,34,BPI: Silver,Turn It Up
"""Boys and Girls""",,2009,SWI,,BPI: Silver,Turn It Up
"""Cry Me Out""",,2009,SWI,66,BPI: Silver,Turn It Up
"""Gravity""",,2010,SWI,,-,Turn It Up
"""Turn It Up""",,2010,SWI,,-,Turn It Up
"""Broken Arrow""",,2010,SWI,,-,Turn It Up
"""All About Tonight""",,2011,SWI,,BPI: Gold,Young Foolish Happy
"""What Do You Take Me For?""",Pusha T,2011,SWI,,-,Young Foolish Happy
"""Kiss the Stars""",,2012,SWI,,-,Young Foolish Happy
"""Nasty""",,2014,SWI,,-,Pixie Lott
"""Lay Me Down""",,2014,SWI,,-,Pixie Lott
"""Caravan of Love""",,2014,SWI,,-,Platinum Pixie: Hits
"""Baby""",Anton Powers,2017,SWI,,-,TBA
"""Won't Forget You""",Stylo G,2017,SWI,,-,TBA
"""Sunflower""",,2019,SWI,,-,TBA
