tournament,edition,outcome,ranking
Madrid (Stuttgart),12,F,18
Madrid (Stuttgart),13,A,9
Madrid (Stuttgart),14,SF,6
Madrid (Stuttgart),15,SF,8
Madrid (Stuttgart),16,2R,10
Madrid (Stuttgart),17,SF,8
Madrid (Stuttgart),18,SF,24
Madrid (Stuttgart),19,A,
Canada,1,A,235
Canada,2,A,135
Canada,3,A,91
Canada,4,A,158
Canada,5,A,103
Canada,6,A,92
Canada,7,1R,35
Canada,8,2R,26
Canada,9,2R,34
Canada,10,2R,13
Canada,11,2R,11
Canada,12,1R,18
Canada,13,2R,9
Canada,14,W,6
Canada,15,F,8
Canada,16,F,10
Canada,17,QF,8
Canada,18,2R,24
Canada,19,A,
Cincinnati,1,A,235
Cincinnati,2,LQ,135
Cincinnati,3,LQ,91
Cincinnati,4,A,158
Cincinnati,5,A,103
Cincinnati,6,1R,92
Cincinnati,7,1R,35
Cincinnati,8,1R,26
Cincinnati,9,1R,34
Cincinnati,10,1R,13
Cincinnati,11,2R,11
Cincinnati,12,1R,18
Cincinnati,13,2R,9
Cincinnati,14,F,6
Cincinnati,15,2R,8
Cincinnati,16,QF,10
Cincinnati,17,2R,8
Cincinnati,18,2R,24
Cincinnati,19,A,
Shanghai,1,Not Held,235
Shanghai,2,Not Held,135
Shanghai,3,Not Held,91
Shanghai,4,Not Held,158
Shanghai,5,Not Held,103
Shanghai,6,Not Held,92
Shanghai,7,Not Held,35
Shanghai,8,Not Held,26
Shanghai,9,Not Held,34
Shanghai,10,Not Held,13
Shanghai,11,Not Held,11
Shanghai,12,Not Held,18
Shanghai,13,Not Held,9
Shanghai,14,Not Held,6
Shanghai,15,Not Held,8
Shanghai,16,Not Held,10
Shanghai,17,Not Held,8
Shanghai,18,2R,24
Shanghai,19,A,
Paris,1,A,235
Paris,2,A,135
Paris,3,A,91
Paris,4,A,158
Paris,5,A,103
Paris,6,A,92
Paris,7,QF,35
Paris,8,1R,26
Paris,9,1R,34
Paris,10,SF,13
Paris,11,2R,11
Paris,12,QF,18
Paris,13,F,9
Paris,14,SF,6
Paris,15,1R,8
Paris,16,QF,10
Paris,17,W,8
Paris,18,2R,24
Paris,19,A,
Hamburg,1,A,235
Hamburg,2,A,135
Hamburg,3,A,91
Hamburg,4,A,158
Hamburg,5,A,103
Hamburg,6,A,92
Hamburg,7,A,35
Hamburg,8,2R,26
Hamburg,9,A,34
Hamburg,10,2R,13
Hamburg,11,1R,11
Hamburg,12,2R,18
Hamburg,13,W,9
Hamburg,14,2R,6
Hamburg,15,W,8
Hamburg,16,F,10
Hamburg,17,2R,8
Hamburg,18,NME,24
Hamburg,19,NME,
Masters W-L,1,0–0,235
Masters W-L,2,0–0,135
Masters W-L,3,4–2,91
Masters W-L,4,0–1,158
Masters W-L,5,0–0,103
Masters W-L,6,0–1,92
Masters W-L,7,3–5,35
Masters W-L,8,4–9,26
Masters W-L,9,3–7,34
Masters W-L,10,5–9,13
Masters W-L,11,9–8,11
Masters W-L,12,8–9,18
Masters W-L,13,17–5,9
Masters W-L,14,17–7,6
Masters W-L,15,12–7,8
Masters W-L,16,14–9,10
Masters W-L,17,13–8,8
Masters W-L,18,7–9,24
Masters W-L,19,0–0,
