project_name,sub_item_project_name,construction_company,registered_constructor,sampling_time,specimen_number,batch_id,serial_number,date,cumulative_time_d,daily_average_temperature_c,cumulative_temperature_c
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,6,2011.10.1,6,24,119
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,2,29,2011.10.24,29,18,577
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,7,2011.10.2,7,20,139
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,2,30,2011.10.25,30,19,596
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,8,2011.10.3,8,19,158
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,9,2011.10.4,9,22,180
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,10,2011.10.5,10,20,200
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,11,2011.10.6,11,21,221
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,12,2011.10.7,12,20,241
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,13,2011.10.8,13,22,263
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,14,2011.10.9,14,19,282
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,15,2011.10.10,15,19,301
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,16,2011.10.11,16,22,323
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,17,2011.10.12,17,20,343
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,18,2011.10.13,18,19,362
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,19,2011.10.14,19,20,382
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,20,2011.10.15,20,22,404
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,21,2011.10.16,21,19,423
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,22,2011.10.17,22,20,443
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,23,2011.10.18,23,21,464
