home_province,subject_category,admission_batch,major,average_score,highest_score,control_line,admission_line_difference
,,,Sci (1),,633.0,633.0,495.0
,,,Sci (1),,632.0,632.0,495.0
,,,Art(1),,655.0,662.0,557.0
,,,Art(1),,647.0,647.0,557.0
,,,Art(1),,643.0,646.0,557.0
,,,Art(1),,638.0,638.0,557.0
,,,Art(1),,638.0,642.0,557.0
,,,Art(1),,637.0,638.0,557.0
,,,Art(1),,637.0,640.0,557.0
,,,Art(1),,634.0,636.0,557.0
,,,Art(1),,632.0,632.0,557.0
,,,Art(1),,630.0,630.0,557.0
,Jilin,,Sci (1),,690.0,694.0,535.0
,,,Sci (1),,690.0,690.0,535.0
,,,Sci (1),,690.0,690.0,535.0
,,,Sci (1),,686.0,686.0,535.0
,,,Sci (1),,685.0,690.0,535.0
,,,Sci (1),,685.0,685.0,535.0
,,,Sci (1),,683.0,686.0,535.0
,,,Sci (1),,682.0,685.0,535.0
,,,Art(1),,637.0,637.0,510.0
,,,Art(1),,635.0,635.0,510.0
,,,Art(1),,628.0,629.0,510.0
,,,Art(1),,627.0,628.0,510.0
,,,Art(1),,625.0,632.0,510.0
,,,Art(1),,624.0,624.0,510.0
,,,Art(1),,624.0,624.0,510.0
,,,Art(1),,620.0,620.0,510.0
,Jiangxi,,Sci (1),,673.0,674.0,517.0
,,,Sci (1),,672.0,672.0,517.0
,,,Sci (1),,671.0,671.0,517.0
,,,Sci (1),,666.0,668.0,517.0
,,,Sci (1),,664.0,664.0,517.0
,,,Sci (1),,664.0,664.0,517.0
,,,Sci (1),,663.0,663.0,517.0
,,,Sci (1),,662.0,662.0,517.0
,,,Sci (1),,662.0,662.0,517.0
,,,Art(1),,636.0,636.0,532.0
,,,Art(1),,634.0,634.0,532.0
,,,Art(1),,628.0,628.0,532.0
,,,Art(1),,626.0,626.0,532.0
,,,Art(1),,626.0,628.0,532.0
,,,Art(1),,625.0,625.0,532.0
,,,Art(1),,624.0,624.0,532.0
,,,Art(1),,622.0,622.0,532.0
,,,Art(1),,621.0,621.0,532.0
,,,Art(1),,620.0,620.0,532.0
,,,Art(1),,619.0,619.0,532.0
,Liaoning,,Sci (1),,700.0,700.0,538.0
,,,Sci (1),,689.0,689.0,538.0
,,,Sci (1),,687.0,688.0,538.0
,,,Sci (1),,681.0,681.0,538.0
,,,Sci (1),,679.0,679.0,538.0
,,,Sci (1),,678.0,685.0,538.0
,,,Sci (1),,674.0,679.0,538.0
,,,Sci (1),,674.0,680.0,538.0
,,,Sci (1),,673.0,677.0,538.0
,,,Sci (1),,667.0,667.0,538.0
,,,Art(1),,641.0,641.0,554.0
,,,Art(1),,639.0,639.0,554.0
,,,Art(1),,637.0,637.0,554.0
,,,Art(1),,637.0,637.0,554.0
,,,Art(1),,636.0,636.0,554.0
,,,Art(1),,631.0,639.0,554.0
,,,Art(1),,628.0,632.0,554.0
,,,Art(1),,628.0,631.0,554.0
,,,Art(1),,628.0,629.0,554.0
,Inner Mongolia,,Sci (1),,673.0,673.0,482.0
,,,Sci (1),,662.0,662.0,482.0
,,,Sci (1),,657.0,657.0,482.0
,,,Sci (1),,653.0,653.0,482.0
,,,Sci (1),,643.0,643.0,482.0
,,,Sci (1),,640.0,640.0,482.0
,,,Sci (1),,640.0,640.0,482.0
,,,Art(1),,615.0,615.0,474.0
,,,Art(1),,596.0,596.0,474.0
,,,Art(1),,586.0,586.0,474.0
,,,Art(1),,584.0,585.0,474.0
,,,Art(1),,571.0,571.0,474.0
,Ningxia,,Sci (1),,667.0,670.0,455.0
,,,Sci (1),,642.0,642.0,455.0
,,,Sci (1),,641.0,649.0,455.0
,,,Sci (1),,636.0,638.0,455.0
,,,Sci (1),,634.0,634.0,455.0
,,,Art(1),,634.0,634.0,484.0
,,,Art(1),,629.0,629.0,484.0
,,,Art(1),,621.0,621.0,484.0
,,,Art(1),,621.0,621.0,484.0
,,,Art(1),,613.0,613.0,484.0
,,,Art(1),,611.0,611.0,484.0
,,,Art(1),,609.0,609.0,484.0
,Qinghai,,Sci (1),,652.0,652.0,383.0
,,,Sci (1),,652.0,652.0,383.0
,,,Sci (1),,641.0,641.0,383.0
,,,Sci (1),,628.0,628.0,383.0
,,,Sci (1),,620.0,620.0,383.0
,,,Sci (1),,620.0,620.0,383.0
,,,Sci (1),,615.0,620.0,383.0
,,,Art(1),,628.0,628.0,435.0
,,,Art(1),,598.0,598.0,435.0
,,,Art(1),,587.0,591.0,435.0
,,,Art(1),,587.0,587.0,435.0
,,,Art(1),,586.0,586.0,435.0
,,,Art(1),,582.0,582.0,435.0
,,,Art(1),,579.0,579.0,435.0
,Shandong,,Sci (1),,703.0,705.0,554.0
,,,Sci (1),,696.0,699.0,554.0
,,,Sci (1),,693.0,704.0,554.0
,,,Sci (1),,683.0,698.0,554.0
,,,Sci (1),,679.0,679.0,554.0
,,,Sci (1),,679.0,696.0,554.0
,,,Sci (1),,678.0,682.0,554.0
,,,Sci (1),,673.0,674.0,554.0
,,,Sci (1),,671.0,701.0,554.0
,,,Sci (1),,669.0,686.0,554.0
,,,Sci (1),,633.0,639.0,554.0
,,,Art(1),,683.0,684.0,570.0
,,,Art(1),,671.0,672.0,570.0
,,,Art(1),,670.0,670.0,570.0
,,,Art(1),,670.0,670.0,570.0
,,,Art(1),,666.0,668.0,570.0
,,,Art(1),,665.0,670.0,570.0
,,,Art(1),,665.0,666.0,570.0
,,,Art(1),,662.0,678.0,570.0
,,,Art(1),,656.0,667.0,570.0
,,,Art(1),,653.0,665.0,570.0
,Shanxi,,Sci (1),,656.0,656.0,493.0
,,,Sci (1),,645.0,645.0,493.0
,,,Sci (1),,641.0,641.0,493.0
,,,Sci (1),,641.0,642.0,493.0
,,,Sci (1),,638.0,640.0,493.0
,,,Sci (1),,630.0,636.0,493.0
,,,Sci (1),,627.0,627.0,493.0
,,,Sci (1),,627.0,627.0,493.0
,,,Sci (1),,625.0,627.0,493.0
,,,Art(1),,604.0,609.0,507.0
,,,Art(1),,601.0,602.0,507.0
,,,Art(1),,599.0,599.0,507.0
,,,Art(1),,598.0,598.0,507.0
,,,Art(1),,598.0,601.0,507.0
,,,Art(1),,598.0,598.0,507.0
,,,Art(1),,594.0,595.0,507.0
,,,Art(1),,593.0,593.0,507.0
,,,Art(1),,593.0,595.0,507.0
,,,Art(1),,593.0,593.0,507.0
,Shaanxi,,Sci (1),,696.0,706.0,485.0
,,,Sci (1),,693.0,693.0,485.0
,,,Sci (1),,691.0,695.0,485.0
,,,Sci (1),,690.0,697.0,485.0
,,,Sci (1),,690.0,698.0,485.0
,,,Sci (1),,687.0,687.0,485.0
,,,Sci (1),,686.0,686.0,485.0
,,,Sci (1),,681.0,681.0,485.0
,,,Sci (1),,681.0,681.0,485.0
,,,Art(1),,667.0,671.0,540.0
,,,Art(1),,657.0,657.0,540.0
,,,Art(1),,655.0,656.0,540.0
,,,Art(1),,654.0,654.0,540.0
,,,Art(1),,649.0,649.0,540.0
,,,Art(1),,647.0,652.0,540.0
,,,Art(1),,645.0,646.0,540.0
,,,Art(1),,644.0,644.0,540.0
,,,Art(1),,642.0,642.0,540.0
,,,Art(1),,641.0,642.0,540.0
,,,Art(1),,641.0,641.0,540.0
,,,Art(1),,641.0,641.0,540.0
,Sichuan,,Sci (1),,692.0,694.0,562.0
,,,Sci (1),,685.0,691.0,562.0
,,,Sci (1),,677.0,677.0,562.0
,,,Sci (1),,674.0,674.0,562.0
,,,Sci (1),,674.0,675.0,562.0
,,,Sci (1),,674.0,675.0,562.0
,,,Sci (1),,673.0,673.0,562.0
,,,Sci (1),,672.0,675.0,562.0
,,,Art(1),,659.0,659.0,567.0
,,,Art(1),,640.0,640.0,567.0
,,,Art(1),,639.0,639.0,567.0
,,,Art(1),,638.0,651.0,567.0
,,,Art(1),,638.0,644.0,567.0
,,,Art(1),,638.0,641.0,567.0
,,,Art(1),,637.0,645.0,567.0
,,,Art(1),,637.0,645.0,567.0
,,,Art(1),,635.0,640.0,567.0
,Tianjin,,Sci (1),,671.0,676.0,521.0
,,,Sci (1),,671.0,675.0,521.0
,,,Sci (1),,668.0,674.0,521.0
,,,Sci (1),,665.0,667.0,521.0
,,,Sci (1),,664.0,668.0,521.0
,,,Sci (1),,685.0,695.0,521.0
,,,Sci (1),,684.0,685.0,521.0
,,,Sci (1),,682.0,683.0,521.0
,,,Sci (1),,680.0,680.0,521.0
,,,Sci (1),,679.0,685.0,521.0
,,,Sci (1),,674.0,674.0,521.0
,,,Sci (1),,660.0,660.0,521.0
,,,Sci (1),,641.0,659.0,521.0
,,,Art(1),,663.0,663.0,533.0
,,,Art(1),,660.0,660.0,533.0
,,,Art(1),,659.0,659.0,533.0
,,,Art(1),,659.0,659.0,533.0
,,,Art(1),,650.0,654.0,533.0
,,,Art(1),,646.0,647.0,533.0
,,,Art(1),,644.0,653.0,533.0
,,,Art(1),,639.0,639.0,533.0
,,,Art(1),,635.0,635.0,533.0
,,,Art(1),,633.0,646.0,533.0
,,,Art(1),,626.0,659.0,533.0
,,,Art(1),,663.0,663.0,533.0
,,,Art(1),,660.0,660.0,533.0
,,,Art(1),,659.0,659.0,533.0
,,,Art(1),,659.0,659.0,533.0
,,,Art(1),,650.0,654.0,533.0
,,,Art(1),,646.0,647.0,533.0
,,,Art(1),,644.0,653.0,533.0
,,,Art(1),,639.0,639.0,533.0
,,,Art(1),,635.0,635.0,533.0
,Xinjiang,,Sci (1),,660.0,667.0,443.0
,,,Sci (1),,658.0,663.0,443.0
,,,Sci (1),,653.0,653.0,443.0
,,,Sci (1),,651.0,667.0,443.0
,,,Sci (1),,648.0,653.0,443.0
,,,Sci (1),,641.0,661.0,443.0
,,,Sci (1),,637.0,651.0,443.0
,,,Sci (1),,632.0,648.0,443.0
,,,Sci (1),,604.0,604.0,443.0
,,,Art(1),,628.0,628.0,460.0
,,,Art(1),,624.0,624.0,460.0
,,,Art(1),,620.0,626.0,460.0
,,,Art(1),,615.0,619.0,460.0
,,,Art(1),,613.0,617.0,460.0
,,,Art(1),,605.0,614.0,460.0
,,,Art(1),,604.0,604.0,460.0
,,,Art(1),,602.0,603.0,460.0
,,,Art(1),,598.0,618.0,460.0
,,,Art(1),,597.0,602.0,460.0
,Yunnan,,Sci (1),,697.0,697.0,495.0
,,,Sci (1),,689.0,692.0,495.0
,,,Sci (1),,686.0,686.0,495.0
,,,Sci (1),,685.0,685.0,495.0
,,,Sci (1),,683.0,683.0,495.0
,,,Sci (1),,680.0,681.0,495.0
,,,Sci (1),,675.0,675.0,495.0
,,,Sci (1),,660.0,669.0,495.0
,,,Sci (1),,658.0,658.0,495.0
,,,Art(1),,671.0,671.0,520.0
,,,Art(1),,665.0,665.0,520.0
,,,Art(1),,655.0,659.0,520.0
,,,Art(1),,655.0,656.0,520.0
,,,Art(1),,653.0,654.0,520.0
,,,Art(1),,653.0,655.0,520.0
,,,Art(1),,633.0,633.0,520.0
,Chongqing,,Sci (1),,681.0,693.0,520.0
,,,Sci (1),,680.0,680.0,520.0
,,,Sci (1),,669.0,669.0,520.0
,,,Sci (1),,666.0,667.0,520.0
,,,Sci (1),,664.0,664.0,520.0
,,,Sci (1),,662.0,662.0,520.0
,,,Sci (1),,660.0,666.0,520.0
,,,Art(1),,676.0,685.0,556.0
,,,Art(1),,670.0,670.0,556.0
,,,Art(1),,670.0,670.0,556.0
,,,Art(1),,669.0,669.0,556.0
,,,Art(1),,668.0,668.0,556.0
,,,Art(1),,668.0,668.0,556.0
,,,Art(1),,666.0,666.0,556.0
,,,Art(1),,666.0,666.0,556.0
,,,Art(1),,663.0,666.0,556.0
