city,subgroup_id,measure_type,value
regina,1,percent_change,-4.0
regina,2,rate,118.0
regina,2,percent_change,18.0
regina,3,rate,760.0
regina,3,percent_change,7.0
regina,4,rate,523.0
regina,4,percent_change,17.0
saskatoon,1,rate,95.0
saskatoon,1,percent_change,44.0
saskatoon,2,rate,116.0
saskatoon,2,percent_change,-11.0
saskatoon,3,rate,791.0
saskatoon,3,percent_change,-3.0
saskatoon,4,rate,453.0
saskatoon,4,percent_change,16.0
calgary,1,rate,44.0
calgary,1,percent_change,-14.0
calgary,2,rate,62.0
calgary,2,percent_change,-24.0
calgary,3,rate,576.0
calgary,3,percent_change,-10.0
calgary,4,rate,535.0
calgary,4,percent_change,0.0
edmonton,1,rate,72.0
edmonton,1,percent_change,-8.0
edmonton,2,rate,103.0
edmonton,2,percent_change,-8.0
edmonton,3,rate,582.0
edmonton,3,percent_change,-4.0
edmonton,4,rate,483.0
edmonton,4,percent_change,10.0
kelowna,1,rate,34.0
kelowna,1,percent_change,-18.0
kelowna,2,rate,41.0
kelowna,2,percent_change,-28.0
kelowna,3,rate,620.0
kelowna,3,percent_change,-3.0
kelowna,4,rate,316.0
kelowna,4,percent_change,-11.0
abbotsford-mission,1,rate,42.0
abbotsford-mission,1,percent_change,0.0
abbotsford-mission,2,rate,64.0
abbotsford-mission,2,percent_change,-36.0
abbotsford-mission,3,rate,577.0
abbotsford-mission,3,percent_change,-19.0
abbotsford-mission,4,rate,493.0
abbotsford-mission,4,percent_change,-1.0
vancouver,1,rate,44.0
vancouver,1,percent_change,2.0
vancouver,2,rate,78.0
vancouver,2,percent_change,-24.0
vancouver,3,rate,678.0
vancouver,3,percent_change,-1.0
vancouver,4,rate,312.0
vancouver,4,percent_change,-7.0
victoria,1,rate,64.0
victoria,1,percent_change,7.0
victoria,2,rate,37.0
victoria,2,percent_change,-15.0
victoria,3,rate,326.0
victoria,3,percent_change,-20.0
victoria,4,rate,108.0
victoria,4,percent_change,0.0
