year,ethnicity_cn,ethnicity_en,age_group,measure_type,value
2011,南亞裔人士,South Asian,< 15,count,16824.0
2011,南亞裔人士,South Asian,15 - 24,count,7812.0
2011,南亞裔人士,South Asian,25 - 34,count,15271.0
2011,南亞裔人士,South Asian,35 - 44,count,13388.0
2011,南亞裔人士,South Asian,45 - 54,count,6110.0
2011,南亞裔人士,South Asian,55 - 64,count,3204.0
2011,南亞裔人士,South Asian,65+,count,2912.0
2011,南亞裔人士,South Asian,< 15,percentage,25.7
2011,南亞裔人士,South Asian,15 - 24,percentage,11.9
2011,南亞裔人士,South Asian,25 - 34,percentage,23.3
2011,南亞裔人士,South Asian,35 - 44,percentage,20.4
2011,南亞裔人士,South Asian,45 - 54,percentage,9.3
2011,南亞裔人士,South Asian,55 - 64,percentage,4.9
2011,南亞裔人士,South Asian,65+,percentage,4.4
2011,印度人,Indian,< 15,count,5767.0
2011,印度人,Indian,15 - 24,count,2965.0
2011,印度人,Indian,25 - 34,count,7175.0
2011,印度人,Indian,35 - 44,count,5880.0
2011,印度人,Indian,45 - 54,count,3113.0
2011,印度人,Indian,55 - 64,count,1756.0
2011,印度人,Indian,65+,count,1960.0
2011,印度人,Indian,< 15,percentage,20.2
2011,印度人,Indian,15 - 24,percentage,10.4
2011,印度人,Indian,25 - 34,percentage,25.1
2011,印度人,Indian,35 - 44,percentage,20.5
2011,印度人,Indian,45 - 54,percentage,10.9
2011,印度人,Indian,55 - 64,percentage,6.1
2011,印度人,Indian,65+,percentage,6.8
2011,尼泊爾人,Nepalese,< 15,count,3562.0
2011,尼泊爾人,Nepalese,15 - 24,count,2521.0
2011,尼泊爾人,Nepalese,25 - 34,count,3923.0
2011,尼泊爾人,Nepalese,35 - 44,count,3850.0
2011,尼泊爾人,Nepalese,45 - 54,count,1836.0
2011,尼泊爾人,Nepalese,55 - 64,count,474.0
2011,尼泊爾人,Nepalese,65+,count,352.0
2011,尼泊爾人,Nepalese,< 15,percentage,21.6
2011,尼泊爾人,Nepalese,15 - 24,percentage,15.3
2011,尼泊爾人,Nepalese,25 - 34,percentage,23.7
2011,尼泊爾人,Nepalese,35 - 44,percentage,23.3
2011,尼泊爾人,Nepalese,45 - 54,percentage,11.1
2011,尼泊爾人,Nepalese,55 - 64,percentage,2.9
2011,尼泊爾人,Nepalese,65+,percentage,2.1
2011,巴基斯坦人,Pakistani,< 15,count,7148.0
2011,巴基斯坦人,Pakistani,15 - 24,count,2130.0
2011,巴基斯坦人,Pakistani,25 - 34,count,3678.0
2011,巴基斯坦人,Pakistani,35 - 44,count,3068.0
2011,巴基斯坦人,Pakistani,45 - 54,count,816.0
2011,巴基斯坦人,Pakistani,55 - 64,count,627.0
2011,巴基斯坦人,Pakistani,65+,count,575.0
2011,巴基斯坦人,Pakistani,< 15,percentage,39.6
2011,巴基斯坦人,Pakistani,15 - 24,percentage,11.8
2011,巴基斯坦人,Pakistani,25 - 34,percentage,20.4
2011,巴基斯坦人,Pakistani,35 - 44,percentage,17.0
2011,巴基斯坦人,Pakistani,45 - 54,percentage,4.5
2011,巴基斯坦人,Pakistani,55 - 64,percentage,3.5
2011,巴基斯坦人,Pakistani,65+,percentage,3.2
2011,其他南亞裔人士[2],Other South Asian[2],< 15,count,347.0
2011,其他南亞裔人士[2],Other South Asian[2],15 - 24,count,196.0
2011,其他南亞裔人士[2],Other South Asian[2],25 - 34,count,495.0
2011,其他南亞裔人士[2],Other South Asian[2],35 - 44,count,590.0
2011,其他南亞裔人士[2],Other South Asian[2],45 - 54,count,345.0
2011,其他南亞裔人士[2],Other South Asian[2],55 - 64,count,347.0
2011,其他南亞裔人士[2],Other South Asian[2],65+,count,25.0
2011,其他南亞裔人士[2],Other South Asian[2],< 15,percentage,14.8
2011,其他南亞裔人士[2],Other South Asian[2],15 - 24,percentage,8.4
2011,其他南亞裔人士[2],Other South Asian[2],25 - 34,percentage,21.1
2011,其他南亞裔人士[2],Other South Asian[2],35 - 44,percentage,25.2
2011,其他南亞裔人士[2],Other South Asian[2],45 - 54,percentage,14.7
2011,其他南亞裔人士[2],Other South Asian[2],55 - 64,percentage,14.8
2011,其他南亞裔人士[2],Other South Asian[2],65+,percentage,1.1
2011,泰國人,Thai,< 15,count,398.0
2011,泰國人,Thai,15 - 24,count,266.0
2011,泰國人,Thai,25 - 34,count,1540.0
2011,泰國人,Thai,35 - 44,count,3563.0
2011,泰國人,Thai,45 - 54,count,3405.0
2011,泰國人,Thai,55 - 64,count,1656.0
2011,泰國人,Thai,65+,count,385.0
2011,泰國人,Thai,< 15,percentage,3.5
2011,泰國人,Thai,15 - 24,percentage,2.4
2011,泰國人,Thai,25 - 34,percentage,13.7
2011,泰國人,Thai,35 - 44,percentage,31.8
2011,泰國人,Thai,45 - 54,percentage,30.4
2011,泰國人,Thai,55 - 64,percentage,14.8
2011,泰國人,Thai,65+,percentage,3.4
2011,日本人,Japanese,< 15,count,2152.0
2011,日本人,Japanese,15 - 24,count,377.0
2011,日本人,Japanese,25 - 34,count,1724.0
2011,日本人,Japanese,35 - 44,count,3893.0
2011,日本人,Japanese,45 - 54,count,2694.0
2011,日本人,Japanese,55 - 64,count,1244.0
2011,日本人,Japanese,65+,count,496.0
2011,日本人,Japanese,< 15,percentage,17.1
2011,日本人,Japanese,15 - 24,percentage,3.0
2011,日本人,Japanese,25 - 34,percentage,13.7
2011,日本人,Japanese,35 - 44,percentage,30.9
2011,日本人,Japanese,45 - 54,percentage,21.4
2011,日本人,Japanese,55 - 64,percentage,9.9
2011,日本人,Japanese,65+,percentage,3.9
2011,韓國人,Korean,< 15,count,897.0
2011,韓國人,Korean,15 - 24,count,290.0
2011,韓國人,Korean,25 - 34,count,958.0
2011,韓國人,Korean,35 - 44,count,1552.0
2011,韓國人,Korean,45 - 54,count,854.0
2011,韓國人,Korean,55 - 64,count,463.0
2011,韓國人,Korean,65+,count,195.0
2011,韓國人,Korean,< 15,percentage,17.2
2011,韓國人,Korean,15 - 24,percentage,5.6
2011,韓國人,Korean,25 - 34,percentage,18.4
2011,韓國人,Korean,35 - 44,percentage,29.8
2011,韓國人,Korean,45 - 54,percentage,16.4
2011,韓國人,Korean,55 - 64,percentage,8.9
2011,韓國人,Korean,65+,percentage,3.7
2011,其他亞洲人,Other Asian,< 15,count,493.0
2011,其他亞洲人,Other Asian,15 - 24,count,484.0
2011,其他亞洲人,Other Asian,25 - 34,count,1131.0
2011,其他亞洲人,Other Asian,35 - 44,count,1044.0
2011,其他亞洲人,Other Asian,45 - 54,count,835.0
2011,其他亞洲人,Other Asian,55 - 64,count,378.0
2011,其他亞洲人,Other Asian,65+,count,328.0
2011,其他亞洲人,Other Asian,< 15,percentage,10.5
2011,其他亞洲人,Other Asian,15 - 24,percentage,10.3
2011,其他亞洲人,Other Asian,25 - 34,percentage,24.1
2011,其他亞洲人,Other Asian,35 - 44,percentage,22.2
2011,其他亞洲人,Other Asian,45 - 54,percentage,17.8
2011,其他亞洲人,Other Asian,55 - 64,percentage,8.1
2011,其他亞洲人,Other Asian,65+,percentage,7.0
2011,白人,White,< 15,count,9295.0
2011,白人,White,15 - 24,count,4031.0
2011,白人,White,25 - 34,count,9512.0
2011,白人,White,35 - 44,count,13197.0
2011,白人,White,45 - 54,count,10149.0
2011,白人,White,55 - 64,count,5855.0
2011,白人,White,65+,count,3197.0
2011,白人,White,< 15,percentage,16.8
2011,白人,White,15 - 24,percentage,7.3
2011,白人,White,25 - 34,percentage,17.2
2011,白人,White,35 - 44,percentage,23.9
2011,白人,White,45 - 54,percentage,18.4
2011,白人,White,55 - 64,percentage,10.6
2011,白人,White,65+,percentage,5.8
2011,混血兒,Mixed,< 15,count,10826.0
2011,混血兒,Mixed,15 - 24,count,5007.0
2011,混血兒,Mixed,25 - 34,count,4163.0
2011,混血兒,Mixed,35 - 44,count,3330.0
2011,混血兒,Mixed,45 - 54,count,2898.0
2011,混血兒,Mixed,55 - 64,count,1380.0
2011,混血兒,Mixed,65+,count,1397.0
2011,混血兒,Mixed,< 15,percentage,37.3
2011,混血兒,Mixed,15 - 24,percentage,17.3
2011,混血兒,Mixed,25 - 34,percentage,14.4
2011,混血兒,Mixed,35 - 44,percentage,11.5
2011,混血兒,Mixed,45 - 54,percentage,10.0
2011,混血兒,Mixed,55 - 64,percentage,4.8
2011,混血兒,Mixed,65+,percentage,4.8
2011,華人父或母,With Chinese parent,< 15,count,8429.0
2011,華人父或母,With Chinese parent,15 - 24,count,4449.0
2011,華人父或母,With Chinese parent,25 - 34,count,3544.0
2011,華人父或母,With Chinese parent,35 - 44,count,2899.0
2011,華人父或母,With Chinese parent,45 - 54,count,2688.0
2011,華人父或母,With Chinese parent,55 - 64,count,1321.0
2011,華人父或母,With Chinese parent,65+,count,1319.0
2011,華人父或母,With Chinese parent,< 15,percentage,34.2
2011,華人父或母,With Chinese parent,15 - 24,percentage,18.0
2011,華人父或母,With Chinese parent,25 - 34,percentage,14.4
2011,華人父或母,With Chinese parent,35 - 44,percentage,11.8
2011,華人父或母,With Chinese parent,45 - 54,percentage,10.9
2011,華人父或母,With Chinese parent,55 - 64,percentage,5.4
2011,華人父或母,With Chinese parent,65+,percentage,5.4
2011,其他混血兒,Other mixed,< 15,count,2397.0
2011,其他混血兒,Other mixed,15 - 24,count,558.0
2011,其他混血兒,Other mixed,25 - 34,count,619.0
2011,其他混血兒,Other mixed,35 - 44,count,431.0
2011,其他混血兒,Other mixed,45 - 54,count,210.0
2011,其他混血兒,Other mixed,55 - 64,count,59.0
2011,其他混血兒,Other mixed,65+,count,78.0
2011,其他混血兒,Other mixed,< 15,percentage,55.1
2011,其他混血兒,Other mixed,15 - 24,percentage,12.8
2011,其他混血兒,Other mixed,25 - 34,percentage,14.2
2011,其他混血兒,Other mixed,35 - 44,percentage,9.9
2011,其他混血兒,Other mixed,45 - 54,percentage,4.8
2011,其他混血兒,Other mixed,55 - 64,percentage,1.4
2011,其他混血兒,Other mixed,65+,percentage,1.8
2011,其他[3],Others[3],< 15,count,215.0
2011,其他[3],Others[3],15 - 24,count,80.0
2011,其他[3],Others[3],25 - 34,count,380.0
2011,其他[3],Others[3],35 - 44,count,453.0
2011,其他[3],Others[3],45 - 54,count,158.0
2011,其他[3],Others[3],55 - 64,count,49.0
2011,其他[3],Others[3],< 15,percentage,16.1
2011,其他[3],Others[3],15 - 24,percentage,6.0
2011,其他[3],Others[3],25 - 34,percentage,28.5
2011,其他[3],Others[3],35 - 44,percentage,33.9
2011,其他[3],Others[3],45 - 54,percentage,11.8
2011,其他[3],Others[3],55 - 64,percentage,3.7
