age_group,sex,occupation,count
    40-44,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",30448
    45-49,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",23536
    50-54,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",28164
    55-59,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",20597
    60-64,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",11338
    65-69,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",7530
70 and above,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",4066
    16-19,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",3850
    20-24,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",6477
    25-29,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",6819
    30-34,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",11319
    35-39,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",15742
    40-44,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",14744
    45-49,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",11914
    50-54,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",15302
    55-59,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",12167
    60-64,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",7314
    65-69,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",5265
70 and above,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",2931
    16-19,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",3145
    20-24,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",6774
    25-29,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",7072
    30-34,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",11875
    35-39,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",17078
    40-44,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",15704
    45-49,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",11622
    50-54,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",12862
    55-59,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",8430
    60-64,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",4024
    65-69,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",2265
70 and above,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",1135
    16-19,,"Production, transportation equipment operators and related personnel",2995
    20-24,,"Production, transportation equipment operators and related personnel",5326
    25-29,,"Production, transportation equipment operators and related personnel",5433
    30-34,,"Production, transportation equipment operators and related personnel",7544
    35-39,,"Production, transportation equipment operators and related personnel",8883
    40-44,,"Production, transportation equipment operators and related personnel",6823
    45-49,,"Production, transportation equipment operators and related personnel",3519
    50-54,,"Production, transportation equipment operators and related personnel",2602
    55-59,,"Production, transportation equipment operators and related personnel",1054
    60-64,,"Production, transportation equipment operators and related personnel",314
    65-69,,"Production, transportation equipment operators and related personnel",137
70 and above,,"Production, transportation equipment operators and related personnel",58
    16-19,,"Production, transportation equipment operators and related personnel",1680
    20-24,,"Production, transportation equipment operators and related personnel",3409
    25-29,,"Production, transportation equipment operators and related personnel",3760
    30-34,,"Production, transportation equipment operators and related personnel",5221
    35-39,,"Production, transportation equipment operators and related personnel",6211
    40-44,,"Production, transportation equipment operators and related personnel",5004
    45-49,,"Production, transportation equipment operators and related personnel",2828
    50-54,,"Production, transportation equipment operators and related personnel",2183
    55-59,,"Production, transportation equipment operators and related personnel",897
    60-64,,"Production, transportation equipment operators and related personnel",275
    65-69,,"Production, transportation equipment operators and related personnel",114
70 and above,,"Production, transportation equipment operators and related personnel",48
    16-19,,"Production, transportation equipment operators and related personnel",1315
    20-24,,"Production, transportation equipment operators and related personnel",1917
    25-29,,"Production, transportation equipment operators and related personnel",1673
    30-34,,"Production, transportation equipment operators and related personnel",2323
    35-39,,"Production, transportation equipment operators and related personnel",2672
    40-44,,"Production, transportation equipment operators and related personnel",1819
    45-49,,"Production, transportation equipment operators and related personnel",691
    50-54,,"Production, transportation equipment operators and related personnel",419
    55-59,,"Production, transportation equipment operators and related personnel",157
    60-64,,"Production, transportation equipment operators and related personnel",39
    65-69,,"Production, transportation equipment operators and related personnel",23
70 and above,,"Production, transportation equipment operators and related personnel",10
    16-19,,Other occupational categories that are difficult to classify,43
    20-24,,Other occupational categories that are difficult to classify,83
    25-29,,Other occupational categories that are difficult to classify,103
    30-34,,Other occupational categories that are difficult to classify,165
    35-39,,Other occupational categories that are difficult to classify,163
    40-44,,Other occupational categories that are difficult to classify,173
    45-49,,Other occupational categories that are difficult to classify,104
    50-54,,Other occupational categories that are difficult to classify,84
    55-59,,Other occupational categories that are difficult to classify,59
    60-64,,Other occupational categories that are difficult to classify,24
    65-69,,Other occupational categories that are difficult to classify,18
70 and above,,Other occupational categories that are difficult to classify,4
    16-19,,Other occupational categories that are difficult to classify,24
    20-24,,Other occupational categories that are difficult to classify,46
    25-29,,Other occupational categories that are difficult to classify,63
    30-34,,Other occupational categories that are difficult to classify,108
    35-39,,Other occupational categories that are difficult to classify,105
    40-44,,Other occupational categories that are difficult to classify,108
    45-49,,Other occupational categories that are difficult to classify,69
    50-54,,Other occupational categories that are difficult to classify,70
    55-59,,Other occupational categories that are difficult to classify,43
    60-64,,Other occupational categories that are difficult to classify,19
    65-69,,Other occupational categories that are difficult to classify,15
70 and above,,Other occupational categories that are difficult to classify,3
    16-19,,Other occupational categories that are difficult to classify,19
    20-24,,Other occupational categories that are difficult to classify,37
    25-29,,Other occupational categories that are difficult to classify,40
    30-34,,Other occupational categories that are difficult to classify,57
    35-39,,Other occupational categories that are difficult to classify,58
    40-44,,Other occupational categories that are difficult to classify,65
    45-49,,Other occupational categories that are difficult to classify,35
    50-54,,Other occupational categories that are difficult to classify,14
    55-59,,Other occupational categories that are difficult to classify,16
    60-64,,Other occupational categories that are difficult to classify,5
    65-69,,Other occupational categories that are difficult to classify,3
70 and above,,Other occupational categories that are difficult to classify,1
