region,metric_id,value
Zhejiang,5,209.5
Anhui,5,52.9
Fujian,5,66.0
Jiangxi,5,96.4
Shandong,5,111.4
Henan,5,97.4
Hubei,5,23.5
Hunan,5,60.0
Guangdong,5,84.2
Guangxi,5,16.6
Hainan,5,2.1
Chongqing,5,51.5
Sichuan,5,43.1
Guizhou,5,11.1
Yunnan,5,16.5
Tibet,5,0.4
Shaanxi,5,30.7
Gansu,5,7.0
Qinghai,5,1.0
Ningxia,5,22.7
Xinjiang,5,13.7
Beijing,6,53.4
Tianjin,6,
Hebei,6,35.9
Shanxi,6,8.7
Inner Mongolia,6,3.8
Liaoning,6,38.7
Jilin,6,13.4
Heilongjiang,6,11.7
Shanghai,6,61.0
Jiangsu,6,193.7
Zhejiang,6,96.1
Anhui,6,28.3
Fujian,6,28.0
Jiangxi,6,82.1
Shandong,6,208.5
Henan,6,26.9
Hubei,6,39.1
Hunan,6,202.5
Guangdong,6,288.9
Guangxi,6,42.7
Hainan,6,0.1
Chongqing,6,31.0
Sichuan,6,21.8
Guizhou,6,3.5
Yunnan,6,21.0
Tibet,6,0.4
Shaanxi,6,24.2
Gansu,6,7.5
Qinghai,6,8.0
Ningxia,6,24.9
Xinjiang,6,7.0
Beijing,7,
Tianjin,7,
Hebei,7,49.0
Shanxi,7,11.8
Inner Mongolia,7,13.3
Liaoning,7,71.9
Jilin,7,23.1
Heilongjiang,7,21.0
Shanghai,7,97.2
Jiangsu,7,117.4
Zhejiang,7,155.3
Anhui,7,98.3
Fujian,7,31.8
Jiangxi,7,41.7
Shandong,7,157.1
Henan,7,37.0
Hubei,7,20.3
Hunan,7,30.3
Guangdong,7,105.1
Guangxi,7,28.7
Hainan,7,
Chongqing,7,34.9
Sichuan,7,30.2
Guizhou,7,7.7
Yunnan,7,16.2
Tibet,7,0.7
Shaanxi,7,13.3
Gansu,7,18.1
Qinghai,7,1.3
Ningxia,7,19.6
Xinjiang,7,11.5
Beijing,8,
Tianjin,8,45.9
Hebei,8,43.9
Shanxi,8,18.4
Inner Mongolia,8,10.5
Liaoning,8,77.2
Jilin,8,49.4
Heilongjiang,8,16.0
Shanghai,8,92.2
Jiangsu,8,121.4
Zhejiang,8,135.0
Anhui,8,47.2
Fujian,8,46.4
Jiangxi,8,19.7
Shandong,8,136.6
Henan,8,95.1
Hubei,8,36.0
Hunan,8,40.5
Guangdong,8,132.8
Guangxi,8,31.2
Hainan,8,
Chongqing,8,46.0
Sichuan,8,45.5
Guizhou,8,2.0
Yunnan,8,57.3
Tibet,8,3.0
Shaanxi,8,8.5
Gansu,8,10.8
Qinghai,8,1.0
Ningxia,8,21.5
Xinjiang,8,5.6
Beijing,9,
Tianjin,9,68.86
Hebei,9,32.45
Shanxi,9,20.76
Inner Mongolia,9,34.54
Liaoning,9,72.0
Jilin,9,56.53
Heilongjiang,9,18.34
Shanghai,9,
Jiangsu,9,158.77
Zhejiang,9,102.15
Anhui,9,61.62
Fujian,9,29.16
Jiangxi,9,24.07
Shandong,9,140.93
Henan,9,31.53
Hubei,9,25.88
Hunan,9,29.08
Guangdong,9,85.91
Guangxi,9,21.47
Hainan,9,
Chongqing,9,53.06
Sichuan,9,45.76
Guizhou,9,4.81
Yunnan,9,45.39
Tibet,9,
Shaanxi,9,22.14
Gansu,9,7.18
Qinghai,9,1.2
Ningxia,9,12.26
Xinjiang,9,10.18
Beijing,10,
Tianjin,10,70.32
Hebei,10,27.94
Shanxi,10,16.33
Inner Mongolia,10,43.69
Liaoning,10,226.65
Jilin,10,67.59
Heilongjiang,10,37.09
Shanghai,10,
Jiangsu,10,107.08
Zhejiang,10,102.08
Anhui,10,84.53
Fujian,10,11.43
Jiangxi,10,17.87
Shandong,10,93.92
Henan,10,31.95
Hubei,10,21.2
Hunan,10,30.93
Guangdong,10,37.83
Guangxi,10,40.47
Hainan,10,0.11
Chongqing,10,56.0
Sichuan,10,64.48
Guizhou,10,2.15
Yunnan,10,95.53
Tibet,10,
Shaanxi,10,27.47
Gansu,10,13.61
Qinghai,10,0.08
Ningxia,10,9.59
Xinjiang,10,6.66
Beijing,11,
Tianjin,11,60.45
Hebei,11,38.57
Shanxi,11,33.44
Inner Mongolia,11,31.74
Liaoning,11,83.78
Jilin,11,28.66
Heilongjiang,11,40.67
Shanghai,11,
Jiangsu,11,159.57
Zhejiang,11,104.7
Anhui,11,106.18
Fujian,11,17.83
Jiangxi,11,25.24
Shandong,11,83.41
Henan,11,30.32
Hubei,11,53.78
Hunan,11,39.34
Guangdong,11,63.63
Guangxi,11,57.34
Hainan,11,
Chongqing,11,22.87
Sichuan,11,92.35
Guizhou,11,3.79
Yunnan,11,240.35
Tibet,11,
Shaanxi,11,44.93
Gansu,11,20.08
Qinghai,11,0.67
Ningxia,11,13.17
Xinjiang,11,7.83
Beijing,12,46.48
Tianjin,12,43.96
Hebei,12,37.08
Shanxi,12,16.61
Inner Mongolia,12,14.12
Liaoning,12,128.2
Jilin,12,59.0
Heilongjiang,12,28.3
Shanghai,12,
Jiangsu,12,195.45
Zhejiang,12,107.36
Anhui,12,109.3
Fujian,12,23.79
Jiangxi,12,20.97
Shandong,12,98.71
Henan,12,67.01
Hubei,12,79.94
Hunan,12,48.92
Guangdong,12,95.74
Guangxi,12,101.44
Hainan,12,0.1
Chongqing,12,48.02
Sichuan,12,86.33
Guizhou,12,5.26
Yunnan,12,85.23
Tibet,12,2.94
Shaanxi,12,41.52
Gansu,12,23.83
Qinghai,12,
Ningxia,12,8.3
Xinjiang,12,17.65
Beijing,13,50.42
Tianjin,13,44.04
Hebei,13,42.71
Shanxi,13,25.82
Inner Mongolia,13,27.92
Liaoning,13,185.73
Jilin,13,75.27
Heilongjiang,13,47.73
Shanghai,13,
Jiangsu,13,182.85
Zhejiang,13,88.87
Anhui,13,117.53
Fujian,13,51.7
Jiangxi,13,57.51
Shandong,13,141.64
Henan,13,40.99
Hubei,13,74.39
Hunan,13,84.63
Guangdong,13,73.36
Guangxi,13,121.83
Hainan,13,14.73
Chongqing,13,54.49
Sichuan,13,72.36
Guizhou,13,6.58
Yunnan,13,61.16
Tibet,13,3.1
Shaanxi,13,33.83
Gansu,13,33.62
Qinghai,13,0.76
Ningxia,13,10.47
Xinjiang,13,15.68
Beijing,14,42.16
Tianjin,14,55.7
Hebei,14,19.72
Shanxi,14,26.75
Inner Mongolia,14,17.94
Liaoning,14,194.81
Jilin,14,55.99
Heilongjiang,14,39.65
Shanghai,14,42.04
Jiangsu,14,245.9
Zhejiang,14,115.24
Anhui,14,128.62
Fujian,14,72.49
Jiangxi,14,65.85
Shandong,14,150.7
Henan,14,44.66
Hubei,14,34.28
Hunan,14,69.07
Guangdong,14,286.26
Guangxi,14,88.94
Hainan,14,11.17
Chongqing,14,75.33
Sichuan,14,71.11
Guizhou,14,17.07
Yunnan,14,62.48
Tibet,14,
Shaanxi,14,28.68
Gansu,14,52.88
Qinghai,14,2.89
Ningxia,14,10.69
Xinjiang,14,32.41
Beijing,15,34.91
Tianjin,15,41.13
Hebei,15,28.94
Shanxi,15,25.85
Inner Mongolia,15,16.55
Liaoning,15,105.36
Jilin,15,40.26
Heilongjiang,15,19.87
Shanghai,15,35.51
Jiangsu,15,175.17
Zhejiang,15,140.47
Anhui,15,137.36
Fujian,15,86.86
Jiangxi,15,97.6
Shandong,15,100.08
Henan,15,41.38
Hubei,15,108.29
Hunan,15,64.39
Guangdong,15,84.71
Guangxi,15,102.04
Hainan,15,5.05
Chongqing,15,81.54
Sichuan,15,75.87
Guizhou,15,12.47
Yunnan,15,66.45
Tibet,15,
Shaanxi,15,21.53
Gansu,15,36.26
Qinghai,15,7.11
Ningxia,15,6.79
Xinjiang,15,31.77
