age_group,women_of_childbearing_age,birth_order,value_type,value
33,5148,First,number_of_births,30.0
33,5148,First,fertility_rate,5.83
33,5148,Second,number_of_births,144.0
33,5148,Second,fertility_rate,27.97
33,5148,Third and above,number_of_births,18.0
33,5148,Third and above,fertility_rate,3.5
34,5812,First,number_of_births,31.0
34,5812,First,fertility_rate,5.33
34,5812,Second,number_of_births,140.0
34,5812,Second,fertility_rate,24.09
34,5812,Third and above,number_of_births,11.0
34,5812,Third and above,fertility_rate,1.89
35,6272,First,number_of_births,18.0
35,6272,First,fertility_rate,2.87
35,6272,Second,number_of_births,101.0
35,6272,Second,fertility_rate,16.1
35,6272,Third and above,number_of_births,25.0
35,6272,Third and above,fertility_rate,3.99
36,7422,First,number_of_births,21.0
36,7422,First,fertility_rate,2.83
36,7422,Second,number_of_births,86.0
36,7422,Second,fertility_rate,11.59
36,7422,Third and above,number_of_births,14.0
36,7422,Third and above,fertility_rate,1.89
37,6096,First,number_of_births,12.0
37,6096,First,fertility_rate,1.97
37,6096,Second,number_of_births,34.0
37,6096,Second,fertility_rate,5.58
37,6096,Third and above,number_of_births,9.0
37,6096,Third and above,fertility_rate,1.48
38,5720,First,number_of_births,5.0
38,5720,First,fertility_rate,0.87
38,5720,Second,number_of_births,29.0
38,5720,Second,fertility_rate,5.07
38,5720,Third and above,number_of_births,14.0
38,5720,Third and above,fertility_rate,2.45
39,6513,First,number_of_births,7.0
39,6513,First,fertility_rate,1.07
39,6513,Second,number_of_births,34.0
39,6513,Second,fertility_rate,5.22
39,6513,Third and above,number_of_births,6.0
39,6513,Third and above,fertility_rate,0.92
40,6753,First,number_of_births,2.0
40,6753,First,fertility_rate,0.3
40,6753,Second,number_of_births,13.0
40,6753,Second,fertility_rate,1.93
40,6753,Third and above,number_of_births,7.0
40,6753,Third and above,fertility_rate,1.04
41,6904,First,number_of_births,3.0
41,6904,First,fertility_rate,0.43
41,6904,Second,number_of_births,14.0
41,6904,Second,fertility_rate,2.03
41,6904,Third and above,number_of_births,4.0
41,6904,Third and above,fertility_rate,0.58
42,7268,First,number_of_births,2.0
42,7268,First,fertility_rate,0.28
42,7268,Second,number_of_births,14.0
42,7268,Second,fertility_rate,1.93
42,7268,Third and above,number_of_births,6.0
42,7268,Third and above,fertility_rate,0.83
43,3157,First,number_of_births,2.0
43,3157,First,fertility_rate,0.63
43,3157,Second,number_of_births,4.0
43,3157,Second,fertility_rate,1.27
43,3157,Third and above,number_of_births,3.0
43,3157,Third and above,fertility_rate,0.95
44,2439,First,number_of_births,2.0
44,2439,First,fertility_rate,0.82
44,2439,Second,number_of_births,3.0
44,2439,Second,fertility_rate,1.23
44,2439,Third and above,number_of_births,0.0
44,2439,Third and above,fertility_rate,0.0
45,3269,First,number_of_births,1.0
45,3269,First,fertility_rate,0.31
45,3269,Second,number_of_births,4.0
45,3269,Second,fertility_rate,1.22
45,3269,Third and above,number_of_births,0.0
45,3269,Third and above,fertility_rate,0.0
46,3589,First,number_of_births,1.0
46,3589,First,fertility_rate,0.28
46,3589,Second,number_of_births,3.0
46,3589,Second,fertility_rate,0.84
46,3589,Third and above,number_of_births,2.0
46,3589,Third and above,fertility_rate,0.56
47,4950,First,number_of_births,0.0
47,4950,First,fertility_rate,0.0
47,4950,Second,number_of_births,3.0
47,4950,Second,fertility_rate,0.61
47,4950,Third and above,number_of_births,6.0
47,4950,Third and above,fertility_rate,1.21
48,4939,First,number_of_births,3.0
48,4939,First,fertility_rate,0.61
48,4939,Second,number_of_births,8.0
48,4939,Second,fertility_rate,1.62
48,4939,Third and above,number_of_births,1.0
48,4939,Third and above,fertility_rate,0.2
49,4502,First,number_of_births,1.0
49,4502,First,fertility_rate,0.22
49,4502,Second,number_of_births,7.0
49,4502,Second,fertility_rate,1.55
49,4502,Third and above,number_of_births,1.0
49,4502,Third and above,fertility_rate,0.22
