season,club,league,competition,metric,value
2004,Montedio Yamagata,J2 League,Emperor's Cup,Goals,0
2004,Montedio Yamagata,J2 League,League Cup,Apps,0
2004,Montedio Yamagata,J2 League,League Cup,Goals,0
2005,Montedio Yamagata,J2 League,League,Apps,38
2005,Montedio Yamagata,J2 League,League,Goals,3
2005,Montedio Yamagata,J2 League,Emperor's Cup,Apps,0
2005,Montedio Yamagata,J2 League,Emperor's Cup,Goals,0
2005,Montedio Yamagata,J2 League,League Cup,Apps,0
2005,Montedio Yamagata,J2 League,League Cup,Goals,0
2006,Montedio Yamagata,J2 League,League,Apps,42
2006,Montedio Yamagata,J2 League,League,Goals,1
2006,Montedio Yamagata,J2 League,Emperor's Cup,Apps,2
2006,Montedio Yamagata,J2 League,Emperor's Cup,Goals,0
2006,Montedio Yamagata,J2 League,League Cup,Apps,0
2006,Montedio Yamagata,J2 League,League Cup,Goals,0
2007,Vegalta Sendai,J2 League,League,Apps,40
2007,Vegalta Sendai,J2 League,League,Goals,2
2007,Vegalta Sendai,J2 League,Emperor's Cup,Apps,0
2007,Vegalta Sendai,J2 League,Emperor's Cup,Goals,0
2007,Vegalta Sendai,J2 League,League Cup,Apps,0
2007,Vegalta Sendai,J2 League,League Cup,Goals,0
2008,Vegalta Sendai,J2 League,League,Apps,37
2008,Vegalta Sendai,J2 League,League,Goals,0
2008,Vegalta Sendai,J2 League,Emperor's Cup,Apps,2
2008,Vegalta Sendai,J2 League,Emperor's Cup,Goals,0
2008,Vegalta Sendai,J2 League,League Cup,Apps,0
2008,Vegalta Sendai,J2 League,League Cup,Goals,0
2009,Vegalta Sendai,J2 League,League,Apps,40
2009,Vegalta Sendai,J2 League,League,Goals,0
2009,Vegalta Sendai,J2 League,Emperor's Cup,Apps,1
2009,Vegalta Sendai,J2 League,Emperor's Cup,Goals,0
2009,Vegalta Sendai,J2 League,League Cup,Apps,0
2009,Vegalta Sendai,J2 League,League Cup,Goals,0
2010,Vegalta Sendai,J1 League,League,Apps,10
2010,Vegalta Sendai,J1 League,League,Goals,0
2010,Vegalta Sendai,J1 League,Emperor's Cup,Apps,0
2010,Vegalta Sendai,J1 League,Emperor's Cup,Goals,0
2010,Vegalta Sendai,J1 League,League Cup,Apps,2
2010,Vegalta Sendai,J1 League,League Cup,Goals,0
2011,FC Ryukyu,Football League,League,Apps,9
2011,FC Ryukyu,Football League,League,Goals,0
2011,FC Ryukyu,Football League,Emperor's Cup,Apps,1
2011,FC Ryukyu,Football League,Emperor's Cup,Goals,0
2011,FC Ryukyu,Football League,League Cup,Apps,0
2011,FC Ryukyu,Football League,League Cup,Goals,0
