region_cn,region_en,district_cn,district_en,year,number,percentage
New Territories,New Territories,Sai Kung,,2021,,
New Territories,New Territories,離島,Islands,2011,2889.0,2.8
New Territories,New Territories,離島,Islands,2016,1854.0,2.0
New Territories,New Territories,離島,Islands,2021,3163.0,3.3
New Territories,New Territories,Islands,,2011,,
New Territories,New Territories,Islands,,2016,,
New Territories,New Territories,Islands,,2021,,
陸上總計,New Territories,nan,,2011,103929.0,100.0
陸上總計,New Territories,nan,,2016,93943.0,100.0
陸上總計,New Territories,nan,,2021,94508.0,100.0
