industry_cn,industry_en,section_header,metric,unit,value
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Owner's equity | Equity | Creditors' | Equity,,6.3
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Main business operations | Income | Main | Business | Revenue,,18.37
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Main business operations | Cost | Main | Business | Cost,,8.66
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.45
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Profit Total | Total | Profits,,4.51
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,1.46
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.58
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Number of Enterprises | (piece) | Number of | (unit),(unit),11.0
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Total industrial output value | Gross | Output,,20.11
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Added Value | added,,14.98
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Total Assets | Total | Assets,,24.92
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Current assets | Total | Circulating | Funds,,13.37
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,9.58
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Fixed Assets | original price | Original | of Fixed | Assets,,8.79
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),5.63
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Total Liabilities | Total | Liabilities,,11.28
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Current Liabilities | Total | Liquid | Liabilities,,9.39
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Owner's equity | Equity | Creditors' | Equity,,13.64
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Main business operations | Income | Main | Business | Revenue,,19.4
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Main business operations | Cost | Main | Business | Cost,,6.67
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.27
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,Profit Total | Total | Profits,,9.66
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,2.06
Non-ferrous Metal Ore Mining and Dressing Industry,Nonferrous Metals Mining and Dressing,,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.54
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Number of Enterprises | (piece) | Number of | (unit),(unit),9.0
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Total industrial output value | Gross | Output,,4.99
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Added Value | added,,2.44
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Total Assets | Total | Assets,,7.68
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Current assets | Total | Circulating | Funds,,2.97
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,3.22
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Fixed Assets | original price | Original | of Fixed | Assets,,7.04
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),3.36
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Total Liabilities | Total | Liabilities,,7.65
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Current Liabilities | Total | Liquid | Liabilities,,5.53
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Owner's equity | Equity | Creditors' | Equity,,0.03
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Main business operations | Income | Main | Business | Revenue,,5.13
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Main business operations | Cost | Main | Business | Cost,,3.51
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.1
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,Profit Total | Total | Profits,,0.34
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.37
Non-metallic Mineral Mining and Dressing Industry,Nonmetal Minerals Mining and Dressing,,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.49
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Number of Enterprises | (piece) | Number of | (unit),(unit),29.0
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Total industrial output value | Gross | Output,,23.92
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Added Value | added,,8.78
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Total Assets | Total | Assets,,10.52
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Current assets | Total | Circulating | Funds,,4.98
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,5.3
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Fixed Assets | original price | Original | of Fixed | Assets,,6.27
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),3.81
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Total Liabilities | Total | Liabilities,,6.23
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Current Liabilities | Total | Liquid | Liabilities,,5.12
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Owner's equity | Equity | Creditors' | Equity,,4.29
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Main business operations | Income | Main | Business | Revenue,,21.51
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Main business operations | Cost | Main | Business | Cost,,19.71
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.05
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,Profit Total | Total | Profits,,0.33
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.3
Processing of Agricultural and sideline Food Products,Farm Byproducts Processing,Other Mining Industries,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.5
Food Manufacturing Industry,Food Production,Other Mining Industries,Number of Enterprises | (piece) | Number of | (unit),(unit),8.0
Food Manufacturing Industry,Food Production,Other Mining Industries,Total industrial output value | Gross | Output,,2.32
Food Manufacturing Industry,Food Production,Other Mining Industries,Added Value | added,,0.33
Food Manufacturing Industry,Food Production,Other Mining Industries,Total Assets | Total | Assets,,2.11
Food Manufacturing Industry,Food Production,Other Mining Industries,Current assets | Total | Circulating | Funds,,0.73
Food Manufacturing Industry,Food Production,Other Mining Industries,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,0.72
Food Manufacturing Industry,Food Production,Other Mining Industries,Fixed Assets | original price | Original | of Fixed | Assets,,1.11
Food Manufacturing Industry,Food Production,Other Mining Industries,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),0.75
Food Manufacturing Industry,Food Production,Other Mining Industries,Total Liabilities | Total | Liabilities,,1.28
Food Manufacturing Industry,Food Production,Other Mining Industries,Current Liabilities | Total | Liquid | Liabilities,,1.17
Food Manufacturing Industry,Food Production,Other Mining Industries,Owner's equity | Equity | Creditors' | Equity,,0.84
Food Manufacturing Industry,Food Production,Other Mining Industries,Main business operations | Income | Main | Business | Revenue,,2.37
Food Manufacturing Industry,Food Production,Other Mining Industries,Main business operations | Cost | Main | Business | Cost,,2.09
Food Manufacturing Industry,Food Production,Other Mining Industries,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.0
Food Manufacturing Industry,Food Production,Other Mining Industries,Profit Total | Total | Profits,,0.02
Food Manufacturing Industry,Food Production,Other Mining Industries,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.03
Food Manufacturing Industry,Food Production,Other Mining Industries,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.12
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Number of Enterprises | (piece) | Number of | (unit),(unit),15.0
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Total industrial output value | Gross | Output,,250.54
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Added Value | added,,114.79
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Total Assets | Total | Assets,,298.55
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Current assets | Total | Circulating | Funds,,151.51
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,136.08
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Fixed Assets | original price | Original | of Fixed | Assets,,177.36
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),116.79
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Total Liabilities | Total | Liabilities,,75.08
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Current Liabilities | Total | Liquid | Liabilities,,67.39
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Owner's equity | Equity | Creditors' | Equity,,223.46
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Main business operations | Income | Main | Business | Revenue,,255.67
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Main business operations | Cost | Main | Business | Cost,,180.84
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,12.35
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,Profit Total | Total | Profits,,33.06
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,14.99
Beverage Manufacturing Industry,Beverage Production,Other Mining Industries,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),4.14
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Number of Enterprises | (piece) | Number of | (unit),(unit),6.0
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Total industrial output value | Gross | Output,,92.07
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Added Value | added,,63.07
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Total Assets | Total | Assets,,89.06
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Current assets | Total | Circulating | Funds,,50.53
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,55.74
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Fixed Assets | original price | Original | of Fixed | Assets,,45.27
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),27.62
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Total Liabilities | Total | Liabilities,,42.38
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Current Liabilities | Total | Liquid | Liabilities,,11.82
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Owner's equity | Equity | Creditors' | Equity,,46.67
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Main business operations | Income | Main | Business | Revenue,,89.79
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Main business operations | Cost | Main | Business | Cost,,36.6
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,34.03
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,Profit Total | Total | Profits,,7.51
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,10.36
Tobacco Product Manufacturing Industry,Tobacco Processing,Other Mining Industries,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.68
Textile Industry,Textile Industry,Other Mining Industries,Number of Enterprises | (piece) | Number of | (unit),(unit),15.0
Textile Industry,Textile Industry,Other Mining Industries,Total industrial output value | Gross | Output,,17.82
Textile Industry,Textile Industry,Other Mining Industries,Added Value | added,,5.17
Textile Industry,Textile Industry,Other Mining Industries,Total Assets | Total | Assets,,15.86
Textile Industry,Textile Industry,Other Mining Industries,Current assets | Total | Circulating | Funds,,6.85
Textile Industry,Textile Industry,Other Mining Industries,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,6.55
Textile Industry,Textile Industry,Other Mining Industries,Fixed Assets | original price | Original | of Fixed | Assets,,10.6
Textile Industry,Textile Industry,Other Mining Industries,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),6.33
Textile Industry,Textile Industry,Other Mining Industries,Total Liabilities | Total | Liabilities,,9.81
Textile Industry,Textile Industry,Other Mining Industries,Current Liabilities | Total | Liquid | Liabilities,,6.99
Textile Industry,Textile Industry,Other Mining Industries,Owner's equity | Equity | Creditors' | Equity,,6.05
Textile Industry,Textile Industry,Other Mining Industries,Main business operations | Income | Main | Business | Revenue,,16.67
Textile Industry,Textile Industry,Other Mining Industries,Main business operations | Cost | Main | Business | Cost,,15.22
Textile Industry,Textile Industry,Other Mining Industries,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.1
Textile Industry,Textile Industry,Other Mining Industries,Profit Total | Total | Profits,,0.19
Textile Industry,Textile Industry,Other Mining Industries,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.75
Textile Industry,Textile Industry,Other Mining Industries,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),1.46
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Number of Enterprises | (piece) | Number of | (unit),(unit),4.0
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Total industrial output value | Gross | Output,,2.29
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Added Value | added,,0.62
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Total Assets | Total | Assets,,3.59
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Current assets | Total | Circulating | Funds,,0.76
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,1.11
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Fixed Assets | original price | Original | of Fixed | Assets,,2.34
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),1.85
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Total Liabilities | Total | Liabilities,,3.02
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Current Liabilities | Total | Liquid | Liabilities,,1.31
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Owner's equity | Equity | Creditors' | Equity,,0.57
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Main business operations | Income | Main | Business | Revenue,,1.99
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Main business operations | Cost | Main | Business | Cost,,1.63
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.01
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,Profit Total | Total | Profits,,0.04
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.04
"Textile, Apparel, Footwear, and Hat Manufacturing","Garments, Shoes and Hats Production",Other Mining Industries,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.28
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Number of Enterprises | (piece) | Number of | (unit),(unit),3.0
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Total industrial output value | Gross | Output,,0.39
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Added Value | added,,0.04
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Total Assets | Total | Assets,,2.48
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Current assets | Total | Circulating | Funds,,1.31
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,1.04
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Fixed Assets | original price | Original | of Fixed | Assets,,1.26
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),1.02
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Total Liabilities | Total | Liabilities,,1.42
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Current Liabilities | Total | Liquid | Liabilities,,1.41
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Owner's equity | Equity | Creditors' | Equity,,1.06
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Main business operations | Income | Main | Business | Revenue,,0.69
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Main business operations | Cost | Main | Business | Cost,,0.57
