section_header,subsection_header,category_cn,category_en,year,percentage
Three. Proportion of Social Employed Personnel,,Primary Industry,Primary Industry,2022.0,24.1
Three. Proportion of Social Employed Personnel,,Primary Industry,Primary Industry,2023.0,23.5940409683426
Three. Proportion of Social Employed Personnel,,Second Industry,Secondary Industry,2015.0,33.3
Three. Proportion of Social Employed Personnel,,Second Industry,Secondary Industry,2018.0,33.4
Three. Proportion of Social Employed Personnel,,Second Industry,Secondary Industry,2019.0,33.3
Three. Proportion of Social Employed Personnel,,Second Industry,Secondary Industry,2020.0,33.4
Three. Proportion of Social Employed Personnel,,Second Industry,Secondary Industry,2021.0,33.8
Three. Proportion of Social Employed Personnel,,Second Industry,Secondary Industry,2022.0,33.8
Three. Proportion of Social Employed Personnel,,Second Industry,Secondary Industry,2023.0,33.854748603352
Three. Proportion of Social Employed Personnel,,Tertiary Industry,Tertiary Industry,2015.0,35.6
Three. Proportion of Social Employed Personnel,,Tertiary Industry,Tertiary Industry,2018.0,39.3
Three. Proportion of Social Employed Personnel,,Tertiary Industry,Tertiary Industry,2019.0,40.7
Three. Proportion of Social Employed Personnel,,Tertiary Industry,Tertiary Industry,2020.0,41.7
Three. Proportion of Social Employed Personnel,,Tertiary Industry,Tertiary Industry,2021.0,42.2
Three. Proportion of Social Employed Personnel,,Tertiary Industry,Tertiary Industry,2022.0,42.2
Three. Proportion of Social Employed Personnel,,Tertiary Industry,Tertiary Industry,2023.0,42.5512104283054
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Agriculture,Farming,2015.0,50.2223948159926
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Agriculture,Farming,2018.0,49.782546004795
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Agriculture,Farming,2019.0,50.8126311174802
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Agriculture,Farming,2020.0,50.7170730223402
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Agriculture,Farming,2021.0,50.7024043771711
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Agriculture,Farming,2022.0,51.1638642750507
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Agriculture,Farming,2023.0,51.5678138881073
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Forestry,Forestry,2015.0,1.5071276448533
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Forestry,Forestry,2018.0,1.93277069484187
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Forestry,Forestry,2019.0,2.04411440837001
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Forestry,Forestry,2020.0,2.1019892881465
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Forestry,Forestry,2021.0,1.91781321699998
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Forestry,Forestry,2022.0,1.87367433563246
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Forestry,Forestry,2023.0,1.95075496121818
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Livestock Industry,Animal Husbandry,2015.0,28.027795832151
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Livestock Industry,Animal Husbandry,2018.0,25.8866557629299
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Livestock Industry,Animal Husbandry,2019.0,24.9394365192361
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Livestock Industry,Animal Husbandry,2020.0,25.2376763638576
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Livestock Industry,Animal Husbandry,2021.0,25.3246801489367
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Livestock Industry,Animal Husbandry,2022.0,24.7598038367087
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Livestock Industry,Animal Husbandry,2023.0,23.7289048382281
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Fishery,Fishery,2015.0,15.5891211599439
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Fishery,Fishery,2018.0,15.173468377922
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Fishery,Fishery,2019.0,14.4485905743269
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Fishery,Fishery,2020.0,14.0529871705045
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Fishery,Fishery,2021.0,14.4105480067011
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Fishery,Fishery,2022.0,14.2584399429217
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,Fishery,Fishery,2023.0,14.424283720061
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,"Agriculture, Forestry, Animal Husbandry, and Fishery Specialized and Auxiliary Activities","Farming,Forestry,Animal Husbandry and Fishery",2015.0,4.65356054705924
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,"Agriculture, Forestry, Animal Husbandry, and Fishery Specialized and Auxiliary Activities","Farming,Forestry,Animal Husbandry and Fishery",2018.0,7.22455915951131
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,"Agriculture, Forestry, Animal Husbandry, and Fishery Specialized and Auxiliary Activities","Farming,Forestry,Animal Husbandry and Fishery",2019.0,7.75522738058681
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,"Agriculture, Forestry, Animal Husbandry, and Fishery Specialized and Auxiliary Activities","Farming,Forestry,Animal Husbandry and Fishery",2020.0,7.89025747307808
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,"Agriculture, Forestry, Animal Husbandry, and Fishery Specialized and Auxiliary Activities","Farming,Forestry,Animal Husbandry and Fishery",2021.0,7.64455425019097
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,"Agriculture, Forestry, Animal Husbandry, and Fishery Specialized and Auxiliary Activities","Farming,Forestry,Animal Husbandry and Fishery",2022.0,7.94421760968649
"Four. Proportion of Total Output Value of Agriculture, Forestry, Animal Husbandry, and Fishery",,"Agriculture, Forestry, Animal Husbandry, and Fishery Specialized and Auxiliary Activities","Farming,Forestry,Animal Husbandry and Fishery",2023.0,8.328264935
Five. Proportion of Fixed Asset Investment in the Whole Society,,State-owned Economy,State-owned Units,2015.0,13.0
Five. Proportion of Fixed Asset Investment in the Whole Society,,State-owned Economy,State-owned Units,2018.0,20.1
Five. Proportion of Fixed Asset Investment in the Whole Society,,State-owned Economy,State-owned Units,2019.0,23.7669158062442
Five. Proportion of Fixed Asset Investment in the Whole Society,,State-owned Economy,State-owned Units,2020.0,20.1609013483382
Five. Proportion of Fixed Asset Investment in the Whole Society,,State-owned Economy,State-owned Units,2021.0,19.7
Five. Proportion of Fixed Asset Investment in the Whole Society,,State-owned Economy,State-owned Units,2022.0,21.3
Five. Proportion of Fixed Asset Investment in the Whole Society,,State-owned Economy,State-owned Units,2023.0,21.0
Five. Proportion of Fixed Asset Investment in the Whole Society,,Collective Economy,Collective-owned Units,2015.0,6.5
Five. Proportion of Fixed Asset Investment in the Whole Society,,Collective Economy,Collective-owned Units,2018.0,1.2
Five. Proportion of Fixed Asset Investment in the Whole Society,,Collective Economy,Collective-owned Units,2019.0,1.07833111217983
Five. Proportion of Fixed Asset Investment in the Whole Society,,Collective Economy,Collective-owned Units,2020.0,0.478481612330807
Five. Proportion of Fixed Asset Investment in the Whole Society,,Collective Economy,Collective-owned Units,2021.0,0.5
Five. Proportion of Fixed Asset Investment in the Whole Society,,Collective Economy,Collective-owned Units,2022.0,0.5
Five. Proportion of Fixed Asset Investment in the Whole Society,,Collective Economy,Collective-owned Units,2023.0,0.4
Five. Proportion of Fixed Asset Investment in the Whole Society,,Individual Economy,Self-employed Units,2015.0,42.0
Five. Proportion of Fixed Asset Investment in the Whole Society,,Individual Economy,Self-employed Units,2018.0,39.1
Five. Proportion of Fixed Asset Investment in the Whole Society,,Individual Economy,Self-employed Units,2019.0,29.9003909659094
Five. Proportion of Fixed Asset Investment in the Whole Society,,Individual Economy,Self-employed Units,2020.0,30.100277671768
Five. Proportion of Fixed Asset Investment in the Whole Society,,Individual Economy,Self-employed Units,2021.0,32.5
Five. Proportion of Fixed Asset Investment in the Whole Society,,Individual Economy,Self-employed Units,2022.0,31.0
Five. Proportion of Fixed Asset Investment in the Whole Society,,Individual Economy,Self-employed Units,2023.0,30.4
Five. Proportion of Fixed Asset Investment in the Whole Society,,Other Economy,Others,2015.0,38.5
Five. Proportion of Fixed Asset Investment in the Whole Society,,Other Economy,Others,2018.0,39.6
Five. Proportion of Fixed Asset Investment in the Whole Society,,Other Economy,Others,2019.0,45.2
Five. Proportion of Fixed Asset Investment in the Whole Society,,Other Economy,Others,2020.0,49.2603393675629
Five. Proportion of Fixed Asset Investment in the Whole Society,,Other Economy,Others,2021.0,47.3
Five. Proportion of Fixed Asset Investment in the Whole Society,,Other Economy,Others,2022.0,47.2
Five. Proportion of Fixed Asset Investment in the Whole Society,,Other Economy,Others,2023.0,48.2
Six. Proportion of Total Retail Sales of Consumer Goods,,Urban areas,Urban,2015.0,79.8928440594336
Six. Proportion of Total Retail Sales of Consumer Goods,,Urban areas,Urban,2018.0,79.5110742746615
Six. Proportion of Total Retail Sales of Consumer Goods,,Urban areas,Urban,2019.0,79.3657213144906
Six. Proportion of Total Retail Sales of Consumer Goods,,Urban areas,Urban,2020.0,82.2346788931228
Six. Proportion of Total Retail Sales of Consumer Goods,,Urban areas,Urban,2021.0,83.2904141655203
Six. Proportion of Total Retail Sales of Consumer Goods,,Urban areas,Urban,2022.0,84.1176806437867
Six. Proportion of Total Retail Sales of Consumer Goods,,Urban areas,Urban,2023.0,84.007837172997
Six. Proportion of Total Retail Sales of Consumer Goods,,Rural areas,Rural,2015.0,20.1071559405664
Six. Proportion of Total Retail Sales of Consumer Goods,,Rural areas,Rural,2018.0,20.4888744234489
Six. Proportion of Total Retail Sales of Consumer Goods,,Rural areas,Rural,2019.0,20.6342786855094
Six. Proportion of Total Retail Sales of Consumer Goods,,Rural areas,Rural,2020.0,17.7653211068772
Six. Proportion of Total Retail Sales of Consumer Goods,,Rural areas,Rural,2021.0,16.7095858344797
Six. Proportion of Total Retail Sales of Consumer Goods,,Rural areas,Rural,2022.0,15.8823193562133
Six. Proportion of Total Retail Sales of Consumer Goods,,Rural areas,Rural,2023.0,15.992162827003
Seven. People's Living Standards,,Ratio of Urban and Rural Residents' Income,Urban and Rural Income Ratio(Rural Income as 1),2015.0,2.43962639977305
Seven. People's Living Standards,,Ratio of Urban and Rural Residents' Income,Urban and Rural Income Ratio(Rural Income as 1),2018.0,2.42679020678653
Seven. People's Living Standards,,Ratio of Urban and Rural Residents' Income,Urban and Rural Income Ratio(Rural Income as 1),2019.0,2.38132989625594
Seven. People's Living Standards,,Ratio of Urban and Rural Residents' Income,Urban and Rural Income Ratio(Rural Income as 1),2020.0,2.33168026449101
Seven. People's Living Standards,,Ratio of Urban and Rural Residents' Income,Urban and Rural Income Ratio(Rural Income as 1),2021.0,2.26347344064544
Seven. People's Living Standards,,Ratio of Urban and Rural Residents' Income,Urban and Rural Income Ratio(Rural Income as 1),2022.0,2.21845318860244
Seven. People's Living Standards,,Ratio of Urban and Rural Residents' Income,Urban and Rural Income Ratio(Rural Income as 1),2023.0,2.16903600269179
Per capita consumption expenditure of urban residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2015.0,27.8407891307199
Per capita consumption expenditure of urban residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2018.0,26.3275050003226
Per capita consumption expenditure of urban residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2019.0,26.0551584793587
Per capita consumption expenditure of urban residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2020.0,26.8167166954679
Per capita consumption expenditure of urban residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2021.0,26.2430865878069
Per capita consumption expenditure of urban residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2022.0,26.9751707152531
Per capita consumption expenditure of urban residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2023.0,27.3544676209051
Per capita consumption expenditure of urban residents,,Transportation and Communication,Transport and Communications,2015.0,13.839824620443
Per capita consumption expenditure of urban residents,,Transportation and Communication,Transport and Communications,2018.0,14.5360184528034
Per capita consumption expenditure of urban residents,,Transportation and Communication,Transport and Communications,2019.0,14.0740039992053
Per capita consumption expenditure of urban residents,,Transportation and Communication,Transport and Communications,2020.0,13.5151820643262
Per capita consumption expenditure of urban residents,,Transportation and Communication,Transport and Communications,2021.0,14.699416200371
Per capita consumption expenditure of urban residents,,Transportation and Communication,Transport and Communications,2022.0,13.891801381411
Per capita consumption expenditure of urban residents,,Transportation and Communication,Transport and Communications,2023.0,14.908598062874
Per capita consumption expenditure of urban residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2015.0,10.7843813665823
Per capita consumption expenditure of urban residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2018.0,11.7051906574618
Per capita consumption expenditure of urban residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2019.0,11.8636978226005
Per capita consumption expenditure of urban residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2020.0,11.7417583508304
Per capita consumption expenditure of urban residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2021.0,12.5050645104021
Per capita consumption expenditure of urban residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2022.0,11.6701462489151
Per capita consumption expenditure of urban residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2023.0,12.3698390135863
Per capita consumption expenditure of urban residents,,Healthcare,Health Care and Medical Services,2015.0,7.13264887485751
Per capita consumption expenditure of urban residents,,Healthcare,Health Care and Medical Services,2018.0,7.92914058971547
Per capita consumption expenditure of urban residents,,Healthcare,Health Care and Medical Services,2019.0,8.16943382307449
Per capita consumption expenditure of urban residents,,Healthcare,Health Care and Medical Services,2020.0,8.42064170643636
Per capita consumption expenditure of urban residents,,Healthcare,Health Care and Medical Services,2021.0,8.20049674430346
Per capita consumption expenditure of urban residents,,Healthcare,Health Care and Medical Services,2022.0,8.19340061646319
Per capita consumption expenditure of urban residents,,Healthcare,Health Care and Medical Services,2023.0,8.56831179134574
Per capita consumption expenditure of rural residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2015.0,30.426079140518
Per capita consumption expenditure of rural residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2018.0,28.0565389836825
Per capita consumption expenditure of rural residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2019.0,27.8098682859029
Per capita consumption expenditure of rural residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2020.0,29.3979354129918
Per capita consumption expenditure of rural residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2021.0,29.594492769884
Per capita consumption expenditure of rural residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2022.0,29.5323793567719
Per capita consumption expenditure of rural residents,,"Food, Tobacco, and Alcohol","Food, Tobacco and Liquor",2023.0,29.5054432348367
Per capita consumption expenditure of rural residents,,Transportation and Communication,Transport and Communications,2015.0,15.9245512835316
Per capita consumption expenditure of rural residents,,Transportation and Communication,Transport and Communications,2018.0,16.619195925502
Per capita consumption expenditure of rural residents,,Transportation and Communication,Transport and Communications,2019.0,16.2405136197329
Per capita consumption expenditure of rural residents,,Transportation and Communication,Transport and Communications,2020.0,16.6818456492804
Per capita consumption expenditure of rural residents,,Transportation and Communication,Transport and Communications,2021.0,16.9805300328645
Per capita consumption expenditure of rural residents,,Transportation and Communication,Transport and Communications,2022.0,17.2588609557441
Per capita consumption expenditure of rural residents,,Transportation and Communication,Transport and Communications,2023.0,17.4681181959565
Per capita consumption expenditure of rural residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2015.0,10.4268180848041
Per capita consumption expenditure of rural residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2018.0,11.2297140220584
Per capita consumption expenditure of rural residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2019.0,11.6073858986827
Per capita consumption expenditure of rural residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2020.0,10.1954077340428
Per capita consumption expenditure of rural residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2021.0,10.4810692373078
Per capita consumption expenditure of rural residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2022.0,10.4574985834155
Per capita consumption expenditure of rural residents,,"Education, Culture, and Entertainment","Education, Cultural and Recreation",2023.0,11.0357698289269
Per capita consumption expenditure of rural residents,,Healthcare,Health Care and Medical Services,2015.0,10.5077352879983
Per capita consumption expenditure of rural residents,,Healthcare,Health Care and Medical Services,2018.0,10.6920080567164
Per capita consumption expenditure of rural residents,,Healthcare,Health Care and Medical Services,2019.0,10.9143554733341
Per capita consumption expenditure of rural residents,,Healthcare,Health Care and Medical Services,2020.0,11.1638620875384
Per capita consumption expenditure of rural residents,,Healthcare,Health Care and Medical Services,2021.0,10.5309337769926
Per capita consumption expenditure of rural residents,,Healthcare,Health Care and Medical Services,2022.0,10.7415031823958
Per capita consumption expenditure of rural residents,,Healthcare,Health Care and Medical Services,2023.0,11.0233281493002
Per capita consumption expenditure of rural residents,,Eight. General Public Budget Revenue and Region,Proportion of  General Public Budget Revenue,2015.0,10.000807216074
Per capita consumption expenditure of rural residents,,Eight. General Public Budget Revenue and Region,Proportion of  General Public Budget Revenue,2018.0,9.73069145808474
Per capita consumption expenditure of rural residents,,Eight. General Public Budget Revenue and Region,Proportion of  General Public Budget Revenue,2019.0,9.25243136990279
Per capita consumption expenditure of rural residents,,Eight. General Public Budget Revenue and Region,Proportion of  General Public Budget Revenue,2020.0,9.01112019711484
Per capita consumption expenditure of rural residents,,Eight. General Public Budget Revenue and Region,Proportion of  General Public Budget Revenue,2021.0,8.78967825948351
Per capita consumption expenditure of rural residents,,Eight. General Public Budget Revenue and Region,Proportion of  General Public Budget Revenue,2022.0,8.11184086950753
Per capita consumption expenditure of rural residents,,Eight. General Public Budget Revenue and Region,Proportion of  General Public Budget Revenue,2023.0,8.10783143457006
Nine. Proportion of General Public Budget Revenue,,Tax Revenue,Tax Revenue,2015.0,76.015021217869
Nine. Proportion of General Public Budget Revenue,,Tax Revenue,Tax Revenue,2018.0,75.5223455209573
Nine. Proportion of General Public Budget Revenue,,Tax Revenue,Tax Revenue,2019.0,74.2991686699094
Nine. Proportion of General Public Budget Revenue,,Tax Revenue,Tax Revenue,2020.0,72.5255264133435
Nine. Proportion of General Public Budget Revenue,,Tax Revenue,Tax Revenue,2021.0,75.1735804522416
Nine. Proportion of General Public Budget Revenue,,Tax Revenue,Tax Revenue,2022.0,67.5035822969414
Nine. Proportion of General Public Budget Revenue,,Tax Revenue,Tax Revenue,2023.0,70.0578825215763
Nine. Proportion of General Public Budget Revenue,,Value-added Tax (VAT) for Domestic Use,Domestic Value-added Tax,2015.0,10.7603833690161
Nine. Proportion of General Public Budget Revenue,,Value-added Tax (VAT) for Domestic Use,Domestic Value-added Tax,2018.0,29.3292534384832
Nine. Proportion of General Public Budget Revenue,,Value-added Tax (VAT) for Domestic Use,Domestic Value-added Tax,2019.0,30.0099950825144
Nine. Proportion of General Public Budget Revenue,,Value-added Tax (VAT) for Domestic Use,Domestic Value-added Tax,2020.0,27.659952683036
Nine. Proportion of General Public Budget Revenue,,Value-added Tax (VAT) for Domestic Use,Domestic Value-added Tax,2021.0,27.8718364439548
Nine. Proportion of General Public Budget Revenue,,Value-added Tax (VAT) for Domestic Use,Domestic Value-added Tax,2022.0,20.2187491360624
Nine. Proportion of General Public Budget Revenue,,Value-added Tax (VAT) for Domestic Use,Domestic Value-added Tax,2023.0,27.1562076552877
Nine. Proportion of General Public Budget Revenue,,Enterprise Income Tax,Corporate Income Tax,2015.0,9.01958870099395
Nine. Proportion of General Public Budget Revenue,,Enterprise Income Tax,Corporate Income Tax,2018.0,10.444626826868
Nine. Proportion of General Public Budget Revenue,,Enterprise Income Tax,Corporate Income Tax,2019.0,10.6670122210894
Nine. Proportion of General Public Budget Revenue,,Enterprise Income Tax,Corporate Income Tax,2020.0,10.4658790140249
Nine. Proportion of General Public Budget Revenue,,Enterprise Income Tax,Corporate Income Tax,2021.0,11.907991872233
Nine. Proportion of General Public Budget Revenue,,Enterprise Income Tax,Corporate Income Tax,2022.0,11.81789893421
Nine. Proportion of General Public Budget Revenue,,Enterprise Income Tax,Corporate Income Tax,2023.0,9.71149163906481
Nine. Proportion of General Public Budget Revenue,,Personal Income Tax,Individual Income Tax,2015.0,2.58842611412282
Nine. Proportion of General Public Budget Revenue,,Personal Income Tax,Individual Income Tax,2018.0,3.31973719599755
Nine. Proportion of General Public Budget Revenue,,Personal Income Tax,Individual Income Tax,2019.0,2.25951990049503
Nine. Proportion of General Public Budget Revenue,,Personal Income Tax,Individual Income Tax,2020.0,2.77537539802631
Nine. Proportion of General Public Budget Revenue,,Personal Income Tax,Individual Income Tax,2021.0,3.34139762273139
Nine. Proportion of General Public Budget Revenue,,Personal Income Tax,Individual Income Tax,2022.0,3.73682176712235
Nine. Proportion of General Public Budget Revenue,,Personal Income Tax,Individual Income Tax,2023.0,3.48527986442994
Ten. Proportion of General Public Budget Expenditure,,General Public Service Expenditure,Expenditure for General Public Service,2015.0,8.94675259414493
Ten. Proportion of General Public Budget Expenditure,,General Public Service Expenditure,Expenditure for General Public Service,2018.0,9.33920086768777
Ten. Proportion of General Public Budget Expenditure,,General Public Service Expenditure,Expenditure for General Public Service,2019.0,9.88802725127089
Ten. Proportion of General Public Budget Expenditure,,General Public Service Expenditure,Expenditure for General Public Service,2020.0,9.9529619234184
Ten. Proportion of General Public Budget Expenditure,,General Public Service Expenditure,Expenditure for General Public Service,2021.0,9.69945541684577
Ten. Proportion of General Public Budget Expenditure,,General Public Service Expenditure,Expenditure for General Public Service,2022.0,9.97081616940539
Ten. Proportion of General Public Budget Expenditure,,General Public Service Expenditure,Expenditure for General Public Service,2023.0,9.48596692396814
Ten. Proportion of General Public Budget Expenditure,,Scientific and Technological Expenditure,Expenditure for Science and Technology,2015.0,1.92790281390281
Ten. Proportion of General Public Budget Expenditure,,Scientific and Technological Expenditure,Expenditure for Science and Technology,2018.0,2.3041293716164
Ten. Proportion of General Public Budget Expenditure,,Scientific and Technological Expenditure,Expenditure for Science and Technology,2019.0,2.84695108529467
