section,subgroup,metric,year,value
birthplace,canada,mean number of hours,2013,150.0
birthplace,canada,mean number of hours,2010,155.0
birthplace,canada,mean number of hours,2007,165.0
birthplace,canada,mean number of hours,2004,167.0
birthplace,outside canada,percent,2013,38.0
birthplace,outside canada,percent,2010,40.0
birthplace,outside canada,percent,2007,40.0
birthplace,outside canada,percent,2004,40.0
birthplace,outside canada,mean number of hours,2013,162.0
birthplace,outside canada,mean number of hours,2010,158.0
birthplace,outside canada,mean number of hours,2007,168.0
birthplace,outside canada,mean number of hours,2004,172.0
