section_header,question_item,response_category,subgroup_id,percent,ci_lower,ci_upper
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,yes,4,81.0,77.0,84.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,no,1,,,
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,no,2,10.0,8.0,12.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,no,3,9.0,6.0,13.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,no,4,12.0,9.0,15.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,don't know,1,,,
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,don't know,2,6.0,4.0,8.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,don't know,3,,,
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,don't know,4,7.0,5.0,9.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,yes,1,65.0,50.0,78.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,yes,2,76.0,73.0,80.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,yes,3,75.0,69.0,80.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,yes,4,75.0,71.0,79.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,no,1,,,
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,no,2,14.0,12.0,18.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,no,3,17.0,13.0,23.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,no,4,15.0,11.0,18.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,don't know,1,,,
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,don't know,2,9.0,7.0,11.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,don't know,3,6.0,4.0,10.0
off-campus resources for victims of harassment and sexual assault,off-campus resources for victims of harassment and sexual assault,don't know,4,9.0,7.0,13.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,yes,1,68.0,53.0,80.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,yes,2,81.0,78.0,84.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,yes,3,82.0,77.0,86.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,yes,4,79.0,75.0,82.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,no,1,,,
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,no,2,11.0,9.0,14.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,no,3,12.0,8.0,16.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,no,4,12.0,9.0,15.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,don't know,1,,,
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,don't know,2,7.0,5.0,9.0
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,don't know,3,,,
where at school to take a friend to get help if they are harassed or sexually assaulted,where at school to take a friend to get help if they are harassed or sexually assaulted,don't know,4,8.0,6.0,11.0
