country_or_region_cn,country_or_region_en,year,gni_per_capita
Jia Peng,Gabon,1990,4930.0
Gambia,Gambia,1990,300.0
Germany,Germany,1990,20630.0
Ghana,Ghana,1990,400.0
Greece,Greece,1990,8590.0
Greenland,Greenland,1990,15690.0
Grenada,Grenada,1990,2250.0
Guatemala,Guatemala,1990,950.0
Guinea,Guinea,1990,450.0
Guinea-Bissau,Guinea-Bissau,1990,220.0
Guyana,Guyana,1990,390.0
Haiti,Haiti,1990,350.0
Honduras,Honduras,1990,700.0
Hungary,Hungary,1990,2880.0
Iceland,Iceland,1990,24150.0
India,India,1990,390.0
Indonesia,Indonesia,1990,600.0
Iran,Iran,1990,2450.0
Ireland,Ireland,1990,12200.0
Israel,Israel,1990,10860.0
Italy,Italy,1990,17900.0
Jamaica,Jamaica,1990,1790.0
Japan,Japan,1990,27090.0
Jordan,Jordan,1990,1390.0
Kenya,Kenya,1990,380.0
Kiribati,Kiribati,1990,730.0
South Korea,"Korea, Rep.",1990,6000.0
Lao PDR,Laos,1990,200.0
Latvia,Latvia,1990,2790.0
Liberia,Lebanon,1990,1240.0
Lesotho,Lesotho,1990,540.0
Liechtenstein,Liechtenstein,1990,45170.0
Luxembourg,Luxemburg,1990,29530.0
Madagascar,Madagascar,1990,250.0
Malawi,Malawi,1990,180.0
Malaysia,Malaysia,1990,2370.0
Mali,Mali,1990,260.0
Malta,Malta,1990,7470.0
Mauritania,Mauritania,1990,550.0
Mauritius,Mauritius,1990,2440.0
Mexico,Mexico,1990,2790.0
Monaco,Monaco,1990,75810.0
Mongolia,Mongolia,1990,1430.0
Morocco,Morocco,1990,990.0
Mozambique,Mozambique,1990,170.0
Namibia,Namibia,1990,1720.0
Nepal,Nepal,1990,210.0
Netherlands,Netherlands,1990,18810.0
New Zealand,New Zealand,1990,12970.0
Nicaragua,Nicaragua,1990,310.0
Niger,Niger,1990,300.0
Nigeria,Nigeria,1990,260.0
Norway,Norway,1990,26010.0
Oman,Oman,1990,5540.0
Pakistan,Pakistan,1990,410.0
Panama,Panama,1990,2210.0
Papua New Guinea,Papua New Guinea,1990,820.0
Paraguay,Paraguay,1990,1190.0
Peru,Peru,1990,780.0
Philippines,Philippines,1990,730.0
Portugal,Portugal,1990,7050.0
Puerto Rico,Puerto Rico,1990,6220.0
Romania,Romania,1990,1710.0
Rwanda,Rwanda,1990,360.0
Saint Kitts and Nevis,Saint Kitts and Nevis,1990,3610.0
Saint Lucia,Saint Lucia,1990,2810.0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1990,1740.0
Samoa,Samoa,1990,1070.0
Saudi Arabia,Saudi Arabia,1990,7330.0
Senegal,Senegal,1990,740.0
Seychelles,Seychelles,1990,5020.0
Sierra Leone,Sierra Leone,1990,200.0
Singapore,Singapore,1990,11450.0
Slovakia,Slovakia,1990,2060.0
Solomon Islands,Solomon Islands,1990,710.0
South Africa,South Africa,1990,3390.0
Spain,Spain,1990,11890.0
Sri Lanka,Sri Lanka,1990,460.0
Sudan,Sudan,1990,510.0
Suriname,Suriname,1990,1480.0
Eswatini,Swaziland,1990,1150.0
Sweden,Sweden,1990,26360.0
Switzerland,Switzerland,1990,34240.0
Syria,Syrian Arab Republic,1990,920.0
Tanzania,Tanzania,1990,200.0
Thailand,Thailand,1990,1480.0
Many哥,Togo,1990,410.0
Tonga,Tonga,1990,1220.0
Trinidad and Tobago,Trinidad And Tobago,1990,3720.0
Tunisia,Tunisia,1990,1430.0
Turkey,Turkey,1990,2300.0
Turkmenistan,Turkmenistan,1990,830.0
Uganda,Uganda,1990,320.0
Ukraine,Ukraine,1990,1610.0
United Arab Emirates,United Arab Emirates,1990,20720.0
United Kingdom,United Kingdom,1990,16600.0
United States,United States,1990,23260.0
Uruguay,Uruguay,1990,2840.0
Vanuatu,Vanuatu,1990,1200.0
Venezuela,Venezuela,1990,2570.0
Vietnam,Viet Nam,1990,130.0
Zambia,Zambia,1990,440.0
Zimbabwe,Zimbabwe,1990,860.0
World,World,2000,5278.0
High-income countries,High Income,2000,25324.0
OECD High-Income Countries,High Income: OECD,2000,26218.0
Non-OECD High-Income Countries,High Income: nonOECD,2000,13895.0
Middle-income countries,Middle Income,2000,1252.0
Lower-middle-income countries,Lower Middle Income,2000,575.0
Upper-middle-income countries,Upper Middle Income,2000,1881.0
Lower-middle-income countries,Low and Middle Income,2000,1127.0
East Asia and Pacific,East Asia and Pacific,2000,902.0
Europe and Central Asia,Europe and Central Asia,2000,1780.0
Latin America and the Caribbean,Latin America and Caribbean,2000,3817.0
Middle East and North African Countries,Middle East and North Africa,2000,1645.0
South Asia,South Asia,2000,442.0
Sub-Saharan Africa,Sub-Saharan Africa,2000,491.0
Low-income countries,Low Income,2000,267.0
Least developed regions,Least Developed Countries,2000,280.0
Heavily Indebted Poor Countries,Heavily Indebted Poor Countries,2000,291.0
China,China,2000,930.0
"Hong Kong, China","Hong Kong, China",2000,26570.0
"Macau, China","Macao, China",2000,14640.0
Albania,Albania,2000,1170.0
Algeria,Algeria,2000,1600.0
Angola,Angola,2000,420.0
Antigua and Barbuda,Antigua and Barbuda,2000,8490.0
Argentina,Argentina,2000,7460.0
Armenia,Armenia,2000,660.0
Australia,Australia,2000,21260.0
Austria,Austria,2000,26000.0
Azerbaijan,Azerbaijan,2000,610.0
Bahamas,Bahamas,2000,20350.0
Bahrain,Bahrain,2000,10940.0
Bangladesh,Bangladesh,2000,380.0
Barbados,Barbados,2000,9090.0
Belarus,Belarus,2000,1380.0
Belgium,Belgium,2000,25430.0
Belize,Belize,2000,3110.0
Benin,Benin,2000,370.0
Bhutan,Bhutan,2000,720.0
Bolivia,Bolivia,2000,1000.0
Bosnia and Herzegovina,Bosnia and Herzegovinian,2000,1510.0
Botswana,Botswana,2000,3120.0
Brazil,Brazil,2000,3860.0
Brunei,Brunei Darussalam,2000,14960.0
Bulgaria,Bulgaria,2000,1620.0
Burkina Faso,Burkina Faso,2000,230.0
Burundi,Burundi,2000,130.0
Cambodia,Cambodia,2000,290.0
Cameroon,Cameroon,2000,630.0
Canada,Canada,2000,22130.0
The Cape Verde Islands,Cape Verde,2000,1330.0
China - Africa,Central African Rep.,2000,280.0
Zha De,Chad,2000,180.0
Chile,Chile,2000,4840.0
Colombia,Colombia,2000,2350.0
Comoros,Comoros,2000,380.0
Democratic Republic of the Congo,"Congo, Dem. Rep.",2000,90.0
Congo (Brazzaville),"Congo, Rep.",2000,560.0
Costa Rica,Costa Rica,2000,3710.0
Côte d'Ivoire,Cote D'Ivoire,2000,650.0
Croatia,Croatia,2000,5220.0
Cuba,Cuba,2000,2620.0
Cyprus,Cyprus,2000,13440.0
Czech Republic,Czech Rep.,2000,5800.0
Denmark,Denmark,2000,31830.0
Djibouti,Djibouti,2000,750.0
Dominica,Dominica,2000,3500.0
Dominica,Dominican Rep.,2000,2620.0
Ecuador,Ecuador,2000,1330.0
Egypt,Egypt,2000,1440.0
El Salvador,El Salvador,2000,2110.0
Equatorial Guinea,Equatorial Guinea,2000,1270.0
Eritrea,Eritrea,2000,170.0
Estonia,Estonia,2000,4220.0
Ethiopia,Ethiopia,2000,130.0
Fiji,Fiji,2000,2230.0
Finland,Finland,2000,25440.0
France,France,2000,24270.0
Jia Peng,Gabon,2000,3080.0
Gambia,Gambia,2000,630.0
Georgia,Georgia,2000,750.0
Germany,Germany,2000,25300.0
Ghana,Ghana,2000,340.0
Greece,Greece,2000,12460.0
Greenland,Greenland,2000,20290.0
Grenada,Grenada,2000,4150.0
Guatemala,Guatemala,2000,1730.0
Guinea,Guinea,2000,400.0
Guinea-Bissau,Guinea-Bissau,2000,180.0
Guyana,Guyana,2000,890.0
Haiti,Haiti,2000,470.0
Honduras,Honduras,2000,940.0
Hungary,Hungary,2000,4580.0
Iceland,Iceland,2000,30800.0
India,India,2000,450.0
Indonesia,Indonesia,2000,560.0
Iran,Iran,2000,1630.0
Ireland,Ireland,2000,23480.0
Israel,Israel,2000,17830.0
Italy,Italy,2000,21010.0
Jamaica,Jamaica,2000,3310.0
Japan,Japan,2000,35040.0
Jordan,Jordan,2000,1790.0
Kazakhstan,Kazakhstan,2000,1260.0
Kenya,Kenya,2000,420.0
Kiribati,Kiribati,2000,1380.0
South Korea,"Korea, Rep.",2000,9910.0
Kuwait,Kuwait,2000,18950.0
Kyrgyzstan,Kyrgyzstan,2000,280.0
Lao PDR,Laos,2000,280.0
Latvia,Latvia,2000,3210.0
Liberia,Lebanon,2000,4730.0
Lesotho,Lesotho,2000,530.0
Liberia,Liberia,2000,190.0
Liechtenstein,Liechtenstein,2000,79660.0
Lithuania,Lithuania,2000,3200.0
Luxembourg,Luxemburg,2000,43660.0
Former Yugoslav Republic of Macedonia,"Macedonia, FYR",2000,1830.0
Madagascar,Madagascar,2000,250.0
Malawi,Malawi,2000,160.0
Malaysia,Malaysia,2000,3420.0
Maldives,Maldives,2000,2140.0
Mali,Mali,2000,230.0
Malta,Malta,2000,10510.0
Marshall Islands,Marshall Islands,2000,2850.0
Mauritania,Mauritania,2000,530.0
Mauritius,Mauritius,2000,3870.0
Mexico,Mexico,2000,5010.0
Micronesia,"Micronesia, Fed.",2000,2220.0
Moldova,Moldova,2000,370.0
Monaco,Monaco,2000,82960.0
Mongolia,Mongolia,2000,460.0
Morocco,Morocco,2000,1310.0
Mozambique,Mozambique,2000,230.0
Namibia,Namibia,2000,1950.0
Nepal,Nepal,2000,220.0
Netherlands,Netherlands,2000,26580.0
New Zealand,New Zealand,2000,13760.0
Nicaragua,Nicaragua,2000,730.0
Niger,Niger,2000,180.0
Nigeria,Nigeria,2000,270.0
Norway,Norway,2000,35860.0
Oman,Oman,2000,7130.0
Pakistan,Pakistan,2000,470.0
Palau,Palau,2000,6250.0
Panama,Panama,2000,3730.0
Papua New Guinea,Papua New Guinea,2000,620.0
Paraguay,Paraguay,2000,1350.0
Peru,Peru,2000,2060.0
Philippines,Philippines,2000,1050.0
Poland,Poland,2000,4600.0
Portugal,Portugal,2000,12100.0
Puerto Rico,Puerto Rico,2000,10550.0
Romania,Romania,2000,1690.0
Russian Federation,Russian Fed.,2000,1710.0
Rwanda,Rwanda,2000,250.0
Saint Kitts and Nevis,Saint Kitts and Nevis,2000,6880.0
Saint Lucia,Saint Lucia,2000,4170.0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2000,3130.0
Samoa,Samoa,2000,1420.0
Saudi Arabia,Saudi Arabia,2000,8390.0
Senegal,Senegal,2000,530.0
Serbia,Serbia,2000,1400.0
Seychelles,Seychelles,2000,7420.0
Sierra Leone,Sierra Leone,2000,150.0
Singapore,Singapore,2000,24500.0
Slovakia,Slovakia,2000,5440.0
Slovenia,Slovenia,2000,11150.0
Solomon Islands,Solomon Islands,2000,1020.0
South Africa,South Africa,2000,3050.0
Spain,Spain,2000,15420.0
Sri Lanka,Sri Lanka,2000,860.0
Sudan,Sudan,2000,320.0
Suriname,Suriname,2000,1930.0
Eswatini,Swaziland,2000,1600.0
Sweden,Sweden,2000,29490.0
Switzerland,Switzerland,2000,40270.0
Syria,Syrian Arab Republic,2000,990.0
Tajikistan,Tajikistan,2000,170.0
Tanzania,Tanzania,2000,310.0
Thailand,Thailand,2000,1930.0
Many哥,Togo,2000,300.0
Tonga,Tonga,2000,2030.0
Trinidad and Tobago,Trinidad And Tobago,2000,5200.0
Tunisia,Tunisia,2000,2300.0
Turkey,Turkey,2000,4170.0
Turkmenistan,Turkmenistan,2000,650.0
Uganda,Uganda,2000,260.0
Ukraine,Ukraine,2000,700.0
United Arab Emirates,United Arab Emirates,2000,20630.0
United Kingdom,United Kingdom,2000,26010.0
United States,United States,2000,34890.0
Uruguay,Uruguay,2000,7100.0
Uzbekistan,Uzbekistan,2000,630.0
Vanuatu,Vanuatu,2000,1430.0
Venezuela,Venezuela,2000,4100.0
Vietnam,Viet Nam,2000,390.0
Yemen,Yemen,2000,420.0
Zambia,Zambia,2000,310.0
Zimbabwe,Zimbabwe,2000,490.0
World,World,2005,7104.0
High-income countries,High Income,2005,34000.0
OECD High-Income Countries,High Income: OECD,2005,35292.0
Non-OECD High-Income Countries,High Income: nonOECD,2005,18474.0
Middle-income countries,Middle Income,2005,1921.0
Lower-middle-income countries,Lower Middle Income,2005,897.0
Upper-middle-income countries,Upper Middle Income,2005,2912.0
Lower-middle-income countries,Low and Middle Income,2005,1712.0
East Asia and Pacific,East Asia and Pacific,2005,1617.0
Europe and Central Asia,Europe and Central Asia,2005,3711.0
Latin America and the Caribbean,Latin America and Caribbean,2005,4415.0
Middle East and North African Countries,Middle East and North Africa,2005,2195.0
South Asia,South Asia,2005,692.0
Sub-Saharan Africa,Sub-Saharan Africa,2005,768.0
Low-income countries,Low Income,2005,343.0
Least developed regions,Least Developed Countries,2005,405.0
Heavily Indebted Poor Countries,Heavily Indebted Poor Countries,2005,401.0
China,China,2005,1740.0
"Hong Kong, China","Hong Kong, China",2005,28150.0
"Macau, China","Macao, China",2005,23410.0
Afghanistan,Afghanistan,2005,230.0
Albania,Albania,2005,2580.0
Algeria,Algeria,2005,2720.0
Angola,Angola,2005,1270.0
Antigua and Barbuda,Antigua and Barbuda,2005,12000.0
Argentina,Argentina,2005,4480.0
Armenia,Armenia,2005,1470.0
Australia,Australia,2005,30440.0
Austria,Austria,2005,37210.0
Azerbaijan,Azerbaijan,2005,1270.0
Bahamas,Bahamas,2005,24410.0
Bahrain,Bahrain,2005,17400.0
Bangladesh,Bangladesh,2005,480.0
Barbados,Barbados,2005,11000.0
Belarus,Belarus,2005,2780.0
Belgium,Belgium,2005,36610.0
Belize,Belize,2005,3580.0
Benin,Benin,2005,570.0
Bhutan,Bhutan,2005,1070.0
Bolivia,Bolivia,2005,1030.0
Bosnia and Herzegovina,Bosnia and Herzegovinian,2005,3020.0
Botswana,Botswana,2005,5070.0
Brazil,Brazil,2005,3960.0
Brunei,Brunei Darussalam,2005,23210.0
Bulgaria,Bulgaria,2005,3640.0
Burkina Faso,Burkina Faso,2005,390.0
Burundi,Burundi,2005,140.0
Cambodia,Cambodia,2005,460.0
Cameroon,Cameroon,2005,930.0
Canada,Canada,2005,33110.0
The Cape Verde Islands,Cape Verde,2005,2080.0
China - Africa,Central African Rep.,2005,340.0
Zha De,Chad,2005,430.0
Chile,Chile,2005,5970.0
Colombia,Colombia,2005,2940.0
Comoros,Comoros,2005,610.0
Democratic Republic of the Congo,"Congo, Dem. Rep.",2005,120.0
Congo (Brazzaville),"Congo, Rep.",2005,980.0
Costa Rica,Costa Rica,2005,4680.0
Côte d'Ivoire,Cote D'Ivoire,2005,870.0
Croatia,Croatia,2005,9690.0
Cuba,Cuba,2005,3960.0
Cyprus,Cyprus,2005,21490.0
Czech Republic,Czech Rep.,2005,11890.0
Denmark,Denmark,2005,48590.0
Djibouti,Djibouti,2005,990.0
Dominica,Dominica,2005,5210.0
Dominica,Dominican Rep.,2005,2900.0
Ecuador,Ecuador,2005,2620.0
Egypt,Egypt,2005,1250.0
El Salvador,El Salvador,2005,2820.0
Equatorial Guinea,Equatorial Guinea,2005,5220.0
Eritrea,Eritrea,2005,250.0
Estonia,Estonia,2005,9730.0
Ethiopia,Ethiopia,2005,160.0
Fiji,Fiji,2005,3590.0
Finland,Finland,2005,38550.0
France,France,2005,34850.0
Jia Peng,Gabon,2005,5110.0
Gambia,Gambia,2005,390.0
Georgia,Georgia,2005,1360.0
Germany,Germany,2005,34780.0
Ghana,Ghana,2005,460.0
Greece,Greece,2005,21400.0
Greenland,Greenland,2005,29690.0
Grenada,Grenada,2005,6570.0
Guatemala,Guatemala,2005,2070.0
Guinea,Guinea,2005,420.0
Guinea-Bissau,Guinea-Bissau,2005,410.0
Guyana,Guyana,2005,1090.0
Haiti,Haiti,2005,400.0
Honduras,Honduras,2005,1400.0
Hungary,Hungary,2005,10220.0
Iceland,Iceland,2005,49620.0
India,India,2005,730.0
Indonesia,Indonesia,2005,1220.0
Iran,Iran,2005,2550.0
Ireland,Ireland,2005,42380.0
Israel,Israel,2005,20180.0
Italy,Italy,2005,30880.0
Jamaica,Jamaica,2005,3920.0
Japan,Japan,2005,39140.0
Jordan,Jordan,2005,2490.0
Kazakhstan,Kazakhstan,2005,2950.0
Kenya,Kenya,2005,520.0
Kiribati,Kiribati,2005,1780.0
South Korea,"Korea, Rep.",2005,16900.0
Kuwait,Kuwait,2005,34650.0
Kyrgyzstan,Kyrgyzstan,2005,450.0
Lao PDR,Laos,2005,460.0
Latvia,Latvia,2005,6810.0
Liberia,Lebanon,2005,5710.0
Lesotho,Lesotho,2005,840.0
Liberia,Liberia,2005,120.0
Libya,Libya,2005,6460.0
Liechtenstein,Liechtenstein,2005,92780.0
Lithuania,Lithuania,2005,7380.0
Luxembourg,Luxemburg,2005,69300.0
Former Yugoslav Republic of Macedonia,"Macedonia, FYR",2005,2900.0
Madagascar,Madagascar,2005,300.0
Malawi,Malawi,2005,220.0
Malaysia,Malaysia,2005,5110.0
Maldives,Maldives,2005,3370.0
Mali,Mali,2005,390.0
Malta,Malta,2005,14380.0
Marshall Islands,Marshall Islands,2005,3560.0
Mauritania,Mauritania,2005,720.0
Mauritius,Mauritius,2005,5360.0
Mexico,Mexico,2005,7820.0
Micronesia,"Micronesia, Fed.",2005,2510.0
Moldova,Moldova,2005,890.0
Monaco,Monaco,2005,123100.0
Mongolia,Mongolia,2005,890.0
Montenegro,Montenegro,2005,3580.0
Morocco,Morocco,2005,1960.0
Mozambique,Mozambique,2005,300.0
Namibia,Namibia,2005,3300.0
Nepal,Nepal,2005,290.0
Netherlands,Netherlands,2005,39880.0
New Zealand,New Zealand,2005,24990.0
Nicaragua,Nicaragua,2005,890.0
Niger,Niger,2005,260.0
Nigeria,Nigeria,2005,630.0
Norway,Norway,2005,62490.0
Oman,Oman,2005,11190.0
Pakistan,Pakistan,2005,710.0
Palau,Palau,2005,7770.0
Panama,Panama,2005,4640.0
Papua New Guinea,Papua New Guinea,2005,680.0
Paraguay,Paraguay,2005,1220.0
Peru,Peru,2005,2710.0
Philippines,Philippines,2005,1210.0
Poland,Poland,2005,7270.0
Portugal,Portugal,2005,18060.0
Puerto Rico,Puerto Rico,2005,14530.0
Romania,Romania,2005,3920.0
Russian Federation,Russian Fed.,2005,4460.0
Rwanda,Rwanda,2005,270.0
Saint Kitts and Nevis,Saint Kitts and Nevis,2005,10130.0
Saint Lucia,Saint Lucia,2005,5130.0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2005,4980.0
Samoa,Samoa,2005,2090.0
São Tomé and Príncipe,Sao Tome and Principe,2005,740.0
Saudi Arabia,Saudi Arabia,2005,12230.0
Senegal,Senegal,2005,800.0
Serbia,Serbia,2005,3430.0
Seychelles,Seychelles,2005,9820.0
Sierra Leone,Sierra Leone,2005,230.0
Singapore,Singapore,2005,27240.0
Slovakia,Slovakia,2005,11040.0
Slovenia,Slovenia,2005,18070.0
Solomon Islands,Solomon Islands,2005,890.0
South Africa,South Africa,2005,4850.0
Spain,Spain,2005,25450.0
Sri Lanka,Sri Lanka,2005,1210.0
Sudan,Sudan,2005,610.0
Suriname,Suriname,2005,3320.0
Eswatini,Swaziland,2005,2600.0
Sweden,Sweden,2005,42920.0
Switzerland,Switzerland,2005,56870.0
Syria,Syrian Arab Republic,2005,1500.0
Tajikistan,Tajikistan,2005,340.0
Tanzania,Tanzania,2005,380.0
Thailand,Thailand,2005,2560.0
East Timor,Timor-Leste,2005,740.0
Many哥,Togo,2005,370.0
Tonga,Tonga,2005,2470.0
Trinidad and Tobago,Trinidad And Tobago,2005,11160.0
Tunisia,Tunisia,2005,3200.0
Turkey,Turkey,2005,6480.0
Turkmenistan,Turkmenistan,2005,1650.0
Tuvalu,Tuvalu,2005,3780.0
Uganda,Uganda,2005,300.0
Ukraine,Ukraine,2005,1540.0
United Arab Emirates,United Arab Emirates,2005,42280.0
United Kingdom,United Kingdom,2005,38850.0
United States,United States,2005,44670.0
Uruguay,Uruguay,2005,4740.0
Uzbekistan,Uzbekistan,2005,530.0
Vanuatu,Vanuatu,2005,1760.0
Venezuela,Venezuela,2005,4950.0
Vietnam,Viet Nam,2005,630.0
Yemen,Yemen,2005,690.0
Zambia,Zambia,2005,500.0
Zimbabwe,Zimbabwe,2005,440.0
World,World,2009,8674.0
High-income countries,High Income,2009,37800.0
OECD High-Income Countries,High Income: OECD,2009,39150.0
Non-OECD High-Income Countries,High Income: nonOECD,2009,22890.0
Middle-income countries,Middle Income,2009,3349.0
Lower-middle-income countries,Lower Middle Income,2009,1462.0
Upper-middle-income countries,Upper Middle Income,2009,5233.0
Lower-middle-income countries,Low and Middle Income,2009,2959.0
East Asia and Pacific,East Asia and Pacific,2009,3166.0
Europe and Central Asia,Europe and Central Asia,2009,6851.0
Latin America and the Caribbean,Latin America and Caribbean,2009,7023.0
Middle East and North African Countries,Middle East and North Africa,2009,3679.0
South Asia,South Asia,2009,1069.0
Sub-Saharan Africa,Sub-Saharan Africa,2009,1132.0
Low-income countries,Low Income,2009,496.0
Least developed regions,Least Developed Countries,2009,676.0
Heavily Indebted Poor Countries,Heavily Indebted Poor Countries,2009,634.0
China,China,2009,3620.0
"Hong Kong, China","Hong Kong, China",2009,31410.0
"Macau, China","Macao, China",2009,36000.0
Afghanistan,Afghanistan,2009,370.0
Albania,Albania,2009,3970.0
Algeria,Algeria,2009,4470.0
Angola,Angola,2009,3880.0
Antigua and Barbuda,Antigua and Barbuda,2009,13500.0
Argentina,Argentina,2009,7580.0
Armenia,Armenia,2009,3050.0
Australia,Australia,2009,43860.0
Austria,Austria,2009,46630.0
Azerbaijan,Azerbaijan,2009,4800.0
Bahamas,Bahamas,2009,23420.0
Bahrain,Bahrain,2009,15880.0
Bangladesh,Bangladesh,2009,640.0
Barbados,Barbados,2009,12660.0
Belarus,Belarus,2009,5590.0
Belgium,Belgium,2009,44700.0
Belize,Belize,2009,3820.0
Benin,Benin,2009,780.0
Bhutan,Bhutan,2009,1710.0
Bolivia,Bolivia,2009,1640.0
Bosnia and Herzegovina,Bosnia and Herzegovinian,2009,4760.0
Botswana,Botswana,2009,6270.0
Brazil,Brazil,2009,8150.0
Brunei,Brunei Darussalam,2009,31800.0
Bulgaria,Bulgaria,2009,6080.0
Burkina Faso,Burkina Faso,2009,520.0
Burundi,Burundi,2009,210.0
Cambodia,Cambodia,2009,700.0
Cameroon,Cameroon,2009,1210.0
Canada,Canada,2009,41890.0
The Cape Verde Islands,Cape Verde,2009,3180.0
China - Africa,Central African Rep.,2009,450.0
Zha De,Chad,2009,650.0
Chile,Chile,2009,9970.0
Colombia,Colombia,2009,5060.0
Comoros,Comoros,2009,740.0
Democratic Republic of the Congo,"Congo, Dem. Rep.",2009,170.0
Congo (Brazzaville),"Congo, Rep.",2009,1980.0
Costa Rica,Costa Rica,2009,6200.0
Côte d'Ivoire,Cote D'Ivoire,2009,1160.0
Croatia,Croatia,2009,13810.0
Cyprus,Cyprus,2009,29710.0
Czech Republic,Czech Rep.,2009,17860.0
Denmark,Denmark,2009,58330.0
Djibouti,Djibouti,2009,1270.0
Dominica,Dominica,2009,6830.0
Dominica,Dominican Rep.,2009,4690.0
Ecuador,Ecuador,2009,3630.0
Egypt,Egypt,2009,2160.0
El Salvador,El Salvador,2009,3310.0
Equatorial Guinea,Equatorial Guinea,2009,16710.0
Eritrea,Eritrea,2009,290.0
Estonia,Estonia,2009,14360.0
Ethiopia,Ethiopia,2009,350.0
Fiji,Fiji,2009,3890.0
Finland,Finland,2009,46620.0
France,France,2009,42380.0
Jia Peng,Gabon,2009,7620.0
Gambia,Gambia,2009,590.0
Georgia,Georgia,2009,2540.0
Germany,Germany,2009,42400.0
Ghana,Ghana,2009,1190.0
Greece,Greece,2009,28020.0
Greenland,Greenland,2009,26020.0
Grenada,Grenada,2009,6910.0
Guatemala,Guatemala,2009,2660.0
Guinea,Guinea,2009,380.0
Guinea-Bissau,Guinea-Bissau,2009,550.0
Guyana,Guyana,2009,2640.0
Haiti,Haiti,2009,670.0
Honduras,Honduras,2009,1780.0
Hungary,Hungary,2009,12980.0
Iceland,Iceland,2009,39140.0
India,India,2009,1150.0
Indonesia,Indonesia,2009,2160.0
Iran,Iran,2009,4520.0
Iraq,Iraq,2009,2310.0
Ireland,Ireland,2009,44870.0
Israel,Israel,2009,25510.0
Italy,Italy,2009,35570.0
Jamaica,Jamaica,2009,4610.0
Japan,Japan,2009,37580.0
Jordan,Jordan,2009,3900.0
Kazakhstan,Kazakhstan,2009,6780.0
Kenya,Kenya,2009,780.0
Kiribati,Kiribati,2009,1840.0
South Korea,"Korea, Rep.",2009,19650.0
Kuwait,Kuwait,2009,48980.0
Kyrgyzstan,Kyrgyzstan,2009,860.0
Lao PDR,Laos,2009,900.0
Latvia,Latvia,2009,12390.0
Liberia,Lebanon,2009,7870.0
Lesotho,Lesotho,2009,1080.0
Liberia,Liberia,2009,210.0
Libya,Libya,2009,12320.0
