section,reason,frequency_count,subgroup_id,percent_women
housing:,mental health,1087,10,27.0
housing:,drug/alcohol addiction,862,10,29.0
housing:,other,482,10,10.0
housing:,unknown,53,10,
abuse:,emotional abuse,2933,11,65.0
abuse:,physical abuse,2193,11,51.0
abuse:,financial abuse,1671,11,43.0
abuse:,threats,1593,11,43.0
abuse:,harassment,1183,11,30.0
abuse:,sexual abuse,925,11,22.0
abuse:,human trafficking,67,11,2.0
abuse:,other abuse,523,11,4.0
protecting children from:,witnessing abuse of mother,1158,11,27.0
protecting children from:,psychological abuse,784,11,18.0
protecting children from:,physical abuse,428,11,12.0
protecting children from:,threats,348,11,10.0
protecting children from:,neglect,267,11,8.0
protecting children from:,sexual abuse,72,11,2.0
housing:,unable to find affordable housing,1311,11,35.0
housing:,short-term housing problem,767,11,16.0
housing:,housing emergency,428,11,9.0
housing:,mental health,1087,11,21.0
housing:,drug/alcohol addiction,862,11,25.0
housing:,other,482,11,18.0
housing:,unknown,53,11,
abuse:,emotional abuse,2933,12,85.0
abuse:,physical abuse,2193,12,62.0
abuse:,financial abuse,1671,12,23.0
abuse:,threats,1593,12,31.0
abuse:,harassment,1183,12,31.0
abuse:,sexual abuse,925,12,
abuse:,human trafficking,67,12,
abuse:,other abuse,523,12,
protecting children from:,witnessing abuse of mother,1158,12,
protecting children from:,psychological abuse,784,12,
protecting children from:,physical abuse,428,12,
protecting children from:,threats,348,12,
protecting children from:,neglect,267,12,
protecting children from:,sexual abuse,72,12,
housing:,unable to find affordable housing,1311,12,
housing:,short-term housing problem,767,12,
housing:,housing emergency,428,12,
housing:,mental health,1087,12,
housing:,drug/alcohol addiction,862,12,31.0
housing:,other,482,12,
housing:,unknown,53,12,
abuse:,emotional abuse,2933,13,89.0
abuse:,physical abuse,2193,13,59.0
abuse:,financial abuse,1671,13,41.0
abuse:,threats,1593,13,44.0
abuse:,harassment,1183,13,19.0
abuse:,sexual abuse,925,13,19.0
abuse:,human trafficking,67,13,
abuse:,other abuse,523,13,19.0
protecting children from:,witnessing abuse of mother,1158,13,52.0
protecting children from:,psychological abuse,784,13,
protecting children from:,physical abuse,428,13,
protecting children from:,threats,348,13,
protecting children from:,neglect,267,13,
protecting children from:,sexual abuse,72,13,
housing:,unable to find affordable housing,1311,13,37.0
housing:,short-term housing problem,767,13,19.0
housing:,housing emergency,428,13,15.0
housing:,mental health,1087,13,15.0
housing:,drug/alcohol addiction,862,13,
housing:,other,482,13,
housing:,unknown,53,13,
abuse:,emotional abuse,2933,14,89.0
abuse:,physical abuse,2193,14,53.0
abuse:,financial abuse,1671,14,42.0
abuse:,threats,1593,14,68.0
abuse:,harassment,1183,14,63.0
abuse:,sexual abuse,925,14,21.0
abuse:,human trafficking,67,14,
abuse:,other abuse,523,14,
protecting children from:,witnessing abuse of mother,1158,14,
protecting children from:,psychological abuse,784,14,
protecting children from:,physical abuse,428,14,
protecting children from:,threats,348,14,
protecting children from:,neglect,267,14,
protecting children from:,sexual abuse,72,14,
housing:,unable to find affordable housing,1311,14,47.0
housing:,short-term housing problem,767,14,
housing:,housing emergency,428,14,37.0
housing:,mental health,1087,14,16.0
housing:,drug/alcohol addiction,862,14,42.0
housing:,other,482,14,
housing:,unknown,53,14,
