region,period,metric_type,value
Yiyang City,33994,17006,10230
Yiyang City,33994,524068,312864
Chenzhou City,5567,165,795
Chenzhou City,5567,429,1832
Chenzhou City,5567,9568,47301
Chenzhou City,3993,371,326
Chenzhou City,3993,726,697
Chenzhou City,3993,16244,18288
Chenzhou City,8289,292,1041
Chenzhou City,8289,765,2660
Chenzhou City,8289,21469,70899
Chenzhou City,20612,1772,2048
Chenzhou City,20612,4770,5713
Chenzhou City,20612,137344,152009
Chenzhou City,53744,4561,4823
Chenzhou City,53744,13850,14918
Chenzhou City,53744,415908,406529
Chenzhou City,70264,8079,4318
Chenzhou City,70264,32570,15110
Chenzhou City,70264,1012998,434629
Chenzhou City,33994,3839,2121
Chenzhou City,33994,17006,7976
Chenzhou City,33994,524068,237099
Yongzhou City,5567,165,809
Yongzhou City,5567,429,1936
Yongzhou City,5567,9568,46062
Yongzhou City,3993,371,241
Yongzhou City,3993,726,643
Yongzhou City,3993,16244,16221
Yongzhou City,8289,292,645
Yongzhou City,8289,765,1711
Yongzhou City,8289,21469,41836
Yongzhou City,20612,1772,1434
Yongzhou City,20612,4770,4228
Yongzhou City,20612,137344,109903
Yongzhou City,53744,4561,3698
Yongzhou City,53744,13850,12719
Yongzhou City,53744,415908,346381
Yongzhou City,70264,8079,5223
Yongzhou City,70264,32570,20692
Yongzhou City,70264,1012998,602984
Yongzhou City,33994,3839,2497
Yongzhou City,33994,17006,11252
Yongzhou City,33994,524068,336617
Huaihua City,5567,165,691
Huaihua City,5567,429,1938
Huaihua City,5567,9568,55936
Huaihua City,3993,371,590
Huaihua City,3993,726,1762
Huaihua City,3993,16244,50620
Huaihua City,8289,292,1278
Huaihua City,8289,765,3787
Huaihua City,8289,21469,120051
Huaihua City,20612,1772,2098
Huaihua City,20612,4770,6407
Huaihua City,20612,137344,198920
Huaihua City,53744,4561,4447
Huaihua City,53744,13850,14533
Huaihua City,53744,415908,429279
Huaihua City,70264,8079,3807
Huaihua City,70264,32570,13568
Huaihua City,70264,1012998,415805
Huaihua City,33994,3839,1498
Huaihua City,33994,17006,6078
Huaihua City,33994,524068,191991
Loudi City,5567,165,568
Loudi City,5567,429,1405
Loudi City,5567,9568,40085
Loudi City,3993,371,283
Loudi City,3993,726,788
Loudi City,3993,16244,21108
Loudi City,8289,292,699
Loudi City,8289,765,1859
Loudi City,8289,21469,46348
Loudi City,20612,1772,1605
Loudi City,20612,4770,4399
Loudi City,20612,137344,126072
Loudi City,53744,4561,3226
Loudi City,53744,13850,10491
Loudi City,53744,415908,337408
Loudi City,70264,8079,3502
Loudi City,70264,32570,11883
Loudi City,70264,1012998,425086
Loudi City,33994,3839,1708
Loudi City,33994,17006,6880
Loudi City,33994,524068,257444
Xiangxi Tujia and Miao Autonomous Prefecture,5567,165,473
Xiangxi Tujia and Miao Autonomous Prefecture,5567,429,1223
Xiangxi Tujia and Miao Autonomous Prefecture,5567,9568,36834
Xiangxi Tujia and Miao Autonomous Prefecture,3993,371,423
Xiangxi Tujia and Miao Autonomous Prefecture,3993,726,1170
Xiangxi Tujia and Miao Autonomous Prefecture,3993,16244,32281
Xiangxi Tujia and Miao Autonomous Prefecture,8289,292,689
Xiangxi Tujia and Miao Autonomous Prefecture,8289,765,1938
Xiangxi Tujia and Miao Autonomous Prefecture,8289,21469,52224
Xiangxi Tujia and Miao Autonomous Prefecture,20612,1772,1104
Xiangxi Tujia and Miao Autonomous Prefecture,20612,4770,3366
Xiangxi Tujia and Miao Autonomous Prefecture,20612,137344,89546
Xiangxi Tujia and Miao Autonomous Prefecture,53744,4561,2347
Xiangxi Tujia and Miao Autonomous Prefecture,53744,13850,7291
Xiangxi Tujia and Miao Autonomous Prefecture,53744,415908,206730
Xiangxi Tujia and Miao Autonomous Prefecture,70264,8079,1516
Xiangxi Tujia and Miao Autonomous Prefecture,70264,32570,5897
Xiangxi Tujia and Miao Autonomous Prefecture,70264,1012998,171655
Xiangxi Tujia and Miao Autonomous Prefecture,33994,3839,1371
Xiangxi Tujia and Miao Autonomous Prefecture,33994,17006,6360
Xiangxi Tujia and Miao Autonomous Prefecture,33994,524068,195200
