[SUCCESS] 1000.xlsx  (122.2s)
[FAILED] 1291.xlsx  (93.1s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [0, 1, 2, 3, 4]'
[SUCCESS] 1292.xlsx  (64.2s)
[SUCCESS] 1293.xlsx  (75.1s)
[SUCCESS] 1294.xlsx  (35.5s)
[SUCCESS] 1295.xlsx  (42.9s)
[SUCCESS] 1297.xlsx  (132.6s)
[SUCCESS] 129_totto15747-4.xlsx  (51.4s)
[SUCCESS] 13.xlsx  (66.6s)
[SUCCESS] 1301.xlsx  (97.7s)
[SUCCESS] 1307.xlsx  (75.7s)
[SUCCESS] 1309.xlsx  (114.5s)
[SUCCESS] 1311.xlsx  (50.4s)
[SUCCESS] 1312.xlsx  (115.7s)
[SUCCESS] 1319.xlsx  (36.5s)
[FAILED] 1325.xlsx  (130.4s)  ERROR: 'income_band'
[SUCCESS] 1327.xlsx  (47.2s)
[SUCCESS] 132_totto16138-3.xlsx  (101.2s)
[SUCCESS] 1331.xlsx  (151.0s)
[SUCCESS] 1334.xlsx  (66.9s)
[SUCCESS] 1336.xlsx  (105.3s)
[SUCCESS] 1338.xlsx  (109.7s)
[SUCCESS] 1343.xlsx  (58.1s)
[SUCCESS] 1347.xlsx  (157.8s)
[SUCCESS] 134_totto16361-4.xlsx  (85.4s)
[SUCCESS] 1352.xlsx  (72.9s)
[SUCCESS] 1355.xlsx  (76.5s)
[SUCCESS] 1356.xlsx  (60.8s)
[SUCCESS] 1358.xlsx  (71.9s)
[SUCCESS] 1364.xlsx  (81.8s)
[FAILED] 1375.xlsx  (106.3s)  ERROR: '[0] not in index'
[SUCCESS] 1377.xlsx  (53.9s)
[SUCCESS] 1380.xlsx  (57.0s)
[SUCCESS] 1382.xlsx  (84.2s)
[SUCCESS] 1384.xlsx  (56.0s)
[SUCCESS] 1385.xlsx  (70.6s)
[SUCCESS] 1391.xlsx  (48.4s)
[SUCCESS] 13_totto1596-4.xlsx  (117.9s)
[SUCCESS] 1401.xlsx  (88.1s)
[SUCCESS] 1402.xlsx  (81.2s)
[SUCCESS] 1404.xlsx  (52.5s)
[FAILED] 140_totto16914-1.xlsx  (0.0s)  ERROR: "There is no item named '[Content_Types].xml' in the archive"
[SUCCESS] 14_totto1795-3.xlsx  (82.7s)
[SUCCESS] 14_totto1890-4.xlsx  (68.0s)
[SUCCESS] 15_totto1909-1.xlsx  (91.3s)
[SUCCESS] 15_totto1996-4.xlsx  (145.6s)
[SUCCESS] 16_118_tab1.xlsx  (101.3s)
[SUCCESS] 16_totto2010-1.xlsx  (95.1s)
[SUCCESS] 1706959094525.xlsx  (82.3s)
[SUCCESS] 17_totto2114-2.xlsx  (365.5s)
[SUCCESS] 18_totto2233-1.xlsx  (114.9s)
[SUCCESS] 18_totto2342-4.xlsx  (65.9s)
[SUCCESS] 19.xlsx  (48.5s)
[SUCCESS] 1_totto216-3.xlsx  (81.0s)
[SUCCESS] 2017_College_Entrance_Examination_Admission_Score_Line.xlsx  (73.6s)
[SUCCESS] 21_128_tab4.xlsx  (101.5s)
[SUCCESS] 2231.xlsx  (67.0s)
[SUCCESS] 22_totto2608-2.xlsx  (80.3s)
[SUCCESS] 23_totto2679-2.xlsx  (75.2s)
[SUCCESS] 25_totto2799-2.xlsx  (97.8s)
[SUCCESS] 26.xlsx  (52.8s)
[SUCCESS] 28.xlsx  (72.9s)
[SUCCESS] 32.xlsx  (57.7s)
[SUCCESS] 3333 (77).xlsx  (88.9s)
[SUCCESS] 35.xlsx  (71.1s)
[SUCCESS] 36.xlsx  (57.0s)
[SUCCESS] 37.xlsx  (50.6s)
[SUCCESS] 3_102_tab2.xlsx  (144.7s)
[SUCCESS] 3_totto383-1.xlsx  (99.4s)
[SUCCESS] 3_totto391-2.xlsx  (146.5s)
[SUCCESS] 46_162_tab2.xlsx  (130.4s)
[SUCCESS] 49.xlsx  (57.9s)
[SUCCESS] 4_totto435-1.xlsx  (52.2s)
[SUCCESS] 5.xlsx  (86.8s)
[SUCCESS] 50.xlsx  (76.7s)
[SUCCESS] 51.xlsx  (70.6s)
[SUCCESS] 52.xlsx  (46.2s)
[SUCCESS] 53.xlsx  (64.3s)
[SUCCESS] 54.xlsx  (50.0s)
[SUCCESS] 55.xlsx  (48.3s)
[SUCCESS] 56.xlsx  (75.8s)
[SUCCESS] 5_totto549-1.xlsx  (97.0s)
[SUCCESS] 6_totto667-0.xlsx  (150.0s)
[SUCCESS] 7_107_tab2.xlsx  (60.9s)
[SUCCESS] 8_totto907-0.xlsx  (125.8s)
[SUCCESS] 8_totto949-2.xlsx  (94.2s)
[SUCCESS] 9-Snack_Shop_Monthly_Core_Data_Processing.xlsx  (52.7s)
[SUCCESS] 9_totto1028-1.xlsx  (130.8s)
[SUCCESS] 9_totto1092-2.xlsx  (92.5s)
[SUCCESS] Admission_Status_of_Peking_University_by_Province_and_Major.xlsx  (122.4s)
[SUCCESS] Altay.xlsx  (116.2s)
[SUCCESS] Anhui_Consumption_Growth_Data.xlsx  (57.1s)
[SUCCESS] Annual_Salesperson_Performance_Calculation_Table_1.xlsx  (121.3s)
[SUCCESS] Athletics_Meet_Points_Table_1.xlsx  (150.4s)
[SUCCESS] Beijing_-_Land_Transfer_Details.xlsx  (200.7s)
[FAILED] Bok1.xlsx  (39.5s)  ERROR: Error code: 400 - {'error': {'message': '<400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 1000000]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_parameter_error'}, 'id': 'chatcmpl-ed70f3b1-d408-93ff-abf0-90c88fddb229', 'request_id': 'ed70f3b1-d408-93ff-abf0-90c88fddb229'}
[SUCCESS] Branch_Efficiency_Data.xlsx  (74.4s)
[SUCCESS] Building_Capacity.xlsx  (64.4s)
[SUCCESS] Cash_Journal_-_Income_and_Expenditure_Table_3.xlsx  (80.7s)
[SUCCESS] Chain_Supermarket_Product_Category_Detail_Table.xlsx  (70.2s)
[FAILED] Computerized_Accounting.xls.xlsx  (179.8s)  ERROR: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[SUCCESS] csv_200-csv_42.xlsx  (66.7s)
[SUCCESS] csv_200-csv_48.xlsx  (71.3s)
[SUCCESS] csv_201-csv_22.xlsx  (68.2s)
[SUCCESS] csv_201-csv_3.xlsx  (77.7s)
[SUCCESS] csv_201-csv_33.xlsx  (83.2s)
[SUCCESS] csv_201-csv_45.xlsx  (60.7s)
[FAILED] csv_201-csv_48.xlsx  (150.4s)  ERROR: arg must be a list, tuple, 1-d array, or Series
[SUCCESS] csv_201-csv_49.xlsx  (79.1s)
[SUCCESS] csv_201-csv_6.xlsx  (75.8s)
[SUCCESS] csv_202-csv_166.xlsx  (102.6s)
[SUCCESS] csv_202-csv_167.xlsx  (63.0s)
[FAILED] csv_202-csv_196.xlsx  (121.5s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]'
[SUCCESS] csv_202-csv_278.xlsx  (65.9s)
[SUCCESS] csv_202-csv_294.xlsx  (116.4s)
[SUCCESS] csv_202-csv_44.xlsx  (92.5s)
[SUCCESS] csv_202-csv_57.xlsx  (126.8s)
[SUCCESS] csv_202-csv_99.xlsx  (178.9s)
[SUCCESS] csv_203-csv_110.xlsx  (70.3s)
[SUCCESS] csv_203-csv_171.xlsx  (128.2s)
[SUCCESS] csv_203-csv_254.xlsx  (63.3s)
[SUCCESS] csv_203-csv_282.xlsx  (76.4s)
[SUCCESS] csv_203-csv_392.xlsx  (99.3s)
[SUCCESS] csv_203-csv_464.xlsx  (80.5s)
[SUCCESS] csv_203-csv_471.xlsx  (79.6s)
[SUCCESS] csv_203-csv_516.xlsx  (107.5s)
[FAILED] csv_203-csv_59.xlsx  (98.4s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]'
[FAILED] csv_203-csv_597.xlsx  (121.6s)  ERROR: No value columns found (expected columns 2–10, but result has only 12 columns)
[FAILED] csv_203-csv_623.xlsx  (136.0s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [0, 1, 2, 3, 4, 5, 6]'
[SUCCESS] csv_203-csv_638.xlsx  (59.5s)
[FAILED] csv_203-csv_654.xlsx  (208.1s)  ERROR: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[SUCCESS] csv_203-csv_728.xlsx  (75.6s)
[SUCCESS] csv_203-csv_818.xlsx  (133.4s)
[SUCCESS] csv_203-csv_827.xlsx  (149.4s)
[SUCCESS] csv_203-csv_834.xlsx  (75.1s)
[SUCCESS] csv_203-csv_854.xlsx  (78.7s)
[SUCCESS] csv_203-csv_857.xlsx  (71.9s)
[SUCCESS] csv_203-csv_865.xlsx  (72.8s)
[SUCCESS] csv_203-csv_871.xlsx  (72.1s)
[SUCCESS] csv_204-csv_153.xlsx  (123.2s)
[SUCCESS] csv_204-csv_18.xlsx  (87.7s)
[SUCCESS] csv_204-csv_314.xlsx  (85.6s)
[SUCCESS] csv_204-csv_32.xlsx  (90.6s)
[SUCCESS] csv_204-csv_363.xlsx  (69.6s)
[SUCCESS] csv_204-csv_386.xlsx  (76.7s)
[SUCCESS] csv_204-csv_39.xlsx  (94.5s)
[SUCCESS] csv_204-csv_397.xlsx  (82.6s)
[SUCCESS] csv_204-csv_408.xlsx  (79.6s)
[SUCCESS] csv_204-csv_437.xlsx  (110.2s)
[SUCCESS] csv_204-csv_439.xlsx  (74.2s)
[SUCCESS] csv_204-csv_568.xlsx  (50.8s)
[FAILED] csv_204-csv_581.xlsx  (101.2s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [0, 1, 2, 3, 4, 5]'
[SUCCESS] csv_204-csv_666.xlsx  (61.2s)
[SUCCESS] csv_204-csv_762.xlsx  (110.9s)
[SUCCESS] csv_204-csv_781.xlsx  (164.5s)
[SUCCESS] csv_204-csv_907.xlsx  (74.3s)
[SUCCESS] csv_204-csv_916.xlsx  (115.3s)
[SUCCESS] csv_204-csv_938.xlsx  (53.0s)
[SUCCESS] csv_204-csv_940.xlsx  (80.2s)
[SUCCESS] csv_204-csv_957.xlsx  (146.2s)
[SUCCESS] double_counting_1.xlsx  (113.1s)
[SUCCESS] double_counting_2.xlsx  (116.9s)
[SUCCESS] double_counting_3.xlsx  (75.7s)
[SUCCESS] double_counting_4.xlsx  (104.4s)
[SUCCESS] double_counting_5.xlsx  (118.7s)
[SUCCESS] double_counting_6.xlsx  (103.5s)
[SUCCESS] double_counting_7.xlsx  (179.9s)
[SUCCESS] Double_Twelve_Taobao_Selected_Blockbusters.xlsx  (68.9s)
[SUCCESS] Drug_Inventory_Inbound_Detail_Table.xlsx  (249.6s)
[SUCCESS] E-commerce_Product_Inventory_Detail_Analysis_Table_1.xlsx  (19.2s)
[SUCCESS] Electric_Power_Technology_Statistics_Table.xlsx  (52.4s)
[SUCCESS] fetaqa_10006.xlsx  (64.7s)
[SUCCESS] fetaqa_10007.xlsx  (42.5s)
[SUCCESS] fetaqa_10240.xlsx  (39.4s)
[SUCCESS] fetaqa_10651.xlsx  (60.0s)
[SUCCESS] fetaqa_10684.xlsx  (58.6s)
[SUCCESS] fetaqa_10773.xlsx  (39.6s)
[SUCCESS] fetaqa_10787.xlsx  (51.4s)
[SUCCESS] fetaqa_11217.xlsx  (47.3s)
[SUCCESS] fetaqa_11551.xlsx  (67.2s)
[SUCCESS] fetaqa_11987.xlsx  (48.0s)
[SUCCESS] fetaqa_12269.xlsx  (67.3s)
[SUCCESS] fetaqa_12625.xlsx  (62.2s)
[SUCCESS] fetaqa_12694.xlsx  (92.7s)
[SUCCESS] fetaqa_12962.xlsx  (84.9s)
[SUCCESS] fetaqa_13127.xlsx  (76.2s)
[SUCCESS] fetaqa_1320.xlsx  (55.7s)
[SUCCESS] fetaqa_13350.xlsx  (69.8s)
[SUCCESS] fetaqa_13418.xlsx  (51.5s)
[SUCCESS] fetaqa_13471.xlsx  (120.6s)
[SUCCESS] fetaqa_13599.xlsx  (49.2s)
[SUCCESS] fetaqa_13617.xlsx  (91.1s)
[SUCCESS] fetaqa_13640.xlsx  (66.8s)
[SUCCESS] fetaqa_13706.xlsx  (60.2s)
[SUCCESS] fetaqa_13745.xlsx  (38.6s)
[SUCCESS] fetaqa_1375.xlsx  (44.5s)
[SUCCESS] fetaqa_13752.xlsx  (91.4s)
[SUCCESS] fetaqa_13826.xlsx  (45.2s)
[SUCCESS] fetaqa_13849.xlsx  (85.9s)
[SUCCESS] fetaqa_13999.xlsx  (89.6s)
[SUCCESS] fetaqa_14045.xlsx  (104.5s)
[SUCCESS] fetaqa_14162.xlsx  (66.8s)
[SUCCESS] fetaqa_145.xlsx  (84.5s)
[SUCCESS] fetaqa_14666.xlsx  (43.6s)
[FAILED] fetaqa_1476.xlsx  (117.9s)  ERROR: No valid id_vars found. Available columns: ['Team', '1 Qtr', '2 Qtr', '3 Qtr', 'Final']
[SUCCESS] fetaqa_1480.xlsx  (44.4s)
[SUCCESS] fetaqa_14859.xlsx  (67.4s)
[SUCCESS] fetaqa_14940.xlsx  (84.7s)
[SUCCESS] fetaqa_14951.xlsx  (51.5s)
[SUCCESS] fetaqa_15160.xlsx  (42.4s)
[SUCCESS] fetaqa_15238.xlsx  (75.1s)
[SUCCESS] fetaqa_1529.xlsx  (56.2s)
[FAILED] fetaqa_15326.xlsx  (116.6s)  ERROR: 'representation_era'
[SUCCESS] fetaqa_15332.xlsx  (82.2s)
[SUCCESS] fetaqa_15468.xlsx  (89.5s)
[SUCCESS] fetaqa_15794.xlsx  (58.4s)
[SUCCESS] fetaqa_15955.xlsx  (55.8s)
[SUCCESS] fetaqa_16078.xlsx  (77.6s)
[SUCCESS] fetaqa_16208.xlsx  (81.4s)
[SUCCESS] fetaqa_16320.xlsx  (59.9s)
[SUCCESS] fetaqa_16377.xlsx  (50.8s)
[SUCCESS] fetaqa_16406.xlsx  (67.9s)
[SUCCESS] fetaqa_16511.xlsx  (44.8s)
[SUCCESS] fetaqa_16549.xlsx  (68.9s)
[SUCCESS] fetaqa_16573.xlsx  (116.7s)
[SUCCESS] fetaqa_16618.xlsx  (77.9s)
[SUCCESS] fetaqa_16683.xlsx  (59.6s)
[SUCCESS] fetaqa_16763.xlsx  (57.1s)
[SUCCESS] fetaqa_16902.xlsx  (65.1s)
[SUCCESS] fetaqa_16921.xlsx  (148.4s)
[SUCCESS] fetaqa_16935.xlsx  (42.9s)
[SUCCESS] fetaqa_16988.xlsx  (125.6s)
[SUCCESS] fetaqa_17011.xlsx  (60.4s)
[SUCCESS] fetaqa_17028.xlsx  (57.4s)
[SUCCESS] fetaqa_17063.xlsx  (92.0s)
[SUCCESS] fetaqa_17108.xlsx  (51.2s)
[SUCCESS] fetaqa_17158.xlsx  (144.6s)
[SUCCESS] fetaqa_17166.xlsx  (42.2s)
[SUCCESS] fetaqa_17219.xlsx  (98.7s)
[SUCCESS] fetaqa_17348.xlsx  (44.8s)
[SUCCESS] fetaqa_17442.xlsx  (41.2s)
[SUCCESS] fetaqa_17523.xlsx  (59.9s)
[FAILED] fetaqa_17588.xlsx  (143.4s)  ERROR: 0
[SUCCESS] fetaqa_17693.xlsx  (52.2s)
[SUCCESS] fetaqa_17703.xlsx  (66.9s)
[SUCCESS] fetaqa_17884.xlsx  (72.9s)
[SUCCESS] fetaqa_17896.xlsx  (90.1s)
[SUCCESS] fetaqa_17933.xlsx  (54.6s)
[SUCCESS] fetaqa_17946.xlsx  (49.3s)
[SUCCESS] fetaqa_18029.xlsx  (21.9s)
[SUCCESS] fetaqa_18036.xlsx  (69.2s)
[SUCCESS] fetaqa_18253.xlsx  (41.6s)
[SUCCESS] fetaqa_18318.xlsx  (47.9s)
[SUCCESS] fetaqa_18446.xlsx  (88.5s)
[SUCCESS] fetaqa_18503.xlsx  (88.0s)
[SUCCESS] fetaqa_18862.xlsx  (74.6s)
[SUCCESS] fetaqa_18965.xlsx  (53.3s)
[SUCCESS] fetaqa_19060.xlsx  (57.8s)
[SUCCESS] fetaqa_19105.xlsx  (77.8s)
[SUCCESS] fetaqa_21320.xlsx  (81.6s)
[SUCCESS] fetaqa_21687.xlsx  (35.3s)
[SUCCESS] fetaqa_46.xlsx  (61.1s)
[FAILED] fetaqa_712.xlsx  (130.3s)  ERROR: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[SUCCESS] fetaqa_7748.xlsx  (63.5s)
[SUCCESS] fetaqa_7902.xlsx  (36.1s)
[SUCCESS] fetaqa_7967.xlsx  (46.1s)
[SUCCESS] fetaqa_8378.xlsx  (95.2s)
[SUCCESS] fetaqa_91.xlsx  (60.2s)
[SUCCESS] fetaqa_9224.xlsx  (71.9s)
[SUCCESS] fetaqa_953.xlsx  (68.6s)
[SUCCESS] fetaqa_9919.xlsx  (59.3s)
[SUCCESS] Fresh_Single_Item_Control_Table.xlsx  (91.3s)
[SUCCESS] Fueling_Data_Record.xlsx  (48.7s)
[SUCCESS] General_Workplace_(19).xlsx  (57.0s)
[SUCCESS] Image_to_Text_-_20240205221356_60.xlsx  (109.5s)
[SUCCESS] Image_to_Text_-_20240205221356_73.xlsx  (64.3s)
[FAILED] International_Logistics_Detail_Table.xlsx  (449.5s)  ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For details, see: https://www.alibabacloud.com/help/en/model-studio/error-code#token-limit', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}, 'request_id': 'd0327796-ca36-9c04-a808-b75909a412d3'}
[SUCCESS] Inventory_Report_for_Products.xlsx  (105.7s)
[SUCCESS] It_can_be_used_20_times.xlsx  (77.6s)
[SUCCESS] It_can_be_used_43.xlsx  (92.2s)
[SUCCESS] It_can_be_used_55.xlsx  (82.3s)
[SUCCESS] Land_Expropriation_Area_by_Province_(Square_Kilometers).xls.xlsx  (94.8s)
[SUCCESS] List_of_3_Items.xlsx  (88.8s)
[SUCCESS] List_of_Materials_at_Charging_Station.xlsx  (73.8s)
[SUCCESS] Manufacturing_KPI_Performance_Evaluation_Indicators.xlsx  (78.3s)
[SUCCESS] Material_Cost.xlsx  (78.5s)
[SUCCESS] Medical_Sales_Data.xlsx  (148.1s)
[SUCCESS] Merchandise_Purchase_Statistics_Table.xlsx  (119.0s)
[SUCCESS] Monthly_Procurement_Fund_Budget_Table_1.xlsx  (73.5s)
[SUCCESS] Order_Production_Scheduling_Registration_Form.xlsx  (78.5s)
[SUCCESS] Performance_baseline_data.xlsx  (130.5s)
[SUCCESS] Production_and_Manufacturing_Table_(155).xlsx  (80.0s)
[SUCCESS] Production_and_Manufacturing_Table_(521).xlsx  (138.3s)
[SUCCESS] Production_Master_Plan.xlsx  (64.4s)
[SUCCESS] Project_Detail_Statistics_Table_1.xlsx  (168.8s)
[SUCCESS] Project_Income_and_Expenditure_Management_Table_1.xlsx  (74.1s)
[FAILED] Project_Revenue_Summary_Analysis_Table_1.xlsx  (300.6s)  ERROR: iloc cannot enlarge its target object
[SUCCESS] Project_Statistics_Table_1.xlsx  (103.3s)
[SUCCESS] Protein_Expression_Data.xlsx  (48.5s)
[SUCCESS] Rural_Employed_Personnel_Statistics.xlsx  (52.1s)
[SUCCESS] Shandong_Development_Indicators_Data.xlsx  (106.3s)
[SUCCESS] Shandong_GDP_Index_Table.xlsx  (59.5s)
[SUCCESS] Shandong_Investment_Growth_Data.xlsx  (61.4s)
[SUCCESS] Shandong_Investment_Growth_Rate_Table.xlsx  (96.6s)
[SUCCESS] Shandong_Legal_Entity_Unit_Statistics_1.xlsx  (94.8s)
[SUCCESS] Shandong_Population_Census_Data.xlsx  (109.6s)
[SUCCESS] Shandong_population_structure_data.xlsx  (71.5s)
[SUCCESS] Sheet1(4).xlsx  (79.0s)
[SUCCESS] Sheet57.xlsx  (70.4s)
[SUCCESS] Sheet59.xlsx  (62.4s)
[SUCCESS] Steel_Material_Capacity_Table.xlsx  (52.3s)
[SUCCESS] Stock_Situation_9.xlsx  (44.6s)
[SUCCESS] Stock_Trading_Notebook_-_Transaction_Log_-_Daily_Statistics.xlsx  (69.5s)
[SUCCESS] structural_1.xlsx  (89.3s)
[SUCCESS] structural_10.xlsx  (70.5s)
[SUCCESS] structural_11.xlsx  (140.0s)
[SUCCESS] structural_12.xlsx  (82.9s)
[SUCCESS] structural_13.xlsx  (75.9s)
[SUCCESS] structural_14.xlsx  (77.7s)
[SUCCESS] structural_15.xlsx  (149.0s)
[SUCCESS] structural_16.xlsx  (115.5s)
[SUCCESS] structural_17.xlsx  (135.5s)
[SUCCESS] structural_18.xlsx  (102.6s)
[SUCCESS] structural_19.xlsx  (108.6s)
[SUCCESS] structural_2.xlsx  (136.0s)
[SUCCESS] structural_20.xlsx  (45.2s)
[SUCCESS] structural_21.xlsx  (101.6s)
[SUCCESS] structural_22.xlsx  (41.4s)
[SUCCESS] structural_23.xlsx  (69.7s)
[SUCCESS] structural_24.xlsx  (78.4s)
[SUCCESS] structural_25.xlsx  (59.0s)
[SUCCESS] structural_26.xlsx  (57.4s)
[SUCCESS] structural_27.xlsx  (117.6s)
[SUCCESS] structural_28.xlsx  (75.6s)
[SUCCESS] structural_29.xlsx  (49.7s)
[SUCCESS] structural_3.xlsx  (171.0s)
[SUCCESS] structural_30.xlsx  (65.1s)
[SUCCESS] structural_31.xlsx  (52.4s)
[SUCCESS] structural_32.xlsx  (113.7s)
[SUCCESS] structural_33.xlsx  (56.2s)
[SUCCESS] structural_34.xlsx  (148.6s)
[SUCCESS] structural_4.xlsx  (101.2s)
[SUCCESS] structural_5.xlsx  (93.9s)
[SUCCESS] structural_6.xlsx  (90.6s)
[SUCCESS] structural_7.xlsx  (14362.3s)
[SUCCESS] structural_8.xlsx  (69.0s)
[SUCCESS] structural_9.xlsx  (94.3s)
[SUCCESS] Student_Score_Table_3.xlsx  (74.3s)
[SUCCESS] Summary_of_Steel_Structure_Building_Capacity.xlsx  (476.9s)
[SUCCESS] Supermarket_Joint_Venture_Commission_Rate_and_Gross_Margin.xlsx  (74.2s)
[SUCCESS] Total_Investment_in_Shandong.xlsx  (80.5s)
[SUCCESS] Weekly_Report_on_Apparel_Retail.xlsx  (59.9s)
