year,economic_sector,geographic_scope,investment
1993,Individual Economy,,105.44
1993,Collective-owned Units,Rural,83.05
1993,Others,,64.88
1994,State-owned Economy,Urban,537.59
1994,Collective-owned Units,Urban,318.42
1994,State-owned Economy,Rural,56.42
1994,Individual Economy,,118.45
1994,Collective-owned Units,Rural,92.3
1994,Others,,133.54
1995,State-owned Economy,Urban,611.92
1995,Collective-owned Units,Urban,383.97
1995,State-owned Economy,Rural,51.62
1995,Individual Economy,,140.54
1995,Collective-owned Units,Rural,113.13
1995,Others,,184.55
1996,State-owned Economy,Urban,691.76
1996,Collective-owned Units,Urban,484.79
1996,State-owned Economy,Rural,79.79
1996,Individual Economy,,202.65
1996,Collective-owned Units,Rural,166.14
1996,Others,,178.81
1997,State-owned Economy,Urban,773.3
1997,Collective-owned Units,Urban,569.7
1997,State-owned Economy,Rural,60.15
1997,Individual Economy,,241.76
1997,Collective-owned Units,Rural,198.68
1997,Others,,207.46
1998,State-owned Economy,Urban,938.73
1998,Collective-owned Units,Urban,610.2
1998,State-owned Economy,Rural,66.7
1998,Individual Economy,,274.2
1998,Collective-owned Units,Rural,227.0
1998,Others,,233.84
1999,State-owned Economy,Urban,1043.13
1999,Collective-owned Units,Urban,635.55
1999,State-owned Economy,Rural,82.72
1999,Individual Economy,,310.64
1999,Collective-owned Units,Rural,228.43
1999,Others,,232.85
2000,State-owned Economy,Urban,1153.65
2000,Collective-owned Units,Urban,679.48
2000,State-owned Economy,Rural,108.63
2000,Individual Economy,,353.93
2000,Collective-owned Units,Rural,254.11
2000,Others,,355.59
2001,State-owned Economy,Urban,1157.44
2001,Collective-owned Units,Urban,688.61
2001,State-owned Economy,Rural,134.92
2001,Individual Economy,,384.06
2001,Collective-owned Units,Rural,263.35
2001,Others,,577.68
2002,State-owned Economy,Urban,1237.16
2002,Collective-owned Units,Urban,812.65
2002,State-owned Economy,Rural,196.78
2002,Individual Economy,,487.31
2002,Collective-owned Units,Rural,285.64
2002,Others,,972.17
2003,State-owned Economy,Urban,1615.57
2003,Collective-owned Units,Urban,1177.0
2003,State-owned Economy,Rural,321.79
2003,Individual Economy,,733.64
2003,Collective-owned Units,Rural,296.03
2003,Others,,1802.23
2004,State-owned Economy,Urban,1762.29
2004,Collective-owned Units,Urban,2455.86
2004,State-owned Economy,Rural,383.83
2004,Individual Economy,,772.28
2004,Collective-owned Units,Rural,116.36
2004,Others,,2638.61
2005,State-owned Economy,Urban,1853.29
2005,Collective-owned Units,Urban,1042.41
2005,State-owned Economy,Rural,620.23
2005,Individual Economy,,2736.61
2005,Collective-owned Units,Rural,1491.55
2005,Others,,4909.56
2006,State-owned Economy,Urban,1855.41
2006,Collective-owned Units,Urban,1063.61
2006,State-owned Economy,Rural,713.49
2006,Individual Economy,,3096.56
2006,Collective-owned Units,Rural,1186.2
2006,Others,,5120.48
2007,State-owned Economy,Urban,1838.55
2007,Collective-owned Units,Urban,1269.64
2007,State-owned Economy,Rural,857.34
2007,Individual Economy,,3566.49
2007,Collective-owned Units,Rural,1141.34
2007,Others,,5862.34
2008,State-owned Economy,Urban,2431.5391
2008,Collective-owned Units,Urban,1811.2253
2008,State-owned Economy,Rural,1333.2312
2008,Individual Economy,,4360.8981
2008,Collective-owned Units,Rural,1304.0237
2008,Others,,6832.267
2009,State-owned Economy,Urban,3086.82
2009,Collective-owned Units,Urban,2308.54
2009,State-owned Economy,Rural,1717.74
2009,Individual Economy,,5235.29
2009,Collective-owned Units,Rural,1586.71
2009,Others,,8400.32
2010,State-owned Economy,Urban,3648.447
2010,Collective-owned Units,Urban,2627.3225
2010,State-owned Economy,Rural,1841.4004
2010,Individual Economy,,6505.0014
2010,Collective-owned Units,Rural,1822.9909
2010,Others,,10495.9184
2011,State-owned Economy,Urban,3783.3089
2011,Collective-owned Units,Urban,2715.0045
2011,Individual Economy,,8234.5006
2011,Others,,12036.9193
2012,State-owned Economy,Urban,3949.6474
2012,Collective-owned Units,Urban,3129.2669
2012,State-owned Economy,Rural,0.0
2012,Individual Economy,,9879.7453
2012,Collective-owned Units,Rural,0.0
2012,Others,,14297.3045
2013,State-owned Economy,Urban,4757.3094
2013,Collective-owned Units,Urban,3113.1668
2013,Individual Economy,,12827.6642
2013,Others,,16090.9306
2014,State-owned Economy,Urban,5455.9377
2014,Collective-owned Units,Urban,3380.3857
2014,Individual Economy,,16215.4731
2014,Others,,17443.7513
2015,State-owned Economy,Urban,6304.5816
2015,Collective-owned Units,Urban,3125.7374
2015,Individual Economy,,20268.78
2015,Others,,18613.36
2016,State-owned Economy,Urban,7497.3242
2016,Collective-owned Units,Urban,1545.379
2016,Individual Economy,,22191.4168
2016,Others,,22088.37
2017,State-owned Economy,Urban,9568.2458
2017,Collective-owned Units,Urban,1496.6216
2017,Individual Economy,,22328.5482
2017,Others,,21809.31
