section,subgroup,behaviour_or_discrimination_type,number,percent
age group,24 years and younger,physical contact or suggested sexual relations,,21.0
age group,24 years and younger,total discriminatory behaviours,,31.0
age group,24 years and younger,discrimination on the basis of sex,,30.0
age group,24 years and younger,discrimination on the basis of sexual orientation or gender identity,,6.8
age group,25 to 29 years,any,4030,76.0
age group,25 to 29 years,total sexualized behaviours,,75.0
age group,25 to 29 years,inappropriate verbal or non-verbal communication,,75.0
age group,25 to 29 years,sexually explicit materials,,15.0
age group,25 to 29 years,physical contact or suggested sexual relations,,18.0
age group,25 to 29 years,total discriminatory behaviours,,34.0
age group,25 to 29 years,discrimination on the basis of sex,,33.0
age group,25 to 29 years,discrimination on the basis of sexual orientation or gender identity,,7.9
age group,30 to 34 years,any,2730,78.0
age group,30 to 34 years,total sexualized behaviours,,77.0
age group,30 to 34 years,inappropriate verbal or non-verbal communication,,76.0
age group,30 to 34 years,sexually explicit materials,,14.0
age group,30 to 34 years,physical contact or suggested sexual relations,,15.0
age group,30 to 34 years,total discriminatory behaviours,,33.0
age group,30 to 34 years,discrimination on the basis of sex,,33.0
age group,30 to 34 years,discrimination on the basis of sexual orientation or gender identity,,8.6
age group,35 to 39 years,any,1730,72.0
age group,35 to 39 years,total sexualized behaviours,,71.0
age group,35 to 39 years,inappropriate verbal or non-verbal communication,,70.0
age group,35 to 39 years,sexually explicit materials,,10.0
age group,35 to 39 years,physical contact or suggested sexual relations,,13.0
age group,35 to 39 years,total discriminatory behaviours,,27.0
age group,35 to 39 years,discrimination on the basis of sex,,26.0
age group,35 to 39 years,discrimination on the basis of sexual orientation or gender identity,,6.0
age group,40 to 44 years,any,1100,64.0
age group,40 to 44 years,total sexualized behaviours,,62.0
age group,40 to 44 years,inappropriate verbal or non-verbal communication,,62.0
age group,40 to 44 years,sexually explicit materials,,7.9
age group,40 to 44 years,physical contact or suggested sexual relations,,8.9
age group,40 to 44 years,total discriminatory behaviours,,22.0
age group,40 to 44 years,discrimination on the basis of sex,,21.0
age group,40 to 44 years,discrimination on the basis of sexual orientation or gender identity,,5.3
age group,45 to 49 years,any,1180,64.0
age group,45 to 49 years,total sexualized behaviours,,62.0
age group,45 to 49 years,inappropriate verbal or non-verbal communication,,60.0
age group,45 to 49 years,sexually explicit materials,,7.6
age group,45 to 49 years,physical contact or suggested sexual relations,,8.5
age group,45 to 49 years,total discriminatory behaviours,,21.0
age group,45 to 49 years,discrimination on the basis of sex,,20.0
age group,45 to 49 years,discrimination on the basis of sexual orientation or gender identity,,4.5
age group,50 years and older,any,1950,59.0
age group,50 years and older,total sexualized behaviours,,57.0
age group,50 years and older,inappropriate verbal or non-verbal communication,,56.0
age group,50 years and older,sexually explicit materials,,4.7
age group,50 years and older,physical contact or suggested sexual relations,,5.7
age group,50 years and older,total discriminatory behaviours,,19.0
age group,50 years and older,discrimination on the basis of sex,,17.0
age group,50 years and older,discrimination on the basis of sexual orientation or gender identity,,5.2
