section,subsection,item_label,item_enumeration,item_category,year,value
(1) Total Personnel Expenses,None,"3. Social insurance fees (pension, medical, unemployment, etc.)",3,personnel,2019,268.19
(1) Total Personnel Expenses,None,4. Housing Provident Fund,4,personnel,2019,154.81
(1) Total Personnel Expenses,None,5. Salaries of canal contracting personnel,5,personnel,2019,98.53
(II) Daily Public Expenses,None,1. Office expenses,1,other,2019,10.63
(II) Daily Public Expenses,None,2. Routine Repair Expenses,2,repair,2019,4.25
(II) Daily Public Expenses,None,3. Business Reception Expenses,3,other,2019,0.26
(II) Daily Public Expenses,None,4. Electricity and water fees,4,other,2019,6.0
(II) Daily Public Expenses,None,5. Vehicle Usage Fee,5,other,2019,7.19
(II) Daily Public Expenses,None,6. Travel expenses,6,other,2019,2.41
(II) Daily Public Expenses,None,7. Office Equipment Purchase Expenses and Litigation Fees,7,other,2019,0.0
(II) Daily Public Expenses,None,8. Handling Fee,8,other,2019,3.88
(II) Daily Public Expenses,None,9. Labor Fees,9,other,2019,0.0
(II) Daily Public Expenses,None,10. Other Expenses,10,other,2019,0.15
(II) Daily Public Expenses,None,(3) Maintenance Cost,(3),repair,2019,68.97
II. Major Repair Expenses for Fixed Assets,None,1. Major repair expenses of fixed assets on the books,1,repair,2019,206.76
II. Major Repair Expenses for Fixed Assets,None,2. Major repair expenses for fixed assets that have been used but not yet transferred,2,repair,2019,252.6
II. Major Repair Expenses for Fixed Assets,None,"Three, Annual Depreciation of Fixed Assets",None,depreciation,2019,971.58
"Five, cost and expenses to be deducted from non-public welfare production and operation links",None,1. Expenses for personnel involved in external engineering support projects,1,personnel,2019,151.32
"Five, cost and expenses to be deducted from non-public welfare production and operation links",None,2. Asset Rental Expenses,2,other,2019,56.16
Agricultural Water Supply Cost Allocation Ratio,None,"Seven, the actual water supply volume of the reservoir in the current year (original water volume, 10,000 m³)",None,other,2019,8195.16
Agricultural Water Supply Cost Allocation Ratio,None,"Xilahe Reservoir and other non-power generation water supply volumes (10,000 m³)",Xil,power_generation_water,2019,1539.65
"Non-power generation original water supply volume (industrial, domestic, and agricultural original water supply volume, 10,000 m³)",None,"Among them (1) industrial water supply volume (10,000 m³)",Among them,industrial_water,2019,15.4
"Non-power generation original water supply volume (industrial, domestic, and agricultural original water supply volume, 10,000 m³)",None,"(2) Domestic water supply (10,000 m³)",(2),domestic_water,2019,667.1
