section,category,vacancy_duration,repetition_id,wage_median
level of education required,high school diploma or equivalent,vacant for 90 days or more,2,18.62
level of education required,apprenticeship or trades certificate or diploma,vacant for less than 90 days,1,21.19
level of education required,apprenticeship or trades certificate or diploma,vacant for 90 days or more,1,21.8
level of education required,apprenticeship or trades certificate or diploma,vacant for less than 90 days,2,22.51
level of education required,apprenticeship or trades certificate or diploma,vacant for 90 days or more,2,22.5
level of education required,"college, cegep or other non-university certificate or diploma",vacant for less than 90 days,1,23.05
level of education required,"college, cegep or other non-university certificate or diploma",vacant for 90 days or more,1,25.07
level of education required,"college, cegep or other non-university certificate or diploma",vacant for less than 90 days,2,24.06
level of education required,"college, cegep or other non-university certificate or diploma",vacant for 90 days or more,2,25.58
level of education required,university certificate or diploma below bachelor's degree,vacant for less than 90 days,1,28.43
level of education required,university certificate or diploma below bachelor's degree,vacant for 90 days or more,1,32.49
level of education required,university certificate or diploma below bachelor's degree,vacant for less than 90 days,2,29.07
level of education required,university certificate or diploma below bachelor's degree,vacant for 90 days or more,2,33.77
level of education required,bachelor's degree,vacant for less than 90 days,1,34.4
level of education required,bachelor's degree,vacant for 90 days or more,1,37.57
level of education required,bachelor's degree,vacant for less than 90 days,2,34.87
level of education required,bachelor's degree,vacant for 90 days or more,2,38.59
level of education required,university certificate or diploma above bachelor's degree,vacant for less than 90 days,1,39.95
level of education required,university certificate or diploma above bachelor's degree,vacant for 90 days or more,1,44.46
level of education required,university certificate or diploma above bachelor's degree,vacant for less than 90 days,2,40.62
level of education required,university certificate or diploma above bachelor's degree,vacant for 90 days or more,2,44.9
work experience required,less than 1 year,vacant for less than 90 days,1,15.46
work experience required,less than 1 year,vacant for 90 days or more,1,18.93
work experience required,less than 1 year,vacant for less than 90 days,2,16.89
work experience required,less than 1 year,vacant for 90 days or more,2,21.4
work experience required,1 year to less than 3 years,vacant for less than 90 days,1,18.24
work experience required,1 year to less than 3 years,vacant for 90 days or more,1,20.17
work experience required,1 year to less than 3 years,vacant for less than 90 days,2,19.16
work experience required,1 year to less than 3 years,vacant for 90 days or more,2,20.19
work experience required,3 years to less than 5 years,vacant for less than 90 days,1,25.9
work experience required,3 years to less than 5 years,vacant for 90 days or more,1,26.36
work experience required,3 years to less than 5 years,vacant for less than 90 days,2,26.34
work experience required,3 years to less than 5 years,vacant for 90 days or more,2,26.23
work experience required,5 years to less than 8 years,vacant for less than 90 days,1,32.48
work experience required,5 years to less than 8 years,vacant for 90 days or more,1,34.7
work experience required,5 years to less than 8 years,vacant for less than 90 days,2,32.84
work experience required,5 years to less than 8 years,vacant for 90 days or more,2,35.13
work experience required,8 years or more,vacant for less than 90 days,1,47.04
work experience required,8 years or more,vacant for 90 days or more,1,50.9
work experience required,8 years or more,vacant for less than 90 days,2,48.05
work experience required,8 years or more,vacant for 90 days or more,2,50.85
