age_label,age_group,age_single_year,income_benefit_type,sex,count
69,Under 45 years old,69.0,Category_4,Female,103241
70,Under 45 years old,70.0,Category_4,Female,84801
71,Under 45 years old,71.0,Category_4,Female,70323
72,Under 45 years old,72.0,Category_4,Female,54762
73,Under 45 years old,73.0,Category_4,Female,45536
74,Under 45 years old,74.0,Category_4,Female,37236
nan,Under 45 years old,,Category_4,Female,
75,Under 45 years old,75.0,Category_4,Female,28919
76,Under 45 years old,76.0,Category_4,Female,23652
77,Under 45 years old,77.0,Category_4,Female,18359
78,Under 45 years old,78.0,Category_4,Female,14756
79,Under 45 years old,79.0,Category_4,Female,12377
nan,Under 45 years old,,Category_4,Female,
80,Under 45 years old,80.0,Category_4,Female,8935
81,Under 45 years old,81.0,Category_4,Female,5802
82,Under 45 years old,82.0,Category_4,Female,5202
83,Under 45 years old,83.0,Category_4,Female,4161
84,Under 45 years old,84.0,Category_4,Female,3434
nan,Under 45 years old,,Category_4,Female,
85,Under 45 years old,85.0,Category_4,Female,2772
86,Under 45 years old,86.0,Category_4,Female,2235
87,Under 45 years old,87.0,Category_4,Female,1843
88,Under 45 years old,88.0,Category_4,Female,1315
89,Under 45 years old,89.0,Category_4,Female,979
nan,Under 45 years old,,Category_4,Female,
90,Under 45 years old,90.0,Category_4,Female,775
91,Under 45 years old,91.0,Category_4,Female,449
92,Under 45 years old,92.0,Category_4,Female,364
93,Under 45 years old,93.0,Category_4,Female,234
94,Under 45 years old,94.0,Category_4,Female,179
nan,Under 45 years old,,Category_4,Female,
95,Under 45 years old,95.0,Category_4,Female,154
96,Under 45 years old,96.0,Category_4,Female,84
97,Under 45 years old,97.0,Category_4,Female,65
98,Under 45 years old,98.0,Category_4,Female,43
99,Under 45 years old,99.0,Category_4,Female,48
nan,Under 45 years old,,Category_4,Female,
nan,Total,,Category_7,Male,
nan,Under 45 years old,,Category_7,Male,
45,Under 45 years old,45.0,Category_7,Male,375
46,Under 45 years old,46.0,Category_7,Male,471
47,Under 45 years old,47.0,Category_7,Male,709
48,Under 45 years old,48.0,Category_7,Male,942
49,Under 45 years old,49.0,Category_7,Male,1311
nan,Under 45 years old,,Category_7,Male,
50,Under 45 years old,50.0,Category_7,Male,9207
51,Under 45 years old,51.0,Category_7,Male,15077
52,Under 45 years old,52.0,Category_7,Male,20652
53,Under 45 years old,53.0,Category_7,Male,20162
54,Under 45 years old,54.0,Category_7,Male,31761
nan,Under 45 years old,,Category_7,Male,
55,Under 45 years old,55.0,Category_7,Male,55978
56,Under 45 years old,56.0,Category_7,Male,73740
57,Under 45 years old,57.0,Category_7,Male,102707
58,Under 45 years old,58.0,Category_7,Male,81886
59,Under 45 years old,59.0,Category_7,Male,68752
nan,Under 45 years old,,Category_7,Male,
60,Under 45 years old,60.0,Category_7,Male,206017
61,Under 45 years old,61.0,Category_7,Male,206488
62,Under 45 years old,62.0,Category_7,Male,264568
63,Under 45 years old,63.0,Category_7,Male,287165
64,Under 45 years old,64.0,Category_7,Male,262328
nan,Under 45 years old,,Category_7,Male,
65,Under 45 years old,65.0,Category_7,Male,274340
66,Under 45 years old,66.0,Category_7,Male,278079
67,Under 45 years old,67.0,Category_7,Male,243519
68,Under 45 years old,68.0,Category_7,Male,242441
69,Under 45 years old,69.0,Category_7,Male,209287
70,Under 45 years old,70.0,Category_7,Male,206607
71,Under 45 years old,71.0,Category_7,Male,197991
72,Under 45 years old,72.0,Category_7,Male,167387
73,Under 45 years old,73.0,Category_7,Male,161799
74,Under 45 years old,74.0,Category_7,Male,146037
nan,Under 45 years old,,Category_7,Male,
75,Under 45 years old,75.0,Category_7,Male,125596
76,Under 45 years old,76.0,Category_7,Male,119719
77,Under 45 years old,77.0,Category_7,Male,105721
78,Under 45 years old,78.0,Category_7,Male,102089
79,Under 45 years old,79.0,Category_7,Male,100038
nan,Under 45 years old,,Category_7,Male,
80,Under 45 years old,80.0,Category_7,Male,91862
81,Under 45 years old,81.0,Category_7,Male,75541
82,Under 45 years old,82.0,Category_7,Male,76774
83,Under 45 years old,83.0,Category_7,Male,66738
84,Under 45 years old,84.0,Category_7,Male,58933
nan,Under 45 years old,,Category_7,Male,
85,Under 45 years old,85.0,Category_7,Male,48831
86,Under 45 years old,86.0,Category_7,Male,41481
87,Under 45 years old,87.0,Category_7,Male,37938
88,Under 45 years old,88.0,Category_7,Male,27960
89,Under 45 years old,89.0,Category_7,Male,22671
nan,Under 45 years old,,Category_7,Male,
90,Under 45 years old,90.0,Category_7,Male,19484
91,Under 45 years old,91.0,Category_7,Male,12666
92,Under 45 years old,92.0,Category_7,Male,10122
93,Under 45 years old,93.0,Category_7,Male,6880
94,Under 45 years old,94.0,Category_7,Male,4804
nan,Under 45 years old,,Category_7,Male,
95,Under 45 years old,95.0,Category_7,Male,3374
96,Under 45 years old,96.0,Category_7,Male,2242
97,Under 45 years old,97.0,Category_7,Male,1466
98,Under 45 years old,98.0,Category_7,Male,906
99,Under 45 years old,99.0,Category_7,Male,650
nan,Under 45 years old,,Category_7,Male,
nan,Total,,Category_7,Female,
nan,Under 45 years old,,Category_7,Female,
45,Under 45 years old,45.0,Category_7,Female,4556
46,Under 45 years old,46.0,Category_7,Female,7290
47,Under 45 years old,47.0,Category_7,Female,10836
48,Under 45 years old,48.0,Category_7,Female,15779
49,Under 45 years old,49.0,Category_7,Female,30808
nan,Under 45 years old,,Category_7,Female,
50,Under 45 years old,50.0,Category_7,Female,136508
51,Under 45 years old,51.0,Category_7,Female,163925
52,Under 45 years old,52.0,Category_7,Female,184715
53,Under 45 years old,53.0,Category_7,Female,148783
54,Under 45 years old,54.0,Category_7,Female,188700
nan,Under 45 years old,,Category_7,Female,
55,Under 45 years old,55.0,Category_7,Female,250245
56,Under 45 years old,56.0,Category_7,Female,280370
57,Under 45 years old,57.0,Category_7,Female,353210
58,Under 45 years old,58.0,Category_7,Female,251884
59,Under 45 years old,59.0,Category_7,Female,161868
nan,Under 45 years old,,Category_7,Female,
60,Under 45 years old,60.0,Category_7,Female,223195
61,Under 45 years old,61.0,Category_7,Female,209067
62,Under 45 years old,62.0,Category_7,Female,263422
63,Under 45 years old,63.0,Category_7,Female,285977
64,Under 45 years old,64.0,Category_7,Female,260878
nan,Under 45 years old,,Category_7,Female,
65,Under 45 years old,65.0,Category_7,Female,267103
66,Under 45 years old,66.0,Category_7,Female,271865
67,Under 45 years old,67.0,Category_7,Female,237020
68,Under 45 years old,68.0,Category_7,Female,231993
69,Under 45 years old,69.0,Category_7,Female,198809
70,Under 45 years old,70.0,Category_7,Female,187851
71,Under 45 years old,71.0,Category_7,Female,177744
72,Under 45 years old,72.0,Category_7,Female,151795
73,Under 45 years old,73.0,Category_7,Female,143466
74,Under 45 years old,74.0,Category_7,Female,130112
nan,Under 45 years old,,Category_7,Female,
75,Under 45 years old,75.0,Category_7,Female,112809
76,Under 45 years old,76.0,Category_7,Female,107781
77,Under 45 years old,77.0,Category_7,Female,97228
78,Under 45 years old,78.0,Category_7,Female,94491
79,Under 45 years old,79.0,Category_7,Female,92095
nan,Under 45 years old,,Category_7,Female,
80,Under 45 years old,80.0,Category_7,Female,83344
81,Under 45 years old,81.0,Category_7,Female,72636
82,Under 45 years old,82.0,Category_7,Female,72350
83,Under 45 years old,83.0,Category_7,Female,61532
84,Under 45 years old,84.0,Category_7,Female,56855
nan,Under 45 years old,,Category_7,Female,
85,Under 45 years old,85.0,Category_7,Female,48993
86,Under 45 years old,86.0,Category_7,Female,41382
87,Under 45 years old,87.0,Category_7,Female,36185
88,Under 45 years old,88.0,Category_7,Female,27056
89,Under 45 years old,89.0,Category_7,Female,20457
nan,Under 45 years old,,Category_7,Female,
90,Under 45 years old,90.0,Category_7,Female,17782
91,Under 45 years old,91.0,Category_7,Female,12698
92,Under 45 years old,92.0,Category_7,Female,10214
93,Under 45 years old,93.0,Category_7,Female,7041
94,Under 45 years old,94.0,Category_7,Female,5064
nan,Under 45 years old,,Category_7,Female,
95,Under 45 years old,95.0,Category_7,Female,3894
96,Under 45 years old,96.0,Category_7,Female,2707
97,Under 45 years old,97.0,Category_7,Female,1739
98,Under 45 years old,98.0,Category_7,Female,1104
99,Under 45 years old,99.0,Category_7,Female,809
nan,Under 45 years old,,Category_7,Female,
nan,Total,,Category_10,Male,
nan,Under 45 years old,,Category_10,Male,
45,Under 45 years old,45.0,Category_10,Male,10976
46,Under 45 years old,46.0,Category_10,Male,12634
47,Under 45 years old,47.0,Category_10,Male,13943
48,Under 45 years old,48.0,Category_10,Male,14981
49,Under 45 years old,49.0,Category_10,Male,16167
nan,Under 45 years old,,Category_10,Male,
50,Under 45 years old,50.0,Category_10,Male,17203
51,Under 45 years old,51.0,Category_10,Male,17262
52,Under 45 years old,52.0,Category_10,Male,18854
53,Under 45 years old,53.0,Category_10,Male,15784
54,Under 45 years old,54.0,Category_10,Male,18652
nan,Under 45 years old,,Category_10,Male,
55,Under 45 years old,55.0,Category_10,Male,18914
56,Under 45 years old,56.0,Category_10,Male,19061
57,Under 45 years old,57.0,Category_10,Male,22912
58,Under 45 years old,58.0,Category_10,Male,17027
59,Under 45 years old,59.0,Category_10,Male,10114
nan,Under 45 years old,,Category_10,Male,
60,Under 45 years old,60.0,Category_10,Male,14551
61,Under 45 years old,61.0,Category_10,Male,16102
62,Under 45 years old,62.0,Category_10,Male,23435
63,Under 45 years old,63.0,Category_10,Male,28226
64,Under 45 years old,64.0,Category_10,Male,26640
nan,Under 45 years old,,Category_10,Male,
65,Under 45 years old,65.0,Category_10,Male,30345
66,Under 45 years old,66.0,Category_10,Male,32047
67,Under 45 years old,67.0,Category_10,Male,31550
68,Under 45 years old,68.0,Category_10,Male,32709
69,Under 45 years old,69.0,Category_10,Male,28595
70,Under 45 years old,70.0,Category_10,Male,28895
71,Under 45 years old,71.0,Category_10,Male,30358
72,Under 45 years old,72.0,Category_10,Male,26719
73,Under 45 years old,73.0,Category_10,Male,26346
74,Under 45 years old,74.0,Category_10,Male,24098
nan,Under 45 years old,,Category_10,Male,
75,Under 45 years old,75.0,Category_10,Male,21701
76,Under 45 years old,76.0,Category_10,Male,21500
77,Under 45 years old,77.0,Category_10,Male,18676
78,Under 45 years old,78.0,Category_10,Male,17277
79,Under 45 years old,79.0,Category_10,Male,17202
nan,Under 45 years old,,Category_10,Male,
80,Under 45 years old,80.0,Category_10,Male,14891
81,Under 45 years old,81.0,Category_10,Male,12372
82,Under 45 years old,82.0,Category_10,Male,12425
83,Under 45 years old,83.0,Category_10,Male,10267
84,Under 45 years old,84.0,Category_10,Male,8885
nan,Under 45 years old,,Category_10,Male,
85,Under 45 years old,85.0,Category_10,Male,7502
86,Under 45 years old,86.0,Category_10,Male,6055
87,Under 45 years old,87.0,Category_10,Male,5295
88,Under 45 years old,88.0,Category_10,Male,3857
89,Under 45 years old,89.0,Category_10,Male,2917
nan,Under 45 years old,,Category_10,Male,
90,Under 45 years old,90.0,Category_10,Male,2458
91,Under 45 years old,91.0,Category_10,Male,1606
92,Under 45 years old,92.0,Category_10,Male,1285
93,Under 45 years old,93.0,Category_10,Male,842
94,Under 45 years old,94.0,Category_10,Male,582
nan,Under 45 years old,,Category_10,Male,
95,Under 45 years old,95.0,Category_10,Male,483
96,Under 45 years old,96.0,Category_10,Male,277
97,Under 45 years old,97.0,Category_10,Male,225
98,Under 45 years old,98.0,Category_10,Male,135
99,Under 45 years old,99.0,Category_10,Male,90
nan,Under 45 years old,,Category_10,Male,
nan,Total,,Category_10,Female,
nan,Under 45 years old,,Category_10,Female,
45,Under 45 years old,45.0,Category_10,Female,7566
46,Under 45 years old,46.0,Category_10,Female,8579
47,Under 45 years old,47.0,Category_10,Female,9389
48,Under 45 years old,48.0,Category_10,Female,9848
49,Under 45 years old,49.0,Category_10,Female,10476
nan,Under 45 years old,,Category_10,Female,
50,Under 45 years old,50.0,Category_10,Female,10653
51,Under 45 years old,51.0,Category_10,Female,10284
52,Under 45 years old,52.0,Category_10,Female,11355
53,Under 45 years old,53.0,Category_10,Female,9923
54,Under 45 years old,54.0,Category_10,Female,11581
nan,Under 45 years old,,Category_10,Female,
55,Under 45 years old,55.0,Category_10,Female,11862
56,Under 45 years old,56.0,Category_10,Female,12469
57,Under 45 years old,57.0,Category_10,Female,14461
58,Under 45 years old,58.0,Category_10,Female,12397
59,Under 45 years old,59.0,Category_10,Female,7766
nan,Under 45 years old,,Category_10,Female,
60,Under 45 years old,60.0,Category_10,Female,11239
61,Under 45 years old,61.0,Category_10,Female,11965
62,Under 45 years old,62.0,Category_10,Female,16204
63,Under 45 years old,63.0,Category_10,Female,19795
64,Under 45 years old,64.0,Category_10,Female,20094
nan,Under 45 years old,,Category_10,Female,
65,Under 45 years old,65.0,Category_10,Female,23079
66,Under 45 years old,66.0,Category_10,Female,24854
67,Under 45 years old,67.0,Category_10,Female,24803
68,Under 45 years old,68.0,Category_10,Female,26584
69,Under 45 years old,69.0,Category_10,Female,23681
70,Under 45 years old,70.0,Category_10,Female,24290
71,Under 45 years old,71.0,Category_10,Female,24573
72,Under 45 years old,72.0,Category_10,Female,22162
73,Under 45 years old,73.0,Category_10,Female,21953
74,Under 45 years old,74.0,Category_10,Female,20601
nan,Under 45 years old,,Category_10,Female,
75,Under 45 years old,75.0,Category_10,Female,18978
76,Under 45 years old,76.0,Category_10,Female,17779
77,Under 45 years old,77.0,Category_10,Female,16269
78,Under 45 years old,78.0,Category_10,Female,15212
79,Under 45 years old,79.0,Category_10,Female,15151
nan,Under 45 years old,,Category_10,Female,
80,Under 45 years old,80.0,Category_10,Female,13706
81,Under 45 years old,81.0,Category_10,Female,11584
82,Under 45 years old,82.0,Category_10,Female,11903
83,Under 45 years old,83.0,Category_10,Female,10665
84,Under 45 years old,84.0,Category_10,Female,9692
nan,Under 45 years old,,Category_10,Female,
85,Under 45 years old,85.0,Category_10,Female,8522
86,Under 45 years old,86.0,Category_10,Female,7696
87,Under 45 years old,87.0,Category_10,Female,7116
88,Under 45 years old,88.0,Category_10,Female,5369
89,Under 45 years old,89.0,Category_10,Female,4453
nan,Under 45 years old,,Category_10,Female,
90,Under 45 years old,90.0,Category_10,Female,3947
91,Under 45 years old,91.0,Category_10,Female,2839
92,Under 45 years old,92.0,Category_10,Female,2404
93,Under 45 years old,93.0,Category_10,Female,1786
94,Under 45 years old,94.0,Category_10,Female,1338
nan,Under 45 years old,,Category_10,Female,
95,Under 45 years old,95.0,Category_10,Female,1066
96,Under 45 years old,96.0,Category_10,Female,802
97,Under 45 years old,97.0,Category_10,Female,563
98,Under 45 years old,98.0,Category_10,Female,377
99,Under 45 years old,99.0,Category_10,Female,269
nan,Under 45 years old,,Category_10,Female,
nan,Total,,Category_13,Male,
nan,Under 45 years old,,Category_13,Male,
45,Under 45 years old,45.0,Category_13,Male,727
46,Under 45 years old,46.0,Category_13,Male,816
47,Under 45 years old,47.0,Category_13,Male,886
48,Under 45 years old,48.0,Category_13,Male,966
49,Under 45 years old,49.0,Category_13,Male,1106
nan,Under 45 years old,,Category_13,Male,
50,Under 45 years old,50.0,Category_13,Male,1101
51,Under 45 years old,51.0,Category_13,Male,1101
52,Under 45 years old,52.0,Category_13,Male,1208
53,Under 45 years old,53.0,Category_13,Male,926
54,Under 45 years old,54.0,Category_13,Male,1054
nan,Under 45 years old,,Category_13,Male,
55,Under 45 years old,55.0,Category_13,Male,1132
56,Under 45 years old,56.0,Category_13,Male,446
57,Under 45 years old,57.0,Category_13,Male,643
58,Under 45 years old,58.0,Category_13,Male,563
59,Under 45 years old,59.0,Category_13,Male,406
nan,Under 45 years old,,Category_13,Male,
60,Under 45 years old,60.0,Category_13,Male,29
61,Under 45 years old,61.0,Category_13,Male,24
62,Under 45 years old,62.0,Category_13,Male,27
63,Under 45 years old,63.0,Category_13,Male,43
64,Under 45 years old,64.0,Category_13,Male,36
nan,Under 45 years old,,Category_13,Male,
65,Under 45 years old,65.0,Category_13,Male,51
66,Under 45 years old,66.0,Category_13,Male,44
67,Under 45 years old,67.0,Category_13,Male,39
68,Under 45 years old,68.0,Category_13,Male,37
