product_id,primary_name_cn,primary_name_en,primary_metric_a,primary_metric_b,secondary_name_premium,secondary_name_base,secondary_metric
70467,,Chinese yam,4.37029696204553,40.8,Premium Seven-Color Pepper,Premium Seven-Color Pepper,0.0
70507,,Cucumber,3.94037537788711,0.0,Premium Burdock Root,burdock root,7.8
122630,,Cucumbers,3.20895356410235,64.7,Premium Pumpkin,Pumpkin,2.03
146301,,Green Pumpkin,3.1467630701948,104.0,Premium Lotus Root,Lotus root,4.69245537788711
81969,,Red Radish,3.14205537788711,97.0,Premium Bitter Melon,Bitter Melon,6.30331548151406
122588,,Long Chinese Cabbage,3.10886215754813,29.5,Premium Leek Seedling,Leek Yellow,12.4444553778871
70556,,sweet potato,2.97700083243257,0.0,Premium Noodles Flower,Chive Flower,12.4444553778871
125731,,Chinese cabbage,2.36685537788711,0.0,Premium Leek Flower,Leek Flower,4.71
125784,,Celtuce,2.06108459137026,8.9,Premium Jing Bao Cabbage,Red Cabbage,1.8
11013,,Mung Bean Sprouts,1.86764009126291,7.8,Premium Huai Mountain Yam,Chinese yam,4.37029696204553
125782,,Scallion,1.8672478307173,8.0,Premium Peanut Seedlings,peanut sprout,0.0
149566,,Mung Bean Sprouts,1.81544250235063,15.7,Premium Cauliflower,Cauliflower,3.859
125756,,Winter Melon,1.71512906209764,0.0,Premium Sweet Potato,sweet potato,2.97700083243257
125773,,Radish,1.43760636256983,61.4,Premium Red Eggplant,Red Eggplant,5.14125537788711
125742,Big苞菜,Big Headed Cabbage,0.863938136507802,23.2,Premium Carrot,Red Radish,3.14205537788711
70475,,Celery,0.204455377887112,5.5,Premium Red Chili Pepper,Red chili pepper,6.75175267518441
125732,,Bok Choy,3.0,11.4,Premium Eggplant,Eggplant,6.4
122633,,Chinese cabbage heart,3.6,35.4,Premium Dutch Bean,Snow pea,12.4444553778871
130775,,Winter Cold Vegetable,4.0,5.2,Premium Baby Bok Choy,High Mountain Baby Cabbage,0.0
125751,,Celery,2.4,66.6,Premium Single Garlic Bulb,Garlic Bulb,19.0
125736,,Lettuce,2.4,20.3,Premium Winter Melon,Winter Melon,1.71512906209764
125749,,Cilantro,5.6,2.3,Premium Red Chili Pepper,Big Red Pepper,8.11965537788711
125749,,,,,Premium Scallion,Scallion,1.8672478307173
125749,,,,,Premium Large Headed Cabbage,Big苞菜 (Big Headed Cabbage),0.863938136507802
125749,,,,,Premium Cabbage,Chinese cabbage,2.36685537788711
125749,,,,,Premium Long Green Beans,Long Bean,7.30010755180015
125749,,,,,Premium Long Chinese Cabbage,Long Chinese Cabbage,3.10886215754813
125749,,,,,Premium Tea Tree Mushroom,Tea Tree Mushroom,0.0
125749,,,,,Premium Vegetable Core,Cai Xin,8.36445537788711
125749,,,,,Premium Spinach,Spinach,4.4
125749,,,,,Premium Radish,Radish,1.43760636256983
