region,household_size,metric_type,value
Shanghai,1557638.0,proportion,0.06
Shanghai,655060.0,number_of_households,1858.0
Shanghai,655060.0,proportion,0.02
Shanghai,734364.0,number_of_households,1591.0
Shanghai,734364.0,proportion,0.02
Jiangsu,125490007.0,number_of_households,6975663.0
Jiangsu,125490007.0,proportion,23.32
Jiangsu,146690059.0,number_of_households,9635959.0
Jiangsu,146690059.0,proportion,32.22
Jiangsu,103700982.0,number_of_households,6499826.0
Jiangsu,103700982.0,proportion,21.73
Jiangsu,65100986.0,number_of_households,3718062.0
Jiangsu,65100986.0,proportion,12.43
Jiangsu,30513352.0,number_of_households,1957228.0
Jiangsu,30513352.0,proportion,6.54
Jiangsu,15125667.0,number_of_households,837511.0
Jiangsu,15125667.0,proportion,2.8
Jiangsu,4589308.0,number_of_households,191310.0
Jiangsu,4589308.0,proportion,0.64
Jiangsu,1557638.0,number_of_households,54635.0
Jiangsu,1557638.0,proportion,0.18
Jiangsu,655060.0,number_of_households,19086.0
Jiangsu,655060.0,proportion,0.06
Jiangsu,734364.0,number_of_households,21569.0
Jiangsu,734364.0,proportion,0.07
Zhejiang,125490007.0,number_of_households,7713848.0
Zhejiang,125490007.0,proportion,30.84
Zhejiang,146690059.0,number_of_households,8098038.0
Zhejiang,146690059.0,proportion,32.38
Zhejiang,103700982.0,number_of_households,4783169.0
Zhejiang,103700982.0,proportion,19.13
Zhejiang,65100986.0,number_of_households,2484481.0
Zhejiang,65100986.0,proportion,9.93
Zhejiang,30513352.0,number_of_households,1203164.0
Zhejiang,30513352.0,proportion,4.81
Zhejiang,15125667.0,number_of_households,563053.0
Zhejiang,15125667.0,proportion,2.25
Zhejiang,4589308.0,number_of_households,110538.0
Zhejiang,4589308.0,proportion,0.44
Zhejiang,1557638.0,number_of_households,30637.0
Zhejiang,1557638.0,proportion,0.12
Zhejiang,655060.0,number_of_households,11563.0
Zhejiang,655060.0,proportion,0.05
Zhejiang,734364.0,number_of_households,10115.0
Zhejiang,734364.0,proportion,0.04
Anhui,125490007.0,number_of_households,5183087.0
Anhui,125490007.0,proportion,23.66
Anhui,146690059.0,number_of_households,6790657.0
Anhui,146690059.0,proportion,30.99
Anhui,103700982.0,number_of_households,4768002.0
Anhui,103700982.0,proportion,21.76
Anhui,65100986.0,number_of_households,2972819.0
Anhui,65100986.0,proportion,13.57
Anhui,30513352.0,number_of_households,1290366.0
Anhui,30513352.0,proportion,5.89
Anhui,15125667.0,number_of_households,643354.0
Anhui,15125667.0,proportion,2.94
Anhui,4589308.0,number_of_households,172899.0
Anhui,4589308.0,proportion,0.79
Anhui,1557638.0,number_of_households,52268.0
Anhui,1557638.0,proportion,0.24
Anhui,655060.0,number_of_households,20103.0
Anhui,655060.0,proportion,0.09
Anhui,734364.0,number_of_households,16822.0
Anhui,734364.0,proportion,0.08
Fujian,125490007.0,number_of_households,3925247.0
Fujian,125490007.0,proportion,27.31
Fujian,146690059.0,number_of_households,3776762.0
Fujian,146690059.0,proportion,26.28
Fujian,103700982.0,number_of_households,2794833.0
Fujian,103700982.0,proportion,19.45
Fujian,65100986.0,number_of_households,2047208.0
Fujian,65100986.0,proportion,14.25
Fujian,30513352.0,number_of_households,997876.0
Fujian,30513352.0,proportion,6.94
Fujian,15125667.0,number_of_households,568885.0
Fujian,15125667.0,proportion,3.96
Fujian,4589308.0,number_of_households,162312.0
Fujian,4589308.0,proportion,1.13
Fujian,1557638.0,number_of_households,52431.0
Fujian,1557638.0,proportion,0.36
Fujian,655060.0,number_of_households,24113.0
Fujian,655060.0,proportion,0.17
Fujian,734364.0,number_of_households,21411.0
Fujian,734364.0,proportion,0.15
Jiangxi,125490007.0,number_of_households,3071115.0
Jiangxi,125490007.0,proportion,21.82
Jiangxi,146690059.0,number_of_households,3564176.0
Jiangxi,146690059.0,proportion,25.33
Jiangxi,103700982.0,number_of_households,2841228.0
Jiangxi,103700982.0,proportion,20.19
Jiangxi,65100986.0,number_of_households,2277494.0
Jiangxi,65100986.0,proportion,16.18
Jiangxi,30513352.0,number_of_households,1199459.0
Jiangxi,30513352.0,proportion,8.52
Jiangxi,15125667.0,number_of_households,692355.0
Jiangxi,15125667.0,proportion,4.92
Jiangxi,4589308.0,number_of_households,259897.0
Jiangxi,4589308.0,proportion,1.85
Jiangxi,1557638.0,number_of_households,87974.0
Jiangxi,1557638.0,proportion,0.63
Jiangxi,655060.0,number_of_households,37171.0
Jiangxi,655060.0,proportion,0.26
Jiangxi,734364.0,number_of_households,41978.0
Jiangxi,734364.0,proportion,0.3
Shandong,125490007.0,number_of_households,7056119.0
Shandong,125490007.0,proportion,20.05
Shandong,146690059.0,number_of_households,11230306.0
Shandong,146690059.0,proportion,31.92
Shandong,103700982.0,number_of_households,7673801.0
Shandong,103700982.0,proportion,21.81
Shandong,65100986.0,number_of_households,5790216.0
Shandong,65100986.0,proportion,16.46
Shandong,30513352.0,number_of_households,2035963.0
Shandong,30513352.0,proportion,5.79
Shandong,15125667.0,number_of_households,1057955.0
Shandong,15125667.0,proportion,3.01
Shandong,4589308.0,number_of_households,229065.0
Shandong,4589308.0,proportion,0.65
Shandong,1557638.0,number_of_households,61259.0
Shandong,1557638.0,proportion,0.17
Shandong,655060.0,number_of_households,22119.0
Shandong,655060.0,proportion,0.06
Shandong,734364.0,number_of_households,27438.0
Shandong,734364.0,proportion,0.08
Henan,125490007.0,number_of_households,6985186.0
Henan,125490007.0,proportion,21.98
Henan,146690059.0,number_of_households,8496727.0
Henan,146690059.0,proportion,26.73
Henan,103700982.0,number_of_households,6502612.0
Henan,103700982.0,proportion,20.46
Henan,65100986.0,number_of_households,5109476.0
Henan,65100986.0,proportion,16.08
Henan,30513352.0,number_of_households,2550635.0
Henan,30513352.0,proportion,8.03
Henan,15125667.0,number_of_households,1424419.0
Henan,15125667.0,proportion,4.48
Henan,4589308.0,number_of_households,476958.0
Henan,4589308.0,proportion,1.5
Henan,1557638.0,number_of_households,134122.0
Henan,1557638.0,proportion,0.42
Henan,655060.0,number_of_households,48036.0
Henan,655060.0,proportion,0.15
Henan,734364.0,number_of_households,54522.0
Henan,734364.0,proportion,0.17
Hubei,125490007.0,number_of_households,4706405.0
Hubei,125490007.0,proportion,23.61
Hubei,146690059.0,number_of_households,5840677.0
Hubei,146690059.0,proportion,29.3
Hubei,103700982.0,number_of_households,4589950.0
Hubei,103700982.0,proportion,23.03
Hubei,65100986.0,number_of_households,2625213.0
Hubei,65100986.0,proportion,13.17
Hubei,30513352.0,number_of_households,1323054.0
Hubei,30513352.0,proportion,6.64
Hubei,15125667.0,number_of_households,602406.0
Hubei,15125667.0,proportion,3.02
Hubei,4589308.0,number_of_households,154397.0
Hubei,4589308.0,proportion,0.77
Hubei,1557638.0,number_of_households,50151.0
Hubei,1557638.0,proportion,0.25
Hubei,655060.0,number_of_households,20675.0
Hubei,655060.0,proportion,0.1
Hubei,734364.0,number_of_households,18117.0
Hubei,734364.0,proportion,0.09
Hunan,125490007.0,number_of_households,5796689.0
Hunan,125490007.0,proportion,25.34
Hunan,146690059.0,number_of_households,6332392.0
Hunan,146690059.0,proportion,27.68
Hunan,103700982.0,number_of_households,4767652.0
Hunan,103700982.0,proportion,20.84
Hunan,65100986.0,number_of_households,3308914.0
Hunan,65100986.0,proportion,14.46
Hunan,30513352.0,number_of_households,1570332.0
Hunan,30513352.0,proportion,6.86
Hunan,15125667.0,number_of_households,744743.0
Hunan,15125667.0,proportion,3.26
Hunan,4589308.0,number_of_households,224425.0
Hunan,4589308.0,proportion,0.98
Hunan,1557638.0,number_of_households,72339.0
Hunan,1557638.0,proportion,0.32
Hunan,655060.0,number_of_households,28622.0
Hunan,655060.0,proportion,0.13
Hunan,734364.0,number_of_households,32228.0
Hunan,734364.0,proportion,0.14
Guangdong,125490007.0,number_of_households,14109849.0
Guangdong,125490007.0,proportion,33.22
Guangdong,146690059.0,number_of_households,10298011.0
Guangdong,146690059.0,proportion,24.25
Guangdong,103700982.0,number_of_households,6999483.0
Guangdong,103700982.0,proportion,16.48
Guangdong,65100986.0,number_of_households,5189548.0
Guangdong,65100986.0,proportion,12.22
Guangdong,30513352.0,number_of_households,2872342.0
Guangdong,30513352.0,proportion,6.76
Guangdong,15125667.0,number_of_households,1632082.0
Guangdong,15125667.0,proportion,3.84
Guangdong,4589308.0,number_of_households,699877.0
Guangdong,4589308.0,proportion,1.65
Guangdong,1557638.0,number_of_households,313946.0
Guangdong,1557638.0,proportion,0.74
Guangdong,655060.0,number_of_households,158737.0
Guangdong,655060.0,proportion,0.37
Guangdong,734364.0,number_of_households,195303.0
Guangdong,734364.0,proportion,0.46
Guangxi,125490007.0,number_of_households,4075139.0
Guangxi,125490007.0,proportion,25.13
Guangxi,146690059.0,number_of_households,3845306.0
Guangxi,146690059.0,proportion,23.71
Guangxi,103700982.0,number_of_households,3263580.0
Guangxi,103700982.0,proportion,20.13
Guangxi,65100986.0,number_of_households,2462519.0
Guangxi,65100986.0,proportion,15.19
Guangxi,30513352.0,number_of_households,1341827.0
Guangxi,30513352.0,proportion,8.28
Guangxi,15125667.0,number_of_households,702577.0
Guangxi,15125667.0,proportion,4.33
Guangxi,4589308.0,number_of_households,289204.0
Guangxi,4589308.0,proportion,1.78
Guangxi,1557638.0,number_of_households,117128.0
Guangxi,1557638.0,proportion,0.72
Guangxi,655060.0,number_of_households,54923.0
Guangxi,655060.0,proportion,0.34
Guangxi,734364.0,number_of_households,62811.0
Guangxi,734364.0,proportion,0.39
Hainan,125490007.0,number_of_households,663799.0
Hainan,125490007.0,proportion,22.41
Hainan,146690059.0,number_of_households,648854.0
Hainan,146690059.0,proportion,21.91
Hainan,103700982.0,number_of_households,589414.0
Hainan,103700982.0,proportion,19.9
Hainan,65100986.0,number_of_households,521817.0
Hainan,65100986.0,proportion,17.62
Hainan,30513352.0,number_of_households,260663.0
Hainan,30513352.0,proportion,8.8
Hainan,15125667.0,number_of_households,144126.0
Hainan,15125667.0,proportion,4.87
Hainan,4589308.0,number_of_households,67554.0
Hainan,4589308.0,proportion,2.28
Hainan,1557638.0,number_of_households,30363.0
Hainan,1557638.0,proportion,1.03
Hainan,655060.0,number_of_households,15807.0
Hainan,655060.0,proportion,0.53
Hainan,734364.0,number_of_households,19249.0
Hainan,734364.0,proportion,0.65
Chongqing,125490007.0,number_of_households,3526142.0
Chongqing,125490007.0,proportion,29.29
Chongqing,146690059.0,number_of_households,3644792.0
Chongqing,146690059.0,proportion,30.27
Chongqing,103700982.0,number_of_households,2437753.0
Chongqing,103700982.0,proportion,20.25
Chongqing,65100986.0,number_of_households,1370388.0
Chongqing,65100986.0,proportion,11.38
Chongqing,30513352.0,number_of_households,670554.0
Chongqing,30513352.0,proportion,5.57
Chongqing,15125667.0,number_of_households,293837.0
Chongqing,15125667.0,proportion,2.44
Chongqing,4589308.0,number_of_households,64913.0
Chongqing,4589308.0,proportion,0.54
Chongqing,1557638.0,number_of_households,18295.0
Chongqing,1557638.0,proportion,0.15
Chongqing,655060.0,number_of_households,6151.0
Chongqing,655060.0,proportion,0.05
Chongqing,734364.0,number_of_households,7409.0
Chongqing,734364.0,proportion,0.06
Sichuan,125490007.0,number_of_households,8836045.0
Sichuan,125490007.0,proportion,28.73
Sichuan,146690059.0,number_of_households,9159406.0
Sichuan,146690059.0,proportion,29.78
Sichuan,103700982.0,number_of_households,6087228.0
Sichuan,103700982.0,proportion,19.79
Sichuan,65100986.0,number_of_households,3570933.0
Sichuan,65100986.0,proportion,11.61
Sichuan,30513352.0,number_of_households,1877152.0
Sichuan,30513352.0,proportion,6.1
Sichuan,15125667.0,number_of_households,859836.0
Sichuan,15125667.0,proportion,2.8
Sichuan,4589308.0,number_of_households,233376.0
Sichuan,4589308.0,proportion,0.76
Sichuan,1557638.0,number_of_households,74507.0
Sichuan,1557638.0,proportion,0.24
Sichuan,655060.0,number_of_households,27556.0
Sichuan,655060.0,proportion,0.09
Sichuan,734364.0,number_of_households,30081.0
Sichuan,734364.0,proportion,0.1
Guizhou,125490007.0,number_of_households,3032510.0
Guizhou,125490007.0,proportion,23.88
Guizhou,146690059.0,number_of_households,3313502.0
Guizhou,146690059.0,proportion,26.1
Guizhou,103700982.0,number_of_households,2580003.0
Guizhou,103700982.0,proportion,20.32
Guizhou,65100986.0,number_of_households,1942394.0
Guizhou,65100986.0,proportion,15.3
Guizhou,30513352.0,number_of_households,998508.0
Guizhou,30513352.0,proportion,7.86
Guizhou,15125667.0,number_of_households,507951.0
Guizhou,15125667.0,proportion,4.0
Guizhou,4589308.0,number_of_households,192247.0
Guizhou,4589308.0,proportion,1.51
Guizhou,1557638.0,number_of_households,71429.0
Guizhou,1557638.0,proportion,0.56
Guizhou,655060.0,number_of_households,29649.0
Guizhou,655060.0,proportion,0.23
Guizhou,734364.0,number_of_households,28392.0
Guizhou,734364.0,proportion,0.22
Yunnan,125490007.0,number_of_households,3456738.0
Yunnan,125490007.0,proportion,22.82
Yunnan,146690059.0,number_of_households,3743328.0
Yunnan,146690059.0,proportion,24.71
Yunnan,103700982.0,number_of_households,3161675.0
Yunnan,103700982.0,proportion,20.87
Yunnan,65100986.0,number_of_households,2366552.0
Yunnan,65100986.0,proportion,15.62
Yunnan,30513352.0,number_of_households,1310492.0
Yunnan,30513352.0,proportion,8.65
Yunnan,15125667.0,number_of_households,740959.0
Yunnan,15125667.0,proportion,4.89
Yunnan,4589308.0,number_of_households,237507.0
Yunnan,4589308.0,proportion,1.57
Yunnan,1557638.0,number_of_households,78082.0
Yunnan,1557638.0,proportion,0.52
Yunnan,655060.0,number_of_households,28876.0
Yunnan,655060.0,proportion,0.19
Yunnan,734364.0,number_of_households,22622.0
Yunnan,734364.0,proportion,0.15
Tibet,125490007.0,number_of_households,336840.0
Tibet,125490007.0,proportion,33.22
Tibet,146690059.0,number_of_households,180079.0
Tibet,146690059.0,proportion,17.76
Tibet,103700982.0,number_of_households,139821.0
Tibet,103700982.0,proportion,13.79
Tibet,65100986.0,number_of_households,120796.0
Tibet,65100986.0,proportion,11.91
Tibet,30513352.0,number_of_households,77418.0
Tibet,30513352.0,proportion,7.63
Tibet,15125667.0,number_of_households,53322.0
Tibet,15125667.0,proportion,5.26
Tibet,4589308.0,number_of_households,36433.0
Tibet,4589308.0,proportion,3.59
Tibet,1557638.0,number_of_households,24565.0
Tibet,1557638.0,proportion,2.42
Tibet,655060.0,number_of_households,16241.0
Tibet,655060.0,proportion,1.6
Tibet,734364.0,number_of_households,28575.0
Tibet,734364.0,proportion,2.82
Shaanxi,125490007.0,number_of_households,3863271.0
Shaanxi,125490007.0,proportion,27.18
Shaanxi,146690059.0,number_of_households,4126025.0
Shaanxi,146690059.0,proportion,29.03
Shaanxi,103700982.0,number_of_households,3047409.0
Shaanxi,103700982.0,proportion,21.44
Shaanxi,65100986.0,number_of_households,1892842.0
Shaanxi,65100986.0,proportion,13.32
Shaanxi,30513352.0,number_of_households,799508.0
Shaanxi,30513352.0,proportion,5.63
Shaanxi,15125667.0,number_of_households,359857.0
Shaanxi,15125667.0,proportion,2.53
Shaanxi,4589308.0,number_of_households,77879.0
Shaanxi,4589308.0,proportion,0.55
Shaanxi,1557638.0,number_of_households,21851.0
Shaanxi,1557638.0,proportion,0.15
Shaanxi,655060.0,number_of_households,8248.0
Shaanxi,655060.0,proportion,0.06
Shaanxi,734364.0,number_of_households,14454.0
Shaanxi,734364.0,proportion,0.1
Gansu,125490007.0,number_of_households,1909342.0
Gansu,125490007.0,proportion,22.67
Gansu,146690059.0,number_of_households,2390297.0
Gansu,146690059.0,proportion,28.38
Gansu,103700982.0,number_of_households,1808686.0
Gansu,103700982.0,proportion,21.47
Gansu,65100986.0,number_of_households,1194718.0
Gansu,65100986.0,proportion,14.18
Gansu,30513352.0,number_of_households,593173.0
Gansu,30513352.0,proportion,7.04
Gansu,15125667.0,number_of_households,342791.0
Gansu,15125667.0,proportion,4.07
Gansu,4589308.0,number_of_households,115902.0
Gansu,4589308.0,proportion,1.38
Gansu,1557638.0,number_of_households,38647.0
Gansu,1557638.0,proportion,0.46
Gansu,655060.0,number_of_households,14782.0
Gansu,655060.0,proportion,0.18
Gansu,734364.0,number_of_households,14498.0
Gansu,734364.0,proportion,0.17
Qinghai,125490007.0,number_of_households,498970.0
Qinghai,125490007.0,proportion,25.38
Qinghai,146690059.0,number_of_households,492672.0
Qinghai,146690059.0,proportion,25.06
Qinghai,103700982.0,number_of_households,410938.0
Qinghai,103700982.0,proportion,20.9
Qinghai,65100986.0,number_of_households,275803.0
Qinghai,65100986.0,proportion,14.03
Qinghai,30513352.0,number_of_households,149242.0
Qinghai,30513352.0,proportion,7.59
Qinghai,15125667.0,number_of_households,84795.0
Qinghai,15125667.0,proportion,4.31
Qinghai,4589308.0,number_of_households,31175.0
Qinghai,4589308.0,proportion,1.59
Qinghai,1557638.0,number_of_households,11818.0
Qinghai,1557638.0,proportion,0.6
Qinghai,655060.0,number_of_households,5205.0
Qinghai,655060.0,proportion,0.26
Qinghai,734364.0,number_of_households,5275.0
Qinghai,734364.0,proportion,0.27
Ningxia,125490007.0,number_of_households,537492.0
Ningxia,125490007.0,proportion,21.2
Ningxia,146690059.0,number_of_households,791806.0
Ningxia,146690059.0,proportion,31.23
Ningxia,103700982.0,number_of_households,593704.0
Ningxia,103700982.0,proportion,23.42
Ningxia,65100986.0,number_of_households,384377.0
Ningxia,65100986.0,proportion,15.16
Ningxia,30513352.0,number_of_households,139732.0
Ningxia,30513352.0,proportion,5.51
Ningxia,15125667.0,number_of_households,59356.0
Ningxia,15125667.0,proportion,2.34
Ningxia,4589308.0,number_of_households,19521.0
Ningxia,4589308.0,proportion,0.77
Ningxia,1557638.0,number_of_households,6011.0
Ningxia,1557638.0,proportion,0.24
Ningxia,655060.0,number_of_households,1818.0
Ningxia,655060.0,proportion,0.07
Ningxia,734364.0,number_of_households,1257.0
Ningxia,734364.0,proportion,0.05
Xinjiang,125490007.0,number_of_households,1745613.0
Xinjiang,125490007.0,proportion,20.9
Xinjiang,146690059.0,number_of_households,2251984.0
Xinjiang,146690059.0,proportion,26.96
Xinjiang,103700982.0,number_of_households,1891307.0
Xinjiang,103700982.0,proportion,22.65
Xinjiang,65100986.0,number_of_households,1392479.0
Xinjiang,65100986.0,proportion,16.67
Xinjiang,30513352.0,number_of_households,667943.0
Xinjiang,30513352.0,proportion,8.0
Xinjiang,15125667.0,number_of_households,261709.0
Xinjiang,15125667.0,proportion,3.13
Xinjiang,4589308.0,number_of_households,87211.0
Xinjiang,4589308.0,proportion,1.04
Xinjiang,1557638.0,number_of_households,29741.0
Xinjiang,1557638.0,proportion,0.36
Xinjiang,655060.0,number_of_households,11609.0
Xinjiang,655060.0,proportion,0.14
Xinjiang,734364.0,number_of_households,12046.0
Xinjiang,734364.0,proportion,0.14
