context,behaviour,metric_type,ci_bound,subgroup,value
online,limited internet use or social media participation for protection,95% confidence interval,from,subgroup_a,14.2
online,limited internet use or social media participation for protection,95% confidence interval,to,subgroup_a,15.3
online,limited internet use or social media participation for protection,percent,,subgroup_b,
online,limited internet use or social media participation for protection,95% confidence interval,from,subgroup_b,
online,limited internet use or social media participation for protection,95% confidence interval,to,subgroup_b,
online,shut down or deleted an account because of harassment,percent,,subgroup_a,3.4
online,shut down or deleted an account because of harassment,95% confidence interval,from,subgroup_a,3.2
online,shut down or deleted an account because of harassment,95% confidence interval,to,subgroup_a,3.7
online,shut down or deleted an account because of harassment,percent,,subgroup_b,
online,shut down or deleted an account because of harassment,95% confidence interval,from,subgroup_b,
online,shut down or deleted an account because of harassment,95% confidence interval,to,subgroup_b,
