award_category,movie,nominee_or_item,nominee_context,value_raw
Most Favourite Supporting Actor,Janji Joni,Fauzi Baadila,Tentang Dia,Fauzi Baadila (Tentang Dia)
Most Favourite Supporting Actress,Janji Joni,Mariana Renata,Janji Joni,Mariana Renata (Janji Joni)
Best Crying Scene,Janji Joni,Putri Mulia,Rindu Kami Padamu,Putri Mulia (Rindu Kami Padamu)
Most Favourite Heart Melting Moment,Janji Joni,,,
Best Song in the Movie,Janji Joni,Tentang Dia,Melly Goeslaw and Evan Sanders,Tentang Dia - Melly Goeslaw and Evan Sanders
Most Favourite Rising Star,Janji Joni,Laudya Chintya Bella,Virgin,Laudya Chintya Bella (Virgin)
Lifetime Achievement,Janji Joni,Benyamin Sueb,,Benyamin Sueb
Best Scary Scene,Janji Joni,,,
Best Running Scene,Janji Joni,,,
Best Director,Berbagi Suami,Riri Riza,Gie,Riri Riza (Gie)
Most Favourite Movie,Berbagi Suami,Heart,,Heart
Most Favourite Actor,Berbagi Suami,Nicholas Saputra,Gie,Nicholas Saputra (Gie)
Most Favorite Actress,Berbagi Suami,Titi Kamal,Mendadak Dangdut,Titi Kamal (Mendadak Dangdut)
Most Favourite Supporting Actor,Berbagi Suami,Tio Pakusadewo,Berbagi Suami,Tio Pakusadewo (Berbagi Suami)
Most Favourite Supporting Actress,Berbagi Suami,Ria Irawan,Berbagi Suami,Ria Irawan (Berbagi Suami)
Best Crying Scene,Berbagi Suami,Sita Nursanti,Gie,Sita Nursanti (Gie)
Most Favourite Heart Melting Moment,Berbagi Suami,Nirina Zubir and Irwansyah,Heart,Nirina Zubir and Irwansyah (Heart)
Best Song in the Movie,Berbagi Suami,My Heart,Irwansyah and Acha Septriasa,My Heart - Irwansyah and Acha Septriasa
Most Favourite Rising Star,Berbagi Suami,Jonathan Mulia,Gie,Jonathan Mulia (Gie)
Lifetime Achievement,Berbagi Suami,Warkop DKI,,Warkop DKI
Best Scary Scene,Berbagi Suami,,,
Best Running Scene,Berbagi Suami,,,
Best Director,Nagabonar Jadi 2,John de Rantau,"Denias, Senandung di Atas Awan","John de Rantau (Denias, Senandung di Atas Awan)"
Most Favourite Movie,Nagabonar Jadi 2,,,
Most Favourite Actor,Nagabonar Jadi 2,Tora Sudiro,Nagabonar Jadi 2,Tora Sudiro (Nagabonar Jadi 2)
Most Favorite Actress,Nagabonar Jadi 2,Dinna Olivia,Mengejar Mas-Mas,Dinna Olivia (Mengejar Mas-Mas)
Most Favourite Supporting Actor,Nagabonar Jadi 2,Winky Wiryawan,Badai Pasti Berlalu,Winky Wiryawan (Badai Pasti Berlalu)
Most Favourite Supporting Actress,Nagabonar Jadi 2,Wulan Guritno,Nagabonar Jadi 2,Wulan Guritno (Nagabonar Jadi 2)
Best Crying Scene,Nagabonar Jadi 2,,,
Most Favourite Heart Melting Moment,Nagabonar Jadi 2,,,
Best Song in the Movie,Nagabonar Jadi 2,Pulang,Float[disambiguation needed],Pulang - Float[disambiguation needed]
Most Favourite Rising Star,Nagabonar Jadi 2,Albert Fakdawer,"Denias, Senandung di Atas Awan","Albert Fakdawer (Denias, Senandung di Atas Awan)"
Lifetime Achievement,Nagabonar Jadi 2,Deddy Mizwar,,Deddy Mizwar
Best Scary Scene,Nagabonar Jadi 2,Kuntilanak,,Kuntilanak
Best Running Scene,Nagabonar Jadi 2,"Maaf, Saya Menghamili Istri Anda",,"Maaf, Saya Menghamili Istri Anda"
