region,gender,education_level,count
Hunan,Male,College (Associate Degree),183113
Hunan,Male,Bachelor's degree,116154
Hunan,Male,Master's,9877
Hunan,Male,Doctorate,1861
Guangdong,Male,Never attended school,7381
Guangdong,Male,Preschool education,1173
Guangdong,Male,Primary School,326613
Guangdong,Male,Junior high school,1682332
Guangdong,Male,High School,915300
Guangdong,Male,College (Associate Degree),459501
Guangdong,Male,Bachelor's degree,344970
Guangdong,Male,Master's,37571
Guangdong,Male,Doctorate,4898
Guangxi,Male,Never attended school,4275
Guangxi,Male,Preschool education,377
Guangxi,Male,Primary School,197235
Guangxi,Male,Junior high school,598257
Guangxi,Male,High School,176965
Guangxi,Male,College (Associate Degree),99858
Guangxi,Male,Bachelor's degree,72157
Guangxi,Male,Master's,5043
Guangxi,Male,Doctorate,650
Hainan,Male,Never attended school,1278
Hainan,Male,Preschool education,81
Hainan,Male,Primary School,21848
Hainan,Male,Junior high school,129243
Hainan,Male,High School,47253
Hainan,Male,College (Associate Degree),26958
Hainan,Male,Bachelor's degree,21308
Hainan,Male,Master's,1313
Hainan,Male,Doctorate,168
Chongqing,Male,Never attended school,2947
Chongqing,Male,Preschool education,336
Chongqing,Male,Primary School,169919
Chongqing,Male,Junior high school,347463
Chongqing,Male,High School,175564
Chongqing,Male,College (Associate Degree),104088
Chongqing,Male,Bachelor's degree,82169
Chongqing,Male,Master's,7488
Chongqing,Male,Doctorate,1144
Sichuan,Male,Never attended school,33798
Sichuan,Male,Preschool education,2388
Sichuan,Male,Primary School,586942
Sichuan,Male,Junior high school,1096942
Sichuan,Male,High School,411068
Sichuan,Male,College (Associate Degree),246732
Sichuan,Male,Bachelor's degree,180397
Sichuan,Male,Master's,17238
Sichuan,Male,Doctorate,2538
Guizhou,Male,Never attended school,15507
Guizhou,Male,Preschool education,179
Guizhou,Male,Primary School,222202
Guizhou,Male,Junior high school,389023
Guizhou,Male,High School,92502
Guizhou,Male,College (Associate Degree),74705
Guizhou,Male,Bachelor's degree,73792
Guizhou,Male,Master's,3613
Guizhou,Male,Doctorate,515
Yunnan,Male,Never attended school,23001
Yunnan,Male,Preschool education,565
Yunnan,Male,Primary School,450664
Yunnan,Male,Junior high school,593925
Yunnan,Male,High School,155697
Yunnan,Male,College (Associate Degree),107818
Yunnan,Male,Bachelor's degree,92907
Yunnan,Male,Master's,5330
Yunnan,Male,Doctorate,779
Tibet,Male,Never attended school,10976
Tibet,Male,Preschool education,172
Tibet,Male,Primary School,22223
Tibet,Male,Junior high school,16108
Tibet,Male,High School,5843
Tibet,Male,College (Associate Degree),6658
Tibet,Male,Bachelor's degree,7932
Tibet,Male,Master's,420
Tibet,Male,Doctorate,35
Shaanxi,Male,Never attended school,8003
Shaanxi,Male,Preschool education,403
Shaanxi,Male,Primary School,116473
Shaanxi,Male,Junior high school,434182
Shaanxi,Male,High School,176449
Shaanxi,Male,College (Associate Degree),133603
Shaanxi,Male,Bachelor's degree,98477
Shaanxi,Male,Master's,11166
Shaanxi,Male,Doctorate,2029
Gansu,Male,Never attended school,13797
Gansu,Male,Preschool education,181
Gansu,Male,Primary School,122614
Gansu,Male,Junior high school,216873
Gansu,Male,High School,88534
Gansu,Male,College (Associate Degree),68765
Gansu,Male,Bachelor's degree,58927
Gansu,Male,Master's,3576
Gansu,Male,Doctorate,683
Qinghai,Male,Never attended school,5212
Qinghai,Male,Preschool education,91
Qinghai,Male,Primary School,33640
Qinghai,Male,Junior high school,45515
Qinghai,Male,High School,16676
Qinghai,Male,College (Associate Degree),17441
Qinghai,Male,Bachelor's degree,16152
Qinghai,Male,Master's,806
Qinghai,Male,Doctorate,103
Ningxia,Male,Never attended school,2675
Ningxia,Male,Preschool education,35
Ningxia,Male,Primary School,34115
Ningxia,Male,Junior high school,77264
Ningxia,Male,High School,30534
Ningxia,Male,College (Associate Degree),25720
Ningxia,Male,Bachelor's degree,21787
Ningxia,Male,Master's,1367
Ningxia,Male,Doctorate,124
Xinjiang,Male,Never attended school,4874
Xinjiang,Male,Preschool education,173
Xinjiang,Male,Primary School,110712
Xinjiang,Male,Junior high school,260867
Xinjiang,Male,High School,103931
Xinjiang,Male,College (Associate Degree),93457
Xinjiang,Male,Bachelor's degree,63339
Xinjiang,Male,Master's,3281
Xinjiang,Male,Doctorate,366
Beijing,Female,Never attended school,1304
Beijing,Female,Preschool education,69
Beijing,Female,Primary School,12229
Beijing,Female,Junior high school,64120
Beijing,Female,High School,54405
Beijing,Female,College (Associate Degree),82043
Beijing,Female,Bachelor's degree,158132
Beijing,Female,Master's,49319
Beijing,Female,Doctorate,5977
Tianjin,Female,Never attended school,978
Tianjin,Female,Preschool education,22
Tianjin,Female,Primary School,12841
Tianjin,Female,Junior high school,54229
Tianjin,Female,High School,27867
Tianjin,Female,College (Associate Degree),34276
Tianjin,Female,Bachelor's degree,56629
Tianjin,Female,Master's,8787
Tianjin,Female,Doctorate,818
Hebei,Female,Never attended school,11694
Hebei,Female,Preschool education,482
Hebei,Female,Primary School,200125
Hebei,Female,Junior high school,655641
Hebei,Female,High School,182569
Hebei,Female,College (Associate Degree),157196
Hebei,Female,Bachelor's degree,122099
Hebei,Female,Master's,10500
Hebei,Female,Doctorate,722
Shanxi,Female,Never attended school,2997
Shanxi,Female,Preschool education,162
Shanxi,Female,Primary School,56055
Shanxi,Female,Junior high school,205541
Shanxi,Female,High School,81063
Shanxi,Female,College (Associate Degree),82743
Shanxi,Female,Bachelor's degree,74556
Shanxi,Female,Master's,7229
Shanxi,Female,Doctorate,620
Inner Mongolia,Female,Never attended school,9564
Inner Mongolia,Female,Preschool education,89
Inner Mongolia,Female,Primary School,72665
Inner Mongolia,Female,Junior high school,133898
Inner Mongolia,Female,High School,51980
Inner Mongolia,Female,College (Associate Degree),62195
Inner Mongolia,Female,Bachelor's degree,66445
Inner Mongolia,Female,Master's,6012
Inner Mongolia,Female,Doctorate,353
Liaoning,Female,Never attended school,3102
Liaoning,Female,Preschool education,134
Liaoning,Female,Primary School,92474
Liaoning,Female,Junior high school,309839
Liaoning,Female,High School,94433
Liaoning,Female,College (Associate Degree),98017
Liaoning,Female,Bachelor's degree,112799
Liaoning,Female,Master's,12289
Liaoning,Female,Doctorate,1138
Jilin,Female,Never attended school,3264
Jilin,Female,Preschool education,81
Jilin,Female,Primary School,78491
Jilin,Female,Junior high school,162326
Jilin,Female,High School,57446
Jilin,Female,College (Associate Degree),46513
Jilin,Female,Bachelor's degree,60461
Jilin,Female,Master's,6297
Jilin,Female,Doctorate,762
Heilongjiang,Female,Never attended school,3364
Heilongjiang,Female,Preschool education,142
Heilongjiang,Female,Primary School,83717
Heilongjiang,Female,Junior high school,223154
Heilongjiang,Female,High School,75245
Heilongjiang,Female,College (Associate Degree),60186
Heilongjiang,Female,Bachelor's degree,63796
Heilongjiang,Female,Master's,5195
Heilongjiang,Female,Doctorate,742
Shanghai,Female,Never attended school,3977
Shanghai,Female,Preschool education,97
Shanghai,Female,Primary School,31111
Shanghai,Female,Junior high school,121711
Shanghai,Female,High School,70936
Shanghai,Female,College (Associate Degree),94640
Shanghai,Female,Bachelor's degree,157333
Shanghai,Female,Master's,37785
Shanghai,Female,Doctorate,3485
Jiangsu,Female,Never attended school,26807
Jiangsu,Female,Preschool education,1683
Jiangsu,Female,Primary School,243736
Jiangsu,Female,Junior high school,617154
Jiangsu,Female,High School,274161
Jiangsu,Female,College (Associate Degree),241328
Jiangsu,Female,Bachelor's degree,228990
Jiangsu,Female,Master's,25364
Jiangsu,Female,Doctorate,2334
Zhejiang,Female,Never attended school,29721
Zhejiang,Female,Preschool education,1419
Zhejiang,Female,Primary School,284536
Zhejiang,Female,Junior high school,547256
Zhejiang,Female,High School,203433
Zhejiang,Female,College (Associate Degree),182008
Zhejiang,Female,Bachelor's degree,185774
Zhejiang,Female,Master's,17817
Zhejiang,Female,Doctorate,1458
Anhui,Female,Never attended school,45966
Anhui,Female,Preschool education,1414
Anhui,Female,Primary School,245896
Anhui,Female,Junior high school,429198
Anhui,Female,High School,135452
Anhui,Female,College (Associate Degree),121655
Anhui,Female,Bachelor's degree,94816
Anhui,Female,Master's,9159
Anhui,Female,Doctorate,642
Fujian,Female,Never attended school,20463
Fujian,Female,Preschool education,1444
Fujian,Female,Primary School,211344
Fujian,Female,Junior high school,302336
Fujian,Female,High School,112715
Fujian,Female,College (Associate Degree),92787
Fujian,Female,Bachelor's degree,91886
Fujian,Female,Master's,7234
Fujian,Female,Doctorate,723
Jiangxi,Female,Never attended school,12051
Jiangxi,Female,Preschool education,798
Jiangxi,Female,Primary School,204525
Jiangxi,Female,Junior high school,421182
Jiangxi,Female,High School,134319
Jiangxi,Female,College (Associate Degree),88863
Jiangxi,Female,Bachelor's degree,61475
Jiangxi,Female,Master's,5225
Jiangxi,Female,Doctorate,414
Shandong,Female,Never attended school,54775
Shandong,Female,Preschool education,1591
Shandong,Female,Primary School,364175
Shandong,Female,Junior high school,814898
Shandong,Female,High School,278895
Shandong,Female,College (Associate Degree),222718
Shandong,Female,Bachelor's degree,193341
Shandong,Female,Master's,22206
Shandong,Female,Doctorate,1888
Henan,Female,Never attended school,35199
Henan,Female,Preschool education,1342
Henan,Female,Primary School,300506
Henan,Female,Junior high school,854895
Henan,Female,High School,291889
Henan,Female,College (Associate Degree),187823
Henan,Female,Bachelor's degree,130429
Henan,Female,Master's,12803
Henan,Female,Doctorate,1089
Hubei,Female,Never attended school,17909
Hubei,Female,Preschool education,1380
Hubei,Female,Primary School,226480
Hubei,Female,Junior high school,503096
Hubei,Female,High School,219944
Hubei,Female,College (Associate Degree),143662
Hubei,Female,Bachelor's degree,111172
Hubei,Female,Master's,14021
Hubei,Female,Doctorate,1699
Hunan,Female,Never attended school,10362
Hunan,Female,Preschool education,1085
Hunan,Female,Primary School,172219
Hunan,Female,Junior high school,525713
Hunan,Female,High School,247546
Hunan,Female,College (Associate Degree),143892
Hunan,Female,Bachelor's degree,99281
Hunan,Female,Master's,8672
Hunan,Female,Doctorate,915
Guangdong,Female,Never attended school,15203
Guangdong,Female,Preschool education,1344
Guangdong,Female,Primary School,275671
Guangdong,Female,Junior high school,990455
Guangdong,Female,High School,485661
Guangdong,Female,College (Associate Degree),347263
Guangdong,Female,Bachelor's degree,276459
Guangdong,Female,Master's,29589
Guangdong,Female,Doctorate,2378
Guangxi,Female,Never attended school,15456
Guangxi,Female,Preschool education,627
Guangxi,Female,Primary School,199135
Guangxi,Female,Junior high school,385248
Guangxi,Female,High School,101656
Guangxi,Female,College (Associate Degree),82768
Guangxi,Female,Bachelor's degree,69211
Guangxi,Female,Master's,4654
Guangxi,Female,Doctorate,384
Hainan,Female,Never attended school,4467
Hainan,Female,Preschool education,85
Hainan,Female,Primary School,25129
Hainan,Female,Junior high school,83163
Hainan,Female,High School,23981
Hainan,Female,College (Associate Degree),18193
Hainan,Female,Bachelor's degree,16909
Hainan,Female,Master's,1132
Hainan,Female,Doctorate,121
Chongqing,Female,Never attended school,7086
Chongqing,Female,Preschool education,454
Chongqing,Female,Primary School,143504
Chongqing,Female,Junior high school,213870
Chongqing,Female,High School,104622
Chongqing,Female,College (Associate Degree),85738
Chongqing,Female,Bachelor's degree,72805
Chongqing,Female,Master's,6361
Chongqing,Female,Doctorate,659
Sichuan,Female,Never attended school,72536
Sichuan,Female,Preschool education,3849
Sichuan,Female,Primary School,535514
Sichuan,Female,Junior high school,719938
Sichuan,Female,High School,257286
Sichuan,Female,College (Associate Degree),210001
Sichuan,Female,Bachelor's degree,159123
Sichuan,Female,Master's,14759
Sichuan,Female,Doctorate,1346
Guizhou,Female,Never attended school,58335
Guizhou,Female,Preschool education,443
Guizhou,Female,Primary School,192609
Guizhou,Female,Junior high school,189029
Guizhou,Female,High School,47460
Guizhou,Female,College (Associate Degree),54726
Guizhou,Female,Bachelor's degree,61908
Guizhou,Female,Master's,3510
Guizhou,Female,Doctorate,287
Yunnan,Female,Never attended school,51782
Yunnan,Female,Preschool education,934
Yunnan,Female,Primary School,415508
Yunnan,Female,Junior high school,346081
Yunnan,Female,High School,93553
Yunnan,Female,College (Associate Degree),86944
Yunnan,Female,Bachelor's degree,88391
Yunnan,Female,Master's,5352
Yunnan,Female,Doctorate,524
Tibet,Female,Never attended school,12206
Tibet,Female,Preschool education,135
Tibet,Female,Primary School,12969
Tibet,Female,Junior high school,7145
Tibet,Female,High School,3020
Tibet,Female,College (Associate Degree),4881
Tibet,Female,Bachelor's degree,6917
Tibet,Female,Master's,251
Tibet,Female,Doctorate,12
Shaanxi,Female,Never attended school,13423
Shaanxi,Female,Preschool education,451
Shaanxi,Female,Primary School,92770
Shaanxi,Female,Junior high school,239794
Shaanxi,Female,High School,90880
Shaanxi,Female,College (Associate Degree),94968
Shaanxi,Female,Bachelor's degree,82446
Shaanxi,Female,Master's,10269
Shaanxi,Female,Doctorate,1155
Gansu,Female,Never attended school,28466
Gansu,Female,Preschool education,248
Gansu,Female,Primary School,107999
Gansu,Female,Junior high school,109839
Gansu,Female,High School,39670
Gansu,Female,College (Associate Degree),48130
Gansu,Female,Bachelor's degree,47265
Gansu,Female,Master's,3406
Gansu,Female,Doctorate,397
Qinghai,Female,Never attended school,7108
Qinghai,Female,Preschool education,94
Qinghai,Female,Primary School,24282
Qinghai,Female,Junior high school,21608
Qinghai,Female,High School,9138
Qinghai,Female,College (Associate Degree),12578
Qinghai,Female,Bachelor's degree,14883
Qinghai,Female,Master's,790
Qinghai,Female,Doctorate,66
Ningxia,Female,Never attended school,4558
Ningxia,Female,Preschool education,67
Ningxia,Female,Primary School,26868
Ningxia,Female,Junior high school,35192
Ningxia,Female,High School,14604
Ningxia,Female,College (Associate Degree),18907
Ningxia,Female,Bachelor's degree,19430
Ningxia,Female,Master's,1398
Ningxia,Female,Doctorate,105
Xinjiang,Female,Never attended school,5675
Xinjiang,Female,Preschool education,157
Xinjiang,Female,Primary School,89889
Xinjiang,Female,Junior high school,171888
Xinjiang,Female,High School,59329
Xinjiang,Female,College (Associate Degree),79453
Xinjiang,Female,Bachelor's degree,62661
Xinjiang,Female,Master's,3505
Xinjiang,Female,Doctorate,281
