year,personnel_category,metric_type,value
1991,officers,number,56768.0
1991,officers,rate,202.5
1991,officers,percent,0.1
1991,civilian_staff,number,19440.0
1991,civilian_staff,rate,69.4
1991,civilian_staff,percent,-0.3
1992,officers,number,56992.0
1992,officers,rate,200.9
1992,officers,percent,-0.8
1992,civilian_staff,number,20059.0
1992,civilian_staff,rate,70.7
1992,civilian_staff,percent,2.0
1993,officers,number,56901.0
1993,officers,rate,198.4
1993,officers,percent,-1.3
1993,civilian_staff,number,19956.0
1993,civilian_staff,rate,69.6
1993,civilian_staff,percent,-1.6
1994,officers,number,55859.0
1994,officers,rate,192.6
1994,officers,percent,-2.9
1994,civilian_staff,number,19492.0
1994,civilian_staff,rate,67.2
1994,civilian_staff,percent,-3.4
1995,officers,number,55008.0
1995,officers,rate,187.7
1995,officers,percent,-2.5
1995,civilian_staff,number,19259.0
1995,civilian_staff,rate,65.7
1995,civilian_staff,percent,-2.2
1996,officers,number,54323.0
1996,officers,rate,183.5
1996,officers,percent,-2.3
1996,civilian_staff,number,19603.0
1996,civilian_staff,rate,66.2
1996,civilian_staff,percent,0.7
1997,officers,number,54719.0
1997,officers,rate,183.0
1997,officers,percent,-0.3
1997,civilian_staff,number,19679.0
1997,civilian_staff,rate,65.8
1997,civilian_staff,percent,-0.6
1998,officers,number,54763.0
1998,officers,rate,181.6
1998,officers,percent,-0.7
1998,civilian_staff,number,19383.0
1998,civilian_staff,rate,64.3
1998,civilian_staff,percent,-2.3
1999,officers,number,55321.0
1999,officers,rate,182.0
1999,officers,percent,0.2
1999,civilian_staff,number,20169.0
1999,civilian_staff,rate,66.3
1999,civilian_staff,percent,3.2
2000,officers,number,55954.0
2000,officers,rate,182.3
2000,officers,percent,0.2
2000,civilian_staff,number,19917.0
2000,civilian_staff,rate,64.9
2000,civilian_staff,percent,-2.2
2001,officers,number,57076.0
2001,officers,rate,184.0
2001,officers,percent,0.9
2001,civilian_staff,number,19982.0
2001,civilian_staff,rate,64.4
2001,civilian_staff,percent,-0.7
2002,officers,number,58422.0
2002,officers,rate,186.3
2002,officers,percent,1.3
2002,civilian_staff,number,20732.0
2002,civilian_staff,rate,66.1
2002,civilian_staff,percent,2.6
2003,officers,number,59412.0
2003,officers,rate,187.8
2003,officers,percent,0.8
2003,civilian_staff,number,21476.0
2003,civilian_staff,rate,67.9
2003,civilian_staff,percent,2.7
2004,officers,number,59800.0
2004,officers,rate,187.2
2004,officers,percent,-0.3
2004,civilian_staff,number,22212.0
2004,civilian_staff,rate,69.5
2004,civilian_staff,percent,2.5
2005,officers,number,61026.0
2005,officers,rate,189.3
2005,officers,percent,1.1
2005,civilian_staff,number,23391.0
2005,civilian_staff,rate,72.5
2005,civilian_staff,percent,4.3
2006,officers,number,62461.0
2006,officers,rate,191.8
2006,officers,percent,1.3
2006,civilian_staff,number,23911.0
2006,civilian_staff,rate,73.4
2006,civilian_staff,percent,1.2
2007,officers,number,64134.0
2007,officers,rate,195.0
2007,officers,percent,1.7
2007,civilian_staff,number,25295.0
2007,civilian_staff,rate,76.9
2007,civilian_staff,percent,4.8
2008,officers,number,65283.0
2008,officers,rate,196.4
2008,officers,percent,0.7
2008,civilian_staff,number,25630.0
2008,civilian_staff,rate,77.1
2008,civilian_staff,percent,0.2
2009,officers,number,67243.0
2009,officers,rate,200.0
2009,officers,percent,1.8
2009,civilian_staff,number,27056.0
2009,civilian_staff,rate,80.5
2009,civilian_staff,percent,4.4
2010,officers,number,69068.0
2010,officers,rate,203.1
2010,officers,percent,1.6
2010,civilian_staff,number,27357.0
2010,civilian_staff,rate,80.4
2010,civilian_staff,percent,0.0
2011,officers,number,69424.0
2011,officers,rate,202.2
2011,officers,percent,-0.5
2011,civilian_staff,number,28142.0
2011,civilian_staff,rate,82.0
2011,civilian_staff,percent,1.9
2012,officers,number,69505.0
2012,officers,rate,200.2
2012,officers,percent,-1.0
2012,civilian_staff,number,28202.0
2012,civilian_staff,rate,81.2
2012,civilian_staff,percent,-0.9
2013,officers,number,69250.0
2013,officers,rate,197.4
2013,officers,percent,-1.4
2013,civilian_staff,number,27870.0
2013,civilian_staff,rate,79.4
2013,civilian_staff,percent,-2.2
2014,officers,number,68806.0
2014,officers,rate,194.2
2014,officers,percent,-1.6
2014,civilian_staff,number,28425.0
2014,civilian_staff,rate,80.2
2014,civilian_staff,percent,1.0
2015,officers,number,68772.0
2015,officers,rate,192.6
2015,officers,percent,-0.8
2015,civilian_staff,number,28371.0
2015,civilian_staff,rate,79.5
2015,civilian_staff,percent,-0.9
2016,officers,number,68859.0
2016,officers,rate,190.7
2016,officers,percent,-1.0
2016,civilian_staff,number,28436.0
2016,civilian_staff,rate,78.7
2016,civilian_staff,percent,-0.9
2017,officers,number,69025.0
2017,officers,rate,188.9
2017,officers,percent,-0.9
2017,civilian_staff,number,29052.0
2017,civilian_staff,rate,79.5
2017,civilian_staff,percent,1.0
2018,officers,number,68562.0
2018,officers,rate,185.0
2018,officers,percent,-2.1
2018,civilian_staff,number,31050.0
2018,civilian_staff,rate,83.8
2018,civilian_staff,percent,5.4
