year,metric_type,metric_subtype,value
2004,Dependency Ratio,Old Dependency Ratio,12.5169698615259
2005,Sex Ratio,,101.96
2005,Age Composition,0-14 Years Old,15.92
2005,Age Composition,15-64 Aged,74.131
2005,Age Composition,65 and Over,9.949
2005,Dependency Ratio,Children Dependency Ratio,21.4754960812616
2005,Dependency Ratio,Old Dependency Ratio,13.4208360874668
2006,Sex Ratio,,100.82
2006,Age Composition,0-14 Years Old,15.29
2006,Age Composition,15-64 Aged,74.71
2006,Age Composition,65 and Over,10.0
2006,Dependency Ratio,Children Dependency Ratio,20.4658010975773
2006,Dependency Ratio,Old Dependency Ratio,13.3850890108419
2007,Sex Ratio,,101.4
2007,Age Composition,0-14 Years Old,15.01
2007,Age Composition,15-64 Aged,74.82
2007,Age Composition,65 and Over,10.17
2007,Dependency Ratio,Children Dependency Ratio,20.0614808874632
2007,Dependency Ratio,Old Dependency Ratio,13.5926222935044
2008,Sex Ratio,,100.18
2008,Age Composition,0-14 Years Old,15.6
2008,Age Composition,15-64 Aged,74.14
2008,Age Composition,65 and Over,10.26
2008,Dependency Ratio,Children Dependency Ratio,21.0412732667926
2008,Dependency Ratio,Old Dependency Ratio,13.8386835716213
2009,Sex Ratio,,102.3
2009,Age Composition,0-14 Years Old,15.69
2009,Age Composition,15-64 Aged,73.88
2009,Age Composition,65 and Over,10.43
2009,Dependency Ratio,Children Dependency Ratio,21.2371413102328
2009,Dependency Ratio,Old Dependency Ratio,14.1174878180834
2010,Sex Ratio,,102.3
2010,Age Composition,0-14 Years Old,15.7
2010,Age Composition,15-64 Aged,74.4
2010,Age Composition,65 and Over,9.9
2010,Dependency Ratio,Children Dependency Ratio,21.1021505376344
2010,Dependency Ratio,Old Dependency Ratio,13.3064516129032
2011,Sex Ratio,,101.99
2011,Age Composition,0-14 Years Old,15.7
2011,Age Composition,15-64 Aged,74.3
2011,Age Composition,65 and Over,10.0
2011,Dependency Ratio,Children Dependency Ratio,21.1305518169583
2011,Dependency Ratio,Old Dependency Ratio,13.4589502018843
2012,Sex Ratio,,101.44
2012,Age Composition,0-14 Years Old,16.05
2012,Age Composition,15-64 Aged,73.53
2012,Age Composition,65 and Over,10.42
2012,Dependency Ratio,Children Dependency Ratio,21.827825377397
2012,Dependency Ratio,Old Dependency Ratio,14.171086631307
2013,Sex Ratio,,101.2
2013,Age Composition,0-14 Years Old,16.1
2013,Age Composition,15-64 Aged,72.9
2013,Age Composition,65 and Over,10.95
2013,Dependency Ratio,Children Dependency Ratio,22.0850480109739
2013,Dependency Ratio,Old Dependency Ratio,15.0205761316872
2014,Sex Ratio,,101.1
2014,Age Composition,0-14 Years Old,16.4
2014,Age Composition,15-64 Aged,72.0
2014,Age Composition,65 and Over,11.6
2014,Dependency Ratio,Children Dependency Ratio,22.7777777777778
2014,Dependency Ratio,Old Dependency Ratio,16.1111111111111
2015,Sex Ratio,,102.11
2015,Age Composition,0-14 Years Old,16.6
2015,Age Composition,15-64 Aged,71.2
2015,Age Composition,65 and Over,12.2
2015,Dependency Ratio,Children Dependency Ratio,23.314606741573
2015,Dependency Ratio,Old Dependency Ratio,17.1348314606742
2016,Sex Ratio,,102.77
2016,Age Composition,0-14 Years Old,16.4
2016,Age Composition,15-64 Aged,70.4
2016,Age Composition,65 and Over,13.2
2016,Dependency Ratio,Children Dependency Ratio,23.2954545454545
2016,Dependency Ratio,Old Dependency Ratio,18.75
2017,Sex Ratio,,102.66
2017,Age Composition,0-14 Years Old,17.21
2017,Age Composition,15-64 Aged,68.8
2017,Age Composition,65 and Over,13.99
2017,Dependency Ratio,Children Dependency Ratio,25.0145348837209
2017,Dependency Ratio,Old Dependency Ratio,20.3343023255814
2018,Sex Ratio,,100.8
2018,Age Composition,0-14 Years Old,18.08
2018,Age Composition,15-64 Aged,66.88
2018,Age Composition,65 and Over,15.04
2018,Dependency Ratio,Children Dependency Ratio,27.0334928229665
2018,Dependency Ratio,Old Dependency Ratio,22.488038277512
2019,Sex Ratio,,99.2
2019,Age Composition,0-14 Years Old,18.0
2019,Age Composition,15-64 Aged,66.2
2019,Age Composition,65 and Over,15.8
2019,Dependency Ratio,Children Dependency Ratio,27.190332326284
2019,Dependency Ratio,Old Dependency Ratio,23.8670694864048
2020,Sex Ratio,,102.67
2020,Age Composition,0-14 Years Old,18.78
2020,Age Composition,15-64 Aged,66.09
2020,Age Composition,65 and Over,15.13
2020,Dependency Ratio,Children Dependency Ratio,28.4157966409442
2020,Dependency Ratio,Old Dependency Ratio,22.8930246633379
2021,Sex Ratio,,103.1
2021,Age Composition,0-14 Years Old,18.42
2021,Age Composition,15-64 Aged,65.66
2021,Age Composition,65 and Over,15.92
2021,Dependency Ratio,Children Dependency Ratio,28.0536095035029
2021,Dependency Ratio,Old Dependency Ratio,24.2461163569906
2022,Sex Ratio,,102.9
2022,Age Composition,0-14 Years Old,17.9
2022,Age Composition,15-64 Aged,65.4
2022,Age Composition,65 and Over,16.7
2022,Dependency Ratio,Children Dependency Ratio,27.3700305810397
2022,Dependency Ratio,Old Dependency Ratio,25.5351681957187
2023,Sex Ratio,,102.2
2023,Age Composition,0-14 Years Old,17.3
2023,Age Composition,15-64 Aged,65.3
2023,Age Composition,65 and Over,17.4
2023,Dependency Ratio,Children Dependency Ratio,26.4931087289433
2023,Dependency Ratio,Old Dependency Ratio,26.646248085758
