asset_category,metric_type,age_metric,statistic,value
capitalized tooling and other tools,ratio,,mean,0.248
capitalized tooling and other tools,ratio,,standard_error,0.26
capitalized tooling and other tools,age,age_metric_1,mean,9.6
capitalized tooling and other tools,age,age_metric_1,standard_error,5.3
capitalized tooling and other tools,age,age_metric_2,mean,9.2
capitalized tooling and other tools,age,age_metric_2,standard_error,4.0
drilling and blasting equipment,ratio,,mean,0.309
drilling and blasting equipment,ratio,,standard_error,0.249
drilling and blasting equipment,age,age_metric_1,mean,8.2
drilling and blasting equipment,age,age_metric_1,standard_error,4.8
drilling and blasting equipment,age,age_metric_2,mean,11.7
drilling and blasting equipment,age,age_metric_2,standard_error,5.1
automobiles and major replacement parts,ratio,,mean,0.343
automobiles and major replacement parts,ratio,,standard_error,0.24
automobiles and major replacement parts,age,age_metric_1,mean,4.5
automobiles and major replacement parts,age,age_metric_1,standard_error,2.1
automobiles and major replacement parts,age,age_metric_2,mean,5.6
automobiles and major replacement parts,age,age_metric_2,standard_error,2.4
buses (all types) and major replacement parts,ratio,,mean,0.159
buses (all types) and major replacement parts,ratio,,standard_error,0.201
buses (all types) and major replacement parts,age,age_metric_1,mean,12.9
buses (all types) and major replacement parts,age,age_metric_1,standard_error,5.1
buses (all types) and major replacement parts,age,age_metric_2,mean,11.1
buses (all types) and major replacement parts,age,age_metric_2,standard_error,4.9
"trucks, vans, truck tractors, truck trailers and major replacement parts",ratio,,mean,0.256
"trucks, vans, truck tractors, truck trailers and major replacement parts",ratio,,standard_error,0.247
"trucks, vans, truck tractors, truck trailers and major replacement parts",age,age_metric_1,mean,7.4
"trucks, vans, truck tractors, truck trailers and major replacement parts",age,age_metric_1,standard_error,3.5
"trucks, vans, truck tractors, truck trailers and major replacement parts",age,age_metric_2,mean,8.5
"trucks, vans, truck tractors, truck trailers and major replacement parts",age,age_metric_2,standard_error,3.5
other transportation equipment,ratio,,mean,0.233
other transportation equipment,ratio,,standard_error,0.252
other transportation equipment,age,age_metric_1,mean,10.0
other transportation equipment,age,age_metric_1,standard_error,5.7
other transportation equipment,age,age_metric_2,mean,10.2
other transportation equipment,age,age_metric_2,standard_error,5.0
computer-assisted processing machinery and equipment,ratio,,mean,0.257
computer-assisted processing machinery and equipment,ratio,,standard_error,0.292
computer-assisted processing machinery and equipment,age,age_metric_1,mean,9.9
computer-assisted processing machinery and equipment,age,age_metric_1,standard_error,6.0
computer-assisted processing machinery and equipment,age,age_metric_2,mean,12.1
computer-assisted processing machinery and equipment,age,age_metric_2,standard_error,5.7
non-computer-assisted processing machinery and equipment,ratio,,mean,0.219
non-computer-assisted processing machinery and equipment,ratio,,standard_error,0.249
non-computer-assisted processing machinery and equipment,age,age_metric_1,mean,11.7
non-computer-assisted processing machinery and equipment,age,age_metric_1,standard_error,6.1
non-computer-assisted processing machinery and equipment,age,age_metric_2,mean,13.2
non-computer-assisted processing machinery and equipment,age,age_metric_2,standard_error,5.5
communication and related equipment,ratio,,mean,0.285
communication and related equipment,ratio,,standard_error,0.292
communication and related equipment,age,age_metric_1,mean,7.5
communication and related equipment,age,age_metric_1,standard_error,4.5
communication and related equipment,age,age_metric_2,mean,9.5
communication and related equipment,age,age_metric_2,standard_error,4.3
safety and security equipment and other machinery and equipment,ratio,,mean,0.324
safety and security equipment and other machinery and equipment,ratio,,standard_error,0.288
safety and security equipment and other machinery and equipment,age,age_metric_1,mean,9.5
safety and security equipment and other machinery and equipment,age,age_metric_1,standard_error,5.5
safety and security equipment and other machinery and equipment,age,age_metric_2,mean,11.7
safety and security equipment and other machinery and equipment,age,age_metric_2,standard_error,5.7
