pile_section,pile_number,side,measurement_type,value
Left Side,K0+450,Right,Deflection,40.0
Right Section,K2+300,Left,Reading,9.0
Right Section,K2+300,Right,Reading,5.0
Right Section,K2+300,Left,Deflection,18.0
Right Section,K2+300,Right,Deflection,10.0
Left Side,K0+500,Left,Reading,13.0
Left Side,K0+500,Right,Reading,12.0
Left Side,K0+500,Left,Deflection,26.0
Left Side,K0+500,Right,Deflection,24.0
Right Section,K2+350,Left,Reading,17.0
Right Section,K2+350,Right,Reading,9.0
Right Section,K2+350,Left,Deflection,34.0
Right Section,K2+350,Right,Deflection,18.0
Left Side,K0+550,Left,Reading,16.0
Left Side,K0+550,Right,Reading,20.0
Left Side,K0+550,Left,Deflection,32.0
Left Side,K0+550,Right,Deflection,40.0
Right Section,K2+400,Left,Reading,23.0
Right Section,K2+400,Right,Reading,10.0
Right Section,K2+400,Left,Deflection,46.0
Right Section,K2+400,Right,Deflection,20.0
Left Side,K0+600,Left,Reading,31.0
Left Side,K0+600,Right,Reading,15.0
Left Side,K0+600,Left,Deflection,62.0
Left Side,K0+600,Right,Deflection,30.0
Right Section,K2+450,Left,Reading,22.0
Right Section,K2+450,Right,Reading,25.0
Right Section,K2+450,Left,Deflection,44.0
Right Section,K2+450,Right,Deflection,50.0
Left Side,K0+650,Left,Reading,32.0
Left Side,K0+650,Right,Reading,19.0
Left Side,K0+650,Left,Deflection,64.0
Left Side,K0+650,Right,Deflection,38.0
Right Section,K2+500,Left,Reading,12.0
Right Section,K2+500,Right,Reading,10.0
Right Section,K2+500,Left,Deflection,24.0
Right Section,K2+500,Right,Deflection,20.0
Left Side,K0+700,Left,Reading,28.0
Left Side,K0+700,Right,Reading,27.0
Left Side,K0+700,Left,Deflection,56.0
Left Side,K0+700,Right,Deflection,54.0
Right Section,K2+550,Left,Reading,18.0
Right Section,K2+550,Right,Reading,18.0
Right Section,K2+550,Left,Deflection,36.0
Right Section,K2+550,Right,Deflection,36.0
Left Side,K0+750,Left,Reading,32.0
Left Side,K0+750,Right,Reading,15.0
Left Side,K0+750,Left,Deflection,64.0
Left Side,K0+750,Right,Deflection,30.0
Right Section,K2+600,Left,Reading,23.0
Right Section,K2+600,Right,Reading,16.0
Right Section,K2+600,Left,Deflection,46.0
Right Section,K2+600,Right,Deflection,32.0
Left Side,K0+800,Left,Reading,14.0
Left Side,K0+800,Right,Reading,15.0
Left Side,K0+800,Left,Deflection,28.0
Left Side,K0+800,Right,Deflection,30.0
Right Section,K2+650,Left,Reading,26.0
Right Section,K2+650,Right,Reading,20.0
Right Section,K2+650,Left,Deflection,52.0
Right Section,K2+650,Right,Deflection,40.0
Left Side,K0+850,Left,Reading,13.0
Left Side,K0+850,Right,Reading,10.0
Left Side,K0+850,Left,Deflection,26.0
Left Side,K0+850,Right,Deflection,20.0
Right Section,K2+700,Left,Reading,15.0
Right Section,K2+700,Right,Reading,14.0
Right Section,K2+700,Left,Deflection,30.0
Right Section,K2+700,Right,Deflection,28.0
Left Side,K0+900,Left,Reading,17.0
Left Side,K0+900,Right,Reading,16.0
Left Side,K0+900,Left,Deflection,34.0
Left Side,K0+900,Right,Deflection,32.0
Right Section,K2+750,Left,Reading,10.0
Right Section,K2+750,Right,Reading,22.0
Right Section,K2+750,Left,Deflection,20.0
Right Section,K2+750,Right,Deflection,44.0
Left Side,K0+950,Left,Reading,20.0
Left Side,K0+950,Right,Reading,21.0
Left Side,K0+950,Left,Deflection,40.0
Left Side,K0+950,Right,Deflection,42.0
Right Section,K2+800,Left,Reading,9.0
Right Section,K2+800,Right,Reading,15.0
Right Section,K2+800,Left,Deflection,18.0
Right Section,K2+800,Right,Deflection,30.0
Left Side,K1+000,Left,Reading,31.0
Left Side,K1+000,Right,Reading,23.0
Left Side,K1+000,Left,Deflection,62.0
Left Side,K1+000,Right,Deflection,46.0
Right Section,K2+850,Left,Reading,29.0
Right Section,K2+850,Right,Reading,14.0
Right Section,K2+850,Left,Deflection,58.0
Right Section,K2+850,Right,Deflection,28.0
Left Side,K1+050,Left,Reading,3.0
Left Side,K1+050,Right,Reading,19.0
Left Side,K1+050,Left,Deflection,6.0
Left Side,K1+050,Right,Deflection,38.0
Right Section,K2+900,Left,Reading,23.0
Right Section,K2+900,Right,Reading,27.0
Right Section,K2+900,Left,Deflection,46.0
Right Section,K2+900,Right,Deflection,54.0
Left Side,K1+100,Left,Reading,22.0
Left Side,K1+100,Right,Reading,20.0
Left Side,K1+100,Left,Deflection,44.0
Left Side,K1+100,Right,Deflection,40.0
Left Side,K1+150,Left,Reading,8.0
Left Side,K1+150,Right,Reading,11.0
Left Side,K1+150,Left,Deflection,16.0
Left Side,K1+150,Right,Deflection,22.0
Left Side,K1+200,Left,Reading,11.0
Left Side,K1+200,Right,Reading,14.0
Left Side,K1+200,Left,Deflection,22.0
Left Side,K1+200,Right,Deflection,28.0
Left Side,K1+250,Left,Reading,11.0
Left Side,K1+250,Right,Reading,17.0
Left Side,K1+250,Left,Deflection,22.0
Left Side,K1+250,Right,Deflection,34.0
Left Side,K1+300,Left,Reading,5.0
Left Side,K1+300,Right,Reading,18.0
Left Side,K1+300,Left,Deflection,10.0
Left Side,K1+300,Right,Deflection,36.0
Left Side,K1+350,Left,Reading,11.0
Left Side,K1+350,Right,Reading,20.0
Left Side,K1+350,Left,Deflection,22.0
Left Side,K1+350,Right,Deflection,40.0
Left Side,K1+400,Left,Reading,14.0
Left Side,K1+400,Right,Reading,6.0
Left Side,K1+400,Left,Deflection,28.0
Left Side,K1+400,Right,Deflection,12.0
Left Side,K1+450,Left,Reading,14.0
Left Side,K1+450,Right,Reading,12.0
Left Side,K1+450,Left,Deflection,28.0
Left Side,K1+450,Right,Deflection,24.0
Left Side,K1+500,Left,Reading,21.0
Left Side,K1+500,Right,Reading,26.0
Left Side,K1+500,Left,Deflection,42.0
Left Side,K1+500,Right,Deflection,52.0
Left Side,K1+550,Left,Reading,6.0
Left Side,K1+550,Right,Reading,17.0
Left Side,K1+550,Left,Deflection,12.0
Left Side,K1+550,Right,Deflection,34.0
