beverage,metric_type,year,value
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2015,364.0
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2004,519.0
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2015,411.0
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2004,387.0
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2015,336.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2004,446.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2015,366.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2004,393.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2015,288.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2004,550.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2015,368.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2004,400.0
whole milk and flavoured milk,quantity consumed in grams by consumers,2015,363.0
fruit juice,quantity consumed in grams by consumers,2004,327.0
fruit juice,quantity consumed in grams by consumers,2015,266.0
fruit juice,quantity consumed in grams by consumers,2004,373.0
fruit juice,quantity consumed in grams by consumers,2015,313.0
fruit juice,quantity consumed in grams by consumers,2004,501.0
fruit juice,quantity consumed in grams by consumers,2015,429.0
fruit juice,quantity consumed in grams by consumers,2004,425.0
fruit juice,quantity consumed in grams by consumers,2015,314.0
regular soft drinks,quantity consumed in grams by consumers,2004,302.0
regular soft drinks,quantity consumed in grams by consumers,2015,229.0
regular soft drinks,quantity consumed in grams by consumers,2004,422.0
regular soft drinks,quantity consumed in grams by consumers,2015,376.0
regular soft drinks,quantity consumed in grams by consumers,2004,718.0
regular soft drinks,quantity consumed in grams by consumers,2015,543.0
regular soft drinks,quantity consumed in grams by consumers,2004,515.0
regular soft drinks,quantity consumed in grams by consumers,2015,384.0
fruit drinks,quantity consumed in grams by consumers,2004,332.0
fruit drinks,quantity consumed in grams by consumers,2015,277.0
fruit drinks,quantity consumed in grams by consumers,2004,425.0
fruit drinks,quantity consumed in grams by consumers,2015,340.0
fruit drinks,quantity consumed in grams by consumers,2004,556.0
fruit drinks,quantity consumed in grams by consumers,2015,432.0
fruit drinks,quantity consumed in grams by consumers,2004,508.0
fruit drinks,quantity consumed in grams by consumers,2015,404.0
sports drinks,quantity consumed in grams by consumers,2004,374.0
sports drinks,quantity consumed in grams by consumers,2015,283.0
sports drinks,quantity consumed in grams by consumers,2004,614.0
sports drinks,quantity consumed in grams by consumers,2015,521.0
sports drinks,quantity consumed in grams by consumers,2004,701.0
sports drinks,quantity consumed in grams by consumers,2015,664.0
sports drinks,quantity consumed in grams by consumers,2004,387.0
sports drinks,quantity consumed in grams by consumers,2015,607.0
diet soft drinks,quantity consumed in grams by consumers,2004,224.0
diet soft drinks,quantity consumed in grams by consumers,2015,95.0
diet soft drinks,quantity consumed in grams by consumers,2004,409.0
diet soft drinks,quantity consumed in grams by consumers,2015,278.0
diet soft drinks,quantity consumed in grams by consumers,2004,508.0
diet soft drinks,quantity consumed in grams by consumers,2015,418.0
diet soft drinks,quantity consumed in grams by consumers,2004,470.0
diet soft drinks,quantity consumed in grams by consumers,2015,379.0
tea,quantity consumed in grams by consumers,2004,313.0
tea,quantity consumed in grams by consumers,2015,249.0
tea,quantity consumed in grams by consumers,2004,390.0
tea,quantity consumed in grams by consumers,2015,316.0
tea,quantity consumed in grams by consumers,2004,579.0
tea,quantity consumed in grams by consumers,2015,374.0
tea,quantity consumed in grams by consumers,2004,471.0
tea,quantity consumed in grams by consumers,2015,306.0
coffee,quantity consumed in grams by consumers,2004,194.0
coffee,quantity consumed in grams by consumers,2015,
coffee,quantity consumed in grams by consumers,2004,244.0
coffee,quantity consumed in grams by consumers,2015,244.0
coffee,quantity consumed in grams by consumers,2004,429.0
coffee,quantity consumed in grams by consumers,2015,371.0
coffee,quantity consumed in grams by consumers,2004,403.0
coffee,quantity consumed in grams by consumers,2015,304.0
plant-based beverages,quantity consumed in grams by consumers,2004,421.0
plant-based beverages,quantity consumed in grams by consumers,2015,212.0
plant-based beverages,quantity consumed in grams by consumers,2004,379.0
plant-based beverages,quantity consumed in grams by consumers,2015,258.0
plant-based beverages,quantity consumed in grams by consumers,2004,500.0
plant-based beverages,quantity consumed in grams by consumers,2015,437.0
plant-based beverages,quantity consumed in grams by consumers,2004,292.0
plant-based beverages,quantity consumed in grams by consumers,2015,215.0
vegetable juice,quantity consumed in grams by consumers,2004,255.0
vegetable juice,quantity consumed in grams by consumers,2015,233.0
vegetable juice,quantity consumed in grams by consumers,2004,276.0
vegetable juice,quantity consumed in grams by consumers,2015,264.0
vegetable juice,quantity consumed in grams by consumers,2004,
vegetable juice,quantity consumed in grams by consumers,2015,346.0
vegetable juice,quantity consumed in grams by consumers,2004,394.0
vegetable juice,quantity consumed in grams by consumers,2015,530.0
beer and coolers,quantity consumed in grams by consumers,2004,
beer and coolers,quantity consumed in grams by consumers,2015,
beer and coolers,quantity consumed in grams by consumers,2004,358.0
beer and coolers,quantity consumed in grams by consumers,2015,0.0
beer and coolers,quantity consumed in grams by consumers,2004,1201.0
beer and coolers,quantity consumed in grams by consumers,2015,709.0
beer and coolers,quantity consumed in grams by consumers,2004,602.0
beer and coolers,quantity consumed in grams by consumers,2015,328.0
