column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_25,column_26,column_27,column_28,column_29
17,2022-07-05 12:46:56.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Compound Xueshuantong Capsules,0.5g*30 tablets,Box,42.0,20.55,863.1,"Guangdong Zhongsheng Pharmaceutical Co., Ltd.",Negotiation Table,10100052.0,2019.07.08,Li Kunlun,15225110649.0,Zhang Ji: 15938797039,Compound Xueshuantong Capsules,0.5g*10 tablets*10 strips,Guangdong Zhongsheng,Guokong,21.78,442 boxes/month,"A rebate of 12% per box based on the listed price will be returned in cash, primarily based on distribution channels.",0.12,331.0,nan
18,2022-07-05 14:22:30.0,7,Western medicine,Zhengzhou Software Network Company,Nerve Growth Factor for Injection,20μg(9000U),piece,20.0,158.17,3163.4,"Wuhan Haiti Biopharma Co., Ltd.",Negotiation Table,10100052.0,2019.10.14,Li Xiaoyu,15838372070.0,nan,Nerve Growth Factor for Injection,20ug,Wuhan Haiti Bio-Products,China Resources,158.17,nan,"Cash return of 35 yuan per vial, cash return at the end of the third month for the full rebate of the first month.",,1374.0,nan
19,2022-07-05 14:33:35.0,7,Western medicine,Zhengzhou Software Network Company,Iron Dextran Granules,25mg*16 bags,Box,30.0,69.28,2078.4,"Shandong Dayin Ocean Bio-Pharmaceutical Co., Ltd.",Negotiation Table,10201176.0,2019.07.25,Li Lei,18537144318.0,nan,Iron Dextran Granules,25mg*16 bags,"Shandong Dayin Ocean Bio-Pharmaceutical Co., Ltd.",Guokong,82.08,nan,"20%, invoice discount quarterly return",0.2,1453.0,nan
20,2022-07-05 14:36:13.0,7,Western medicine,Zhengzhou Meifang Road Community Network,Danhong Injection,10ml,piece,3600.0,16.92,60912.0,"Shandong Danhong Pharmaceutical Co., Ltd.",Negotiation Table,10201176.0,2020.10.23,Wang Mingzhi,18538310756.0,nan,Danhong Injection,10ml*10 vials,Shandong Danhong,"China Resources, Hengyuan",38.7,"The price was reduced to 17.32 yuan in March 2021, and the rebate is still collected at 17.6%.",0.176,0.176,171.0,"Starting from January 2022, return 30%."
21,2022-07-05 14:36:13.0,7,Western medicine,Zhengzhou Meifang Road Community Network,Brain-Heart Communication Capsules,0.4g*12 tablets*4 strips,Box,200.0,29.25,5850.0,"Shaanxi Boliang Pharmaceutical Co., Ltd.",Negotiation Table,10201176.0,2020.10.23,Gao Baoxia,13838262397.0,nan,Brain-Heart Communication Capsules,0.4g x 48 tablets,Shaanxi Boliang,"China Resources, Hengyuan",29.25,nan,0.117,0.117,701.0,nan
22,2022-07-05 14:45:37.0,7,Western medicine,Zhengzhou Software Network Company,Kaihoujian Spray,30ml*1 bottle,Box,20.0,34.0,680.0,"Guizhou Sanli Pharmaceutical Co., Ltd.",Negotiation Table,10100080.0,2019.06.14,Pandaisheng,18538195333.0,nan,Kaihoujian Spray,30ml,Guizhou Sanli,Guokong,35.16,132 boxes/month,"$5 per box, cash quarterly return",,512.0,nan
23,2022-07-05 14:47:47.0,7,Western medicine,Zhengzhou Meifang Road Community Network,Compound Xueshuantong Capsules,0.5g*30 tablets,Box,120.0,20.55,2466.0,"Guangdong Zhongsheng Pharmaceutical Co., Ltd.",Negotiation Table,10100080.0,2019.07.08,Li Kunlun,15225110649.0,Zhang Ji: 15938797039,Compound Xueshuantong Capsules,0.5g*10 tablets*10 strips,Guangdong Zhongsheng,Guokong,21.78,442 boxes/month,"A rebate of 12% per box based on the listed price will be returned in cash, primarily based on distribution channels.",0.12,331.0,nan
24,2022-07-05 15:23:13.0,7,Western medicine,Zhengzhou Software Network Company,Progesterone Capsules,50mg*10 tablets*2 strips,Box,10.0,26.63,266.3,"Zhejiang Xianju Pharmaceutical Co., Ltd.",Negotiation Table,10100080.0,2019.06.25,Pu Bojun,18595678999.0,nan,Progesterone Capsules,50mg*20s,Zhejiang Xianju,"State Control, CRHC",27.66,Small quantity,"Rebate supply price 34%, invoice discount, quarterly rebate",0.34,429.0,nan
25,2022-07-05 16:08:37.0,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Calcium Acetate Granules,0.6g*12 bags (sugar-containing type),Box,10.0,54.0,540.0,"Kunming Bangyu Pharmaceutical Co., Ltd.",Negotiation Table,10200930.0,2020.07.02,Wu Xiaofang,18237107185.0,nan,Calcium Acetate Granules,0.6g*12 bags/box*200 boxes/piece,"Kunming Bangyu Pharmaceutical Co., Ltd.",Guokong,54.0,nan,"27%, cash, monthly return, 30% newly signed in December 2020",0.3,158.0,nan
26,2022-07-05 16:27:05.0,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Kangfu Gel,3g*3 pieces,Box,20.0,33.38,667.6,"Guizhou Jianxing Pharmaceutical Co., Ltd.",Negotiation Table,10200930.0,2020.03.13,Wang Zhiyong,15638450207.0,Modified on 2020.03.13: Return 5 yuan per box,Kangfu Gel,3g*3 pieces,Guizhou Jianxing,"China Resources, National Control",33.38,nan,"According to the monthly flow, it will be returned in cash to the hospital in the following month, 5 yuan per box.",,516.0,nan
27,2022-07-05 16:27:05.0,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Fulekai Mixture,150ml (1ml: Extract 0.187g),Bottle,10.0,27.4,274.0,"Guizhou Jianxing Pharmaceutical Co., Ltd.",Negotiation Table,10100243.0,2019.05.30,Wang Zhiyong,15638450207.0,nan,Fulekai Mixture,150ml,Guizhou Jianxing,China Resources,25.74,1190 bottles/month,"According to the monthly flow, in the following month, cash will be returned to the hospital, 4 yuan per box, 20% of the listed price since January 1, 2021.",0.2,248.0,nan
28,2022-07-05 16:27:05.0,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Danhong Injection,10ml,piece,1080.0,16.92,18273.6,"Shandong Danhong Pharmaceutical Co., Ltd.",Negotiation Table,10100243.0,2020.10.23,Wang Mingzhi,18538310756.0,nan,Danhong Injection,10ml*10 vials,Shandong Danhong,"China Resources, Hengyuan",38.7,"The price was reduced to 17.32 yuan in March 2021, and the rebate is still collected at 17.6%.",0.176,0.176,171.0,"Starting from January 2022, return 30%."
29,2022-07-06,7,Western medicine,Zhengzhou Software Network Company,Big Hawthorn Granules,15g*10 bags,Box,5.0,29.8,149.0,"Baoding Traditional Chinese Medicine Pharmaceutical Co., Ltd.",Negotiation Table,10100403.0,2019.08.15,Zhu Mingwei,18903865502.0,nan,Big Hawthorn Granules,15g*10 bags,Baoding Traditional Chinese Medicine,"State Control, Hengyuan",29.8,nan,Cash quarterly return 30%,0.3,1498.0,nan
30,2022-07-06,7,Western medicine,Zhengzhou Software Network Company,Shengxuebao Mixture,100ml*1 bottle,Box,30.0,56.05,1681.5,"Qinghua Deren Xi'an Xingfu Pharmaceutical Co., Ltd.",Negotiation Table,10100177.0,2020.11.10,You Junying,13938555051.0,nan,Shengxuebao Mixture,100ml,Xi'an,China National Pharmaceutical Group,56.05,nan,"Cash monthly return 30%, clinical 4 yuan",0.3,,nan
31,2022-07-07,7,Western medicine,Zhengzhou Software Network Company,Bifidobacterium Quadruple Live Bacteria Tablets,0.5g*15 tablets*2 strips,Box,30.0,31.07,932.1,"Hangzhou Yuanda Bio-Pharmaceutical Co., Ltd.",Negotiation Table,10400015.0,2020.11.10,Ma Yuxiang,15617766386.0,nan,Bifidobacterium Quadruple Live Bacteria Tablets,0.5g*30 tablets,Hangzhou Yuanda,China Resources,31.07,nan,0.18,18.0,,nan
32,2022-07-07,7,Western medicine,Zhengzhou Software Network Company,Fu Kang Pill,9g*10 bags (Fukang Pills) + 7.5g*2 bags (Tongqi Pills),Box,20.0,81.5,1630.0,"Henan Taifeng Biotechnology Co., Ltd.",Negotiation Table,10100273.0,2020.08.03,Li Yanyan,13623825356.0,nan,Fu Kang Pill,9g*10 bags + 7.5g*2 bags,"Henan Taifeng Biotechnology Co., Ltd.","China Resources, National Control, Provincial Pharmaceutical",81.5,nan,"Cash monthly return, 40%, starting from July 2020",0.4,1616.0,nan
33,2022-07-07,7,Western medicine,Zhengzhou Software Network Company,Amlodipine Besylate Tablets,5mg*7 tablets,Box,20.0,24.01,480.2,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200176.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Amlodipine Besylate Tablets,5mg*7 tablets/box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,19.77,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
34,2022-07-07,7,Western medicine,Zhengzhou Software Network Company,Intepirdine Injection,4ml：40mg,piece,300.0,15.6,4680.0,"Nanjing Hengsheng Pharmaceutical Co., Ltd.",Negotiation Table,10200191.0,2020.07.21,Gai Chang,18137336922.0,nan,Intepirdine Injection,4ml*40mg,"Nanjing Hengsheng Pharmaceutical Co., Ltd.",Guokong,15.6,nan,20% per box returned in cash quarterly,0.2,462.0,nan
35,2022-07-07,7,Western medicine,Zhengzhou Software Network Company,Butylphthalide Sodium Chloride Injection,100ml: Butylphthalide 25mg and Sodium Chloride 0.9g,Bottle,80.0,139.0,11120.0,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.",Negotiation Table,10200127.0,2020.07.21,Liu Chen,13663860491.0,nan,Butylphthalide Sodium Chloride Injection,100ml/bottle,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.","China Resources, National Control",285.3,nan,"60 days return, cash 5%",0.05,1504.0,nan
36,2022-07-07,7,Western medicine,Zhengzhou Linzhanshan Community Network,Shengxuebao Mixture,100ml*1 bottle,Box,20.0,56.05,1121.0,"Qinghua Deren Xi'an Xingfu Pharmaceutical Co., Ltd.",Negotiation Table,10100177.0,2020.11.10,You Junying,13938555051.0,nan,Shengxuebao Mixture,100ml,Xi'an,China National Pharmaceutical Group,56.05,nan,"Cash monthly return 30%, clinical 4 yuan",0.3,,nan
37,2022-07-07,7,Western medicine,Zhengzhou Software Network Company,Ropivacaine Hydrochloride Injection,10ml：100mg,piece,115.0,19.8,2277.0,"Yichang Renfu Pharmaceutical Co., Ltd.",Negotiation Table,10200319.0,2019.08.13,Chen Wenyi,18986797927.0,nan,Ropivacaine Hydrochloride Injection,10ml:100mg,"Yichang Renfu Pharmaceutical Co., Ltd.",Guokong,20.73,nan,"Cash refund within 45 days, 1.5 yuan per vial",,1449.0,nan
38,2022-07-07,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Butylphthalide Sodium Chloride Injection,100ml: Butylphthalide 25mg and Sodium Chloride 0.9g,Bottle,20.0,139.0,2780.0,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.",Negotiation Table,10200127.0,2020.07.21,Liu Chen,13663860491.0,nan,Butylphthalide Sodium Chloride Injection,100ml/bottle,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.","China Resources, National Control",285.3,nan,"60 days return, cash 5%",0.05,1504.0,nan
39,2022-07-07,7,Western medicine,Zhengzhou Software Network Company,Bifidobacterium Quadruple Live Bacteria Tablets,0.5g*15 tablets*2 strips,Box,20.0,31.07,621.4,"Hangzhou Yuanda Bio-Pharmaceutical Co., Ltd.",Negotiation Table,10400015.0,2020.07.21,Ma Yuxiang,15617766386.0,nan,Bifidobacterium Quadruple Live Bacteria Tablets,0.5g*30 tablets,Hangzhou Yuanda,China Resources,31.07,nan,0.18,18.0,,nan
40,2022-07-07,7,Western medicine,Zhengzhou Meifang Road Community Network,Shengxuebao Mixture,100ml*1 bottle,Box,100.0,56.05,5605.0,"Qinghua Deren Xi'an Xingfu Pharmaceutical Co., Ltd.",Negotiation Table,10100177.0,2020.11.10,You Junying,13938555051.0,nan,Shengxuebao Mixture,100ml,Xi'an,China National Pharmaceutical Group,56.05,nan,"Cash monthly return 30%, clinical 4 yuan",0.3,,nan
41,2022-07-07,7,Western medicine,Zhengzhou Meifang Road Community Network,Intepirdine Injection,4ml：40mg,piece,60.0,15.6,936.0,"Nanjing Hengsheng Pharmaceutical Co., Ltd.",Negotiation Table,10200191.0,2020.07.21,Gai Chang,18137336922.0,nan,Intepirdine Injection,4ml*40mg,"Nanjing Hengsheng Pharmaceutical Co., Ltd.",Guokong,15.6,nan,20% per box returned in cash quarterly,0.2,462.0,nan
42,2022-07-07 08:49:38.0,7,Western medicine,Zhengzhou Software Network Company,Brain-Heart Communication Capsules,0.4g*12 tablets*4 strips,Box,200.0,29.25,5850.0,"Shaanxi Boliang Pharmaceutical Co., Ltd.",Negotiation Table,10200191.0,2020.10.23,Gao Baoxia,13838262397.0,nan,Brain-Heart Communication Capsules,0.4g x 48 tablets,Shaanxi Boliang,"China Resources, Hengyuan",29.25,nan,0.117,0.117,701.0,nan
43,2022-07-07 10:53:57.0,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Huoxiang Zhengqi Soft Capsules,0.45g*12粒*2板,Box,10.0,17.0,170.0,"Shenwei Pharmaceutical Group Co., Ltd.",Negotiation Table,10200191.0,2020.12.08,Zhang Guowang,,Zhang Wang: 13460356003,Huoxiang Zhengqi Soft Capsules,0.45g*48s,"Shenwei Pharmaceutical Group Co., Ltd.","State Control, CRHC",36.0,nan,"Cash monthly return 21.25%, 5 yuan per box returned in July 2021",,,nan
44,2022-07-08,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Polysaccharide Iron Complex Capsules,0.15g*10 tablets*1 strip,Box,30.0,28.56,856.8,"Shanghai Pharmaceutical Group Qingdao Guofeng Pharmaceutical Co., Ltd.",Negotiation Table,10200207.0,2019.07.02,Zhao Pei,18737109559.0,Re-sign rebate 5 yuan,Polysaccharide Iron Complex Capsules,0.15g*10s,"Shanghai Pharmaceutical Group Qingdao Guofeng Pharmaceutical Co., Ltd.",China Resources,28.56,1174 boxes/month,"A return of 5 yuan per box, cash monthly return",,226.0,nan
45,2022-07-08,7,Western medicine,Zhengzhou Linzhanshan Community Network,Bailing Capsules,0.5g*14粒*3板,Box,30.0,43.26,1297.8,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",Negotiation Table,10100100.0,2019.09.10,Liu Fangmin,13526721006.0,nan,Bailing Capsules,0.5g*42 pcs,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.","China Resources, National Control",65.05,nan,"Quarter, this policy of 3 yuan will be implemented starting from August 1st.",,72.0,nan
46,2022-07-08,7,Western medicine,Zhengzhou Fengchan Road Loke Shequ Network,Bailing Capsules,0.5g*14粒*3板,Box,30.0,43.26,1297.8,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",Negotiation Table,10100100.0,2019.09.10,Liu Fangmin,13526721006.0,nan,Bailing Capsules,0.5g*42 pcs,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.","China Resources, National Control",65.05,nan,"Quarter, this policy of 3 yuan will be implemented starting from August 1st.",,72.0,nan
47,2022-07-09,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Musk Pursue Wind Pain Relief Plaster,(7cm*10cm)*4 pieces,Box,50.0,48.0,2400.0,"Chongqing Hila Pharmaceutical Co., Ltd.",Negotiation Table,10100330.0,2020.04.26,Liu Wenlong,15938724934.0,nan,Musk Pursue Wind Pain Relief Plaster,4 Attachments,"Chongqing Hila Pharmaceutical Co., Ltd.","China Resources, National Control",48.0,nan,"Seasonal return, cash, 10 yuan per box",,1580.0,nan
48,2022-07-09,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Red Nucleus Women's Cleansing Solution,150ml*1 bottle (with a set of irrigation equipment),Box,40.0,27.14,1085.6,"Shandong Buliang Shenzhou Pharmaceutical Co., Ltd.",Negotiation Table,10100385.0,2020.10.23,Ning Xuejiao,18837106320.0,Manager Liu Yajing 131 4008 5296,Red Nucleus Women's Cleansing Solution,150ml,Shandong Buliang Shenzhou Pharmaceutical,"China Resources, Hengyuan",27.14,nan,0.1,0.1,408.0,nan
49,2022-07-09,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Lactulose Oral Solution,10ml:5g*12 vials,Box,10.0,89.0,890.0,"Dalian Meiluo Traditional Chinese Medicine Factory Co., Ltd.",Negotiation Table,10200715.0,2021.01.26,Ma Yong,13803836772.0,nan,Lactulose Oral Solution,10ml: 5g*12 vials / box,"Dalian Meiluo Traditional Chinese Medicine Factory Co., Ltd.",Guokong,89.0,nan,"Cash, monthly return 44%, clinical 12",0.44,1696.0,nan
50,2022-07-09,7,Western medicine,Zhengzhou Software Network Company,Ferrous Succinate Sustained-Release Tablets,0.2g*12 tablets*2 strips,Box,200.0,52.32,10464.0,"Jinling Pharmaceutical Co., Ltd. Nanjing Jinling Pharmaceutical Factory",Negotiation Table,10200715.0,2019.07.08,Ren Longfei,15738369958.0,nan,Ferrous Succinate Sustained-Release Tablets,0.2g*24 tablets,Nanjing Jinling,Guokong,56.84,188 boxes/month,"National distribution with invoice discount, 15% of the supply price will be returned within 100 days after the sale. The rebate methods include bills, acceptance or cash to the hospital. 1. At least one department meeting per month, 2. Three out-of-province meetings per year, 3. Academic exchange within the hospital.",0.15,416.0,nan
51,2022-07-09,7,Western medicine,Zhengzhou Meifang Road Community Network,Lactulose Oral Solution,10ml:5g*12 vials,Box,30.0,89.0,2670.0,"Dalian Meiluo Traditional Chinese Medicine Factory Co., Ltd.",Negotiation Table,10200715.0,2021.01.26,Ma Yong,13803836772.0,nan,Lactulose Oral Solution,10ml: 5g*12 vials / box,"Dalian Meiluo Traditional Chinese Medicine Factory Co., Ltd.",Guokong,89.0,nan,"Cash, monthly return 44%, clinical 12",0.44,1696.0,nan
52,2022-07-09 16:57:57.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Xingpi Yang'er Granules,2g*18 bags,Box,24.0,25.52,612.48,"Guizhou Jianxing Pharmaceutical Co., Ltd.",Negotiation Table,10100364.0,2020.04.04,Wang Zhiyong,15638450207.0,Shi Bo: 13283881411,Xingpi Yang'er Granules,2g/18 bags,Guizhou Jianxing,China Resources,25.52,nan,"Cash monthly return, 3.6 yuan per box",,1533.0,nan
53,2022-07-09 16:57:57.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Xingpi Yang'er Granules,2g*18 bags,Box,26.0,25.52,663.52,"Guizhou Jianxing Pharmaceutical Co., Ltd.",Negotiation Table,10100364.0,2020.04.04,Wang Zhiyong,15638450207.0,Shi Bo: 13283881411,Xingpi Yang'er Granules,2g/18 bags,Guizhou Jianxing,China Resources,25.52,nan,"Cash monthly return, 3.6 yuan per box",,1533.0,nan
54,2022-07-11,7,Western medicine,Zhengzhou Linzhanshan Community Network,Red Nucleus Women's Cleansing Solution,150ml*1 bottle (with a set of irrigation equipment),Box,20.0,27.14,542.8,"Shandong Buliang Shenzhou Pharmaceutical Co., Ltd.",Negotiation Table,10100385.0,2020.10.23,Ning Xuejiao,18837106320.0,Manager Liu Yajing 131 4008 5296,Red Nucleus Women's Cleansing Solution,150ml,Shandong Buliang Shenzhou Pharmaceutical,"China Resources, Hengyuan",27.14,nan,0.1,0.1,408.0,nan
55,2022-07-11,7,Western medicine,Zhengzhou Software Network Company,Benzalkonium Chloride Solution,150ml:0.15g(0.10%),Bottle,48.0,46.0,2208.0,"Guangdong Luosite Pharmaceutical Co., Ltd.",Negotiation Table,10200218.0,2021.02.08,Zhang Yabo,18638767729.0,nan,Benzalkonium Chloride Solution,0.1%：150ml：0.15g,"Guangdong Luosite Pharmaceutical Co., Ltd.",nan,,No agreement signed,Cash monthly return 7%,0.07,95.0,nan
56,2022-07-11,7,Western medicine,Zhengzhou Software Network Company,Ropivacaine Hydrochloride Injection,10ml：100mg,piece,280.0,19.8,5544.0,"Yichang Renfu Pharmaceutical Co., Ltd.",Negotiation Table,10200319.0,2019.08.13,Chen Wenyi,18986797927.0,nan,Ropivacaine Hydrochloride Injection,10ml:100mg,"Yichang Renfu Pharmaceutical Co., Ltd.",Guokong,20.73,nan,"Cash refund within 45 days, 1.5 yuan per vial",,1449.0,nan
57,2022-07-11 10:59:04.0,7,Western medicine,Zhengzhou Software Network Company,Luo Hong Mu Yin Jiao Nang,150mg * 12 tablets * 1 strip,Box,50.0,20.42,1021.0,"Yangzijiang Pharmaceutical Group Co., Ltd.",Negotiation Table,10200328.0,2020.08.17,Luan Pingshan,13773370925.0,Community Zhang Qingfeng: 15896565560,Luo Hong Mu Yin Jiao Nang,150mg*12,Yangzijiang Pharmaceutical Group,"State Control, CRHC",19.61,nan,Cash monthly return 10%,0.1,1539.0,nan
