age,household_registration_location,sex,count
19,"Among them, the separation of household registration and residence within the district",Female,500281
19,Out-of-province,Male,1291132
19,Out-of-province,Female,1015375
20-24 years old,Total,Male,20888040
20-24 years old,Total,Female,19669123
20-24 years old,Province,Male,13313386
20-24 years old,Province,Female,14008634
20-24 years old,"Among them, the separation of household registration and residence within the district",Male,2718102
20-24 years old,"Among them, the separation of household registration and residence within the district",Female,2838243
20-24 years old,Out-of-province,Male,7574654
20-24 years old,Out-of-province,Female,5660489
20,Total,Male,4611660
20,Total,Female,4434614
20,Province,Male,3125753
20,Province,Female,3264662
20,"Among them, the separation of household registration and residence within the district",Male,522551
20,"Among them, the separation of household registration and residence within the district",Female,509221
20,Out-of-province,Male,1485907
20,Out-of-province,Female,1169952
21,Total,Male,4128218
21,Total,Female,3927347
21,Province,Male,2662427
21,Province,Female,2809110
21,"Among them, the separation of household registration and residence within the district",Male,480887
21,"Among them, the separation of household registration and residence within the district",Female,486947
21,Out-of-province,Male,1465791
21,Out-of-province,Female,1118237
22,Total,Male,4108599
22,Total,Female,3806899
22,Province,Male,2570283
22,Province,Female,2690681
22,"Among them, the separation of household registration and residence within the district",Male,529634
22,"Among them, the separation of household registration and residence within the district",Female,553939
22,Out-of-province,Male,1538316
22,Out-of-province,Female,1116218
23,Total,Male,3962240
23,Total,Female,3669906
23,Province,Male,2444232
23,Province,Female,2567173
23,"Among them, the separation of household registration and residence within the district",Male,567219
23,"Among them, the separation of household registration and residence within the district",Female,606825
23,Out-of-province,Male,1518008
23,Out-of-province,Female,1102733
24,Total,Male,4077323
24,Total,Female,3830357
24,Province,Male,2510691
24,Province,Female,2677008
24,"Among them, the separation of household registration and residence within the district",Male,617811
24,"Among them, the separation of household registration and residence within the district",Female,681311
24,Out-of-province,Male,1566632
24,Out-of-province,Female,1153349
25-29 years old,Total,Male,23392144
25-29 years old,Total,Female,22009758
25-29 years old,Province,Male,14768695
25-29 years old,Province,Female,15727384
25-29 years old,"Among them, the separation of household registration and residence within the district",Male,3952935
25-29 years old,"Among them, the separation of household registration and residence within the district",Female,4516115
25-29 years old,Out-of-province,Male,8623449
25-29 years old,Out-of-province,Female,6282374
25,Total,Male,4419371
25,Total,Female,4149292
25,Province,Male,2742165
25,Province,Female,2921489
25,"Among them, the separation of household registration and residence within the district",Male,697875
25,"Among them, the separation of household registration and residence within the district",Female,778846
25,Out-of-province,Male,1677206
25,Out-of-province,Female,1227803
26,Total,Male,4305471
26,Total,Female,4077857
26,Province,Male,2713913
26,Province,Female,2903922
26,"Among them, the separation of household registration and residence within the district",Male,726874
26,"Among them, the separation of household registration and residence within the district",Female,822674
26,Out-of-province,Male,1591558
26,Out-of-province,Female,1173935
27,Total,Male,4668788
27,Total,Female,4418488
27,Province,Male,2947862
27,Province,Female,3161017
27,"Among them, the separation of household registration and residence within the district",Male,793580
27,"Among them, the separation of household registration and residence within the district",Female,914458
27,Out-of-province,Male,1720926
27,Out-of-province,Female,1257471
28,Total,Male,4838615
28,Total,Female,4543384
28,Province,Male,3069963
28,Province,Female,3262562
28,"Among them, the separation of household registration and residence within the district",Male,838428
28,"Among them, the separation of household registration and residence within the district",Female,964905
28,Out-of-province,Male,1768652
28,Out-of-province,Female,1280822
29,Total,Male,5159899
29,Total,Female,4820737
29,Province,Male,3294792
29,Province,Female,3478394
29,"Among them, the separation of household registration and residence within the district",Male,896178
29,"Among them, the separation of household registration and residence within the district",Female,1035232
29,Out-of-province,Male,1865107
29,Out-of-province,Female,1342343
30-34 years old,Total,Male,30056879
30-34 years old,Total,Female,28147367
30-34 years old,Province,Male,19360232
30-34 years old,Province,Female,20438338
30-34 years old,"Among them, the separation of household registration and residence within the district",Male,5643832
30-34 years old,"Among them, the separation of household registration and residence within the district",Female,6548421
30-34 years old,Out-of-province,Male,10696647
30-34 years old,Out-of-province,Female,7709029
30,Total,Male,6462238
30,Total,Female,6046323
30,Province,Male,4109699
30,Province,Female,4360275
30,"Among them, the separation of household registration and residence within the district",Male,1121806
30,"Among them, the separation of household registration and residence within the district",Female,1306929
30,Out-of-province,Male,2352539
30,Out-of-province,Female,1686048
31,Total,Male,6222404
31,Total,Female,5866883
31,Province,Male,3995643
31,Province,Female,4253372
31,"Among them, the separation of household registration and residence within the district",Male,1138680
31,"Among them, the separation of household registration and residence within the district",Female,1332796
31,Out-of-province,Male,2226761
31,Out-of-province,Female,1613511
32,Total,Male,5796097
32,Total,Female,5455425
32,Province,Male,3744297
32,Province,Female,3966944
32,"Among them, the separation of household registration and residence within the district",Male,1099154
32,"Among them, the separation of household registration and residence within the district",Female,1280986
32,Out-of-province,Male,2051800
32,Out-of-province,Female,1488481
33,Total,Male,6207394
33,Total,Female,5797312
33,Province,Male,4019645
33,Province,Female,4223598
33,"Among them, the separation of household registration and residence within the district",Male,1208235
33,"Among them, the separation of household registration and residence within the district",Female,1397407
33,Out-of-province,Male,2187749
33,Out-of-province,Female,1573714
34,Total,Male,5368746
34,Total,Female,4981424
34,Province,Male,3490948
34,Province,Female,3634149
34,"Among them, the separation of household registration and residence within the district",Male,1075957
34,"Among them, the separation of household registration and residence within the district",Female,1230303
34,Out-of-province,Male,1877798
34,Out-of-province,Female,1347275
35-39 years old,Total,Male,22484747
35-39 years old,Total,Female,20370207
35-39 years old,Province,Male,14833280
35-39 years old,Province,Female,15050235
35-39 years old,"Among them, the separation of household registration and residence within the district",Male,4709815
35-39 years old,"Among them, the separation of household registration and residence within the district",Female,5265881
35-39 years old,Out-of-province,Male,7651467
35-39 years old,Out-of-province,Female,5319972
35,Total,Male,4586884
35,Total,Female,4177776
35,Province,Male,2980162
35,Province,Female,3040648
35,"Among them, the separation of household registration and residence within the district",Male,907813
35,"Among them, the separation of household registration and residence within the district",Female,1022639
35,Out-of-province,Male,1606722
35,Out-of-province,Female,1137128
36,Total,Male,4506947
36,Total,Female,4074540
36,Province,Male,2951309
36,Province,Female,2984695
36,"Among them, the separation of household registration and residence within the district",Male,904045
36,"Among them, the separation of household registration and residence within the district",Female,1013364
36,Out-of-province,Male,1555638
36,Out-of-province,Female,1089845
37,Total,Male,4328955
37,Total,Female,3906871
37,Province,Male,2865007
37,Province,Female,2891963
37,"Among them, the separation of household registration and residence within the district",Male,922775
37,"Among them, the separation of household registration and residence within the district",Female,1027638
37,Out-of-province,Male,1463948
37,Out-of-province,Female,1014908
38,Total,Male,4870092
38,Total,Female,4411088
38,Province,Male,3247402
38,Province,Female,3295909
38,"Among them, the separation of household registration and residence within the district",Male,1075616
38,"Among them, the separation of household registration and residence within the district",Female,1198033
38,Out-of-province,Male,1622690
38,Out-of-province,Female,1115179
39,Total,Male,4191869
39,Total,Female,3799932
39,Province,Male,2789400
39,Province,Female,2837020
39,"Among them, the separation of household registration and residence within the district",Male,899566
39,"Among them, the separation of household registration and residence within the district",Female,1004207
39,Out-of-province,Male,1402469
39,Out-of-province,Female,962912
40-44 years old,Total,Male,19504443
40-44 years old,Total,Female,17567040
40-44 years old,Province,Male,13114899
40-44 years old,Province,Female,13097712
40-44 years old,"Among them, the separation of household registration and residence within the district",Male,4252377
40-44 years old,"Among them, the separation of household registration and residence within the district",Female,4645528
40-44 years old,Out-of-province,Male,6389544
40-44 years old,Out-of-province,Female,4469328
40,Total,Male,3808785
40,Total,Female,3443569
40,Province,Male,2539996
40,Province,Female,2567056
40,"Among them, the separation of household registration and residence within the district",Male,809232
40,"Among them, the separation of household registration and residence within the district",Female,894740
40,Out-of-province,Male,1268789
40,Out-of-province,Female,876513
41,Total,Male,4136798
41,Total,Female,3724160
41,Province,Male,2791890
41,Province,Female,2801084
41,"Among them, the separation of household registration and residence within the district",Male,902584
41,"Among them, the separation of household registration and residence within the district",Female,992245
41,Out-of-province,Male,1344908
41,Out-of-province,Female,923076
42,Total,Male,3880040
42,Total,Female,3515150
42,Province,Male,2621545
42,Province,Female,2629810
42,"Among them, the separation of household registration and residence within the district",Male,855182
42,"Among them, the separation of household registration and residence within the district",Female,938861
42,Out-of-province,Male,1258495
42,Out-of-province,Female,885340
43,Total,Male,3658704
43,Total,Female,3292319
43,Province,Male,2466354
43,Province,Female,2451126
43,"Among them, the separation of household registration and residence within the district",Male,809240
43,"Among them, the separation of household registration and residence within the district",Female,880444
43,Out-of-province,Male,1192350
43,Out-of-province,Female,841193
44,Total,Male,4020116
44,Total,Female,3591842
44,Province,Male,2695114
44,Province,Female,2648636
44,"Among them, the separation of household registration and residence within the district",Male,876139
44,"Among them, the separation of household registration and residence within the district",Female,939238
44,Out-of-province,Male,1325002
44,Out-of-province,Female,943206
45-49 years old,Total,Male,21596600
45-49 years old,Total,Female,19211494
45-49 years old,Province,Male,14440993
45-49 years old,Province,Female,14100755
45-49 years old,"Among them, the separation of household registration and residence within the district",Male,4873219
45-49 years old,"Among them, the separation of household registration and residence within the district",Female,5098239
45-49 years old,Out-of-province,Male,7155607
45-49 years old,Out-of-province,Female,5110739
45,Total,Male,4043778
45,Total,Female,3623847
45,Province,Male,2693171
45,Province,Female,2652358
45,"Among them, the separation of household registration and residence within the district",Male,892567
45,"Among them, the separation of household registration and residence within the district",Female,952912
45,Out-of-province,Male,1350607
45,Out-of-province,Female,971489
46,Total,Male,4341932
46,Total,Female,3878599
46,Province,Male,2876207
46,Province,Female,2821300
46,"Among them, the separation of household registration and residence within the district",Male,945851
46,"Among them, the separation of household registration and residence within the district",Female,999938
46,Out-of-province,Male,1465725
46,Out-of-province,Female,1057299
47,Total,Male,4413182
47,Total,Female,3917101
47,Province,Male,2950121
47,Province,Female,2873639
47,"Among them, the separation of household registration and residence within the district",Male,1000993
47,"Among them, the separation of household registration and residence within the district",Female,1045076
47,Out-of-province,Male,1463061
47,Out-of-province,Female,1043462
48,Total,Male,4399111
48,Total,Female,3904936
48,Province,Male,2946502
48,Province,Female,2864680
48,"Among them, the separation of household registration and residence within the district",Male,1003525
48,"Among them, the separation of household registration and residence within the district",Female,1036632
48,Out-of-province,Male,1452609
48,Out-of-province,Female,1040256
49,Total,Male,4398597
49,Total,Female,3887011
49,Province,Male,2974992
49,Province,Female,2888778
49,"Among them, the separation of household registration and residence within the district",Male,1030283
49,"Among them, the separation of household registration and residence within the district",Female,1063681
49,Out-of-province,Male,1423605
49,Out-of-province,Female,998233
50-54 years old,Total,Male,19502000
50-54 years old,Total,Female,17632115
50-54 years old,Province,Male,13366685
50-54 years old,Province,Female,13337318
50-54 years old,"Among them, the separation of household registration and residence within the district",Male,4601677
50-54 years old,"Among them, the separation of household registration and residence within the district",Female,4785435
50-54 years old,Out-of-province,Male,6135315
50-54 years old,Out-of-province,Female,4294797
50,Total,Male,4466628
50,Total,Female,4014468
50,Province,Male,3031868
50,Province,Female,2993178
50,"Among them, the separation of household registration and residence within the district",Male,1051842
50,"Among them, the separation of household registration and residence within the district",Female,1092865
50,Out-of-province,Male,1434760
50,Out-of-province,Female,1021290
51,Total,Male,4058053
51,Total,Female,3645570
51,Province,Male,2775187
51,Province,Female,2746944
51,"Among them, the separation of household registration and residence within the district",Male,969224
51,"Among them, the separation of household registration and residence within the district",Female,1010056
51,Out-of-province,Male,1282866
51,Out-of-province,Female,898626
52,Total,Male,4210854
52,Total,Female,3811592
52,Province,Male,2879425
52,Province,Female,2879790
52,"Among them, the separation of household registration and residence within the district",Male,996786
52,"Among them, the separation of household registration and residence within the district",Female,1037346
52,Out-of-province,Male,1331429
52,Out-of-province,Female,931802
53,Total,Male,3229444
53,Total,Female,2947108
53,Province,Male,2216347
53,Province,Female,2237241
53,"Among them, the separation of household registration and residence within the district",Male,739773
53,"Among them, the separation of household registration and residence within the district",Female,772444
53,Out-of-province,Male,1013097
53,Out-of-province,Female,709867
54,Total,Male,3537021
54,Total,Female,3213377
54,Province,Male,2463858
54,Province,Female,2480165
54,"Among them, the separation of household registration and residence within the district",Male,844052
54,"Among them, the separation of household registration and residence within the district",Female,872724
54,Out-of-province,Male,1073163
54,Out-of-province,Female,733212
55-59 years old,Total,Male,14105422
55-59 years old,Total,Female,13459535
55-59 years old,Province,Male,10538706
55-59 years old,Province,Female,10834869
55-59 years old,"Among them, the separation of household registration and residence within the district",Male,4063085
55-59 years old,"Among them, the separation of household registration and residence within the district",Female,4161577
55-59 years old,Out-of-province,Male,3566716
55-59 years old,Out-of-province,Female,2624666
55,Total,Male,3363722
55,Total,Female,3113913
55,Province,Male,2422481
55,Province,Female,2452848
55,"Among them, the separation of household registration and residence within the district",Male,872508
55,"Among them, the separation of household registration and residence within the district",Female,891633
55,Out-of-province,Male,941241
55,Out-of-province,Female,661065
56,Total,Male,3219204
56,Total,Female,3052043
56,Province,Male,2380513
56,Province,Female,2440388
56,"Among them, the separation of household registration and residence within the district",Male,913857
56,"Among them, the separation of household registration and residence within the district",Female,933712
56,Out-of-province,Male,838691
56,Out-of-province,Female,611655
57,Total,Male,3625320
57,Total,Female,3440167
57,Province,Male,2736929
57,Province,Female,2796439
57,"Among them, the separation of household registration and residence within the district",Male,1099412
57,"Among them, the separation of household registration and residence within the district",Female,1122705
57,Out-of-province,Male,888391
57,Out-of-province,Female,643728
58,Total,Male,2537778
58,Total,Female,2465207
58,Province,Male,1926217
58,Province,Female,2000462
58,"Among them, the separation of household registration and residence within the district",Male,734995
58,"Among them, the separation of household registration and residence within the district",Female,752258
58,Out-of-province,Male,611561
58,Out-of-province,Female,464745
59,Total,Male,1359398
59,Total,Female,1388205
59,Province,Male,1072566
59,Province,Female,1144732
59,"Among them, the separation of household registration and residence within the district",Male,442313
59,"Among them, the separation of household registration and residence within the district",Female,461269
59,Out-of-province,Male,286832
59,Out-of-province,Female,243473
60-64 years old,Total,Male,8669401
60-64 years old,Total,Female,8645733
60-64 years old,Province,Male,7082783
60-64 years old,Province,Female,7273603
60-64 years old,"Among them, the separation of household registration and residence within the district",Male,2957746
60-64 years old,"Among them, the separation of household registration and residence within the district",Female,3029267
60-64 years old,Out-of-province,Male,1586618
60-64 years old,Out-of-province,Female,1372130
60,Total,Male,1625124
60,Total,Female,1625104
60,Province,Male,1317753
60,Province,Female,1361236
60,"Among them, the separation of household registration and residence within the district",Male,563899
60,"Among them, the separation of household registration and residence within the district",Female,574839
60,Out-of-province,Male,307371
60,Out-of-province,Female,263868
61,Total,Male,1500356
61,Total,Female,1461003
61,Province,Male,1223754
61,Province,Female,1229198
61,"Among them, the separation of household registration and residence within the district",Male,513093
61,"Among them, the separation of household registration and residence within the district",Female,515679
61,Out-of-province,Male,276602
61,Out-of-province,Female,231805
62,Total,Male,1859877
62,Total,Female,1814090
62,Province,Male,1513912
62,Province,Female,1525402
62,"Among them, the separation of household registration and residence within the district",Male,630697
62,"Among them, the separation of household registration and residence within the district",Female,636221
62,Out-of-province,Male,345965
62,Out-of-province,Female,288688
63,Total,Male,1968074
63,Total,Female,1977199
63,Province,Male,1610509
63,Province,Female,1664305
63,"Among them, the separation of household registration and residence within the district",Male,664303
63,"Among them, the separation of household registration and residence within the district",Female,687325
63,Out-of-province,Male,357565
63,Out-of-province,Female,312894
64,Total,Male,1715970
64,Total,Female,1768337
64,Province,Male,1416855
64,Province,Female,1493462
64,"Among them, the separation of household registration and residence within the district",Male,585754
64,"Among them, the separation of household registration and residence within the district",Female,615203
64,Out-of-province,Male,299115
64,Out-of-province,Female,274875
65-69 years old,Total,Male,7237816
65-69 years old,Total,Female,7583984
65-69 years old,Province,Male,6122950
65-69 years old,Province,Female,6514613
65-69 years old,"Among them, the separation of household registration and residence within the district",Male,2515303
65-69 years old,"Among them, the separation of household registration and residence within the district",Female,2712616
65-69 years old,Out-of-province,Male,1114866
65-69 years old,Out-of-province,Female,1069371
65,Total,Male,1719187
65,Total,Female,1771850
65,Province,Male,1431798
65,Province,Female,1505450
65,"Among them, the separation of household registration and residence within the district",Male,589763
65,"Among them, the separation of household registration and residence within the district",Female,623764
65,Out-of-province,Male,287389
65,Out-of-province,Female,266400
66,Total,Male,1651807
66,Total,Female,1729939
66,Province,Male,1387240
66,Province,Female,1478654
66,"Among them, the separation of household registration and residence within the district",Male,577771
66,"Among them, the separation of household registration and residence within the district",Female,619052
66,Out-of-province,Male,264567
66,Out-of-province,Female,251285
67,Total,Male,1407689
67,Total,Female,1493668
67,Province,Male,1191921
67,Province,Female,1283592
67,"Among them, the separation of household registration and residence within the district",Male,486406
67,"Among them, the separation of household registration and residence within the district",Female,531609
67,Out-of-province,Male,215768
67,Out-of-province,Female,210076
68,Total,Male,1347237
68,Total,Female,1418167
68,Province,Male,1150950
68,Province,Female,1226820
68,"Among them, the separation of household registration and residence within the district",Male,466682
68,"Among them, the separation of household registration and residence within the district",Female,508851
68,Out-of-province,Male,196287
68,Out-of-province,Female,191347
69,Total,Male,1111896
69,Total,Female,1170360
69,Province,Male,961041
69,Province,Female,1020097
69,"Among them, the separation of household registration and residence within the district",Male,394681
69,"Among them, the separation of household registration and residence within the district",Female,429340
69,Out-of-province,Male,150855
69,Out-of-province,Female,150263
70-74 years old,Total,Male,4249151
70-74 years old,Total,Female,4347442
70-74 years old,Province,Male,3756984
70-74 years old,Province,Female,3863870
70-74 years old,"Among them, the separation of household registration and residence within the district",Male,1514231
70-74 years old,"Among them, the separation of household registration and residence within the district",Female,1626004
70-74 years old,Out-of-province,Male,492167
70-74 years old,Out-of-province,Female,483572
70,Total,Male,1046890
70,Total,Female,1073767
70,Province,Male,914335
70,Province,Female,944113
70,"Among them, the separation of household registration and residence within the district",Male,373243
70,"Among them, the separation of household registration and residence within the district",Female,397770
70,Out-of-province,Male,132555
70,Out-of-province,Female,129654
71,Total,Male,981130
71,Total,Female,991552
71,Province,Male,863928
71,Province,Female,878361
71,"Among them, the separation of household registration and residence within the district",Male,345684
71,"Among them, the separation of household registration and residence within the district",Female,367186
71,Out-of-province,Male,117202
71,Out-of-province,Female,113191
72,Total,Male,797823
72,Total,Female,824872
72,Province,Male,707310
72,Province,Female,735372
72,"Among them, the separation of household registration and residence within the district",Male,283368
72,"Among them, the separation of household registration and residence within the district",Female,308132
72,Out-of-province,Male,90513
72,Out-of-province,Female,89500
73,Total,Male,755005
73,Total,Female,768457
73,Province,Male,673403
73,Province,Female,687660
73,"Among them, the separation of household registration and residence within the district",Male,271242
73,"Among them, the separation of household registration and residence within the district",Female,290951
73,Out-of-province,Male,81602
73,Out-of-province,Female,80797
74,Total,Male,668303
74,Total,Female,688794
74,Province,Male,598008
74,Province,Female,618364
74,"Among them, the separation of household registration and residence within the district",Male,240694
74,"Among them, the separation of household registration and residence within the district",Female,261965
74,Out-of-province,Male,70295
74,Out-of-province,Female,70430
75-79 years old,Total,Male,2446691
75-79 years old,Total,Female,2660888
75-79 years old,Province,Male,2211501
75-79 years old,Province,Female,2402918
75-79 years old,"Among them, the separation of household registration and residence within the district",Male,884585
75-79 years old,"Among them, the separation of household registration and residence within the district",Female,1017664
75-79 years old,Out-of-province,Male,235190
75-79 years old,Out-of-province,Female,257970
75,Total,Male,568186
75,Total,Female,602922
75,Province,Male,510356
75,Province,Female,542486
75,"Among them, the separation of household registration and residence within the district",Male,202431
75,"Among them, the separation of household registration and residence within the district",Female,227776
75,Out-of-province,Male,57830
75,Out-of-province,Female,60436
76,Total,Male,538766
76,Total,Female,569691
76,Province,Male,486216
76,Province,Female,513890
76,"Among them, the separation of household registration and residence within the district",Male,192852
76,"Among them, the separation of household registration and residence within the district",Female,216663
76,Out-of-province,Male,52550
76,Out-of-province,Female,55801
77,Total,Male,468427
77,Total,Female,514095
77,Province,Male,423874
77,Province,Female,464026
77,"Among them, the separation of household registration and residence within the district",Male,169540
77,"Among them, the separation of household registration and residence within the district",Female,195671
77,Out-of-province,Male,44553
77,Out-of-province,Female,50069
78,Total,Male,445104
78,Total,Female,493666
78,Province,Male,403833
78,Province,Female,446710
78,"Among them, the separation of household registration and residence within the district",Male,163158
78,"Among them, the separation of household registration and residence within the district",Female,191231
78,Out-of-province,Male,41271
78,Out-of-province,Female,46956
79,Total,Male,426208
79,Total,Female,480514
79,Province,Male,387222
79,Province,Female,435806
79,"Among them, the separation of household registration and residence within the district",Male,156604
79,"Among them, the separation of household registration and residence within the district",Female,186323
79,Out-of-province,Male,38986
79,Out-of-province,Female,44708
80-84 years old,Total,Male,1547258
80-84 years old,Total,Female,1832836
80-84 years old,Province,Male,1411128
80-84 years old,Province,Female,1675266
80-84 years old,"Among them, the separation of household registration and residence within the district",Male,583118
80-84 years old,"Among them, the separation of household registration and residence within the district",Female,736922
80-84 years old,Out-of-province,Male,136130
80-84 years old,Out-of-province,Female,157570
80,Total,Male,387979
80,Total,Female,435050
80,Province,Male,352771
80,Province,Female,395069
80,"Among them, the separation of household registration and residence within the district",Male,142057
80,"Among them, the separation of household registration and residence within the district",Female,170707
80,Out-of-province,Male,35208
80,Out-of-province,Female,39981
81,Total,Male,314989
81,Total,Female,375932
81,Province,Male,287196
81,Province,Female,342602
81,"Among them, the separation of household registration and residence within the district",Male,118793
81,"Among them, the separation of household registration and residence within the district",Female,151988
81,Out-of-province,Male,27793
81,Out-of-province,Female,33330
82,Total,Male,319959
82,Total,Female,377498
82,Province,Male,292026
82,Province,Female,345243
82,"Among them, the separation of household registration and residence within the district",Male,120367
82,"Among them, the separation of household registration and residence within the district",Female,151644
82,Out-of-province,Male,27933
