表4.1,Unnamed: 1,2011年、2016年及2021年按種族、婚姻狀況及性別劃分的15歲及以上少數族裔人士百分比分布,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,索引 Index
nan,尼泊爾人,nan,20.3,22,21.1,75.3,73.1,74.3,4.3,4.8,4.6,100,100,100,nan
nan,Nepalese,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,巴基斯坦人,nan,26.5,15.8,22.1,72.1,81,75.7,1.4,3.2,2.1,100,100,100,nan
nan,Pakistani,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,其他南亞裔人士[1],nan,39.9,20,28.3,59.7,71,66.3,0.4,9,5.4,100,100,100,nan
nan,Other South Asian[1],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,泰國人,nan,25.2,13.3,14.4,73.4,71.6,71.7,1.4,15.1,13.9,100,100,100,nan
nan,Thai,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,日本人,nan,15.6,20.1,17.7,81.4,77.1,79.4,3,2.8,2.9,100,100,100,nan
nan,Japanese,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,韓國人,nan,17.5,20.5,19.2,81.7,71.4,75.8,0.8,8.1,5,100,100,100,nan
nan,Korean,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,其他亞洲人,nan,29.5,21.1,23.9,64.2,70.4,68.4,6.3,8.5,7.7,100,100,100,nan
nan,Other Asian,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,白人,nan,29.1,27,28.3,64.8,63.8,64.5,6.1,9.2,7.2,100,100,100,nan
nan,White,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,混血兒,nan,53,48.6,50.7,42.3,38.6,40.3,4.7,12.8,9.1,100,100,100,nan
nan,Mixed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,華人父或母,nan,52,48.6,50.3,43.1,38.1,40.5,4.9,13.2,9.2,100,100,100,nan
nan,With Chinese parent,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,其他混血兒,nan,65.1,48.3,54,32.2,41.4,38.3,2.7,10.3,7.8,100,100,100,nan
nan,Other Mixed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,其他[2],nan,31.4,30.4,31.2,64,69.6,65.4,4.6,-,3.4,100,100,100,nan
nan,Others[2],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,所有少數族裔人士,nan,28.4,35.5,34.1,67.2,56.1,58.3,4.4,8.3,7.5,100,100,100,nan
nan,All ethnic minorities,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,撇除外籍家庭傭工後的所有少數族裔人士,nan,28.7,23.2,26,66.9,68.3,67.6,4.4,8.5,6.4,100,100,100,nan
nan,"All ethnic minorities, excluding foreign domestic helpers",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,全港人口,nan,33.5,29.9,31.6,61.2,54.8,57.7,5.3,15.3,10.7,100,100,100,nan
nan,Whole population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
